Historical Prices - ADO - 00505016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4774.0000,4774.0000,-0.40,4816.0000,4793.0000,4820.0000,4744.0000,27407055,1308413,2348288,49124,286,,,28316145.00,
28/05/2017,4793.0000,4793.0000,-1.24,4856.0000,4853.0000,4870.0000,4790.0000,27407055,1313620,1943102,40298,282,,,28316145.00,
25/05/2017,4853.0000,4853.0000,-0.53,4879.0000,4879.0000,4914.0000,4831.0000,27407055,1330064,6882228,141262,475,,,28316145.00,
24/05/2017,4879.0000,4879.0000,0.72,4898.0000,4844.0000,4929.0000,4841.0000,27407055,1337190,12433945,255416,369,,,28316145.00,
23/05/2017,4844.0000,4844.0000,0.71,4810.0000,4810.0000,4900.0000,4810.0000,27407055,1327598,7763844,159583,543,,,28316145.00,
22/05/2017,4810.0000,4810.0000,0.59,4782.0000,4782.0000,4830.0000,4770.0000,27407055,1318279,7527008,157006,454,,,28316145.00,
21/05/2017,4782.0000,4782.0000,1.44,4820.0000,4714.0000,4820.0000,4750.0000,27407055,1310605,3184619,66687,334,,,28316145.00,
18/05/2017,4714.0000,4714.0000,-0.38,4700.0000,4732.0000,4751.0000,4655.0000,27407055,1291969,2532921,53965,347,,,28316145.00,
17/05/2017,4732.0000,4732.0000,-1.21,4757.0000,4790.0000,4830.0000,4701.0000,27407055,1296902,2990886,62657,389,,,28316145.00,
16/05/2017,4790.0000,4790.0000,0.65,4760.0000,4759.0000,4794.0000,4759.0000,27407055,1312798,2134795,44684,248,,,28316145.00,
15/05/2017,4759.0000,4759.0000,-0.04,4762.0000,4761.0000,4792.0000,4711.0000,27407055,1304302,1739172,36507,273,,,28316145.00,
14/05/2017,4761.0000,4761.0000,2.50,4700.0000,4645.0000,4812.0000,4700.0000,27407055,1304850,10404867,218602,449,,,28316145.00,
11/05/2017,4645.0000,4645.0000,2.25,4540.0000,4543.0000,4663.0000,4530.0000,27407055,1273058,2202419,48010,255,,,28316145.00,
10/05/2017,4543.0000,4543.0000,-0.04,4545.0000,4545.0000,4579.0000,4500.0000,27407055,1245103,2373352,52393,240,,,28316145.00,
09/05/2017,4545.0000,4545.0000,0.73,4512.0000,4512.0000,4561.0000,4493.0000,27407055,1245651,3644553,80378,231,,,28316145.00,
08/05/2017,4512.0000,4512.0000,-0.35,4551.0000,4528.0000,4560.0000,4500.0000,27407055,1236606,5888183,130184,344,,,28316145.00,
07/05/2017,4528.0000,4528.0000,-0.48,4550.0000,4550.0000,4551.0000,4527.0000,27407055,1240991,3248503,71484,252,,,28316145.00,
04/05/2017,4550.0000,4550.0000,0.51,4515.0000,4527.0000,4582.0000,4515.0000,27407055,1247021,10139425,222656,500,,,28291141.00,
03/05/2017,4527.0000,4527.0000,0.94,4485.0000,4485.0000,4535.0000,4485.0000,27407055,1240717,1577772,34932,176,,,28291141.00,
