Historical Prices - ALGOMIZER - 00744011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,539.0000,539.0000,0.54,536.1000,536.1000,556.9000,530.0000,19255435,103787,225584,41587,59,,,19255435.00,
28/05/2017,536.1000,536.1000,0.58,533.0000,533.0000,539.7000,528.7000,19255435,103228,6455,1204,6,,,19255435.00,
25/05/2017,533.0000,533.0000,0.76,529.0000,529.0000,545.0000,529.0000,19255435,102631,284804,53056,47,,,19255435.00,
24/05/2017,529.0000,529.0000,-0.04,529.2000,529.2000,534.0000,526.0000,19255435,101861,26243,4961,11,,,19255435.00,
23/05/2017,529.2000,529.2000,-0.49,531.8000,531.8000,530.2000,524.7000,19255435,101900,84242,15945,20,,,19255435.00,
22/05/2017,531.8000,531.8000,-1.55,540.0000,540.2000,545.0000,518.9000,19255435,102400,361311,67362,56,,,19255435.00,
21/05/2017,540.2000,540.2000,-0.81,544.6000,544.6000,545.0000,537.8000,19255435,104018,197070,36342,40,,,19255435.00,
18/05/2017,544.6000,544.6000,-0.44,547.0000,547.0000,547.0000,526.9000,19255435,104865,440576,81589,109,,,19255435.00,
17/05/2017,547.0000,547.0000,-0.65,550.6000,550.6000,555.0000,540.1000,19255435,105327,308220,56391,76,,,19255435.00,
16/05/2017,550.6000,550.6000,1.40,543.0000,543.0000,555.0000,540.0000,19255435,106020,383121,70292,59,,,19255435.00,
15/05/2017,543.0000,543.0000,0.11,542.4000,542.4000,545.0000,530.0000,19255435,104557,254175,47132,69,,,19255435.00,
14/05/2017,542.4000,542.4000,2.05,541.3000,531.5000,550.0000,529.0000,19255435,104441,274893,50734,59,,,19255435.00,
11/05/2017,531.5000,531.5000,1.51,523.6000,523.6000,534.0000,523.0000,19255435,102343,134867,25444,28,,,19255435.00,
10/05/2017,523.6000,523.6000,0.91,518.9000,518.9000,524.0000,522.0000,19255435,100821,18607,3554,5,,,19255435.00,
09/05/2017,518.9000,518.9000,0.25,517.6000,517.6000,525.0000,513.6000,19255435,99916,72237,13852,20,,,19255435.00,
08/05/2017,517.6000,517.6000,0.62,514.4000,514.4000,523.8000,514.5000,19255435,99666,96965,18731,18,,,19255435.00,
07/05/2017,514.4000,514.4000,0.41,524.8000,512.3000,524.8000,507.3000,19255435,99050,41170,7979,16,,,19255435.00,
04/05/2017,512.3000,512.3000,-0.25,513.6000,513.6000,519.0000,509.0000,19255435,98646,80412,15695,29,,,18588770.00,
03/05/2017,513.6000,513.6000,0.31,512.0000,512.0000,521.3000,508.0000,19255435,98896,271414,52534,74,,,18588770.00,
