Historical Prices - ALLOT COMMUNI - 01099654
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1819.0000,1819.0000,-2.78,1890.0000,1871.0000,1890.0000,1799.0000,33057719,601320,1266621,68306,197,,,33873719.00,
28/05/2017,1871.0000,1871.0000,6.07,1801.0000,1764.0000,1880.0000,1801.0000,33057719,618510,1391702,75353,275,,,33873719.00,
25/05/2017,1764.0000,1764.0000,-1.51,1791.0000,1791.0000,1791.0000,1746.0000,33057719,583138,475940,26856,96,,,33873719.00,
24/05/2017,1791.0000,1791.0000,-1.05,1785.0000,1810.0000,1813.0000,1780.0000,33057719,592064,373768,20801,110,,,33873719.00,
23/05/2017,1810.0000,1810.0000,1.46,1805.0000,1784.0000,1830.0000,1804.0000,33057719,598345,708219,38907,114,,,33873719.00,
22/05/2017,1784.0000,1784.0000,1.31,1761.0000,1761.0000,1798.0000,1753.0000,33057719,589750,495202,27761,130,,,33873719.00,
21/05/2017,1761.0000,1761.0000,0.69,1760.0000,1749.0000,1778.0000,1752.0000,33082719,582587,127468,7237,41,,,33873719.00,
18/05/2017,1749.0000,1749.0000,-4.37,1829.0000,1829.0000,1829.0000,1726.0000,33082719,578617,763061,43689,158,,,33873719.00,
17/05/2017,1829.0000,1829.0000,-0.71,1841.0000,1842.0000,1841.0000,1793.0000,33082719,605083,640842,35214,107,,,33873719.00,
16/05/2017,1842.0000,1842.0000,2.33,1817.0000,1800.0000,1845.0000,1798.0000,33082719,609384,564495,30978,114,,,33873719.00,
15/05/2017,1800.0000,1800.0000,2.92,1785.0000,1749.0000,1800.0000,1758.0000,33082719,595489,734464,41204,110,,,33873719.00,
14/05/2017,1749.0000,1749.0000,2.46,1740.0000,1707.0000,1758.0000,1740.0000,33082719,578617,450672,25786,100,,,33873719.00,
11/05/2017,1707.0000,1707.0000,2.52,1685.0000,1665.0000,1717.0000,1685.0000,33082719,564722,626266,36809,140,,,33873719.00,
10/05/2017,1665.0000,1665.0000,-0.24,1669.0000,1669.0000,1685.0000,1650.0000,33082719,550827,394535,23631,82,,,33873719.00,
09/05/2017,1669.0000,1669.0000,-3.08,1722.0000,1722.0000,1769.0000,1482.0000,33082719,552151,5191904,327851,883,,,33873719.00,
08/05/2017,1722.0000,1722.0000,0.12,1720.0000,1720.0000,1734.0000,1705.0000,33082719,569684,255157,14864,60,,,33873719.00,
07/05/2017,1720.0000,1720.0000,0.88,1684.0000,1705.0000,1741.0000,1684.0000,33082719,569023,201014,11750,62,,,33873719.00,
04/05/2017,1705.0000,1705.0000,-1.04,1723.0000,1723.0000,1730.0000,1705.0000,33082719,564060,616689,36006,94,,,33760808.00,
03/05/2017,1723.0000,1723.0000,-2.71,1771.0000,1771.0000,1742.0000,1719.0000,33082719,570015,485236,28062,102,,,33760808.00,
30/04/2017,1771.0000,1771.0000,-1.61,1800.0000,1800.0000,1800.0000,1765.0000,33082719,585895,450549,25349,99,,,33760808.00,
27/04/2017,1800.0000,1800.0000,1.93,1766.0000,1766.0000,1808.0000,1766.0000,33082719,595489,590798,33003,118,,,33760808.00,
26/04/2017,1766.0000,1766.0000,1.09,1747.0000,1747.0000,1780.0000,1736.0000,33082719,584241,388280,22167,98,,,33760808.00,
25/04/2017,1747.0000,1747.0000,-1.58,1770.0000,1775.0000,1771.0000,1733.0000,33082719,577955,718626,40991,167,,,33760808.00,
24/04/2017,1775.0000,1775.0000,0.62,1764.0000,1764.0000,1797.0000,1764.0000,33082719,587218,846842,47490,158,,,33760808.00,
23/04/2017,1764.0000,1764.0000,1.15,1777.0000,1744.0000,1786.0000,1764.0000,33082719,583579,524805,29636,107,,,33760808.00,
20/04/2017,1744.0000,1744.0000,0.06,1734.0000,1743.0000,1746.0000,1730.0000,33082719,576963,452356,25981,68,,,33760808.00,
19/04/2017,1743.0000,1743.0000,1.75,1713.0000,1713.0000,1750.0000,1700.0000,33873719,590419,332194,19210,71,,,33760808.00,
18/04/2017,1713.0000,1713.0000,-0.87,1720.0000,1728.0000,1753.0000,1706.0000,33873719,580257,158978,9209,52,,,33760808.00,
13/04/2017,1728.0000,1728.0000,-2.10,1765.0000,1765.0000,1747.0000,1722.0000,33873719,585338,81272,4703,20,,,33760808.00,
12/04/2017,1765.0000,1765.0000,1.09,1746.0000,1746.0000,1779.0000,1747.0000,33873719,597871,93571,5319,27,,,33760808.00,
09/04/2017,1746.0000,1746.0000,0.75,1733.0000,1733.0000,1758.0000,1711.0000,33873719,591435,271473,15641,52,,,33760808.00,
06/04/2017,1733.0000,1733.0000,-0.63,1742.0000,1744.0000,1758.0000,1722.0000,33873719,587032,890609,51050,132,,,33760808.00,
05/04/2017,1744.0000,1744.0000,-0.06,1757.0000,1745.0000,1771.0000,1719.0000,33873719,590758,587443,33732,124,,,33760808.00,
04/04/2017,1745.0000,1745.0000,0.11,1743.0000,1743.0000,1751.0000,1709.0000,33873719,591096,234367,13511,48,,,33760808.00,
03/04/2017,1743.0000,1743.0000,0.35,1737.0000,1737.0000,1771.0000,1727.0000,33873719,590419,253325,14481,66,,,33760808.00,
02/04/2017,1737.0000,1737.0000,1.05,1719.0000,1719.0000,1745.0000,1732.0000,33873719,588387,60536,3486,22,,,33760808.00,
