Historical Prices - ALONY HETZ - 00390013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3510.0000,3510.0000,0.57,3531.0000,3490.0000,3531.0000,3476.0000,164617086,5778060,6639739,189571,512,,,155261180.00,
28/05/2017,3490.0000,3490.0000,-1.66,3577.0000,3549.0000,3584.0000,3488.0000,164610980,5744923,6685581,189805,558,,,155261180.00,
25/05/2017,3549.0000,3549.0000,-0.78,3559.0000,3577.0000,3600.0000,3511.0000,164610980,5842044,16099634,452310,685,,,155261180.00,
24/05/2017,3577.0000,3577.0000,0.00,3577.0000,3577.0000,3616.0000,3551.0000,164610980,5888135,11298152,315134,768,,,155261180.00,
23/05/2017,3577.0000,3577.0000,1.02,3542.0000,3541.0000,3635.0000,3540.0000,164610980,5888135,6823422,189821,603,,,155261180.00,
22/05/2017,3541.0000,3541.0000,0.40,3530.0000,3527.0000,3600.0000,3502.0000,164610980,5828875,9812767,276987,751,,,155261180.00,
21/05/2017,3527.0000,3527.0000,2.65,3470.0000,3436.0000,3530.0000,3460.0000,164610980,5805829,3790461,108050,411,,,155261180.00,
18/05/2017,3436.0000,3436.0000,-0.06,3438.0000,3438.0000,3477.0000,3421.0000,164610980,5656033,9222263,268429,833,,,155261180.00,
17/05/2017,3438.0000,3438.0000,-2.27,3516.0000,3518.0000,3516.0000,3430.0000,164610980,5659325,12413548,356806,857,,,155261180.00,
16/05/2017,3518.0000,3518.0000,0.72,3520.0000,3493.0000,3564.0000,3503.0000,164610980,5791014,8690110,245972,826,,,155261180.00,
15/05/2017,3493.0000,3493.0000,-1.16,3574.0000,3534.0000,3574.0000,3489.0000,164610980,5749862,3634146,103231,445,,,155261180.00,
14/05/2017,3534.0000,3534.0000,0.57,3514.0000,3514.0000,3574.0000,3514.0000,164610980,5817352,3639822,102639,386,,,155261180.00,
11/05/2017,3514.0000,3514.0000,-1.04,3522.0000,3551.0000,3545.0000,3501.0000,164610980,5784430,11083498,314865,941,,,155261180.00,
10/05/2017,3551.0000,3551.0000,-1.20,3580.0000,3594.0000,3585.0000,3506.0000,164610980,5845336,8867551,250415,748,,,155261180.00,
09/05/2017,3594.0000,3594.0000,1.41,3544.0000,3544.0000,3625.0000,3530.0000,164610980,5916119,13279057,370029,899,,,155261180.00,
08/05/2017,3544.0000,3544.0000,0.48,3530.0000,3527.0000,3563.0000,3489.0000,164610980,5833813,10363155,293536,666,,,155261180.00,
07/05/2017,3527.0000,3527.0000,2.20,3475.0000,3451.0000,3533.0000,3467.0000,164610980,5805829,10109744,287592,560,,,155261180.00,
04/05/2017,3451.0000,3451.0000,0.03,3477.0000,3450.0000,3514.0000,3451.0000,164610980,5680725,19170604,551491,988,,,155228492.00,
03/05/2017,3450.0000,3450.0000,2.83,3355.0000,3355.0000,3475.0000,3349.0000,164610980,5679079,10131313,296020,764,,,155228492.00,
30/04/2017,3355.0000,3355.0000,-0.03,3356.0000,3356.0000,3365.0000,3320.0000,164610980,5522698,5348984,159735,341,,,155228492.00,
27/04/2017,3356.0000,3356.0000,-0.03,3340.0000,3357.0000,3374.0000,3336.0000,164610980,5524344,11922675,356235,704,,,155228492.00,
26/04/2017,3357.0000,3357.0000,-1.47,3407.0000,3407.0000,3433.0000,3357.0000,164610980,5525991,10610401,313080,767,,,155228492.00,
25/04/2017,3407.0000,3407.0000,-0.12,3436.0000,3411.0000,3436.0000,3398.0000,155261180,5289748,7493138,219587,610,,,155228492.00,
24/04/2017,3411.0000,3411.0000,1.19,3394.0000,3371.0000,3434.0000,3394.0000,155261180,5295959,11634157,340754,752,,,155228492.00,
23/04/2017,3371.0000,3371.0000,-0.47,3360.0000,3387.0000,3381.0000,3340.0000,155261180,5233854,22314664,663624,988,,,155228492.00,
20/04/2017,3387.0000,3387.0000,-2.67,3380.0000,3480.0000,3405.0000,3363.0000,155261180,5258696,67064530,1978288,1635,,,155228492.00,
19/04/2017,3480.0000,3480.0000,1.78,3446.0000,3419.0000,3504.0000,3446.0000,155261180,5403089,5257360,150793,423,,,155228492.00,
18/04/2017,3419.0000,3419.0000,1.06,3383.0000,3383.0000,3458.0000,3383.0000,155261180,5308380,4254190,124255,525,,,155228492.00,
13/04/2017,3383.0000,3383.0000,-2.06,3478.0000,3454.0000,3484.0000,3338.0000,155261180,5252486,4030182,117795,421,,,155228492.00,
12/04/2017,3454.0000,3454.0000,-1.09,3492.0000,3492.0000,3501.0000,3450.0000,155254730,5362498,4530427,129742,324,,,155228492.00,
09/04/2017,3492.0000,3492.0000,0.09,3471.0000,3489.0000,3506.0000,3471.0000,155254730,5421495,4872692,139635,364,,,155228492.00,
06/04/2017,3489.0000,3489.0000,0.40,3475.0000,3475.0000,3516.0000,3462.0000,155254730,5416838,11317469,324582,671,,,155090561.00,
05/04/2017,3475.0000,3475.0000,0.90,3471.0000,3444.0000,3479.0000,3402.0000,155233768,5394373,5274951,153740,511,,,155090561.00,
04/04/2017,3444.0000,3444.0000,-0.61,3461.0000,3465.0000,3500.0000,3431.0000,155233768,5346251,5812789,167840,571,,,155090561.00,
03/04/2017,3465.0000,3465.0000,0.12,3476.0000,3461.0000,3493.0000,3463.0000,155233768,5378850,4576709,131509,431,,,155090561.00,
02/04/2017,3461.0000,3461.0000,1.44,3400.0000,3412.0000,3476.0000,3399.0000,155233768,5372641,3212701,93006,442,,,155090561.00,
30/03/2017,3412.0000,3412.0000,1.70,3328.0000,3355.0000,3455.0000,3326.0000,155233768,5296576,13808759,413309,478,,,155090561.00,
29/03/2017,3355.0000,3355.0000,0.36,3345.0000,3343.0000,3367.0000,3330.0000,155233768,5208093,6622190,197615,523,EX D,0.97096,155090561.00,
28/03/2017,3343.0153,3443.0000,1.44,3413.0000,3394.0000,3465.0000,3385.0000,155233768,5344699,7843718,228113,709,,,155090561.00,
27/03/2017,3295.4382,3394.0000,-1.57,3440.0000,3448.0000,3443.0000,3394.0000,155228492,5268455,5111927,149630,433,,,155090561.00,
26/03/2017,3347.8701,3448.0000,1.08,3411.0000,3411.0000,3455.0000,3411.0000,155228492,5352278,2377531,69013,307,,,155090561.00,
23/03/2017,3311.9446,3411.0000,-1.56,3432.0000,3465.0000,3480.0000,3406.0000,155228492,5294844,8444478,245359,785,,,155090561.00,
22/03/2017,3364.3764,3465.0000,1.08,3420.0000,3428.0000,3491.0000,3420.0000,155228492,5378667,6160331,178542,543,,,155090561.00,
21/03/2017,3328.4509,3428.0000,-1.64,3490.0000,3485.0000,3490.0000,3390.0000,155228492,5321233,11373979,328382,794,,,155090561.00,
20/03/2017,3383.7956,3485.0000,2.11,3444.0000,3413.0000,3493.0000,3430.0000,155228492,5409713,3009113,86663,326,,,155090561.00,
