Historical Prices - AMANET - 00654012
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2727.0000,2727.0000,-1.59,2771.0000,2771.0000,2771.0000,2671.0000,6652410,181411,7064,259,4,,,6652410.00,
28/05/2017,2771.0000,2771.0000,-1.11,2802.0000,2802.0000,2802.0000,2652.0000,6652410,184338,31534,1138,5,,,6652410.00,
25/05/2017,2802.0000,2802.0000,-1.30,2800.0000,2839.0000,2819.0000,2702.0000,6652410,186401,34747,1240,11,,,6652410.00,
24/05/2017,2839.0000,2839.0000,0.18,2834.0000,2834.0000,2840.0000,2836.0000,6652410,188862,21206,747,3,,,6652410.00,
23/05/2017,2834.0000,2834.0000,-0.56,2850.0000,2850.0000,2834.0000,2833.0000,6652410,188529,6234,220,3,,,6652410.00,
22/05/2017,2850.0000,2850.0000,-0.04,2851.0000,2851.0000,2850.0000,2850.0000,6652410,189594,15675,550,2,,,6652410.00,
21/05/2017,2851.0000,2851.0000,-0.04,2852.0000,2852.0000,2852.0000,2802.0000,6652410,189660,7271,255,4,,,6652410.00,
18/05/2017,2852.0000,2852.0000,-1.49,2895.0000,2895.0000,2866.0000,2837.0000,6652410,189727,10950,384,4,,,6652410.00,
17/05/2017,2895.0000,2895.0000,-0.79,2890.0000,2918.0000,2900.0000,2890.0000,6652410,192587,38531,1331,5,,,6652410.00,
16/05/2017,2918.0000,2918.0000,0.34,2908.0000,2908.0000,2918.0000,2918.0000,6652410,194117,9308,319,1,,,6652410.00,
15/05/2017,2908.0000,2908.0000,-0.85,2933.0000,2933.0000,2931.0000,2898.0000,6652410,193452,125072,4300,11,,,6652410.00,
14/05/2017,2933.0000,2933.0000,0.24,2926.0000,2926.0000,2952.0000,2929.0000,6652410,195115,123370,4195,9,,,6652410.00,
11/05/2017,2926.0000,2926.0000,0.48,2912.0000,2912.0000,2943.0000,2920.0000,6652410,194650,67913,2322,11,,,6652410.00,
10/05/2017,2912.0000,2912.0000,2.36,2845.0000,2845.0000,3000.0000,2845.0000,6652410,193718,105580,3653,10,EX D,0.96934,6652410.00,
09/05/2017,2845.0129,2935.0000,2.05,2876.0000,2876.0000,2952.0000,2823.0000,6652410,195248,140980,4828,14,,,6652410.00,
08/05/2017,2787.8218,2876.0000,-0.03,2876.0000,2877.0000,2876.0000,2840.0000,6652410,191323,62799,2187,11,,,6652410.00,
07/05/2017,2788.7912,2877.0000,2.02,2820.0000,2820.0000,2897.0000,2820.0000,6652410,191390,181358,6346,17,,,6652410.00,
04/05/2017,2733.5388,2820.0000,2.99,2738.0000,2738.0000,2820.0000,2788.0000,6652410,187598,210946,7513,20,,,6652410.00,
03/05/2017,2654.0529,2738.0000,-0.40,2749.0000,2749.0000,2740.0000,2732.0000,6652410,182143,33725,1232,5,,,6652410.00,
30/04/2017,2664.7157,2749.0000,0.00,2749.0000,2749.0000,2749.0000,2749.0000,6652410,182875,8522,310,2,,,6652410.00,
27/04/2017,2664.7157,2749.0000,2.54,2681.0000,2681.0000,2750.0000,2748.0000,6652410,182875,74548,2712,8,,,6652410.00,
26/04/2017,2598.8005,2681.0000,-2.33,2745.0000,2745.0000,2687.0000,2672.0000,6652410,178351,11878,443,5,,,6652410.00,
25/04/2017,2660.8383,2745.0000,-0.44,2789.0000,2757.0000,2790.0000,2700.0000,6652410,182609,193856,7001,19,,,6652410.00,
24/04/2017,2672.4704,2757.0000,2.00,2703.0000,2703.0000,2757.0000,2756.0000,6652410,183407,5954,216,3,,,6652410.00,
23/04/2017,2620.1260,2703.0000,0.00,2703.0000,2703.0000,2684.0000,2684.0000,6652410,179815,27,1,1,,,6652410.00,
20/04/2017,2620.1260,2703.0000,0.82,2681.0000,2681.0000,2709.0000,2700.0000,6652410,179815,79915,2957,10,,,6652410.00,
19/04/2017,2598.8005,2681.0000,0.19,2676.0000,2676.0000,2790.0000,2640.0000,6652410,178351,47242,1764,12,,,6652410.00,
18/04/2017,2593.9538,2676.0000,-1.55,2718.0000,2718.0000,2741.0000,2651.0000,6652410,178018,40503,1513,10,,,6652410.00,
13/04/2017,2634.6661,2718.0000,2.41,2696.0000,2654.0000,2725.0000,2696.0000,6652410,180813,11932,439,5,,,6652410.00,
12/04/2017,2572.6284,2654.0000,0.34,2645.0000,2645.0000,2695.0000,2650.0000,6652410,176555,9049,341,4,,,6652410.00,
09/04/2017,2563.9043,2645.0000,0.15,2729.0000,2641.0000,2729.0000,2636.0000,6652410,175956,86932,3289,14,,,6652410.00,
