Historical Prices - ARYT - 00587014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,200.3000,200.3000,-5.25,210.0000,211.4000,210.0000,200.0000,96594687,193479,962268,470355,154,,,96594687.00,
28/05/2017,211.4000,211.4000,-1.35,215.0000,214.3000,219.7000,210.3000,96594687,204201,646854,299808,92,,,96594687.00,
25/05/2017,214.3000,214.3000,1.42,216.3000,211.3000,217.7000,213.0000,96594687,207002,264437,122845,76,,,96594687.00,
24/05/2017,211.3000,211.3000,-4.09,224.6000,220.3000,224.6000,205.0000,96594687,204105,1224242,574406,188,,,96594687.00,
23/05/2017,220.3000,220.3000,2.94,217.0000,214.0000,224.0000,217.0000,96594687,212798,1633492,739732,219,,,96594687.00,
22/05/2017,214.0000,214.0000,2.64,208.0000,208.5000,225.0000,205.0000,96594687,206713,2938749,1363754,471,,,96594687.00,
21/05/2017,208.5000,208.5000,14.75,189.9000,181.7000,208.5000,186.1000,96594687,201400,2540053,1286844,500,,,96594687.00,
18/05/2017,181.7000,181.7000,-8.00,191.1000,197.5000,197.5000,175.0000,96594687,175513,1991266,1084707,420,,,96594687.00,
17/05/2017,197.5000,197.5000,-7.97,214.6000,214.6000,215.0000,193.0000,96594687,190775,2634090,1313657,506,,,96594687.00,
16/05/2017,214.6000,214.6000,-5.59,227.1000,227.3000,228.7000,213.6000,96594687,207292,1101347,503596,212,,,96594687.00,
15/05/2017,227.3000,227.3000,-2.07,237.0000,232.1000,243.1000,225.0000,96594687,219560,1286087,545404,182,,,96594687.00,
14/05/2017,232.1000,232.1000,3.06,225.2000,225.2000,240.0000,225.2000,96594687,224196,1127487,486490,202,,,96594687.00,
11/05/2017,225.2000,225.2000,0.94,222.7000,223.1000,232.8000,218.1000,96594687,217531,1365099,606187,214,,,96594687.00,
10/05/2017,223.1000,223.1000,-5.63,240.0000,236.4000,240.0000,218.0000,96594687,215503,968884,423847,204,,,96594687.00,
09/05/2017,236.4000,236.4000,-6.38,252.6000,252.5000,252.6000,231.0000,96594687,228350,1673415,697274,308,,,96594687.00,
08/05/2017,252.5000,252.5000,0.08,252.3000,252.3000,255.0000,252.0000,96594687,243902,401771,158394,73,,,96594687.00,
07/05/2017,252.3000,252.3000,0.64,253.0000,250.7000,255.0000,252.0000,96594687,243708,592057,233676,90,,,96594687.00,
04/05/2017,250.7000,250.7000,1.75,246.4000,246.4000,252.9000,249.4000,96594687,242163,839836,334506,116,,,96594687.00,
03/05/2017,246.4000,246.4000,1.78,242.9000,242.1000,247.9000,241.8000,96594687,238009,960970,391439,135,,,96594687.00,
30/04/2017,242.1000,242.1000,2.98,237.1000,235.1000,244.0000,237.1000,96594687,233856,606628,252492,110,,,96594687.00,
27/04/2017,235.1000,235.1000,-4.04,250.0000,245.0000,256.0000,231.3000,96594687,227094,1266426,516954,240,EX D,0.89091,96594687.00,
26/04/2017,245.0003,275.0000,2.15,272.2000,269.2000,278.7000,269.9000,96594687,265635,1209040,443426,147,,,96594687.00,
25/04/2017,239.8330,269.2000,1.05,269.8000,266.4000,272.6000,267.3000,96594687,260033,1147468,425146,187,,,96594687.00,
24/04/2017,237.3384,266.4000,2.54,261.0000,259.8000,268.7000,261.0000,96594687,257328,1092694,409938,176,,,96594687.00,
23/04/2017,231.4584,259.8000,1.05,257.1000,257.1000,263.0000,254.3000,96594687,250953,660008,254684,98,,,96594687.00,
20/04/2017,229.0530,257.1000,1.62,254.0000,253.0000,261.0000,253.5000,96594687,248345,796758,309890,124,,,96594687.00,
19/04/2017,225.4002,253.0000,1.04,250.4000,250.4000,263.0000,251.0000,96594687,244385,960024,372286,160,,,96594687.00,
18/04/2017,223.0839,250.4000,2.58,245.0000,244.1000,256.0000,245.0000,96594687,241873,1013030,402387,186,,,96594687.00,
13/04/2017,217.4711,244.1000,3.78,237.0000,235.2000,245.0000,236.9000,96594687,235788,678396,280174,126,,,96594687.00,
12/04/2017,209.5420,235.2000,7.30,223.6000,219.2000,238.9000,220.0000,96594687,227191,589267,256607,112,,,96594687.00,
09/04/2017,195.2875,219.2000,-0.86,221.1000,221.1000,221.1000,218.0000,96594687,211736,165044,75138,41,,,96594687.00,
06/04/2017,196.9802,221.1000,-1.65,224.8000,224.8000,227.5000,220.0000,96594687,213571,373091,167406,61,,,96594687.00,
05/04/2017,200.2766,224.8000,-0.27,225.4000,225.4000,225.4000,221.7000,96594687,217145,385276,171918,79,,,96594687.00,
04/04/2017,200.8111,225.4000,-0.35,228.0000,226.2000,229.8000,223.9000,96594687,217724,489954,215717,88,,,96594687.00,
03/04/2017,201.5238,226.2000,2.77,225.6000,220.1000,230.9000,221.1000,96594687,218497,847658,374067,144,,,96594687.00,
02/04/2017,196.0893,220.1000,10.99,207.2000,198.3000,221.8000,207.2000,96594687,212605,1334351,623441,221,,,96594687.00,
30/03/2017,176.6675,198.3000,1.95,194.5000,194.5000,200.0000,193.0000,96594687,191547,175628,89311,30,,,96594687.00,
29/03/2017,173.2820,194.5000,0.83,192.9000,192.9000,196.0000,192.4000,96594687,187877,114379,58591,26,,,96594687.00,
28/03/2017,171.8565,192.9000,0.31,192.3000,192.3000,195.9000,192.3000,96594687,186331,95913,49627,24,,,96594687.00,
27/03/2017,171.3220,192.3000,-2.34,196.9000,196.9000,196.6000,187.5000,96594687,185752,245422,127758,79,,,96594687.00,
26/03/2017,175.4202,196.9000,-1.40,199.7000,199.7000,201.7000,196.2000,96594687,190195,247181,124219,48,,,96594687.00,
23/03/2017,177.9147,199.7000,1.01,198.8000,197.7000,200.7000,197.8000,96594687,192900,168525,84564,31,,,96594687.00,
22/03/2017,176.1329,197.7000,-1.35,200.4000,200.4000,204.4000,196.0000,96594687,190968,154307,77059,42,,,96594687.00,
21/03/2017,178.5384,200.4000,3.41,200.0000,193.8000,204.0000,198.0000,96594687,193576,403095,200373,80,,,96594687.00,
20/03/2017,172.6584,193.8000,0.62,195.0000,192.6000,195.0000,193.0000,96594687,187201,190498,98095,45,,,96594687.00,
19/03/2017,171.5893,192.6000,0.05,192.0000,192.5000,194.7000,191.0000,96594687,186041,139621,72564,40,,,96594687.00,
16/03/2017,171.5002,192.5000,2.01,188.7000,188.7000,195.0000,188.7000,96594687,185945,238285,124048,57,,,96594687.00,
15/03/2017,168.1147,188.7000,0.32,188.6000,188.1000,193.4000,188.0000,96594687,182274,327448,172250,77,,,96594687.00,
14/03/2017,167.5802,188.1000,1.07,186.1000,186.1000,192.0000,186.8000,96594687,181695,467607,247186,79,,,96594687.00,
13/03/2017,165.7984,186.1000,0.22,185.7000,185.7000,186.9000,184.0000,96594687,179763,145994,78354,29,,,96594687.00,
09/03/2017,165.4420,185.7000,-0.38,186.4000,186.4000,187.9000,182.0000,96594687,179376,223986,121771,62,,,96594687.00,
08/03/2017,166.0656,186.4000,0.27,185.9000,185.9000,188.5000,185.0000,96594687,180053,184337,98595,46,,,96594687.00,
07/03/2017,165.6202,185.9000,-2.41,190.5000,190.5000,190.7000,185.1000,96594687,179570,402012,214027,75,,,96594687.00,
06/03/2017,169.7184,190.5000,8.73,175.2000,175.2000,193.0000,172.4000,96594687,184013,1513770,805517,249,,,96594687.00,
05/03/2017,156.0874,175.2000,0.86,173.7000,173.7000,177.0000,171.6000,96594687,169234,206937,118189,28,,,96594687.00,
02/03/2017,154.7511,173.7000,-0.52,174.6000,174.6000,179.9000,172.1000,96594687,167785,338743,193399,80,,,96594687.00,
01/03/2017,155.5529,174.6000,3.01,169.5000,169.5000,176.9000,169.5000,96594687,168654,304548,176229,49,,,96594687.00,
28/02/2017,151.0092,169.5000,0.65,168.0000,168.4000,173.2000,166.0000,96594687,163728,329333,195450,52,,,96594687.00,
27/02/2017,150.0292,168.4000,-1.69,171.3000,171.3000,173.2000,165.0000,96594687,162665,385749,227810,53,,,96594687.00,
26/02/2017,152.6129,171.3000,0.53,170.4000,170.4000,173.2000,170.0000,96594687,165467,130599,76387,39,,,96594687.00,
23/02/2017,151.8111,170.4000,0.95,168.8000,168.8000,172.0000,169.0000,96594687,164597,222183,130535,55,,,96594687.00,
22/02/2017,150.3856,168.8000,1.56,166.2000,166.2000,171.0000,166.3000,96594687,163052,312070,185836,76,,,96594687.00,
21/02/2017,148.0692,166.2000,1.03,164.5000,164.5000,167.9000,161.0000,96594687,160540,213337,128911,65,,,96594687.00,
20/02/2017,146.5547,164.5000,0.49,163.7000,163.7000,167.7000,156.2000,96594687,158898,914238,575608,197,,,96594687.00,
19/02/2017,145.8420,163.7000,-3.71,165.6000,170.0000,167.0000,160.2000,96594687,158126,819798,497222,147,,,96594687.00,
16/02/2017,151.4547,170.0000,-2.75,174.8000,174.8000,176.2000,168.3000,96594687,164211,599196,351582,99,,,96594687.00,
15/02/2017,155.7311,174.8000,-3.32,180.8000,180.8000,181.5000,173.5000,96594687,168848,600100,340050,118,,,96594687.00,
14/02/2017,161.0765,180.8000,-2.11,185.0000,184.7000,185.0000,179.6000,96594687,174643,177575,97823,55,,,96594687.00,
13/02/2017,164.5511,184.7000,-0.97,186.5000,186.5000,189.7000,183.0000,96594687,178410,325438,175086,60,,,96594687.00,
12/02/2017,166.1547,186.5000,-4.36,191.1000,195.0000,191.1000,179.9000,96594687,180149,746897,402155,114,,,96594687.00,
09/02/2017,173.7275,195.0000,2.69,189.9000,189.9000,195.0000,186.0000,96594687,188360,2358286,1215574,94,,,92582585.00,
08/02/2017,169.1838,189.9000,2.65,185.0000,185.0000,190.1000,183.9000,96594687,183433,709996,376715,133,,,92582585.00,
07/02/2017,164.8184,185.0000,6.02,174.5000,174.5000,186.0000,174.3000,96594687,178700,727803,405436,120,,,92582585.00,
06/02/2017,155.4638,174.5000,0.35,174.6000,173.9000,174.6000,173.6000,96594687,168558,276992,158856,37,,,92582585.00,
05/02/2017,154.9292,173.9000,0.40,173.2000,173.2000,174.6000,173.0000,96594687,167978,108591,62489,31,,,92582585.00,
02/02/2017,154.3056,173.2000,0.23,173.0000,172.8000,174.6000,170.2000,96594687,167302,138395,79878,25,,,92582585.00,
01/02/2017,153.9492,172.8000,-1.03,174.6000,174.6000,174.6000,172.2000,96594687,166916,175400,100920,34,,,92582585.00,
