Historical Prices - ASHTROM GROUP - 01132315
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1267.0000,1267.0000,-1.93,1292.0000,1292.0000,1292.0000,1262.0000,82587598,1046385,615699,48404,106,,,82587598.00,
28/05/2017,1292.0000,1292.0000,-0.69,1301.0000,1301.0000,1319.0000,1290.0000,82587598,1067032,406442,31251,72,,,82587598.00,
25/05/2017,1301.0000,1301.0000,0.54,1277.0000,1294.0000,1311.0000,1277.0000,82587598,1074465,191420,14729,60,,,82587598.00,
24/05/2017,1294.0000,1294.0000,-0.54,1301.0000,1301.0000,1317.0000,1285.0000,82587598,1068684,286401,22054,75,,,82587598.00,
23/05/2017,1301.0000,1301.0000,2.20,1273.0000,1273.0000,1303.0000,1256.0000,82587598,1074465,452790,35182,69,,,82587598.00,
22/05/2017,1273.0000,1273.0000,2.41,1265.0000,1243.0000,1276.0000,1246.0000,82587598,1051340,174721,13837,55,,,82587598.00,
21/05/2017,1243.0000,1243.0000,0.49,1225.0000,1237.0000,1248.0000,1225.0000,82587598,1026564,102660,8259,59,,,82587598.00,
18/05/2017,1237.0000,1237.0000,-2.37,1267.0000,1267.0000,1266.0000,1235.0000,82587598,1021609,158883,12787,53,,,82587598.00,
17/05/2017,1267.0000,1267.0000,-1.63,1288.0000,1288.0000,1294.0000,1255.0000,82587598,1046385,374197,29481,98,,,82587598.00,
16/05/2017,1288.0000,1288.0000,-1.00,1301.0000,1301.0000,1300.0000,1280.0000,82587598,1063728,191780,14892,57,,,82587598.00,
15/05/2017,1301.0000,1301.0000,-0.46,1306.0000,1307.0000,1307.0000,1300.0000,82587598,1074465,303369,23319,73,,,82587598.00,
14/05/2017,1307.0000,1307.0000,0.85,1300.0000,1296.0000,1310.0000,1293.0000,82587598,1079420,526225,40431,80,,,82587598.00,
11/05/2017,1296.0000,1296.0000,1.89,1280.0000,1272.0000,1299.0000,1280.0000,82587598,1070335,237337,18392,59,,,82587598.00,
10/05/2017,1272.0000,1272.0000,0.32,1256.0000,1268.0000,1274.0000,1256.0000,82587598,1050514,385238,30385,72,,,82587598.00,
09/05/2017,1268.0000,1268.0000,0.40,1263.0000,1263.0000,1277.0000,1256.0000,82587598,1047211,355693,28079,81,,,82587598.00,
08/05/2017,1263.0000,1263.0000,0.16,1258.0000,1261.0000,1275.0000,1237.0000,82587598,1043081,858469,68353,100,,,82587598.00,
07/05/2017,1261.0000,1261.0000,1.12,1258.0000,1247.0000,1267.0000,1250.0000,82587598,1041430,390847,31013,89,,,82587598.00,
04/05/2017,1247.0000,1247.0000,1.88,1224.0000,1224.0000,1253.0000,1220.0000,82587598,1029867,510342,41141,91,,,82587598.00,
03/05/2017,1224.0000,1224.0000,0.49,1224.0000,1218.0000,1224.0000,1193.0000,82587598,1010872,219914,18123,68,,,82587598.00,
30/04/2017,1218.0000,1218.0000,-0.33,1220.0000,1222.0000,1224.0000,1213.0000,82587598,1005917,296318,24284,48,,,82587598.00,
27/04/2017,1222.0000,1222.0000,-0.81,1250.0000,1232.0000,1250.0000,1217.0000,82587598,1009220,297601,24130,66,,,82587598.00,
26/04/2017,1232.0000,1232.0000,1.65,1218.0000,1212.0000,1235.0000,1217.0000,82587598,1017479,277769,22637,69,,,82587598.00,
25/04/2017,1212.0000,1212.0000,1.59,1193.0000,1193.0000,1213.0000,1196.0000,82587598,1000962,357615,29629,74,,,82587598.00,
24/04/2017,1193.0000,1193.0000,1.27,1178.0000,1178.0000,1196.0000,1186.0000,82587598,985270,222171,18660,75,,,82587598.00,
23/04/2017,1178.0000,1178.0000,-0.17,1180.0000,1180.0000,1184.0000,1170.0000,82587598,972882,139512,11849,39,,,82587598.00,
20/04/2017,1180.0000,1180.0000,-0.42,1192.0000,1185.0000,1192.0000,1165.0000,82587598,974534,738959,62750,74,,,82587598.00,
19/04/2017,1185.0000,1185.0000,0.85,1175.0000,1175.0000,1187.0000,1164.0000,82587598,978663,268343,22761,56,,,82587598.00,
18/04/2017,1175.0000,1175.0000,-0.17,1161.0000,1177.0000,1179.0000,1159.0000,82587598,970404,165024,14135,60,,,82587598.00,
13/04/2017,1177.0000,1177.0000,-0.84,1187.0000,1187.0000,1191.0000,1164.0000,82587598,972056,163577,13866,44,,,82587598.00,
12/04/2017,1187.0000,1187.0000,0.51,1181.0000,1181.0000,1191.0000,1175.0000,82587598,980315,467193,39492,64,,,82587598.00,
09/04/2017,1181.0000,1181.0000,1.11,1177.0000,1168.0000,1182.0000,1177.0000,82587598,975360,210262,17810,48,,,82587598.00,
06/04/2017,1168.0000,1168.0000,2.55,1156.0000,1139.0000,1168.0000,1142.0000,82587598,964623,596710,51425,113,EX D,0.94601,82587598.00,
05/04/2017,1138.9960,1204.0000,2.56,1180.0000,1174.0000,1212.0000,1166.0000,82587598,994355,624505,52645,88,,,82587598.00,
