Historical Prices - ASHTROM PROP - 00251017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1675.0000,1675.0000,-1.06,1693.0000,1693.0000,1693.0000,1657.0000,79223123,1326987,557872,33409,129,,,79223123.00,
28/05/2017,1693.0000,1693.0000,-1.28,1715.0000,1715.0000,1715.0000,1661.0000,79223123,1341247,619556,36697,108,,,79223123.00,
25/05/2017,1715.0000,1715.0000,0.12,1710.0000,1713.0000,1720.0000,1680.0000,79223123,1358677,913581,53668,145,,,79223123.00,
24/05/2017,1713.0000,1713.0000,0.29,1708.0000,1708.0000,1720.0000,1680.0000,79223123,1357092,504599,29538,100,,,79223123.00,
23/05/2017,1708.0000,1708.0000,3.83,1650.0000,1645.0000,1708.0000,1633.0000,79223123,1353131,950364,56067,114,,,79223123.00,
22/05/2017,1645.0000,1645.0000,1.61,1625.0000,1619.0000,1676.0000,1615.0000,79223123,1303220,647092,39576,123,,,79223123.00,
21/05/2017,1619.0000,1619.0000,0.62,1599.0000,1609.0000,1644.0000,1595.0000,79223123,1282622,561200,34770,131,,,79223123.00,
18/05/2017,1609.0000,1609.0000,-1.95,1636.0000,1641.0000,1641.0000,1600.0000,79223123,1274700,1072145,65990,174,,,79223123.00,
17/05/2017,1641.0000,1641.0000,-3.81,1701.0000,1706.0000,1703.0000,1640.0000,79223123,1300051,941534,56267,186,,,79223123.00,
16/05/2017,1706.0000,1706.0000,1.49,1671.0000,1681.0000,1709.0000,1656.0000,79223123,1351546,733667,43603,131,,,79223123.00,
15/05/2017,1681.0000,1681.0000,1.33,1659.0000,1659.0000,1684.0000,1653.0000,79223123,1331741,813630,48724,151,,,79223123.00,
14/05/2017,1659.0000,1659.0000,-0.06,1640.0000,1660.0000,1665.0000,1627.0000,79223123,1314312,755547,45802,147,,,79223123.00,
11/05/2017,1660.0000,1660.0000,-1.25,1670.0000,1681.0000,1670.0000,1647.0000,79223123,1315104,1131750,68160,168,,,79223123.00,
10/05/2017,1681.0000,1681.0000,-0.71,1693.0000,1693.0000,1689.0000,1660.0000,79223123,1331741,1029824,61472,141,,,79223123.00,
09/05/2017,1693.0000,1693.0000,0.77,1678.0000,1680.0000,1693.0000,1663.0000,79223123,1341247,1996699,118892,240,,,79223123.00,
08/05/2017,1680.0000,1680.0000,-2.78,1720.0000,1728.0000,1720.0000,1658.0000,79223123,1330948,4408725,262095,487,,,79223123.00,
07/05/2017,1728.0000,1728.0000,2.37,1687.0000,1688.0000,1730.0000,1668.0000,79223123,1368976,969930,56749,156,,,79223123.00,
04/05/2017,1688.0000,1688.0000,1.08,1660.0000,1670.0000,1787.0000,1650.0000,79223123,1337286,1453719,86357,200,,,79223123.00,
03/05/2017,1670.0000,1670.0000,0.30,1675.0000,1665.0000,1690.0000,1660.0000,79223123,1323026,633317,37906,103,,,79223123.00,
30/04/2017,1665.0000,1665.0000,0.06,1669.0000,1664.0000,1671.0000,1650.0000,79223123,1319065,462290,27832,87,,,79223123.00,
27/04/2017,1664.0000,1664.0000,0.24,1680.0000,1660.0000,1680.0000,1630.0000,79223123,1318273,1098488,66234,134,,,79223123.00,
26/04/2017,1660.0000,1660.0000,0.24,1657.0000,1656.0000,1676.0000,1635.0000,79223123,1315104,296763,17869,84,,,79223123.00,
25/04/2017,1656.0000,1656.0000,0.18,1660.0000,1653.0000,1664.0000,1630.0000,79223123,1311935,649904,39434,118,,,79223123.00,
24/04/2017,1653.0000,1653.0000,1.35,1648.0000,1631.0000,1681.0000,1648.0000,79223123,1309558,1327796,79792,170,,,79223123.00,
23/04/2017,1631.0000,1631.0000,1.49,1618.0000,1607.0000,1649.0000,1599.0000,79223123,1292129,1549129,95049,206,,,79223123.00,
20/04/2017,1607.0000,1607.0000,1.26,1587.0000,1587.0000,1608.0000,1562.0000,79223123,1273116,552012,34817,108,,,79223123.00,
19/04/2017,1587.0000,1587.0000,2.92,1542.0000,1542.0000,1597.0000,1535.0000,79223123,1257271,962421,61090,110,,,79223123.00,
18/04/2017,1542.0000,1542.0000,0.19,1539.0000,1539.0000,1550.0000,1520.0000,79223123,1221621,341124,22147,84,,,79223123.00,
13/04/2017,1539.0000,1539.0000,-1.35,1555.0000,1560.0000,1570.0000,1531.0000,79223123,1219244,230292,14853,73,,,79223123.00,
12/04/2017,1560.0000,1560.0000,0.58,1546.0000,1551.0000,1572.0000,1526.0000,79223123,1235881,473183,30566,90,,,79223123.00,
09/04/2017,1551.0000,1551.0000,0.13,1567.0000,1549.0000,1575.0000,1530.0000,79223123,1228751,271317,17439,75,,,79223123.00,
06/04/2017,1549.0000,1549.0000,-0.51,1550.0000,1557.0000,1562.0000,1526.0000,79223123,1227166,724656,46849,153,,,79223123.00,
05/04/2017,1557.0000,1557.0000,1.50,1540.0000,1534.0000,1563.0000,1514.0000,79223123,1233504,777650,50401,147,,,79223123.00,
04/04/2017,1534.0000,1534.0000,0.00,1534.0000,1534.0000,1550.0000,1534.0000,79223123,1215283,432243,28084,83,,,79223123.00,
03/04/2017,1534.0000,1534.0000,1.66,1509.0000,1509.0000,1544.0000,1514.0000,79223123,1215283,631195,41380,143,,,79223123.00,
02/04/2017,1509.0000,1509.0000,2.86,1471.0000,1467.0000,1515.0000,1466.0000,79223123,1195477,288743,19269,58,,,79223123.00,
30/03/2017,1467.0000,1467.0000,2.59,1457.0000,1430.0000,1474.0000,1433.0000,79223123,1162203,653728,44954,125,EX D,0.95397,79223123.00,
29/03/2017,1430.0010,1499.0000,-1.25,1525.0000,1518.0000,1553.0000,1485.0000,79223123,1187555,979509,64657,195,,,79223123.00,
28/03/2017,1448.1265,1518.0000,0.40,1507.0000,1512.0000,1550.0000,1485.0000,79223123,1202607,1714735,113640,229,,,79223123.00,
27/03/2017,1442.4026,1512.0000,-3.01,1560.0000,1559.0000,1573.0000,1501.0000,79223123,1197854,4148623,268749,316,,,79223123.00,
26/03/2017,1487.2392,1559.0000,1.56,1547.0000,1535.0000,1590.0000,1536.0000,79223123,1235088,483363,30894,118,,,79223123.00,
23/03/2017,1464.3440,1535.0000,4.99,1500.0000,1462.0000,1578.0000,1500.0000,79223123,1216075,1651266,108354,251,,,79223123.00,
22/03/2017,1394.7041,1462.0000,-1.28,1460.0000,1481.0000,1485.0000,1442.0000,79223123,1158242,384194,26141,107,,,79223123.00,
21/03/2017,1412.8296,1481.0000,1.65,1458.0000,1457.0000,1487.0000,1458.0000,79223123,1173294,407659,27609,86,,,79223123.00,
20/03/2017,1389.9343,1457.0000,-2.02,1486.0000,1487.0000,1487.0000,1432.0000,79223123,1154281,558254,38458,133,,,79223123.00,
19/03/2017,1418.5534,1487.0000,-1.65,1512.0000,1512.0000,1512.0000,1477.0000,79223123,1178048,398233,26785,106,,,79223123.00,
16/03/2017,1442.4026,1512.0000,2.51,1485.0000,1475.0000,1518.0000,1451.0000,79223123,1197854,511257,34193,96,,,79223123.00,
15/03/2017,1407.1058,1475.0000,0.75,1460.0000,1464.0000,1480.0000,1445.0000,79223123,1168541,279821,19023,90,,,79223123.00,
14/03/2017,1396.6121,1464.0000,0.55,1456.0000,1456.0000,1470.0000,1452.0000,79223123,1159827,259644,17771,80,,,79223123.00,
13/03/2017,1388.9803,1456.0000,1.39,1436.0000,1436.0000,1461.0000,1427.0000,79223123,1153489,287255,19824,63,,,79223123.00,
09/03/2017,1369.9009,1436.0000,-0.49,1447.0000,1443.0000,1460.0000,1423.0000,79223123,1137644,341975,23732,94,,,79223123.00,
08/03/2017,1376.5787,1443.0000,2.12,1379.0000,1413.0000,1450.0000,1379.0000,79223123,1143190,991058,69174,187,,,79223123.00,
07/03/2017,1347.9596,1413.0000,2.17,1370.0000,1383.0000,1420.0000,1350.0000,79223123,1119423,16067565,1147319,155,,,79223123.00,
06/03/2017,1319.3405,1383.0000,-1.85,1409.0000,1409.0000,1410.0000,1378.0000,79223123,1095656,513243,36807,116,,,79223123.00,
05/03/2017,1344.1437,1409.0000,0.07,1408.0000,1408.0000,1435.0000,1396.0000,79223123,1116254,634598,44901,88,,,79223123.00,
02/03/2017,1343.1898,1408.0000,2.85,1369.0000,1369.0000,1408.0000,1367.0000,79223123,1115462,13060207,945275,169,,,79223123.00,
01/03/2017,1305.9849,1369.0000,2.09,1302.0000,1341.0000,1372.0000,1302.0000,79223123,1084565,288203,21139,103,,,79223123.00,
28/02/2017,1279.2738,1341.0000,-0.52,1337.0000,1348.0000,1356.0000,1333.0000,79223123,1062382,489480,36435,125,,,79223123.00,
27/02/2017,1285.9516,1348.0000,-1.32,1375.0000,1366.0000,1379.0000,1341.0000,79223123,1067928,556387,41069,121,,,79223123.00,
26/02/2017,1303.1230,1366.0000,-0.44,1372.0000,1372.0000,1379.0000,1350.0000,79223123,1082188,233102,17096,61,,,79223123.00,
23/02/2017,1308.8468,1372.0000,1.03,1352.0000,1358.0000,1375.0000,1344.0000,79223123,1086941,343031,25193,110,,,79223123.00,
22/02/2017,1295.4913,1358.0000,-1.16,1377.0000,1374.0000,1380.0000,1343.0000,79223123,1075850,687874,50343,127,,,79223123.00,
21/02/2017,1310.7548,1374.0000,2.23,1340.0000,1344.0000,1378.0000,1340.0000,79223123,1088526,336460,24608,86,,,79223123.00,
20/02/2017,1282.1357,1344.0000,0.00,1340.0000,1344.0000,1352.0000,1335.0000,79223123,1064759,148069,11013,59,,,79223123.00,
19/02/2017,1282.1357,1344.0000,0.15,1342.0000,1342.0000,1347.0000,1331.0000,79223123,1064759,187923,13984,56,,,79223123.00,
16/02/2017,1280.2277,1342.0000,0.90,1334.0000,1330.0000,1349.0000,1330.0000,79223123,1063174,268956,20058,91,,,79223123.00,
15/02/2017,1268.7801,1330.0000,-3.13,1373.0000,1373.0000,1372.0000,1315.0000,79223123,1053668,927893,69432,182,,,79223123.00,
14/02/2017,1309.8008,1373.0000,-0.36,1370.0000,1378.0000,1379.0000,1357.0000,79223123,1087733,243254,17772,73,,,79223123.00,
13/02/2017,1314.5707,1378.0000,3.92,1347.0000,1326.0000,1390.0000,1315.0000,79223123,1091695,694895,51126,146,,,79223123.00,
12/02/2017,1264.9642,1326.0000,-1.56,1348.0000,1347.0000,1370.0000,1325.0000,79223123,1050499,606818,45311,129,,,79223123.00,
09/02/2017,1284.9976,1347.0000,-1.17,1371.0000,1363.0000,1371.0000,1339.0000,79223123,1067135,5978842,443758,230,,,77325406.00,
08/02/2017,1300.2611,1363.0000,-0.29,1367.0000,1367.0000,1373.0000,1357.0000,79223123,1079811,370401,27130,102,,,77325406.00,
07/02/2017,1304.0770,1367.0000,0.00,1379.0000,1367.0000,1379.0000,1356.0000,79223123,1082980,447941,32772,128,,,77325406.00,
06/02/2017,1304.0770,1367.0000,1.18,1351.0000,1351.0000,1370.0000,1345.0000,79223123,1082980,340330,25035,88,,,77325406.00,
05/02/2017,1288.8135,1351.0000,-0.73,1365.0000,1361.0000,1377.0000,1345.0000,79223123,1070304,346253,25605,121,,,77325406.00,
02/02/2017,1298.3532,1361.0000,-0.29,1365.0000,1365.0000,1379.0000,1350.0000,79223123,1078227,391883,28725,126,,,77325406.00,
01/02/2017,1302.1691,1365.0000,0.15,1364.0000,1363.0000,1388.0000,1355.0000,79223123,1081396,377118,27624,121,,,77325406.00,
31/01/2017,1300.2611,1363.0000,1.72,1340.0000,1340.0000,1365.0000,1340.0000,79223123,1079811,290782,21375,83,,,77325406.00,
30/01/2017,1278.3198,1340.0000,0.15,1367.0000,1338.0000,1367.0000,1333.0000,79223123,1061590,679344,50561,123,,,77325406.00,
29/01/2017,1276.4119,1338.0000,-0.59,1341.0000,1346.0000,1361.0000,1331.0000,79223123,1060005,705507,52687,94,,,77325406.00,
26/01/2017,1284.0436,1346.0000,1.20,1321.0000,1330.0000,1350.0000,1321.0000,79223123,1066343,517307,38715,107,,,77325406.00,
25/01/2017,1268.7801,1330.0000,1.29,1317.0000,1313.0000,1356.0000,1317.0000,79223123,1053668,626348,46885,126,,,77325406.00,
24/01/2017,1252.5626,1313.0000,-1.13,1328.0000,1328.0000,1336.0000,1310.0000,79223123,1040200,1706123,128950,139,,,77325406.00,
23/01/2017,1266.8722,1328.0000,-0.08,1325.0000,1329.0000,1355.0000,1319.0000,79223123,1052083,786523,59042,138,,,77325406.00,
22/01/2017,1267.8261,1329.0000,-0.60,1337.0000,1337.0000,1338.0000,1320.0000,79223123,1052875,468377,35360,96,,,77325406.00,
19/01/2017,1275.4579,1337.0000,-1.04,1365.0000,1351.0000,1365.0000,1329.0000,79223123,1059213,732708,54346,119,,,77325406.00,
18/01/2017,1288.8135,1351.0000,-0.88,1363.0000,1363.0000,1367.0000,1345.0000,79223123,1070304,392602,29007,99,,,77325406.00,
17/01/2017,1300.2611,1363.0000,0.37,1340.0000,1358.0000,1364.0000,1340.0000,79223123,1079811,515111,38048,123,,,77325406.00,
16/01/2017,1295.4913,1358.0000,0.67,1353.0000,1349.0000,1362.0000,1346.0000,79223123,1075850,565963,41809,130,,,77325406.00,
15/01/2017,1286.9055,1349.0000,-0.52,1356.0000,1356.0000,1356.0000,1341.0000,79223123,1068720,472167,35037,119,,,77325406.00,
12/01/2017,1293.5833,1356.0000,2.19,1322.0000,1327.0000,1360.0000,1310.0000,79223123,1074266,4087421,310813,197,,,77325406.00,
11/01/2017,1265.9182,1327.0000,-1.56,1359.0000,1348.0000,1359.0000,1322.0000,79223123,1051291,1338471,100404,209,,,77325406.00,
10/01/2017,1285.9516,1348.0000,-0.30,1357.0000,1352.0000,1366.0000,1342.0000,79223123,1067928,828616,61265,150,,,77325406.00,
09/01/2017,1289.7674,1352.0000,-0.52,1359.0000,1359.0000,1360.0000,1346.0000,79223123,1071097,519032,38377,103,,,77325406.00,
08/01/2017,1296.4452,1359.0000,-0.59,1371.0000,1367.0000,1381.0000,1342.0000,79223123,1076642,599702,44034,95,,,77325406.00,
05/01/2017,1304.0770,1367.0000,-1.23,1384.0000,1384.0000,1385.0000,1362.0000,79223123,1082980,1807084,131997,211,,,77325406.00,
04/01/2017,1320.2945,1384.0000,-0.86,1396.0000,1396.0000,1397.0000,1370.0000,79223123,1096448,2241878,162745,126,,,77325406.00,
03/01/2017,1331.7421,1396.0000,0.00,1385.0000,1396.0000,1408.0000,1385.0000,79034633,1103323,556035,39773,116,,,77325406.00,
02/01/2017,1331.7421,1396.0000,-0.29,1400.0000,1400.0000,1417.0000,1387.0000,79034633,1103323,551014,39294,107,,,77325406.00,
01/01/2017,1335.5580,1400.0000,1.52,1379.0000,1379.0000,1406.0000,1379.0000,79034633,1106485,203119,14526,68,,,77325406.00,
29/12/2016,1315.5246,1379.0000,-1.36,1440.0000,1398.0000,1440.0000,1375.0000,79034633,1089888,514432,36951,100,,,77325406.00,
28/12/2016,1333.6501,1398.0000,0.79,1365.0000,1387.0000,1400.0000,1361.0000,79034633,1104904,564556,40946,123,,,77325406.00,
27/12/2016,1323.1564,1387.0000,-0.29,1387.0000,1391.0000,1389.0000,1365.0000,79034633,1096210,331918,23980,92,,,77325406.00,
26/12/2016,1326.9723,1391.0000,1.02,1385.0000,1377.0000,1398.0000,1375.0000,79034633,1099372,196772,14210,59,,,77325406.00,
25/12/2016,1313.6167,1377.0000,-0.51,1384.0000,1384.0000,1388.0000,1375.0000,79034633,1088307,377330,27336,97,,,77325406.00,
22/12/2016,1320.2945,1384.0000,2.37,1356.0000,1352.0000,1405.0000,1356.0000,79034633,1093839,602142,43741,130,,,77325406.00,
21/12/2016,1289.7674,1352.0000,-1.60,1374.0000,1374.0000,1375.0000,1341.0000,79034633,1068548,668412,49316,138,,,77325406.00,
20/12/2016,1310.7548,1374.0000,-0.07,1390.0000,1375.0000,1395.0000,1369.0000,79034633,1085936,805493,58304,144,,,77325406.00,
19/12/2016,1311.7088,1375.0000,-0.65,1380.0000,1384.0000,1388.0000,1362.0000,79034633,1086726,443363,32319,117,,,77325406.00,
18/12/2016,1320.2945,1384.0000,0.14,1382.0000,1382.0000,1402.0000,1355.0000,79034633,1093839,654656,47483,97,,,77325406.00,
15/12/2016,1318.3865,1382.0000,-1.50,1429.0000,1403.0000,1429.0000,1338.0000,79034633,1092259,1074640,78308,182,,,77325406.00,
14/12/2016,1338.4199,1403.0000,-0.43,1428.0000,1409.0000,1428.0000,1378.0000,79034633,1108856,961020,68792,159,,,77325406.00,
13/12/2016,1344.1437,1409.0000,-2.56,1450.0000,1446.0000,1450.0000,1371.0000,79034633,1113598,1679068,119234,204,,,77325406.00,
12/12/2016,1379.4406,1446.0000,-0.48,1454.0000,1453.0000,1460.0000,1439.0000,79034633,1142841,1237751,85433,155,,,77325406.00,
11/12/2016,1386.1184,1453.0000,0.28,1449.0000,1449.0000,1460.0000,1440.0000,79034633,1148373,355681,24504,80,,,77325406.00,
08/12/2016,1382.3025,1449.0000,-0.14,1451.0000,1451.0000,1453.0000,1437.0000,79034633,1145212,421890,29143,82,,,77325406.00,
07/12/2016,1384.2105,1451.0000,-0.34,1461.0000,1456.0000,1461.0000,1431.0000,79034633,1146793,465132,32124,137,,,77325406.00,
06/12/2016,1388.9803,1456.0000,0.00,1473.0000,1456.0000,1473.0000,1452.0000,79034633,1150744,672241,46099,150,,,77325406.00,
05/12/2016,1388.9803,1456.0000,0.69,1450.0000,1446.0000,1461.0000,1422.0000,79034633,1150744,545100,37544,127,,,77325406.00,
04/12/2016,1379.4406,1446.0000,-0.14,1449.0000,1448.0000,1464.0000,1436.0000,79034633,1142841,155427,10749,50,,,77325406.00,
01/12/2016,1381.3486,1448.0000,-0.34,1453.0000,1453.0000,1470.0000,1441.0000,79034633,1144421,392808,26992,89,,,77325406.00,
30/11/2016,1386.1184,1453.0000,0.07,1452.0000,1452.0000,1463.0000,1445.0000,79034633,1148373,181406,12490,50,,,77325406.00,
29/11/2016,1385.1644,1452.0000,0.00,1445.0000,1452.0000,1457.0000,1445.0000,79034633,1147583,1537305,105808,90,,,77325406.00,
28/11/2016,1385.1644,1452.0000,1.75,1427.0000,1427.0000,1460.0000,1426.0000,79034633,1147583,801559,55336,129,,,77325406.00,
27/11/2016,1361.3152,1427.0000,2.37,1394.0000,1394.0000,1433.0000,1390.0000,79034633,1127824,381559,26935,74,,,77325406.00,
