Historical Prices - ASPEN GROUP - 00313015
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,663.7000,663.7000,-1.51,673.9000,673.9000,673.9000,649.3000,58472584,388083,236372,35581,30,EX D,0.99220,58327987.00,
28/05/2017,673.9022,679.2000,0.61,675.1000,675.1000,680.1000,670.0000,58472584,397146,181198,26733,25,,,58327987.00,
25/05/2017,669.8342,675.1000,1.90,669.6000,662.5000,680.0000,660.0000,58472584,394748,686469,102191,53,,,58327987.00,
24/05/2017,657.3325,662.5000,2.32,647.5000,647.5000,668.0000,647.5000,58472584,387381,113862,17234,23,,,58327987.00,
23/05/2017,642.4495,647.5000,0.53,644.1000,644.1000,652.8000,642.0000,58472584,378610,888351,138174,26,,,58327987.00,
22/05/2017,639.0760,644.1000,-1.77,654.8000,655.7000,654.8000,626.6000,58472584,376622,562002,86985,55,,,58327987.00,
21/05/2017,650.5855,655.7000,1.31,647.2000,647.2000,659.7000,646.8000,58472584,383405,90103,13747,21,,,58327987.00,
18/05/2017,642.1518,647.2000,-1.28,655.6000,655.6000,657.1000,631.4000,58472584,378435,307651,47906,59,,,58327987.00,
17/05/2017,650.4863,655.6000,-1.72,667.1000,667.1000,661.5000,639.1000,58472584,383346,612262,94275,61,,,58327987.00,
16/05/2017,661.8966,667.1000,0.01,667.0000,667.0000,669.8000,659.4000,58472584,390071,64999,9750,20,,,58327987.00,
15/05/2017,661.7974,667.0000,0.03,666.8000,666.8000,667.5000,666.8000,58472584,390012,14587,2187,10,,,58327987.00,
14/05/2017,661.5990,666.8000,-1.90,679.7000,679.7000,679.9000,661.9000,58472584,389895,299961,44977,39,,,58327987.00,
11/05/2017,674.3983,679.7000,0.71,674.9000,674.9000,680.0000,674.2000,58472584,397438,221017,32669,36,,,58327987.00,
10/05/2017,669.6358,674.9000,0.73,670.5000,670.0000,675.0000,669.6000,58472584,394631,216915,32215,37,,,58327987.00,
09/05/2017,664.7740,670.0000,2.97,650.7000,650.7000,678.0000,650.7000,58472584,391766,889142,133466,65,,,58327987.00,
08/05/2017,645.6245,650.7000,1.07,643.8000,643.8000,653.4000,641.2000,58472584,380481,1591144,246046,73,,,58327987.00,
07/05/2017,638.7784,643.8000,3.17,624.0000,624.0000,644.8000,623.9000,58472584,376447,1586601,250075,92,,,58327987.00,
04/05/2017,619.1328,624.0000,1.30,616.0000,616.0000,627.0000,609.3000,58472584,364869,1276508,204813,82,,,58282957.00,
03/05/2017,611.1952,616.0000,0.26,614.4000,614.4000,620.0000,608.3000,58472584,360191,203642,33169,31,,,58282957.00,
30/04/2017,609.6077,614.4000,-0.26,616.0000,616.0000,621.5000,611.2000,58472584,359256,25766,4194,7,,,58282957.00,
27/04/2017,611.1952,616.0000,0.16,603.0000,615.0000,618.0000,600.4000,58472584,360191,514039,84425,45,,,58282957.00,
26/04/2017,610.2030,615.0000,0.85,609.8000,609.8000,615.0000,600.9000,58362923,358932,1312391,215598,106,,,58282957.00,
25/04/2017,605.0436,609.8000,2.18,596.8000,596.8000,609.8000,595.9000,58354859,355848,173041,28519,16,,,58282957.00,
24/04/2017,592.1450,596.8000,0.98,602.6000,591.0000,607.9000,595.0000,58354859,348262,176901,29540,39,,,58282957.00,
23/04/2017,586.3902,591.0000,-0.05,591.3000,591.3000,596.8000,585.9000,58354859,344877,33059,5594,13,,,58282957.00,
20/04/2017,586.6879,591.3000,-0.92,596.8000,596.8000,599.0000,581.4000,58354859,345052,233616,39590,46,,,58282957.00,
19/04/2017,592.1450,596.8000,0.62,593.1000,593.1000,599.0000,586.5000,58354859,348262,201543,34014,33,,,58282957.00,
18/04/2017,588.4738,593.1000,-0.19,594.2000,594.2000,598.0000,593.1000,58354859,346103,95921,16147,23,,,58282957.00,
13/04/2017,589.5652,594.2000,-1.02,600.3000,600.3000,598.1000,591.2000,58327987,346585,198161,33261,29,,,58282957.00,
12/04/2017,595.6177,600.3000,0.03,600.1000,600.1000,610.0000,598.3000,58327987,350143,260626,43384,38,,,58282957.00,
09/04/2017,595.4192,600.1000,-0.61,603.8000,603.8000,604.2000,600.0000,58319834,349977,68912,11483,13,,,58282957.00,
06/04/2017,599.0904,603.8000,-0.26,605.4000,605.4000,604.8000,598.4000,58282957,351912,388880,64516,31,,,58262584.00,
05/04/2017,600.6779,605.4000,-0.74,609.9000,609.9000,610.0000,597.8000,58282957,352845,497989,82437,51,,,58262584.00,
04/04/2017,605.1428,609.9000,-0.52,612.7000,613.1000,612.7000,608.0000,58282957,355468,11192,1835,10,EX D,0.99143,58262584.00,
