Historical Prices - AUDIOCODES - 01082965
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2457.0000,2457.0000,0.53,2444.0000,2444.0000,2470.0000,2433.0000,31305688,769181,248827,10152,98,,,31439671.00,
28/05/2017,2444.0000,2444.0000,3.25,2419.0000,2367.0000,2459.0000,2382.0000,31305688,765111,468885,19345,119,,,31439671.00,
25/05/2017,2367.0000,2367.0000,-1.50,2367.0000,2403.0000,2388.0000,2355.0000,31439671,744177,500794,21106,149,,,31439671.00,
24/05/2017,2403.0000,2403.0000,-1.27,2436.0000,2434.0000,2441.0000,2394.0000,31439671,755495,486950,20178,116,,,31439671.00,
23/05/2017,2434.0000,2434.0000,4.15,2420.0000,2337.0000,2469.0000,2420.0000,31439671,765242,679658,27862,173,,,31439671.00,
22/05/2017,2337.0000,2337.0000,2.64,2277.0000,2277.0000,2350.0000,2261.0000,31439671,734745,414535,17959,143,,,31439671.00,
21/05/2017,2277.0000,2277.0000,0.26,2270.0000,2271.0000,2300.0000,2270.0000,31439671,715881,324523,14245,103,,,31439671.00,
18/05/2017,2271.0000,2271.0000,-2.78,2300.0000,2336.0000,2300.0000,2260.0000,31439671,713995,924297,40560,289,,,31439671.00,
17/05/2017,2336.0000,2336.0000,-2.34,2399.0000,2392.0000,2407.0000,2304.0000,31439671,734431,672634,28553,191,,,31439671.00,
16/05/2017,2392.0000,2392.0000,0.97,2369.0000,2369.0000,2399.0000,2367.0000,31439671,752037,537044,22506,190,,,31439671.00,
15/05/2017,2369.0000,2369.0000,-0.42,2377.0000,2379.0000,2396.0000,2360.0000,31439671,744806,811347,34185,180,,,31439671.00,
