Historical Prices - AZORIM - 00715011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,394.9000,394.9000,-1.52,397.0000,401.0000,397.5000,391.9000,210740327,832214,404704,102447,147,,,210540327.00,
28/05/2017,401.0000,401.0000,-2.58,411.6000,411.6000,416.1000,397.0000,210740327,845069,761109,188071,179,,,210540327.00,
25/05/2017,411.6000,411.6000,-1.48,414.0000,417.8000,414.0000,408.0000,210740327,867407,687134,167027,154,,,210540327.00,
24/05/2017,417.8000,417.8000,-0.29,419.0000,419.0000,426.9000,408.8000,210740327,880473,1088710,259695,272,,,210540327.00,
23/05/2017,419.0000,419.0000,3.35,407.7000,405.4000,419.0000,406.1000,210740327,883002,1031216,248804,206,,,210540327.00,
22/05/2017,405.4000,405.4000,3.66,391.4000,391.1000,410.0000,391.4000,210740327,854341,1698103,424270,371,,,210540327.00,
21/05/2017,391.1000,391.1000,-0.13,391.9000,391.6000,402.0000,387.0000,210740327,824205,759837,192303,205,,,210540327.00,
18/05/2017,391.6000,391.6000,-1.51,395.0000,397.6000,396.4000,388.2000,210740327,825259,991295,252782,207,,,210540327.00,
17/05/2017,397.6000,397.6000,-3.40,413.7000,411.6000,415.4000,392.6000,210740327,837904,1241525,308499,292,,,210540327.00,
16/05/2017,411.6000,411.6000,-3.99,432.0000,428.7000,432.0000,406.0000,210740327,867407,3212327,768032,524,,,210540327.00,
15/05/2017,428.7000,428.7000,-2.52,445.0000,439.8000,447.5000,424.7000,210740327,903444,2753221,632470,408,,,210540327.00,
14/05/2017,439.8000,439.8000,3.75,428.7000,423.9000,445.0000,418.5000,210740327,926836,1326358,310534,286,,,210540327.00,
11/05/2017,423.9000,423.9000,-0.42,425.7000,425.7000,430.0000,421.8000,210740327,893328,1012390,238685,217,,,210540327.00,
10/05/2017,425.7000,425.7000,-0.58,428.2000,428.2000,428.5000,421.0000,210740327,897122,1816012,426020,394,,,210540327.00,
09/05/2017,428.2000,428.2000,0.68,425.3000,425.3000,429.5000,420.4000,210540327,901534,1424661,334404,307,,,210540327.00,
08/05/2017,425.3000,425.3000,-2.79,436.0000,437.5000,436.0000,418.8000,210540327,895428,2521063,588908,357,,,210540327.00,
07/05/2017,437.5000,437.5000,-1.24,440.0000,443.0000,440.0000,433.0000,210540327,921114,1069689,245527,214,,,210540327.00,
04/05/2017,443.0000,443.0000,-1.73,450.8000,450.8000,453.0000,441.0000,210540327,932694,1783340,398534,293,,,210540327.00,
03/05/2017,450.8000,450.8000,3.18,437.2000,436.9000,452.0000,437.2000,210540327,949116,2526763,568280,547,,,210540327.00,
30/04/2017,436.9000,436.9000,0.78,433.5000,433.5000,444.0000,428.1000,210540327,919851,1061933,244659,235,,,210540327.00,
27/04/2017,433.5000,433.5000,-0.50,435.7000,435.7000,443.6000,428.9000,210540327,912692,2196255,503848,414,,,210540327.00,
26/04/2017,435.7000,435.7000,-1.02,445.2000,440.2000,446.7000,426.5000,210540327,917324,1731526,400348,477,,,210540327.00,
25/04/2017,440.2000,440.2000,0.39,438.5000,438.5000,445.8000,425.8000,210540327,926799,1326032,303361,345,,,210540327.00,
24/04/2017,438.5000,438.5000,-2.05,449.9000,447.7000,456.2000,436.3000,210540327,923219,2079225,469827,408,,,210540327.00,
23/04/2017,447.7000,447.7000,-2.21,449.0000,457.8000,456.0000,425.0000,210540327,942589,906769,202927,194,,,210540327.00,
20/04/2017,457.8000,457.8000,2.14,449.0000,448.2000,459.0000,445.0000,210540327,963854,2390979,527810,441,,,210540327.00,
19/04/2017,448.2000,448.2000,2.68,438.2000,436.5000,452.5000,430.0000,210540327,943642,2123296,478680,385,,,210540327.00,
18/04/2017,436.5000,436.5000,3.88,422.0000,420.2000,439.6000,422.0000,210540327,919009,1445990,333613,300,,,210540327.00,
13/04/2017,420.2000,420.2000,-4.15,438.4000,438.4000,438.4000,418.0000,210540327,884690,483181,113948,138,,,210540327.00,
12/04/2017,438.4000,438.4000,4.33,422.0000,420.2000,440.0000,422.0000,210540327,923009,1235773,285725,238,,,210540327.00,
09/04/2017,420.2000,420.2000,1.62,415.5000,413.5000,422.0000,410.0000,210540327,884690,568300,136912,140,,,210540327.00,
06/04/2017,413.5000,413.5000,3.32,400.2000,400.2000,414.0000,396.2000,210540327,870584,990674,243943,247,,,210540327.00,
05/04/2017,400.2000,400.2000,3.49,393.0000,386.7000,409.5000,386.6000,210540327,842582,7463830,1904686,427,,,210540327.00,
04/04/2017,386.7000,386.7000,0.44,385.0000,385.0000,389.3000,383.8000,210540327,814159,642498,165768,142,,,210540327.00,
03/04/2017,385.0000,385.0000,0.44,383.3000,383.3000,386.8000,378.6000,210540327,810580,3303196,866360,359,,,210540327.00,
02/04/2017,383.3000,383.3000,-0.75,386.2000,386.2000,386.9000,381.2000,210540327,807001,353906,92182,123,,,210540327.00,
30/03/2017,386.2000,386.2000,-1.93,393.6000,393.8000,400.6000,382.1000,210540327,813107,974330,249855,206,,,210540327.00,
29/03/2017,393.8000,393.8000,-4.86,413.9000,413.9000,422.0000,385.0000,210540327,829108,2090024,523365,353,,,210540327.00,
28/03/2017,413.9000,413.9000,0.29,413.0000,412.7000,424.8000,400.1000,210540327,871426,2765812,672741,611,,,210540327.00,
27/03/2017,412.7000,412.7000,-5.32,433.5000,435.9000,433.5000,411.0000,210540327,868900,3290217,783042,567,,,210540327.00,
26/03/2017,435.9000,435.9000,5.21,419.3000,414.3000,445.0000,417.2000,210540327,917745,2056650,483142,413,,,210540327.00,
23/03/2017,414.3000,414.3000,5.99,391.2000,390.9000,420.1000,387.1000,210540327,872269,1697785,421729,431,,,210540327.00,
22/03/2017,390.9000,390.9000,-2.64,395.7000,401.5000,403.0000,383.3000,210540327,823002,933717,236272,240,,,210540327.00,
21/03/2017,401.5000,401.5000,1.80,396.0000,394.4000,403.0000,395.9000,210540327,845319,710463,177338,168,,,210540327.00,
20/03/2017,394.4000,394.4000,0.61,394.0000,392.0000,395.0000,387.7000,210540327,830371,311884,79445,96,,,210540327.00,
19/03/2017,392.0000,392.0000,2.94,380.8000,380.8000,392.0000,378.0000,210540327,825318,409394,105792,89,,,210540327.00,
16/03/2017,380.8000,380.8000,1.74,374.0000,374.3000,383.1000,370.0000,210540327,801738,464687,122402,105,,,210540327.00,
15/03/2017,374.3000,374.3000,-1.06,378.0000,378.3000,378.0000,365.2000,210540327,788052,210873,56247,77,,,210540327.00,
14/03/2017,378.3000,378.3000,-0.16,378.9000,378.9000,380.4000,377.3000,210540327,796474,204661,54128,72,,,210540327.00,
13/03/2017,378.9000,378.9000,-0.13,379.4000,379.4000,389.0000,375.9000,210540327,797737,514194,134919,113,,,210540327.00,
09/03/2017,379.4000,379.4000,0.50,377.5000,377.5000,383.0000,376.1000,210540327,798790,233774,61642,73,,,210540327.00,
08/03/2017,377.5000,377.5000,1.18,374.6000,373.1000,382.9000,371.8000,210540327,794790,467229,123479,170,,,210540327.00,
07/03/2017,373.1000,373.1000,-0.61,378.5000,375.4000,378.5000,372.8000,210540327,785526,167623,44897,69,,,210540327.00,
06/03/2017,375.4000,375.4000,-0.79,380.3000,378.4000,380.5000,374.0000,210540327,790368,553395,146866,130,,,210540327.00,
05/03/2017,378.4000,378.4000,-0.42,380.0000,380.0000,385.0000,378.0000,210540327,796685,285213,75129,81,,,210540327.00,
02/03/2017,380.0000,380.0000,-0.08,380.3000,380.3000,381.8000,375.2000,210540327,800053,1040760,274027,148,,,210540327.00,
01/03/2017,380.3000,380.3000,0.90,376.9000,376.9000,384.9000,376.9000,210540327,800685,990191,260876,156,,,210540327.00,
28/02/2017,376.9000,376.9000,2.06,369.3000,369.3000,379.5000,365.0000,210540327,793526,407628,109212,119,,,210540327.00,
27/02/2017,369.3000,369.3000,-2.64,377.0000,379.3000,380.0000,367.0000,210540327,777525,480551,128212,127,,,210540327.00,
26/02/2017,379.3000,379.3000,-0.50,381.2000,381.2000,382.2000,378.4000,210540327,798579,359957,94684,70,,,210540327.00,
23/02/2017,381.2000,381.2000,-0.50,381.2000,383.1000,383.4000,378.0000,210540327,802580,510501,134145,88,,,210540327.00,
22/02/2017,383.1000,383.1000,-2.59,393.3000,393.3000,389.5000,379.0000,210540327,806580,794688,206847,161,,,210540327.00,
21/02/2017,393.3000,393.3000,2.58,383.4000,383.4000,395.0000,385.5000,210540327,828055,370482,94745,83,,,210540327.00,
20/02/2017,383.4000,383.4000,0.68,385.8000,380.8000,392.1000,381.7000,210540327,807212,619941,159860,125,,,210540327.00,
19/02/2017,380.8000,380.8000,0.77,377.9000,377.9000,383.2000,375.1000,210540327,801738,135334,35554,47,,,210540327.00,
16/02/2017,377.9000,377.9000,-0.87,381.2000,381.2000,386.0000,376.1000,210540327,795632,487855,128311,112,,,210540327.00,
