Historical Prices - AZRIELI GROUP - 01119478
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,19030.0000,19030.0000,-1.30,19330.0000,19280.0000,19700.0000,19030.0000,121272760,23078206,63115421,326745,1323,,,121272760.00,
28/05/2017,19280.0000,19280.0000,-3.60,19970.0000,20000.0000,20020.0000,19220.0000,121272760,23381388,66740080,343292,1114,,,121272760.00,
25/05/2017,20000.0000,20000.0000,-3.66,20690.0000,20760.0000,20750.0000,19960.0000,121272760,24254552,40890878,200055,1387,,,121272760.00,
24/05/2017,20760.0000,20760.0000,-0.81,20850.0000,20930.0000,20880.0000,20380.0000,121272760,25176225,29815799,144353,1306,,,121272760.00,
23/05/2017,20930.0000,20930.0000,-1.46,21270.0000,21240.0000,21420.0000,20900.0000,121272760,25382389,18292294,86401,772,,,121272760.00,
22/05/2017,21240.0000,21240.0000,1.43,21000.0000,20940.0000,21300.0000,20910.0000,121272760,25758334,27015837,127610,1071,,,121272760.00,
21/05/2017,20940.0000,20940.0000,0.43,20990.0000,20850.0000,21050.0000,20860.0000,121272760,25394516,10914713,52080,627,,,121272760.00,
18/05/2017,20850.0000,20850.0000,2.71,20390.0000,20300.0000,20850.0000,20250.0000,121272760,25285370,34336060,166972,1571,,,121272760.00,
17/05/2017,20300.0000,20300.0000,-1.07,20540.0000,20520.0000,20670.0000,20160.0000,121272760,24618370,16407221,80473,980,,,121272760.00,
16/05/2017,20520.0000,20520.0000,0.93,20330.0000,20330.0000,20730.0000,20310.0000,121272760,24885170,13597023,66173,881,,,121272760.00,
15/05/2017,20330.0000,20330.0000,-0.73,20650.0000,20480.0000,20650.0000,20330.0000,121272760,24654752,7366772,35978,642,,,121272760.00,
14/05/2017,20480.0000,20480.0000,-0.82,20650.0000,20650.0000,20830.0000,20480.0000,121272760,24836661,4753342,22984,399,,,121272760.00,
11/05/2017,20650.0000,20650.0000,-1.38,20850.0000,20940.0000,20880.0000,20560.0000,121272760,25042825,18800057,90737,1011,,,121272760.00,
10/05/2017,20940.0000,20940.0000,0.00,20840.0000,20940.0000,20950.0000,20660.0000,121272760,25394516,18189671,87362,874,,,121272760.00,
09/05/2017,20940.0000,20940.0000,0.53,20850.0000,20830.0000,21070.0000,20600.0000,121272760,25394516,21156010,101365,1256,,,121272760.00,
08/05/2017,20830.0000,20830.0000,1.36,20550.0000,20550.0000,20870.0000,20290.0000,121272760,25261116,20043355,97289,915,,,121272760.00,
07/05/2017,20550.0000,20550.0000,2.90,19970.0000,19970.0000,20570.0000,19930.0000,121272760,24921552,9227933,45468,505,,,121272760.00,
04/05/2017,19970.0000,19970.0000,-0.50,20120.0000,20070.0000,20290.0000,19970.0000,121272760,24218170,25664381,127891,896,,,121272760.00,
03/05/2017,20070.0000,20070.0000,4.26,19350.0000,19250.0000,20070.0000,19300.0000,121272760,24339443,18729886,94623,1272,,,121272760.00,
30/04/2017,19250.0000,19250.0000,-0.21,19330.0000,19290.0000,19340.0000,19140.0000,121272760,23345006,6146308,31953,322,,,121272760.00,
27/04/2017,19290.0000,19290.0000,-1.88,19560.0000,19660.0000,19740.0000,19260.0000,121272760,23393515,20145966,103366,888,,,121272760.00,
26/04/2017,19660.0000,19660.0000,0.82,19510.0000,19500.0000,19730.0000,19410.0000,121272760,23842225,15447503,78800,923,EX D,0.97990,121272760.00,
25/04/2017,19500.0100,19900.0000,-0.15,19930.0000,19930.0000,20170.0000,19800.0000,121272760,24133279,8606502,43141,600,,,121272760.00,
