Historical Prices - B COMMUNICATION - 01107663
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7190.0000,7190.0000,-0.39,7218.0000,7218.0000,7326.0000,7185.0000,29889045,2149022,8795731,121600,294,,,29889045.00,
28/05/2017,7218.0000,7218.0000,-0.51,7289.0000,7255.0000,7325.0000,7143.0000,29889045,2157391,3672857,50625,202,,,29889045.00,
25/05/2017,7255.0000,7255.0000,2.40,7090.0000,7085.0000,7281.0000,7090.0000,29889045,2168450,1564796,21803,247,,,29889045.00,
24/05/2017,7085.0000,7085.0000,0.21,7031.0000,7070.0000,7117.0000,7030.0000,29889045,2117639,11363286,160521,202,,,29889045.00,
23/05/2017,7070.0000,7070.0000,-0.18,7083.0000,7083.0000,7144.0000,6923.0000,29889045,2113155,1308575,18581,264,,,29889045.00,
22/05/2017,7083.0000,7083.0000,-0.10,7090.0000,7090.0000,7128.0000,7026.0000,29889045,2117041,818944,11585,198,,,29889045.00,
21/05/2017,7090.0000,7090.0000,1.58,7070.0000,6980.0000,7140.0000,7035.0000,29889045,2119133,1662499,23497,234,,,29889045.00,
18/05/2017,6980.0000,6980.0000,-2.45,7040.0000,7155.0000,7099.0000,6830.0000,29889045,2086255,3497557,50292,449,,,29889045.00,
17/05/2017,7155.0000,7155.0000,0.85,7092.0000,7095.0000,7190.0000,6987.0000,29889045,2138561,2861563,40235,381,,,29889045.00,
16/05/2017,7095.0000,7095.0000,0.72,7063.0000,7044.0000,7122.0000,6978.0000,29889045,2120628,2218152,31392,282,,,29889045.00,
15/05/2017,7044.0000,7044.0000,0.00,7044.0000,7044.0000,7136.0000,6936.0000,29889045,2105384,1813259,25955,273,,,29889045.00,
