Historical Prices - BAYSIDE LAND - 00759019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,159500.0000,159500.0000,-1.18,160600.0000,161400.0000,162000.0000,159500.0000,2006235,3199945,5353703,3328,280,,,2006235.00,
28/05/2017,161400.0000,161400.0000,-1.82,163400.0000,164400.0000,166600.0000,160800.0000,2006235,3238063,1034706,635,231,,,2006235.00,
25/05/2017,164400.0000,164400.0000,-2.55,168700.0000,168700.0000,169100.0000,163700.0000,2006235,3298250,6904890,4109,343,,,2006235.00,
24/05/2017,168700.0000,168700.0000,0.54,167800.0000,167800.0000,169400.0000,166300.0000,2006235,3384518,5842273,3487,338,,,2006235.00,
23/05/2017,167800.0000,167800.0000,3.39,162300.0000,162300.0000,167800.0000,163100.0000,2006235,3366462,3534524,2135,259,,,2006235.00,
22/05/2017,162300.0000,162300.0000,3.31,157100.0000,157100.0000,163400.0000,158500.0000,2006235,3256119,1572327,974,196,,,2006235.00,
21/05/2017,157100.0000,157100.0000,-0.76,158300.0000,158300.0000,163800.0000,156800.0000,2006235,3151795,1050094,658,129,,,2006235.00,
18/05/2017,158300.0000,158300.0000,0.13,158000.0000,158100.0000,160700.0000,155600.0000,2006235,3175870,2378169,1507,209,,,2006235.00,
17/05/2017,158100.0000,158100.0000,-2.65,162900.0000,162400.0000,163600.0000,155500.0000,2006235,3171858,4108160,2571,341,,,2006235.00,
16/05/2017,162400.0000,162400.0000,-1.04,164100.0000,164100.0000,164900.0000,161800.0000,2006235,3258126,3283885,2002,190,,,2006235.00,
15/05/2017,164100.0000,164100.0000,-0.79,166400.0000,165400.0000,166400.0000,162100.0000,2006235,3292232,3898955,2377,304,,,2006235.00,
14/05/2017,165400.0000,165400.0000,0.36,166000.0000,164800.0000,166700.0000,165200.0000,2006235,3318313,931735,562,108,,,2006235.00,
