Historical Prices - BAZAN - 02590248
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,150.5000,150.5000,-0.86,151.8000,151.8000,154.2000,150.0000,3197347363,4812008,6858842,4539051,434,,,3197347363.00,
28/05/2017,151.8000,151.8000,0.07,150.4000,151.7000,154.7000,150.4000,3197347363,4853573,2567898,1678435,346,,,3197347363.00,
25/05/2017,151.7000,151.7000,-0.91,153.5000,153.1000,155.2000,151.0000,3197347363,4850376,11331965,7403979,599,,,3197347363.00,
24/05/2017,153.1000,153.1000,-1.92,154.8000,156.1000,156.9000,151.3000,3197347363,4895139,5672590,3685170,588,,,3197347363.00,
23/05/2017,156.1000,156.1000,0.58,155.5000,155.2000,157.3000,154.8000,3197347363,4991059,14250317,9104758,1009,,,3197347363.00,
22/05/2017,155.2000,155.2000,2.71,151.0000,151.1000,156.3000,149.6000,3197347363,4962283,21479824,13963109,1313,,,3197347363.00,
21/05/2017,151.1000,151.1000,1.14,149.9000,149.4000,152.5000,148.0000,3197347363,4831192,3535045,2335128,328,,,3197347363.00,
18/05/2017,149.4000,149.4000,-0.40,150.0000,150.0000,151.0000,146.2000,3197347363,4776837,8297161,5578617,951,,,3197347363.00,
17/05/2017,150.0000,150.0000,-0.66,148.4000,151.0000,150.9000,148.0000,3197347363,4796021,4952287,3309848,495,,,3197347363.00,
16/05/2017,151.0000,151.0000,1.75,148.6000,148.4000,151.3000,148.6000,3197347363,4827995,12601622,8381707,774,,,3197347363.00,
15/05/2017,148.4000,148.4000,0.75,148.5000,147.3000,148.6000,145.9000,3197347363,4744863,6847378,4631252,547,,,3197347363.00,
14/05/2017,147.3000,147.3000,0.96,145.8000,145.9000,148.2000,144.8000,3197347363,4709693,2066910,1412846,260,,,3197347363.00,
11/05/2017,145.9000,145.9000,-0.68,146.0000,146.9000,148.0000,145.2000,3197347363,4664930,2476978,1696573,400,,,3197347363.00,
10/05/2017,146.9000,146.9000,0.34,145.1000,146.4000,148.8000,145.1000,3197347363,4696903,3197200,2173410,391,,,3197347363.00,
09/05/2017,146.4000,146.4000,1.24,144.6000,144.6000,146.4000,144.6000,3197347363,4680917,1912555,1310828,235,,,3197347363.00,
08/05/2017,144.6000,144.6000,0.70,142.9000,143.6000,146.0000,142.9000,3197347363,4623364,2122269,1465389,317,,,3197347363.00,
07/05/2017,143.6000,143.6000,-0.28,144.7000,144.0000,145.8000,143.3000,3197347363,4591391,2358203,1632188,287,,,3197347363.00,
04/05/2017,144.0000,144.0000,-0.96,146.1000,145.4000,146.1000,144.0000,3197347363,4604180,6534209,4518537,394,,,3197347363.00,
03/05/2017,145.4000,145.4000,2.97,140.1000,141.2000,145.4000,140.1000,3197347363,4648943,5895792,4089893,574,,,3197347363.00,
30/04/2017,141.2000,141.2000,-1.74,143.1000,143.7000,144.9000,140.9000,3197347363,4514654,2895511,2036634,302,,,3197347363.00,
27/04/2017,143.7000,143.7000,-2.18,146.1000,146.9000,146.2000,143.0000,3197347363,4594588,9759141,6738936,746,,,3197347363.00,
26/04/2017,146.9000,146.9000,1.52,143.4000,144.7000,146.9000,143.3000,3197347363,4696903,3547193,2428839,433,,,3197347363.00,
25/04/2017,144.7000,144.7000,-1.16,146.4000,146.4000,146.5000,143.5000,3197347363,4626562,2677864,1851084,323,,,3197347363.00,
24/04/2017,146.4000,146.4000,2.16,145.4000,143.3000,147.0000,143.5000,3197347363,4680917,6476416,4435826,652,,,3197347363.00,
23/04/2017,143.3000,143.3000,-2.32,144.0000,146.7000,145.8000,143.2000,3197347363,4581799,2562660,1779322,276,,,3197347363.00,
20/04/2017,146.7000,146.7000,2.44,142.0000,143.2000,146.9000,141.8000,3197347363,4690509,6315601,4351474,482,,,3197347363.00,
19/04/2017,143.2000,143.2000,2.36,139.9000,139.9000,145.6000,139.9000,3197347363,4578601,7191945,5006696,607,,,3197347363.00,
18/04/2017,139.9000,139.9000,0.94,139.5000,138.6000,140.3000,138.7000,3197347363,4473089,2295297,1645214,360,,,3197347363.00,
13/04/2017,138.6000,138.6000,-1.07,139.0000,140.1000,141.1000,138.3000,3197347363,4431523,3852575,2763064,389,,,3197347363.00,
12/04/2017,140.1000,140.1000,-1.34,143.9000,142.0000,144.2000,138.7000,3197347363,4479484,8243593,5833635,622,,,3197347363.00,
09/04/2017,142.0000,142.0000,-0.70,143.0000,143.0000,143.6000,138.7000,3197347363,4540233,7990728,5663697,517,,,3197347363.00,
06/04/2017,143.0000,143.0000,-1.38,145.0000,145.0000,145.0000,141.0000,3197347363,4572207,13803883,9652950,701,,,3197347363.00,
05/04/2017,145.0000,145.0000,2.47,141.0000,141.5000,145.0000,141.0000,3197347363,4636154,4386699,3063217,505,,,3197347363.00,
04/04/2017,141.5000,141.5000,-1.05,143.1000,143.0000,143.6000,139.1000,3197347363,4524247,5104240,3604058,498,,,3197347363.00,
03/04/2017,143.0000,143.0000,-0.83,145.5000,144.2000,145.5000,142.2000,3197347363,4572207,4438005,3096190,337,,,3197347363.00,
02/04/2017,144.2000,144.2000,0.56,145.9000,143.4000,145.9000,143.8000,3197347363,4610575,2840657,1961880,318,,,3197347363.00,
30/03/2017,143.4000,143.4000,0.07,143.4000,143.3000,144.7000,142.0000,3197347363,4584996,9582300,6686343,393,,,3197347363.00,
29/03/2017,143.3000,143.3000,0.70,144.3000,142.3000,146.2000,142.0000,3197347363,4581799,6336163,4401456,706,,,3197347363.00,
