Historical Prices - BRAINSWAY - 01100718
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1833.0000,1833.0000,1.66,1800.0000,1803.0000,1909.0000,1740.0000,14715784,269740,5170381,281215,560,,,14715784.00,
28/05/2017,1803.0000,1803.0000,1.86,1770.0000,1770.0000,1834.0000,1787.0000,14715784,265326,669267,36955,105,,,14715784.00,
25/05/2017,1770.0000,1770.0000,2.55,1715.0000,1726.0000,1788.0000,1715.0000,14715784,260469,865018,49285,156,,,14715784.00,
24/05/2017,1726.0000,1726.0000,1.47,1684.0000,1701.0000,1737.0000,1684.0000,14715784,253994,213674,12435,57,,,14715784.00,
23/05/2017,1701.0000,1701.0000,-1.85,1733.0000,1733.0000,1738.0000,1683.0000,14715784,250315,377372,22195,74,,,14715784.00,
22/05/2017,1733.0000,1733.0000,-0.52,1742.0000,1742.0000,1768.0000,1715.0000,14715784,255025,478356,27508,92,,,14715784.00,
21/05/2017,1742.0000,1742.0000,-0.80,1711.0000,1756.0000,1762.0000,1711.0000,14715784,256349,311881,17846,53,,,14715784.00,
18/05/2017,1756.0000,1756.0000,-1.62,1785.0000,1785.0000,1788.0000,1735.0000,14715784,258409,233679,13343,52,,,14715784.00,
17/05/2017,1785.0000,1785.0000,0.39,1773.0000,1778.0000,1794.0000,1740.0000,14715784,262677,758860,43065,170,,,14715784.00,
16/05/2017,1778.0000,1778.0000,0.51,1769.0000,1769.0000,1788.0000,1754.0000,14715784,261647,196756,11092,50,,,14715784.00,
15/05/2017,1769.0000,1769.0000,-0.51,1749.0000,1778.0000,1796.0000,1749.0000,14715784,260322,213034,11996,51,,,14715784.00,
14/05/2017,1778.0000,1778.0000,2.24,1739.0000,1739.0000,1783.0000,1738.0000,14715784,261647,247126,14009,54,,,14715784.00,
11/05/2017,1739.0000,1739.0000,0.64,1728.0000,1728.0000,1768.0000,1713.0000,14715784,255907,675837,38945,148,,,14715784.00,
10/05/2017,1728.0000,1728.0000,-5.78,1834.0000,1834.0000,1835.0000,1721.0000,14715784,254289,1666452,94528,295,,,14715784.00,
09/05/2017,1834.0000,1834.0000,1.10,1814.0000,1814.0000,1834.0000,1785.0000,14715784,269887,2578738,141972,435,,,14715784.00,
08/05/2017,1814.0000,1814.0000,3.01,1763.0000,1761.0000,1817.0000,1760.0000,14715784,266944,2509806,140021,500,,,14715784.00,
07/05/2017,1761.0000,1761.0000,6.92,1640.0000,1647.0000,1763.0000,1640.0000,14715784,259145,1735979,100501,375,,,14715784.00,
04/05/2017,1647.0000,1647.0000,-2.26,1685.0000,1685.0000,1680.0000,1647.0000,14715784,242369,561348,33882,99,,,14715784.00,
03/05/2017,1685.0000,1685.0000,2.56,1628.0000,1643.0000,1717.0000,1628.0000,14715784,247961,1216421,72154,204,,,14715784.00,
30/04/2017,1643.0000,1643.0000,0.49,1635.0000,1635.0000,1650.0000,1616.0000,14715784,241780,259252,15818,66,,,14715784.00,
27/04/2017,1635.0000,1635.0000,2.44,1596.0000,1596.0000,1642.0000,1576.0000,14715784,240603,370212,22952,80,,,14715784.00,
26/04/2017,1596.0000,1596.0000,-1.18,1601.0000,1615.0000,1614.0000,1574.0000,14715784,234864,317482,19952,80,,,14715784.00,
25/04/2017,1615.0000,1615.0000,0.87,1601.0000,1601.0000,1620.0000,1590.0000,14715784,237660,427118,26653,75,,,14715784.00,
24/04/2017,1601.0000,1601.0000,-0.37,1607.0000,1607.0000,1629.0000,1597.0000,14715784,235600,276987,17211,63,,,14715784.00,
23/04/2017,1607.0000,1607.0000,-0.86,1621.0000,1621.0000,1631.0000,1601.0000,14715784,236483,170626,10539,55,,,14715784.00,
20/04/2017,1621.0000,1621.0000,0.62,1620.0000,1611.0000,1647.0000,1605.0000,14715784,238543,351071,21735,67,,,14715784.00,
19/04/2017,1611.0000,1611.0000,-1.23,1631.0000,1631.0000,1658.0000,1600.0000,14715784,237071,474887,29311,124,,,14715784.00,
18/04/2017,1631.0000,1631.0000,-1.63,1650.0000,1658.0000,1667.0000,1628.0000,14715784,240014,359699,21896,88,,,14715784.00,
13/04/2017,1658.0000,1658.0000,-4.16,1747.0000,1730.0000,1747.0000,1650.0000,14715784,243988,466440,27772,79,,,14715784.00,
12/04/2017,1730.0000,1730.0000,0.00,1730.0000,1730.0000,1749.0000,1700.0000,14715784,254583,275663,16038,75,,,14715784.00,
09/04/2017,1730.0000,1730.0000,-1.48,1756.0000,1756.0000,1755.0000,1725.0000,14715784,254583,163406,9395,38,,,14715784.00,
06/04/2017,1756.0000,1756.0000,-1.79,1788.0000,1788.0000,1788.0000,1730.0000,14715784,258409,635478,36052,99,,,14715784.00,
05/04/2017,1788.0000,1788.0000,3.23,1732.0000,1732.0000,1798.0000,1730.0000,14715784,263118,380618,21573,79,,,14715784.00,
04/04/2017,1732.0000,1732.0000,1.17,1742.0000,1712.0000,1743.0000,1703.0000,14715784,254877,240176,13896,57,,,14715784.00,
03/04/2017,1712.0000,1712.0000,1.84,1664.0000,1681.0000,1730.0000,1664.0000,14715784,251934,265171,15559,75,,,14715784.00,
02/04/2017,1681.0000,1681.0000,2.69,1637.0000,1637.0000,1689.0000,1637.0000,14715784,247372,442819,26409,84,,,14715784.00,
30/03/2017,1637.0000,1637.0000,-3.82,1702.0000,1702.0000,1704.0000,1630.0000,14715784,240897,1433819,86106,225,,,14715784.00,
29/03/2017,1702.0000,1702.0000,-0.35,1735.0000,1708.0000,1735.0000,1683.0000,14715784,250463,319930,18690,83,,,14715784.00,
28/03/2017,1708.0000,1708.0000,-2.34,1790.0000,1749.0000,1790.0000,1702.0000,14715784,251346,739734,42854,155,,,14715784.00,
27/03/2017,1749.0000,1749.0000,-4.27,1826.0000,1827.0000,1826.0000,1715.0000,14715784,257379,3088850,174023,565,,,14715784.00,
26/03/2017,1827.0000,1827.0000,8.23,1670.0000,1688.0000,1827.0000,1635.0000,14715784,268857,4428454,256499,800,,,14715784.00,
23/03/2017,1688.0000,1688.0000,-3.10,1741.0000,1742.0000,1744.0000,1681.0000,14715784,248402,999136,58460,180,,,14715784.00,
22/03/2017,1742.0000,1742.0000,-2.68,1751.0000,1790.0000,1766.0000,1735.0000,14715784,256349,1546604,88471,265,,,14715784.00,
21/03/2017,1790.0000,1790.0000,-2.19,1845.0000,1830.0000,1845.0000,1786.0000,14715784,263413,1292824,71407,181,,,14715784.00,
20/03/2017,1830.0000,1830.0000,-5.08,1935.0000,1928.0000,1942.0000,1720.0000,14715784,269299,7613996,422657,964,,,14715784.00,
19/03/2017,1928.0000,1928.0000,-3.12,1990.0000,1990.0000,2000.0000,1918.0000,14715784,283720,549951,28135,125,,,14715784.00,
16/03/2017,1990.0000,1990.0000,0.45,1990.0000,1981.0000,2009.0000,1970.0000,14715784,292844,306981,15450,78,,,14715784.00,
15/03/2017,1981.0000,1981.0000,-0.80,1997.0000,1997.0000,2005.0000,1965.0000,14715784,291520,230864,11646,57,,,14715784.00,
14/03/2017,1997.0000,1997.0000,1.73,1963.0000,1963.0000,2027.0000,1963.0000,14715784,293874,654779,32561,144,,,14715784.00,
13/03/2017,1963.0000,1963.0000,3.81,1891.0000,1891.0000,1977.0000,1895.0000,14715784,288871,887289,45596,181,,,14715784.00,
09/03/2017,1891.0000,1891.0000,-0.16,1894.0000,1894.0000,1904.0000,1851.0000,14715784,278275,465935,24818,127,,,14715784.00,
08/03/2017,1894.0000,1894.0000,-0.21,1888.0000,1898.0000,1913.0000,1884.0000,14715784,278717,193054,10190,46,,,14715784.00,
07/03/2017,1898.0000,1898.0000,0.48,1889.0000,1889.0000,1919.0000,1870.0000,14715784,279306,380434,20115,92,,,14715784.00,
06/03/2017,1889.0000,1889.0000,-1.56,1919.0000,1919.0000,1945.0000,1880.0000,14715784,277981,436161,22842,102,,,14715784.00,
05/03/2017,1919.0000,1919.0000,2.35,1875.0000,1875.0000,1939.0000,1862.0000,14715784,282396,482535,25276,116,,,14715784.00,
02/03/2017,1875.0000,1875.0000,-2.09,1915.0000,1915.0000,1915.0000,1855.0000,14715784,275921,1505290,80202,181,,,14715784.00,
01/03/2017,1915.0000,1915.0000,-0.31,1921.0000,1921.0000,1996.0000,1908.0000,14715784,281807,768868,39865,133,,,14715784.00,
28/02/2017,1921.0000,1921.0000,-0.52,1908.0000,1931.0000,1940.0000,1908.0000,14715784,282690,600612,31219,98,,,14715784.00,
27/02/2017,1931.0000,1931.0000,-3.98,2011.0000,2011.0000,2040.0000,1921.0000,14715784,284162,1399205,71264,173,,,14715784.00,
26/02/2017,2011.0000,2011.0000,0.15,1993.0000,2008.0000,2024.0000,1993.0000,14715784,295934,202620,10108,44,,,14715784.00,
23/02/2017,2008.0000,2008.0000,-0.05,2009.0000,2009.0000,2029.0000,2000.0000,14715784,295493,442278,22027,96,,,14715784.00,
22/02/2017,2009.0000,2009.0000,-0.69,2023.0000,2023.0000,2050.0000,2002.0000,14715784,295640,511581,25375,93,,,14715784.00,
21/02/2017,2023.0000,2023.0000,-1.17,2068.0000,2047.0000,2068.0000,2016.0000,14715784,297700,232443,11425,63,,,14715784.00,
20/02/2017,2047.0000,2047.0000,-0.34,2054.0000,2054.0000,2094.0000,2043.0000,14715784,301232,443236,21449,74,,,14715784.00,
19/02/2017,2054.0000,2054.0000,1.68,2001.0000,2020.0000,2065.0000,2001.0000,14715784,302262,499091,24450,122,,,14715784.00,
16/02/2017,2020.0000,2020.0000,-3.16,2086.0000,2086.0000,2099.0000,2010.0000,14715784,297259,1009016,49139,203,,,14715784.00,
15/02/2017,2086.0000,2086.0000,-2.11,2131.0000,2131.0000,2155.0000,2067.0000,14715784,306971,703109,33573,146,,,14715784.00,
14/02/2017,2131.0000,2131.0000,0.95,2140.0000,2111.0000,2177.0000,2125.0000,14715784,313593,1387164,64782,237,,,14715784.00,
13/02/2017,2111.0000,2111.0000,5.18,1990.0000,2007.0000,2121.0000,1990.0000,14715784,310650,3111445,149829,474,,,14715784.00,
12/02/2017,2007.0000,2007.0000,-0.45,1991.0000,2016.0000,2030.0000,1946.0000,14715784,295346,2100863,106339,296,,,14715784.00,
09/02/2017,2016.0000,2016.0000,4.67,1920.0000,1926.0000,2016.0000,1836.0000,14715784,296670,16683116,833422,472,,,14239592.00,
08/02/2017,1926.0000,1926.0000,-0.67,1939.0000,1939.0000,1970.0000,1915.0000,14715784,283426,610482,31465,143,,,14239592.00,
07/02/2017,1939.0000,1939.0000,3.03,1882.0000,1882.0000,1944.0000,1880.0000,14715784,285339,1061522,55303,196,,,14239592.00,
06/02/2017,1882.0000,1882.0000,2.34,1818.0000,1839.0000,1900.0000,1818.0000,14715784,276951,1153851,61791,166,,,14239592.00,
05/02/2017,1839.0000,1839.0000,2.17,1800.0000,1800.0000,1846.0000,1780.0000,14715784,270623,494262,26999,85,,,14239592.00,
02/02/2017,1800.0000,1800.0000,-0.61,1811.0000,1811.0000,1827.0000,1791.0000,14715784,264884,144143,7970,50,,,14239592.00,
01/02/2017,1811.0000,1811.0000,0.95,1794.0000,1794.0000,1824.0000,1794.0000,14715784,266503,354565,19628,78,,,14239592.00,
31/01/2017,1794.0000,1794.0000,-0.66,1806.0000,1806.0000,1825.0000,1784.0000,14715784,264001,297234,16493,74,,,14239592.00,
30/01/2017,1806.0000,1806.0000,3.79,1730.0000,1740.0000,1869.0000,1700.0000,14715784,265767,3656448,211422,216,,,14239592.00,
29/01/2017,1740.0000,1740.0000,0.93,1724.0000,1724.0000,1757.0000,1729.0000,14715784,256055,123267,7099,32,,,14239592.00,
26/01/2017,1724.0000,1724.0000,-1.03,1742.0000,1742.0000,1759.0000,1716.0000,14715784,253700,226891,13063,70,,,14239592.00,
25/01/2017,1742.0000,1742.0000,-1.08,1751.0000,1761.0000,1786.0000,1737.0000,14715784,256349,549718,31360,138,,,14239592.00,
24/01/2017,1761.0000,1761.0000,0.63,1750.0000,1750.0000,1776.0000,1750.0000,14715784,259145,348837,19788,40,,,14239592.00,
23/01/2017,1750.0000,1750.0000,-2.07,1787.0000,1787.0000,1787.0000,1739.0000,14715784,257526,117290,6670,44,,,14239592.00,
22/01/2017,1787.0000,1787.0000,-0.17,1790.0000,1790.0000,1829.0000,1774.0000,14715784,262971,164110,9173,47,,,14239592.00,
19/01/2017,1790.0000,1790.0000,-1.05,1809.0000,1809.0000,1810.0000,1770.0000,14715784,263413,609599,33940,96,,,14239592.00,
18/01/2017,1809.0000,1809.0000,-1.15,1830.0000,1830.0000,1864.0000,1800.0000,14715784,266209,391450,21325,111,,,14239592.00,
17/01/2017,1830.0000,1830.0000,2.58,1784.0000,1784.0000,1834.0000,1784.0000,14715784,269299,860215,47380,181,,,14239592.00,
16/01/2017,1784.0000,1784.0000,3.66,1701.0000,1721.0000,1790.0000,1701.0000,14715784,262530,1151439,65938,192,,,14239592.00,
15/01/2017,1721.0000,1721.0000,2.14,1685.0000,1685.0000,1729.0000,1673.0000,14715784,253259,219923,12911,57,,,14239592.00,
12/01/2017,1685.0000,1685.0000,-1.75,1727.0000,1715.0000,1727.0000,1680.0000,14715784,247961,458174,27013,87,,,14239592.00,
11/01/2017,1715.0000,1715.0000,-0.69,1723.0000,1727.0000,1730.0000,1705.0000,14715784,252376,142003,8268,41,,,14239592.00,
10/01/2017,1727.0000,1727.0000,0.23,1723.0000,1723.0000,1732.0000,1701.0000,14715784,254142,359977,20906,69,,,14239592.00,
09/01/2017,1723.0000,1723.0000,-0.81,1737.0000,1737.0000,1780.0000,1709.0000,14715784,253553,605444,34819,126,,,14239592.00,
08/01/2017,1737.0000,1737.0000,-0.80,1760.0000,1751.0000,1785.0000,1726.0000,14715784,255613,418934,23853,90,,,14239592.00,
05/01/2017,1751.0000,1751.0000,-0.06,1752.0000,1752.0000,1758.0000,1737.0000,14715784,257673,203855,11646,50,,,14239592.00,
04/01/2017,1752.0000,1752.0000,-0.34,1758.0000,1758.0000,1760.0000,1723.0000,14715784,257821,487701,27955,98,,,14239592.00,
03/01/2017,1758.0000,1758.0000,1.50,1732.0000,1732.0000,1777.0000,1732.0000,14715784,258703,844461,47956,144,,,14239592.00,
02/01/2017,1732.0000,1732.0000,3.10,1690.0000,1680.0000,1741.0000,1688.0000,14715784,254877,813356,47229,178,,,14239592.00,
01/01/2017,1680.0000,1680.0000,3.51,1625.0000,1623.0000,1690.0000,1625.0000,14715784,247225,783409,46986,185,,,14239592.00,
29/12/2016,1623.0000,1623.0000,-0.12,1607.0000,1625.0000,1636.0000,1592.0000,14715784,238837,604513,37424,152,,,14239592.00,
28/12/2016,1625.0000,1625.0000,2.85,1580.0000,1580.0000,1650.0000,1571.0000,14715784,239131,1103325,68284,255,,,14239592.00,
27/12/2016,1580.0000,1580.0000,-1.19,1587.0000,1599.0000,1590.0000,1574.0000,14715784,232509,532162,33699,116,,,14239592.00,
26/12/2016,1599.0000,1599.0000,-1.17,1602.0000,1618.0000,1619.0000,1591.0000,14715784,235305,427742,26681,98,,,14239592.00,
25/12/2016,1618.0000,1618.0000,-0.49,1603.0000,1626.0000,1626.0000,1600.0000,14715784,238101,181061,11236,58,,,14239592.00,
22/12/2016,1626.0000,1626.0000,-0.31,1618.0000,1631.0000,1640.0000,1602.0000,14715784,239279,370452,22738,89,,,14239592.00,
21/12/2016,1631.0000,1631.0000,0.62,1621.0000,1621.0000,1642.0000,1603.0000,14715784,240014,154500,9482,48,,,14239592.00,
20/12/2016,1621.0000,1621.0000,1.69,1581.0000,1594.0000,1628.0000,1576.0000,14715784,238543,310305,19354,104,,,14239592.00,
19/12/2016,1594.0000,1594.0000,-0.19,1584.0000,1597.0000,1622.0000,1571.0000,14715784,234570,198024,12444,50,,,14239592.00,
18/12/2016,1597.0000,1597.0000,0.44,1590.0000,1590.0000,1629.0000,1586.0000,14715784,235011,140533,8760,40,,,14239592.00,
15/12/2016,1590.0000,1590.0000,-3.05,1621.0000,1640.0000,1628.0000,1590.0000,14715784,233981,408404,25386,79,,,14239592.00,
14/12/2016,1640.0000,1640.0000,-1.26,1652.0000,1661.0000,1660.0000,1614.0000,14715784,241339,387321,23731,115,,,14239592.00,
13/12/2016,1661.0000,1661.0000,-2.24,1699.0000,1699.0000,1699.0000,1655.0000,14715784,244429,310697,18634,90,,,14239592.00,
12/12/2016,1699.0000,1699.0000,-0.23,1691.0000,1703.0000,1718.0000,1691.0000,14715784,250021,509592,29872,87,,,14239592.00,
11/12/2016,1703.0000,1703.0000,1.43,1679.0000,1679.0000,1718.0000,1669.0000,14715784,250610,702415,41707,100,,,14239592.00,
08/12/2016,1679.0000,1679.0000,1.51,1640.0000,1654.0000,1684.0000,1634.0000,14715784,247078,483868,29084,95,,,14239592.00,
07/12/2016,1654.0000,1654.0000,-1.08,1672.0000,1672.0000,1676.0000,1620.0000,14715784,243399,439968,26746,127,,,14239592.00,
06/12/2016,1672.0000,1672.0000,-0.30,1680.0000,1677.0000,1682.0000,1665.0000,14715784,246048,166756,9952,47,,,14239592.00,
