Historical Prices - BRAM INDUS - 01094515
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,889.9000,889.9000,-0.46,894.0000,894.0000,895.3000,878.0000,20381023,181371,134063,15079,20,,,20381023.00,
28/05/2017,894.0000,894.0000,2.41,873.0000,873.0000,920.0000,873.0000,20381023,182206,90163,10132,18,,,20381023.00,
25/05/2017,873.0000,873.0000,0.34,870.0000,870.0000,873.0000,873.0000,20381023,177926,9411,1078,3,,,20381023.00,
24/05/2017,870.0000,870.0000,0.22,868.1000,868.1000,870.0000,870.0000,20381023,177315,37271,4284,7,,,20381023.00,
23/05/2017,868.1000,868.1000,0.42,864.5000,864.5000,870.0000,865.0000,20381023,176928,77908,8975,10,,,20381023.00,
22/05/2017,864.5000,864.5000,1.09,865.0000,855.2000,865.0000,862.8000,20381023,176194,18984,2196,5,,,20381023.00,
21/05/2017,855.2000,855.2000,-0.38,858.5000,858.5000,877.0000,842.0000,20381023,174299,103983,12186,21,,,20381023.00,
18/05/2017,858.5000,858.5000,-1.76,873.9000,873.9000,873.9000,837.7000,20381023,174971,108469,12702,11,,,20381023.00,
17/05/2017,873.9000,873.9000,-0.36,855.8000,877.1000,877.1000,854.8000,20381023,178110,113770,13100,11,,,20381023.00,
16/05/2017,877.1000,877.1000,0.55,872.3000,872.3000,877.1000,877.1000,20381023,178762,9613,1096,1,,,20381023.00,
15/05/2017,872.3000,872.3000,0.02,872.1000,872.1000,872.9000,872.1000,20381023,177784,63764,7310,5,,,20381023.00,
14/05/2017,872.1000,872.1000,2.67,849.4000,849.4000,900.0000,858.0000,20381023,177743,85934,9854,20,,,20381023.00,
11/05/2017,849.4000,849.4000,1.11,840.1000,840.1000,850.0000,849.0000,20381023,173116,3789,446,3,,,20381023.00,
10/05/2017,840.1000,840.1000,0.01,840.0000,840.0000,846.7000,840.0000,20381023,171221,38359,4566,4,,,20381023.00,
09/05/2017,840.0000,840.0000,0.59,835.1000,835.1000,840.0000,829.4000,20381023,171201,247528,29750,14,,,20381023.00,
08/05/2017,835.1000,835.1000,0.61,830.0000,830.0000,840.0000,800.3000,20381023,170202,40761,4881,7,,,20381023.00,
07/05/2017,830.0000,830.0000,1.83,815.1000,815.1000,837.9000,822.9000,20381023,169162,37940,4571,9,,,20381023.00,
04/05/2017,815.1000,815.1000,-1.81,830.1000,830.1000,840.0000,799.8000,20381023,166126,459679,56829,44,,,20381023.00,
03/05/2017,830.1000,830.1000,3.87,799.2000,799.2000,838.6000,818.7000,20381023,169183,10542,1270,6,,,20381023.00,
30/04/2017,799.2000,799.2000,5.78,755.5000,755.5000,803.0000,765.0000,20381023,162885,50911,6382,21,,,20381023.00,
27/04/2017,755.5000,755.5000,0.98,730.1000,748.2000,759.0000,718.5000,20381023,153979,165456,22119,31,,,20381023.00,
