Historical Prices - BRAND - 00536011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1117.0000,1117.0000,-2.45,1145.0000,1145.0000,1142.0000,1110.0000,15232541,170147,270272,24015,38,,,15232541.00,
28/05/2017,1145.0000,1145.0000,-0.95,1141.0000,1156.0000,1185.0000,1141.0000,15232541,174413,178795,15497,18,,,15232541.00,
25/05/2017,1156.0000,1156.0000,-1.11,1169.0000,1169.0000,1180.0000,1150.0000,15232541,176088,168854,14526,29,,,15232541.00,
24/05/2017,1169.0000,1169.0000,2.10,1145.0000,1145.0000,1179.0000,1146.0000,15232541,178068,99734,8569,40,,,15232541.00,
23/05/2017,1145.0000,1145.0000,2.60,1116.0000,1116.0000,1169.0000,1106.0000,15232541,174413,539017,47632,61,,,15232541.00,
22/05/2017,1116.0000,1116.0000,-2.11,1140.0000,1140.0000,1136.0000,1106.0000,15232541,169995,471561,42150,78,,,15232541.00,
21/05/2017,1140.0000,1140.0000,-0.87,1150.0000,1150.0000,1154.0000,1125.0000,15232541,173651,234837,20543,32,,,15232541.00,
18/05/2017,1150.0000,1150.0000,-0.61,1140.0000,1157.0000,1156.0000,1136.0000,15232541,175174,13615,1184,8,,,15232541.00,
17/05/2017,1157.0000,1157.0000,-1.28,1172.0000,1172.0000,1180.0000,1131.0000,15232541,176241,83466,7213,12,,,15232541.00,
16/05/2017,1172.0000,1172.0000,-0.85,1182.0000,1182.0000,1189.0000,1159.0000,15232541,178525,73121,6222,21,,,15232541.00,
15/05/2017,1182.0000,1182.0000,-1.01,1190.0000,1194.0000,1200.0000,1145.0000,15232541,180049,875642,74833,70,,,15232541.00,
14/05/2017,1194.0000,1194.0000,0.34,1190.0000,1190.0000,1212.0000,1173.0000,15232541,181877,230562,19343,24,,,15232541.00,
11/05/2017,1190.0000,1190.0000,1.54,1172.0000,1172.0000,1200.0000,1180.0000,15232541,181267,178313,15053,23,,,15232541.00,
10/05/2017,1172.0000,1172.0000,0.51,1166.0000,1166.0000,1198.0000,1155.0000,15232541,178525,291359,25001,30,,,15232541.00,
09/05/2017,1166.0000,1166.0000,-1.27,1181.0000,1181.0000,1190.0000,1135.0000,15232541,177611,83088,7141,25,,,15232541.00,
08/05/2017,1181.0000,1181.0000,0.94,1170.0000,1170.0000,1186.0000,1164.0000,15232541,179896,30581,2589,14,,,15232541.00,
07/05/2017,1170.0000,1170.0000,1.04,1158.0000,1158.0000,1176.0000,1160.0000,15232541,178221,28258,2416,12,,,15232541.00,
04/05/2017,1158.0000,1158.0000,1.67,1139.0000,1139.0000,1168.0000,1139.0000,15232541,176393,144739,12508,17,,,15232541.00,
03/05/2017,1139.0000,1139.0000,0.71,1131.0000,1131.0000,1149.0000,1121.0000,15232541,173499,139824,12304,18,,,15232541.00,
30/04/2017,1131.0000,1131.0000,1.07,1119.0000,1119.0000,1160.0000,1117.0000,15232541,172280,34359,3038,10,EX D,0.97389,15232541.00,
27/04/2017,1118.9996,1149.0000,-0.43,1154.0000,1154.0000,1150.0000,1134.0000,15232541,175022,81200,7063,9,,,15232541.00,
26/04/2017,1123.8691,1154.0000,0.35,1150.0000,1150.0000,1195.0000,1115.0000,15232541,175784,514147,45026,60,,,15232541.00,
25/04/2017,1119.9735,1150.0000,1.41,1134.0000,1134.0000,1164.0000,1103.0000,15232541,175174,735346,65633,70,,,15232541.00,
24/04/2017,1104.3913,1134.0000,-2.41,1162.0000,1162.0000,1173.0000,1126.0000,15232541,172737,72384,6356,11,,,15232541.00,
23/04/2017,1131.6602,1162.0000,0.00,1162.0000,1162.0000,1162.0000,1154.0000,15232541,177002,76134,6555,9,,,15232541.00,
20/04/2017,1131.6602,1162.0000,1.93,1140.0000,1140.0000,1177.0000,1159.0000,15232541,177002,76749,6610,14,,,15232541.00,
19/04/2017,1110.2346,1140.0000,5.26,1104.0000,1083.0000,1164.0000,1100.0000,15232541,173651,1405515,126490,90,,,15232541.00,
18/04/2017,1054.7229,1083.0000,-0.91,1114.0000,1093.0000,1123.0000,1080.0000,15232541,164968,129933,11961,22,,,15232541.00,
13/04/2017,1064.4618,1093.0000,-1.71,1100.0000,1112.0000,1130.0000,1093.0000,15232541,166492,193927,17696,27,,,15232541.00,
12/04/2017,1082.9657,1112.0000,-1.68,1152.0000,1131.0000,1152.0000,1110.0000,15232541,169386,220748,19836,26,,,15232541.00,
09/04/2017,1101.4696,1131.0000,-1.39,1168.0000,1147.0000,1168.0000,1116.0000,15232541,172280,703368,62356,74,,,15232541.00,
06/04/2017,1117.0518,1147.0000,-1.21,1161.0000,1161.0000,1160.0000,1135.0000,15232541,174717,740451,64583,78,,,15232541.00,
05/04/2017,1130.6863,1161.0000,0.26,1168.0000,1158.0000,1174.0000,1150.0000,15232541,176850,723412,62396,68,,,15232541.00,
04/04/2017,1127.7646,1158.0000,1.58,1140.0000,1140.0000,1174.0000,1140.0000,15232541,176393,1825844,158247,106,,,15232541.00,
03/04/2017,1110.2346,1140.0000,-2.15,1165.0000,1165.0000,1184.0000,1120.0000,15232541,173651,827109,72783,96,,,15232541.00,
02/04/2017,1134.5819,1165.0000,-7.98,1266.0000,1266.0000,1266.0000,1160.0000,15232541,177459,1568588,132266,157,,,15232541.00,
30/03/2017,1232.9447,1266.0000,0.16,1264.0000,1264.0000,1289.0000,1256.0000,15232541,192844,138186,10906,19,,,15232541.00,
29/03/2017,1230.9970,1264.0000,-0.63,1270.0000,1272.0000,1304.0000,1244.0000,15232541,192539,94491,7399,34,,,15232541.00,
28/03/2017,1238.7881,1272.0000,-0.47,1278.0000,1278.0000,1278.0000,1246.0000,15232541,193758,157730,12420,25,,,15232541.00,
27/03/2017,1244.6314,1278.0000,-0.54,1285.0000,1285.0000,1303.0000,1255.0000,15232541,194672,158018,12327,35,,,15232541.00,
26/03/2017,1251.4487,1285.0000,-0.16,1287.0000,1287.0000,1312.0000,1266.0000,15232541,195738,333602,25893,38,,,15232541.00,
23/03/2017,1253.3964,1287.0000,-0.31,1291.0000,1291.0000,1322.0000,1264.0000,15232541,196043,64166,4978,16,,,15232541.00,
22/03/2017,1257.2920,1291.0000,-0.31,1295.0000,1295.0000,1304.0000,1250.0000,15232541,196652,323821,25293,35,,,15232541.00,
21/03/2017,1261.1876,1295.0000,-0.54,1302.0000,1302.0000,1328.0000,1276.0000,15232541,197261,459146,35368,48,,,15232541.00,
20/03/2017,1268.0048,1302.0000,-0.38,1307.0000,1307.0000,1323.0000,1276.0000,15232541,198328,222171,17085,40,,,15232541.00,
19/03/2017,1272.8742,1307.0000,-3.68,1335.0000,1357.0000,1339.0000,1305.0000,15232541,199089,416472,31555,42,,,15232541.00,
16/03/2017,1321.5687,1357.0000,-0.22,1360.0000,1360.0000,1374.0000,1343.0000,15232541,206706,30014,2212,13,,,15232541.00,
15/03/2017,1324.4904,1360.0000,0.67,1351.0000,1351.0000,1389.0000,1331.0000,15232541,207163,246388,18158,71,,,15232541.00,
14/03/2017,1315.7254,1351.0000,0.30,1347.0000,1347.0000,1359.0000,1326.0000,15232541,205792,113696,8401,27,,,15232541.00,
13/03/2017,1311.8298,1347.0000,0.00,1347.0000,1347.0000,1386.0000,1340.0000,15232541,205182,313344,23167,48,,,15232541.00,
09/03/2017,1311.8298,1347.0000,-0.30,1351.0000,1351.0000,1355.0000,1316.0000,15232541,205182,235466,17628,50,,,15232541.00,
08/03/2017,1315.7254,1351.0000,-0.52,1358.0000,1358.0000,1379.0000,1300.0000,15232541,205792,164457,12246,36,,,15232541.00,
07/03/2017,1322.5426,1358.0000,-1.95,1385.0000,1385.0000,1371.0000,1344.0000,15232541,206858,261060,19194,33,,,15232541.00,
06/03/2017,1348.8377,1385.0000,0.07,1384.0000,1384.0000,1409.0000,1342.0000,15232541,210971,446640,32619,63,,,15232541.00,
05/03/2017,1347.8638,1384.0000,0.29,1380.0000,1380.0000,1410.0000,1356.0000,15232541,210818,421042,30474,57,,,15232541.00,
02/03/2017,1343.9682,1380.0000,1.17,1364.0000,1364.0000,1390.0000,1341.0000,15232541,210209,274347,20057,51,,,15232541.00,
01/03/2017,1328.3860,1364.0000,1.49,1344.0000,1344.0000,1428.0000,1343.0000,15232541,207772,922367,66883,107,,,15232541.00,
28/02/2017,1308.9082,1344.0000,0.45,1338.0000,1338.0000,1367.0000,1310.0000,15232541,204725,178501,13263,35,,,15232541.00,
27/02/2017,1303.0648,1338.0000,-0.30,1342.0000,1342.0000,1357.0000,1267.0000,15232541,203811,358288,26944,50,,,15232541.00,
26/02/2017,1306.9604,1342.0000,0.60,1334.0000,1334.0000,1380.0000,1309.0000,15232541,204421,137895,10137,29,,,15232541.00,
23/02/2017,1299.1693,1334.0000,1.91,1309.0000,1309.0000,1355.0000,1313.0000,15232541,203202,256328,19061,47,,,15232541.00,
22/02/2017,1274.8220,1309.0000,1.87,1285.0000,1285.0000,1319.0000,1269.0000,15232541,199394,191190,14712,38,,,15232541.00,
21/02/2017,1251.4487,1285.0000,-1.00,1298.0000,1298.0000,1312.0000,1278.0000,15232541,195738,305128,23615,38,,,15232541.00,
20/02/2017,1264.1092,1298.0000,0.31,1290.0000,1294.0000,1335.0000,1288.0000,15232541,197718,692738,52942,76,,,15232541.00,
19/02/2017,1260.2137,1294.0000,1.09,1280.0000,1280.0000,1300.0000,1263.0000,15232541,197109,122558,9483,30,,,15232541.00,
16/02/2017,1246.5792,1280.0000,1.59,1260.0000,1260.0000,1300.0000,1259.0000,15232541,194977,1075101,84201,93,,,15232541.00,
