Historical Prices - BRIMAG - 01094283
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2063.0000,2063.0000,2.69,2009.0000,2009.0000,2064.0000,1974.0000,10394378,214436,286334,14052,16,,,10394378.00,
28/05/2017,2009.0000,2009.0000,0.00,2009.0000,2009.0000,2040.0000,2009.0000,10394378,208823,304817,15165,19,,,10394378.00,
25/05/2017,2009.0000,2009.0000,0.00,2021.0000,2009.0000,2021.0000,2005.0000,10394378,208823,90984,4528,15,,,10394378.00,
24/05/2017,2009.0000,2009.0000,-0.69,2023.0000,2023.0000,2021.0000,2003.0000,10394378,208823,18504,921,6,,,10394378.00,
23/05/2017,2023.0000,2023.0000,-0.98,2043.0000,2043.0000,2032.0000,1995.0000,10394378,210278,544605,26920,30,,,10394378.00,
22/05/2017,2043.0000,2043.0000,-0.44,2052.0000,2052.0000,2080.0000,2040.0000,10394378,212357,97673,4762,17,,,10394378.00,
21/05/2017,2052.0000,2052.0000,2.09,2010.0000,2010.0000,2065.0000,2047.0000,10394378,213293,19701,960,4,,,10394378.00,
18/05/2017,2010.0000,2010.0000,-2.28,2057.0000,2057.0000,2050.0000,2010.0000,10394378,208927,176751,8728,16,,,10394378.00,
17/05/2017,2057.0000,2057.0000,-0.10,2059.0000,2059.0000,2089.0000,2025.0000,10394378,213812,214114,10338,29,,,10394378.00,
16/05/2017,2059.0000,2059.0000,0.93,2040.0000,2040.0000,2085.0000,2040.0000,10394378,214020,596517,29088,37,,,10394378.00,
15/05/2017,2040.0000,2040.0000,2.72,2057.0000,1986.0000,2057.0000,2012.0000,10394378,212045,146856,7217,21,,,10394378.00,
14/05/2017,1986.0000,1986.0000,2.06,1988.0000,1946.0000,1992.0000,1982.0000,10394378,206432,575046,28967,29,,,10394378.00,
