Historical Prices - CELLCOM - 01101534
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3445.0000,3445.0000,0.00,3449.0000,3445.0000,3542.0000,3419.0000,100606203,3465884,5163948,148381,464,,,100606203.00,
28/05/2017,3445.0000,3445.0000,-1.66,3481.0000,3503.0000,3506.0000,3440.0000,100606203,3465884,3002072,86737,344,,,100606203.00,
25/05/2017,3503.0000,3503.0000,-2.34,3569.0000,3587.0000,3572.0000,3488.0000,100606203,3524235,7996039,225353,486,,,100606203.00,
24/05/2017,3587.0000,3587.0000,-3.78,3651.0000,3728.0000,3673.0000,3568.0000,100606203,3608745,8776783,242655,870,,,100606203.00,
23/05/2017,3728.0000,3728.0000,0.22,3755.0000,3720.0000,3761.0000,3722.0000,100606203,3750599,4788701,128082,438,,,100606203.00,
22/05/2017,3720.0000,3720.0000,0.08,3769.0000,3717.0000,3838.0000,3715.0000,100606203,3742551,8801793,232436,957,,,100606203.00,
21/05/2017,3717.0000,3717.0000,3.28,3668.0000,3599.0000,3725.0000,3627.0000,100606203,3739533,1908150,51791,295,,,100606203.00,
18/05/2017,3599.0000,3599.0000,-1.91,3650.0000,3669.0000,3660.0000,3553.0000,100606203,3620817,8476014,235615,866,,,100606203.00,
17/05/2017,3669.0000,3669.0000,-1.98,3700.0000,3743.0000,3731.0000,3662.0000,100606203,3691242,6519181,176665,525,,,100606203.00,
16/05/2017,3743.0000,3743.0000,-1.14,3756.0000,3786.0000,3793.0000,3733.0000,100606203,3765690,3561991,94912,456,,,100606203.00,
15/05/2017,3786.0000,3786.0000,-0.81,3820.0000,3817.0000,3836.0000,3730.0000,100606203,3808951,5466922,145026,661,,,100606203.00,
14/05/2017,3817.0000,3817.0000,0.37,3841.0000,3803.0000,3888.0000,3803.0000,100606203,3840139,4839181,125900,442,,,100606203.00,
11/05/2017,3803.0000,3803.0000,0.98,3766.0000,3766.0000,3858.0000,3746.0000,100606203,3826054,5218556,136599,554,,,100606203.00,
