Historical Prices - CERAGON - 01085166
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1068.0000,1068.0000,1.14,1063.0000,1056.0000,1079.0000,1050.0000,77937237,832370,1069757,100188,235,,,77937237.00,
28/05/2017,1056.0000,1056.0000,2.52,1050.0000,1030.0000,1057.0000,1046.0000,77937237,823017,709663,67370,181,,,77937237.00,
25/05/2017,1030.0000,1030.0000,-1.44,1045.0000,1045.0000,1045.0000,1010.0000,77937237,802754,1339908,130295,278,,,77937237.00,
24/05/2017,1045.0000,1045.0000,-2.34,1060.0000,1070.0000,1070.0000,1045.0000,77937237,814444,1371886,130011,289,,,77937237.00,
23/05/2017,1070.0000,1070.0000,-3.78,1090.0000,1112.0000,1094.0000,1070.0000,77937237,833928,2730575,252021,467,,,77937237.00,
22/05/2017,1112.0000,1112.0000,0.27,1111.0000,1109.0000,1128.0000,1106.0000,77937237,866662,1726371,154805,338,,,77937237.00,
21/05/2017,1109.0000,1109.0000,0.54,1099.0000,1103.0000,1118.0000,1082.0000,77937237,864324,1835643,166927,367,,,77937237.00,
18/05/2017,1103.0000,1103.0000,-3.67,1125.0000,1145.0000,1137.0000,1100.0000,77937237,859648,1838897,165275,434,,,77937237.00,
17/05/2017,1145.0000,1145.0000,-3.94,1182.0000,1192.0000,1183.0000,1142.0000,77937237,892381,1956617,167909,410,,,77937237.00,
16/05/2017,1192.0000,1192.0000,-0.25,1200.0000,1195.0000,1215.0000,1190.0000,77937237,929012,1730695,144106,284,,,77937237.00,
15/05/2017,1195.0000,1195.0000,-3.08,1235.0000,1233.0000,1241.0000,1185.0000,77937237,931350,5424200,451092,919,,,77937237.00,
14/05/2017,1233.0000,1233.0000,0.49,1180.0000,1227.0000,1237.0000,1168.0000,77937237,960966,4472374,373306,682,,,77937237.00,
11/05/2017,1227.0000,1227.0000,-5.10,1290.0000,1293.0000,1310.0000,1211.0000,77937237,956290,3220027,257151,608,,,77937237.00,
10/05/2017,1293.0000,1293.0000,0.15,1290.0000,1291.0000,1304.0000,1266.0000,77937237,1007728,1190956,92514,212,,,77937237.00,
09/05/2017,1291.0000,1291.0000,2.14,1285.0000,1264.0000,1322.0000,1285.0000,77937237,1006170,3312229,253708,547,,,77937237.00,
08/05/2017,1264.0000,1264.0000,2.68,1248.0000,1231.0000,1273.0000,1238.0000,77937237,985127,2116812,168737,370,,,77937237.00,
07/05/2017,1231.0000,1231.0000,1.90,1208.0000,1208.0000,1237.0000,1205.0000,77937237,959407,417828,34134,102,,,77937237.00,
04/05/2017,1208.0000,1208.0000,-0.82,1238.0000,1218.0000,1238.0000,1208.0000,77937237,941482,1259061,103928,175,,,77937237.00,
03/05/2017,1218.0000,1218.0000,0.74,1213.0000,1209.0000,1239.0000,1210.0000,77937237,949276,1292761,105798,220,,,77937237.00,
30/04/2017,1209.0000,1209.0000,-1.95,1218.0000,1233.0000,1218.0000,1191.0000,77937237,942261,939177,78013,191,,,77937237.00,
27/04/2017,1233.0000,1233.0000,0.41,1255.0000,1228.0000,1278.0000,1223.0000,77937237,960966,2492656,197715,442,,,77937237.00,
26/04/2017,1228.0000,1228.0000,5.59,1165.0000,1163.0000,1246.0000,1165.0000,77937237,957069,3335331,273245,577,,,77937237.00,
25/04/2017,1163.0000,1163.0000,0.00,1163.0000,1163.0000,1169.0000,1135.0000,77937237,906410,646926,56040,145,,,77937237.00,
24/04/2017,1163.0000,1163.0000,2.20,1140.0000,1138.0000,1182.0000,1140.0000,77937237,906410,1067190,91530,233,,,77937237.00,
23/04/2017,1138.0000,1138.0000,1.61,1121.0000,1120.0000,1143.0000,1121.0000,77937237,886926,566497,49800,120,,,77937237.00,
20/04/2017,1120.0000,1120.0000,-0.09,1123.0000,1121.0000,1137.0000,1102.0000,77937237,872897,1068812,95455,190,,,77937237.00,
19/04/2017,1121.0000,1121.0000,-0.18,1115.0000,1123.0000,1135.0000,1101.0000,77937237,873676,1312499,117254,226,,,77937237.00,
18/04/2017,1123.0000,1123.0000,-1.32,1120.0000,1138.0000,1148.0000,1117.0000,77937237,875235,959354,85108,152,,,77937237.00,
13/04/2017,1138.0000,1138.0000,-1.81,1156.0000,1159.0000,1174.0000,1131.0000,77937237,886926,281060,24506,75,,,77937237.00,
12/04/2017,1159.0000,1159.0000,1.31,1144.0000,1144.0000,1161.0000,1139.0000,77937237,903293,407401,35354,91,,,77937237.00,
09/04/2017,1144.0000,1144.0000,-3.05,1160.0000,1180.0000,1160.0000,1120.0000,77937237,891602,955568,83448,182,,,77937237.00,
06/04/2017,1180.0000,1180.0000,-1.01,1191.0000,1192.0000,1191.0000,1159.0000,77937237,919659,644818,54675,139,,,77937237.00,
05/04/2017,1192.0000,1192.0000,1.36,1180.0000,1176.0000,1197.0000,1161.0000,77937237,929012,610520,51772,143,,,77937237.00,
04/04/2017,1176.0000,1176.0000,1.20,1162.0000,1162.0000,1177.0000,1152.0000,77937237,916542,685804,58704,105,,,77937237.00,
03/04/2017,1162.0000,1162.0000,-1.86,1184.0000,1184.0000,1187.0000,1155.0000,77937237,905631,1032893,88154,199,,,77937237.00,
02/04/2017,1184.0000,1184.0000,-1.33,1200.0000,1200.0000,1200.0000,1169.0000,77937237,922777,389503,32851,126,,,77937237.00,
30/03/2017,1200.0000,1200.0000,1.44,1183.0000,1183.0000,1200.0000,1153.0000,77937237,935247,976983,83081,179,,,77937237.00,
29/03/2017,1183.0000,1183.0000,-0.76,1200.0000,1192.0000,1209.0000,1147.0000,77937237,921998,903918,76706,226,,,77937237.00,
28/03/2017,1192.0000,1192.0000,0.68,1184.0000,1184.0000,1203.0000,1150.0000,77937237,929012,894197,76124,194,,,77937237.00,
27/03/2017,1184.0000,1184.0000,-2.23,1212.0000,1211.0000,1221.0000,1179.0000,77937237,922777,1336542,111924,261,,,77937237.00,
26/03/2017,1211.0000,1211.0000,-3.81,1259.0000,1259.0000,1260.0000,1201.0000,77937237,943820,986433,80372,146,,,77937237.00,
23/03/2017,1259.0000,1259.0000,-0.79,1269.0000,1269.0000,1266.0000,1251.0000,77937237,981230,714575,56810,173,,,77937237.00,
22/03/2017,1269.0000,1269.0000,-1.70,1260.0000,1291.0000,1273.0000,1250.0000,77937237,989024,791046,62600,225,,,77937237.00,
21/03/2017,1291.0000,1291.0000,0.47,1285.0000,1285.0000,1300.0000,1285.0000,77937237,1006170,616683,47682,152,,,77937237.00,
20/03/2017,1285.0000,1285.0000,0.23,1286.0000,1282.0000,1290.0000,1270.0000,77937237,1001494,770747,60299,230,,,77937237.00,
19/03/2017,1282.0000,1282.0000,-3.25,1325.0000,1325.0000,1325.0000,1276.0000,77937237,999155,549306,42805,120,,,77937237.00,
16/03/2017,1325.0000,1325.0000,5.49,1270.0000,1256.0000,1325.0000,1264.0000,77937237,1032668,1544756,119039,289,,,77937237.00,
15/03/2017,1256.0000,1256.0000,0.56,1253.0000,1249.0000,1260.0000,1215.0000,77937237,978892,1121245,90426,239,,,77937237.00,
14/03/2017,1249.0000,1249.0000,0.00,1250.0000,1249.0000,1251.0000,1232.0000,77937237,973436,1162849,93492,211,,,77937237.00,
13/03/2017,1249.0000,1249.0000,0.48,1247.0000,1243.0000,1267.0000,1240.0000,77937237,973436,1020555,81376,213,,,77937237.00,
09/03/2017,1243.0000,1243.0000,-3.87,1294.0000,1293.0000,1297.0000,1231.0000,77937237,968760,922325,72974,242,,,77937237.00,
08/03/2017,1293.0000,1293.0000,0.54,1300.0000,1286.0000,1318.0000,1290.0000,77937237,1007728,728836,55846,136,,,77937237.00,
07/03/2017,1286.0000,1286.0000,-2.35,1300.0000,1317.0000,1300.0000,1280.0000,77937237,1002273,1201500,93118,244,,,77937237.00,
06/03/2017,1317.0000,1317.0000,-2.23,1346.0000,1347.0000,1346.0000,1300.0000,77937237,1026433,1685573,127797,265,,,77937237.00,
05/03/2017,1347.0000,1347.0000,-2.81,1336.0000,1386.0000,1350.0000,1334.0000,77937237,1049815,711348,53062,135,,,77937237.00,
02/03/2017,1386.0000,1386.0000,2.21,1361.0000,1356.0000,1386.0000,1361.0000,77937237,1080210,2775034,201196,245,,,77937237.00,
01/03/2017,1356.0000,1356.0000,1.57,1335.0000,1335.0000,1365.0000,1335.0000,77937237,1056829,1165972,85971,187,,,77937237.00,
28/02/2017,1335.0000,1335.0000,0.30,1331.0000,1331.0000,1342.0000,1310.0000,77937237,1040462,1021280,77137,200,,,77937237.00,
27/02/2017,1331.0000,1331.0000,-1.41,1350.0000,1350.0000,1369.0000,1316.0000,77937237,1037345,1288607,95722,231,,,77937237.00,
26/02/2017,1350.0000,1350.0000,2.27,1329.0000,1320.0000,1351.0000,1329.0000,77937237,1052153,839587,62391,163,,,77937237.00,
23/02/2017,1320.0000,1320.0000,1.77,1309.0000,1297.0000,1329.0000,1288.0000,77937237,1028772,1506389,115596,287,,,77937237.00,
22/02/2017,1297.0000,1297.0000,-1.67,1317.0000,1319.0000,1317.0000,1288.0000,77937237,1010846,2700159,206985,455,,,77937237.00,
21/02/2017,1319.0000,1319.0000,-6.25,1410.0000,1407.0000,1412.0000,1311.0000,77937237,1027992,3137237,229240,602,,,77937237.00,
20/02/2017,1407.0000,1407.0000,1.52,1396.0000,1386.0000,1415.0000,1392.0000,77937237,1096577,1176762,83867,198,,,77937237.00,
19/02/2017,1386.0000,1386.0000,-5.71,1371.0000,1470.0000,1390.0000,1371.0000,77937237,1080210,2236830,162093,396,,,77937237.00,
16/02/2017,1470.0000,1470.0000,3.09,1480.0000,1426.0000,1506.0000,1452.0000,77937237,1145677,4109480,276117,679,,,77937237.00,
15/02/2017,1426.0000,1426.0000,-7.28,1538.0000,1538.0000,1563.0000,1400.0000,77937237,1111385,7408242,497902,1018,,,77937237.00,
14/02/2017,1538.0000,1538.0000,0.98,1533.0000,1523.0000,1590.0000,1504.0000,77937237,1198675,6995329,450634,738,,,77937237.00,
13/02/2017,1523.0000,1523.0000,4.32,1460.0000,1460.0000,1530.0000,1441.0000,77937237,1186984,3290725,222360,425,,,77937237.00,
12/02/2017,1460.0000,1460.0000,1.88,1433.0000,1433.0000,1469.0000,1412.0000,77937237,1137884,2481743,171813,262,,,77937237.00,
09/02/2017,1433.0000,1433.0000,0.92,1450.0000,1420.0000,1480.0000,1433.0000,77937237,1116841,57329665,3998765,406,,,76557168.00,
08/02/2017,1420.0000,1420.0000,1.43,1400.0000,1400.0000,1485.0000,1408.0000,77937237,1106709,4921537,342873,693,,,76557168.00,
07/02/2017,1400.0000,1400.0000,1.16,1398.0000,1384.0000,1410.0000,1393.0000,77937237,1091121,3055864,218121,493,,,76557168.00,
06/02/2017,1384.0000,1384.0000,0.51,1377.0000,1377.0000,1419.0000,1377.0000,77937237,1078651,4301001,308346,773,,,76557168.00,
05/02/2017,1377.0000,1377.0000,-1.57,1381.0000,1399.0000,1393.0000,1371.0000,77937237,1073196,2020078,146018,275,,,76557168.00,
02/02/2017,1399.0000,1399.0000,-1.48,1415.0000,1420.0000,1430.0000,1385.0000,77937237,1090342,4126460,292736,758,,,76557168.00,
01/02/2017,1420.0000,1420.0000,2.90,1400.0000,1380.0000,1470.0000,1400.0000,77937237,1106709,4502011,312626,779,,,76557168.00,
31/01/2017,1380.0000,1380.0000,2.60,1390.0000,1345.0000,1437.0000,1380.0000,77937237,1075534,5120022,360407,717,,,76557168.00,
30/01/2017,1345.0000,1345.0000,1.82,1360.0000,1321.0000,1411.0000,1321.0000,77937237,1048256,6540141,478871,1069,,,76557168.00,
29/01/2017,1321.0000,1321.0000,-0.75,1325.0000,1331.0000,1330.0000,1300.0000,77937237,1029551,1384910,105013,181,,,76557168.00,
26/01/2017,1331.0000,1331.0000,-1.55,1362.0000,1352.0000,1375.0000,1330.0000,77937237,1037345,1088245,80312,146,,,76557168.00,
25/01/2017,1352.0000,1352.0000,6.21,1315.0000,1273.0000,1365.0000,1315.0000,77937237,1053711,1750774,131200,239,,,76557168.00,
24/01/2017,1273.0000,1273.0000,3.16,1265.0000,1234.0000,1292.0000,1246.0000,77937237,992141,1546908,121855,311,,,76557168.00,
23/01/2017,1234.0000,1234.0000,-1.59,1254.0000,1254.0000,1274.0000,1200.0000,77937237,961746,3130806,250463,549,,,76557168.00,
22/01/2017,1254.0000,1254.0000,0.40,1299.0000,1249.0000,1300.0000,1230.0000,77937237,977333,1881871,149224,245,,,76557168.00,
19/01/2017,1249.0000,1249.0000,-6.16,1282.0000,1331.0000,1294.0000,1244.0000,77937237,973436,2268860,178547,416,,,76557168.00,
18/01/2017,1331.0000,1331.0000,2.07,1304.0000,1304.0000,1490.0000,1276.0000,77937237,1037345,7350576,521950,1063,,,76557168.00,
17/01/2017,1304.0000,1304.0000,-4.47,1365.0000,1365.0000,1398.0000,1274.0000,77937237,1016302,3861382,286513,565,,,76557168.00,
16/01/2017,1365.0000,1365.0000,-2.57,1401.0000,1401.0000,1416.0000,1365.0000,77937237,1063843,1107351,80612,120,,,76557168.00,
15/01/2017,1401.0000,1401.0000,4.94,1383.0000,1335.0000,1440.0000,1380.0000,77937237,1091901,1418674,100627,178,,,76557168.00,
12/01/2017,1335.0000,1335.0000,-2.77,1340.0000,1373.0000,1349.0000,1322.0000,77937237,1040462,1196537,89479,158,,,76557168.00,
11/01/2017,1373.0000,1373.0000,0.15,1371.0000,1371.0000,1377.0000,1348.0000,77937237,1070078,1039364,76441,135,,,76557168.00,
10/01/2017,1371.0000,1371.0000,-0.65,1375.0000,1380.0000,1404.0000,1350.0000,77937237,1068520,2764250,199519,410,,,76557168.00,
