Historical Prices - DELEK AUTOMOTIV - 00829010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3104.0000,3104.0000,-1.15,3150.0000,3140.0000,3155.0000,3090.0000,93200959,2892958,7192480,230764,632,,,93200959.00,
28/05/2017,3140.0000,3140.0000,2.68,3058.0000,3058.0000,3140.0000,3054.0000,93200959,2926510,3965696,127866,447,,,93200959.00,
25/05/2017,3058.0000,3058.0000,1.09,3031.0000,3025.0000,3087.0000,3030.0000,93200959,2850085,6037243,197347,701,,,93200959.00,
24/05/2017,3025.0000,3025.0000,0.00,3025.0000,3025.0000,3048.0000,2980.0000,93200959,2819329,3266788,108192,497,,,93200959.00,
23/05/2017,3025.0000,3025.0000,4.93,2871.0000,2883.0000,3025.0000,2850.0000,93200959,2819329,9564123,322335,913,,,93200959.00,
22/05/2017,2883.0000,2883.0000,-1.64,2922.0000,2931.0000,2944.0000,2852.0000,93200959,2686984,4669093,161573,581,,,93200959.00,
21/05/2017,2931.0000,2931.0000,2.27,2898.0000,2866.0000,2955.0000,2898.0000,93200959,2731720,2999886,102121,319,,,93200959.00,
18/05/2017,2866.0000,2866.0000,-2.65,2970.0000,2944.0000,2979.0000,2842.0000,93200959,2671139,9291431,323431,836,,,93200959.00,
17/05/2017,2944.0000,2944.0000,-2.61,3023.0000,3023.0000,3025.0000,2926.0000,93200959,2743836,7631368,256441,789,,,93200959.00,
16/05/2017,3023.0000,3023.0000,-2.20,3083.0000,3091.0000,3083.0000,3015.0000,93200959,2817465,5754258,189268,755,,,93200959.00,
15/05/2017,3091.0000,3091.0000,0.59,3073.0000,3073.0000,3097.0000,3073.0000,93200959,2880842,3271735,106090,382,,,93200959.00,
14/05/2017,3073.0000,3073.0000,0.10,3070.0000,3070.0000,3128.0000,3070.0000,93200959,2864065,3790778,122877,365,,,93200959.00,
11/05/2017,3070.0000,3070.0000,0.03,3097.0000,3069.0000,3150.0000,3058.0000,93200959,2861269,16339213,528090,700,,,93200959.00,
10/05/2017,3069.0000,3069.0000,-3.43,3178.0000,3178.0000,3189.0000,3067.0000,93200959,2860337,6352673,203121,572,,,93200959.00,
09/05/2017,3178.0000,3178.0000,0.28,3169.0000,3169.0000,3189.0000,3140.0000,93200959,2961926,2438297,77181,416,,,93200959.00,
08/05/2017,3169.0000,3169.0000,-0.53,3187.0000,3186.0000,3210.0000,3134.0000,93200959,2953538,2422220,75950,364,,,93200959.00,
07/05/2017,3186.0000,3186.0000,-0.44,3200.0000,3200.0000,3201.0000,3151.0000,93200959,2969383,2391090,75365,212,,,93200959.00,
04/05/2017,3200.0000,3200.0000,-0.71,3223.0000,3223.0000,3239.0000,3200.0000,93200959,2982431,3466844,108005,291,,,93200959.00,
03/05/2017,3223.0000,3223.0000,0.56,3207.0000,3205.0000,3260.0000,3200.0000,93200959,3003867,1687854,52247,257,,,93200959.00,
30/04/2017,3205.0000,3205.0000,0.79,3200.0000,3180.0000,3236.0000,3177.0000,93200959,2987091,3467867,108078,188,,,93200959.00,
27/04/2017,3180.0000,3180.0000,-1.30,3264.0000,3222.0000,3264.0000,3143.0000,93200959,2963791,3243074,101059,470,,,93200959.00,
26/04/2017,3222.0000,3222.0000,1.64,3170.0000,3170.0000,3227.0000,3170.0000,93200959,3002935,1779574,55560,346,,,93200959.00,
25/04/2017,3170.0000,3170.0000,3.06,3062.0000,3076.0000,3178.0000,3062.0000,93200959,2954470,3522908,112897,336,,,93200959.00,
24/04/2017,3076.0000,3076.0000,1.08,3045.0000,3043.0000,3090.0000,3045.0000,93200959,2866862,2876075,93640,418,,,93200959.00,
23/04/2017,3043.0000,3043.0000,-0.52,3060.0000,3059.0000,3060.0000,3016.0000,93200959,2836105,1849037,60803,255,,,93200959.00,
20/04/2017,3059.0000,3059.0000,-1.96,3170.0000,3120.0000,3170.0000,3028.0000,93200959,2851017,4194198,136532,512,,,93200959.00,
19/04/2017,3120.0000,3120.0000,-1.33,3170.0000,3162.0000,3170.0000,3064.0000,93200959,2907870,5720335,184534,621,,,93200959.00,
18/04/2017,3162.0000,3162.0000,-1.19,3177.0000,3200.0000,3230.0000,3157.0000,93200959,2947014,1903606,60050,283,,,93200959.00,
13/04/2017,3200.0000,3200.0000,0.00,3210.0000,3200.0000,3210.0000,3172.0000,93200959,2982431,1626558,51009,234,,,93200959.00,
12/04/2017,3200.0000,3200.0000,-2.56,3236.0000,3284.0000,3281.0000,3200.0000,93200959,2982431,3855340,119828,570,,,93200959.00,
09/04/2017,3284.0000,3284.0000,2.63,3200.0000,3200.0000,3284.0000,3200.0000,93200959,3060719,1205242,37046,185,,,93200959.00,
06/04/2017,3200.0000,3200.0000,-1.48,3248.0000,3248.0000,3248.0000,3161.0000,93200959,2982431,9922809,308901,534,EX D,0.96294,93200959.00,
05/04/2017,3247.9966,3373.0000,2.84,3334.0000,3280.0000,3378.0000,3218.0000,93200959,3143668,3430195,104548,449,,,93200959.00,
04/04/2017,3158.4432,3280.0000,-0.82,3303.0000,3307.0000,3345.0000,3220.0000,93200959,3056991,4972857,151527,500,,,93200959.00,
