Historical Prices - DELEK DRILL L - 00475020
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1458.0000,1458.0000,1.67,1444.0000,1434.0000,1458.0000,1433.0000,1173814774,17114219,15654407,1080942,851,,,546966871.00,
28/05/2017,1434.0000,1434.0000,2.65,1415.0000,1397.0000,1440.0000,1414.0000,1173814774,16832504,14006545,980386,789,,,546966871.00,
25/05/2017,1397.0000,1397.0000,0.43,1392.0000,1391.0000,1398.0000,1374.0000,1173814774,16398192,17586907,1268766,810,,,546966871.00,
24/05/2017,1391.0000,1391.0000,-1.14,1402.0000,1407.0000,1406.0000,1390.0000,1173814774,16327764,7920884,567638,667,,,546966871.00,
23/05/2017,1407.0000,1407.0000,-0.99,1416.0000,1421.0000,1424.0000,1397.0000,1173814774,16515574,9574906,679664,576,,,546966871.00,
22/05/2017,1421.0000,1421.0000,-1.18,1439.0000,1438.0000,1448.0000,1412.0000,1173814774,16679908,8988823,630191,697,,,546966871.00,
21/05/2017,1438.0000,1438.0000,0.77,1432.0000,1427.0000,1458.0000,1430.0000,1173814774,16879456,19220471,1330968,874,,,546966871.00,
18/05/2017,1427.0000,1427.0000,0.28,1430.0000,1423.0000,1434.0000,1415.0000,1173814774,16750337,25772525,1806805,865,,,546966871.00,
17/05/2017,1423.0000,1423.0000,0.07,1422.0000,1422.0000,1428.0000,1409.0000,546966871,7783339,11984521,842932,562,,,546966871.00,
16/05/2017,1422.0000,1422.0000,3.87,1395.0000,1369.0000,1433.0000,1390.0000,546966871,7777869,24351522,1723048,1414,,,546966871.00,
15/05/2017,1369.0000,1369.0000,-2.21,1387.0000,1400.0000,1393.0000,1363.0000,546966871,7487976,10010590,728128,630,,,546966871.00,
14/05/2017,1400.0000,1400.0000,6.87,1302.0000,1310.0000,1400.0000,1302.0000,546966871,7657536,22451438,1651548,1016,,,546966871.00,
11/05/2017,1310.0000,1310.0000,0.23,1299.0000,1307.0000,1324.0000,1295.0000,546966871,7165266,7678758,587966,626,,,546966871.00,
10/05/2017,1307.0000,1307.0000,-0.08,1304.0000,1308.0000,1320.0000,1295.0000,546966871,7148857,9697467,742260,711,,,546966871.00,
09/05/2017,1308.0000,1308.0000,-0.91,1318.0000,1320.0000,1318.0000,1307.0000,546966871,7154327,3156550,240821,275,,,546966871.00,
08/05/2017,1320.0000,1320.0000,0.00,1314.0000,1320.0000,1325.0000,1310.0000,546966871,7219963,2872583,218108,264,,,546966871.00,
07/05/2017,1320.0000,1320.0000,0.15,1318.0000,1318.0000,1323.0000,1311.0000,546966871,7219963,1176384,89214,157,,,546966871.00,
04/05/2017,1318.0000,1318.0000,-1.05,1330.0000,1332.0000,1332.0000,1318.0000,546966871,7209023,6780061,512763,355,,,546966871.00,
