Historical Prices - DELEK GROUP - 01084128
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,86300.0000,86300.0000,2.21,85270.0000,84430.0000,86400.0000,85270.0000,11983595,10341842,7300043,8493,521,,,11983595.00,
28/05/2017,84430.0000,84430.0000,1.11,84250.0000,83500.0000,85230.0000,84230.0000,11983595,10117749,4574236,5399,386,,,11983595.00,
25/05/2017,83500.0000,83500.0000,0.55,83450.0000,83040.0000,84360.0000,83310.0000,11983595,10006302,11254667,13470,503,,,11983595.00,
24/05/2017,83040.0000,83040.0000,-1.34,84170.0000,84170.0000,84200.0000,83000.0000,11983595,9951177,6365173,7620,626,,,11983595.00,
23/05/2017,84170.0000,84170.0000,-1.21,84800.0000,85200.0000,85190.0000,84090.0000,11983595,10086592,4395573,5199,383,,,11983595.00,
22/05/2017,85200.0000,85200.0000,-0.73,85830.0000,85830.0000,86490.0000,84880.0000,11983595,10210023,4940620,5794,456,,,11983595.00,
21/05/2017,85830.0000,85830.0000,-0.20,86670.0000,86000.0000,87020.0000,84980.0000,11983595,10285520,6005953,6957,493,,,11983595.00,
18/05/2017,86000.0000,86000.0000,-1.02,86890.0000,86890.0000,87180.0000,85230.0000,11983595,10305892,10987699,12749,831,,,11983595.00,
17/05/2017,86890.0000,86890.0000,1.88,85000.0000,85290.0000,86900.0000,84880.0000,11983595,10412546,13601673,15809,877,,,11983595.00,
16/05/2017,85290.0000,85290.0000,1.90,83970.0000,83700.0000,85500.0000,83490.0000,11983595,10220808,19309627,22763,1402,,,11983595.00,
15/05/2017,83700.0000,83700.0000,-0.95,84880.0000,84500.0000,84960.0000,83230.0000,11983595,10030269,8189099,9770,682,,,11983595.00,
14/05/2017,84500.0000,84500.0000,4.59,80790.0000,80790.0000,84790.0000,80790.0000,11983595,10126138,19810580,23758,986,,,11983595.00,
11/05/2017,80790.0000,80790.0000,-0.75,81100.0000,81400.0000,81960.0000,80600.0000,11983595,9681546,13668694,16848,892,,,11983595.00,
10/05/2017,81400.0000,81400.0000,-0.12,81500.0000,81500.0000,81930.0000,80920.0000,11983595,9754646,7691452,9457,573,,,11983595.00,
09/05/2017,81500.0000,81500.0000,0.17,81250.0000,81360.0000,81970.0000,80840.0000,11983595,9766630,16356972,20087,1016,,,11983595.00,
08/05/2017,81360.0000,81360.0000,-0.15,81400.0000,81480.0000,81990.0000,81120.0000,11983595,9749853,10775327,13228,758,,,11983595.00,
07/05/2017,81480.0000,81480.0000,-0.22,81700.0000,81660.0000,82020.0000,80910.0000,11983595,9764233,8536566,10468,657,,,11983595.00,
04/05/2017,81660.0000,81660.0000,-1.13,82970.0000,82590.0000,83000.0000,81660.0000,11983595,9785804,13407392,16308,695,,,11983595.00,
03/05/2017,82590.0000,82590.0000,1.20,81610.0000,81610.0000,82700.0000,81510.0000,11983595,9897251,9688310,11804,605,,,11983595.00,
30/04/2017,81610.0000,81610.0000,0.27,81750.0000,81390.0000,82520.0000,81450.0000,11983595,9779812,6537414,7969,408,,,11983595.00,
27/04/2017,81390.0000,81390.0000,-0.01,81000.0000,81400.0000,81990.0000,80850.0000,11983595,9753448,14816206,18230,792,,,11983595.00,
26/04/2017,81400.0000,81400.0000,-1.15,82350.0000,82350.0000,82800.0000,81000.0000,11983595,9754646,11080848,13520,774,,,11983595.00,
25/04/2017,82350.0000,82350.0000,1.10,81450.0000,81450.0000,84140.0000,80940.0000,11983595,9868490,24790714,30007,1162,,,11983595.00,
24/04/2017,81450.0000,81450.0000,1.31,80880.0000,80400.0000,81960.0000,80600.0000,11983595,9760638,8146614,10005,653,,,11983595.00,
23/04/2017,80400.0000,80400.0000,0.12,80400.0000,80300.0000,80850.0000,80060.0000,11983595,9634810,4827746,6001,407,,,11983595.00,
20/04/2017,80300.0000,80300.0000,-1.08,81200.0000,81180.0000,81230.0000,80170.0000,11983595,9622827,8189930,10138,578,EX D,0.97984,11983595.00,
19/04/2017,81179.7440,82850.0000,1.79,81840.0000,81390.0000,83000.0000,81580.0000,11983595,9928408,9997424,12112,624,,,11983595.00,
18/04/2017,79749.1776,81390.0000,0.63,81400.0000,80880.0000,81920.0000,80560.0000,11983595,9753448,11929993,14698,813,,,11983595.00,
13/04/2017,79249.4592,80880.0000,-1.31,82000.0000,81950.0000,82760.0000,80760.0000,11983595,9692332,11564085,14187,666,,,11983595.00,
12/04/2017,80297.8880,81950.0000,-1.05,82550.0000,82820.0000,83960.0000,81950.0000,11983595,9820556,6764917,8171,636,,,11983595.00,
09/04/2017,81150.3488,82820.0000,-2.51,85500.0000,84950.0000,85500.0000,82270.0000,11983595,9924813,10713879,12837,743,,,11983595.00,
06/04/2017,83237.4080,84950.0000,-2.96,86510.0000,87540.0000,87500.0000,83950.0000,11983595,10180064,28633925,33516,1441,,,11983595.00,
05/04/2017,85775.1936,87540.0000,0.72,87290.0000,86910.0000,87540.0000,86480.0000,11983595,10490439,8163794,9382,640,,,11983595.00,
04/04/2017,85157.8944,86910.0000,-0.10,86500.0000,87000.0000,87560.0000,86230.0000,11983595,10414942,8019817,9206,548,,,11983595.00,
03/04/2017,85246.0800,87000.0000,-0.42,87370.0000,87370.0000,88160.0000,86690.0000,11983595,10425728,9173846,10502,612,,,11983595.00,
02/04/2017,85608.6208,87370.0000,0.43,86560.0000,87000.0000,88000.0000,86560.0000,11983595,10470067,4063635,4648,257,,,11983595.00,
30/03/2017,85246.0800,87000.0000,0.69,85960.0000,86400.0000,87540.0000,85960.0000,11983595,10425728,16542393,19144,558,,,11983595.00,
29/03/2017,84658.1760,86400.0000,-1.06,87000.0000,87330.0000,87600.0000,86400.0000,11983595,10353826,6315789,7274,487,,,11983595.00,
28/03/2017,85569.4272,87330.0000,1.58,85900.0000,85970.0000,87330.0000,85500.0000,11983595,10465274,7745751,8944,574,,,11983595.00,
27/03/2017,84236.8448,85970.0000,-0.83,86100.0000,86690.0000,86840.0000,85900.0000,11983595,10302297,6094829,7073,466,,,11983595.00,
26/03/2017,84942.3296,86690.0000,-0.17,87000.0000,86840.0000,87500.0000,86110.0000,11983595,10388579,3939651,4542,309,,,11983595.00,
23/03/2017,85089.3056,86840.0000,-0.98,87260.0000,87700.0000,88280.0000,86800.0000,11983595,10406554,8072901,9239,632,,,11983595.00,
22/03/2017,85931.9680,87700.0000,0.25,87020.0000,87480.0000,87900.0000,86820.0000,11983595,10509613,12201930,13972,705,,,11983595.00,
21/03/2017,85716.4032,87480.0000,-0.36,88250.0000,87800.0000,89260.0000,87480.0000,11983595,10483249,13339002,15032,874,,,11983595.00,
20/03/2017,86029.9520,87800.0000,0.76,87500.0000,87140.0000,88370.0000,87140.0000,11983595,10521596,9675044,11014,482,,,11983595.00,
