Historical Prices - DUNIEC - 00400010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7021.0000,7021.0000,0.06,7017.0000,7017.0000,7149.0000,6600.0000,5117575,359305,921294,13324,135,,,5117575.00,
28/05/2017,7017.0000,7017.0000,-3.39,7263.0000,7263.0000,7241.0000,7010.0000,5117575,359100,231670,3262,43,,,5117575.00,
25/05/2017,7263.0000,7263.0000,-1.40,7366.0000,7366.0000,7397.0000,7210.0000,5117575,371689,330651,4521,46,,,5117575.00,
24/05/2017,7366.0000,7366.0000,0.31,7343.0000,7343.0000,7397.0000,7191.0000,5117575,376961,161229,2202,47,,,5117575.00,
23/05/2017,7343.0000,7343.0000,1.06,7266.0000,7266.0000,7399.0000,7120.0000,5117575,375784,221425,3053,51,,,5117575.00,
22/05/2017,7266.0000,7266.0000,3.67,7009.0000,7009.0000,7394.0000,7009.0000,5117575,371843,342846,4742,70,,,5117575.00,
21/05/2017,7009.0000,7009.0000,2.74,6822.0000,6822.0000,7169.0000,6871.0000,5117575,358691,168371,2407,36,,,5117575.00,
18/05/2017,6822.0000,6822.0000,-4.28,6913.0000,7127.0000,7394.0000,6653.0000,5117575,349121,634455,9202,100,,,5117575.00,
17/05/2017,7127.0000,7127.0000,-4.12,7433.0000,7433.0000,7400.0000,7100.0000,5117575,364730,436239,6069,92,,,5117575.00,
16/05/2017,7433.0000,7433.0000,-0.89,7500.0000,7500.0000,7588.0000,7261.0000,5117575,380389,284981,3806,62,,,5117575.00,
15/05/2017,7500.0000,7500.0000,1.16,7414.0000,7414.0000,7600.0000,7310.0000,5117575,383818,300652,3997,75,,,5117575.00,
14/05/2017,7414.0000,7414.0000,3.10,7191.0000,7191.0000,7624.0000,7236.0000,5117575,379417,535753,7225,85,,,5117575.00,
11/05/2017,7191.0000,7191.0000,1.30,7099.0000,7099.0000,7277.0000,7100.0000,5117575,368005,260928,3620,52,,,5117575.00,
10/05/2017,7099.0000,7099.0000,0.24,7082.0000,7082.0000,7200.0000,6900.0000,5117575,363297,597860,8490,74,,,5117575.00,
09/05/2017,7082.0000,7082.0000,1.90,7050.0000,6950.0000,7285.0000,7000.0000,5117575,362427,747497,10474,127,,,5117575.00,
08/05/2017,6950.0000,6950.0000,6.48,6580.0000,6527.0000,7020.0000,6524.0000,5117575,355671,1679257,24774,218,,,5117575.00,
07/05/2017,6527.0000,6527.0000,3.46,6409.0000,6309.0000,6562.0000,6251.0000,5117575,334024,592199,9274,96,,,5117575.00,
04/05/2017,6309.0000,6309.0000,-0.08,6314.0000,6314.0000,6494.0000,6208.0000,5117575,322868,641463,10152,91,,,5117575.00,
03/05/2017,6314.0000,6314.0000,-0.39,6310.0000,6339.0000,6348.0000,6130.0000,5117575,323124,897835,14461,143,,,5117575.00,
30/04/2017,6339.0000,6339.0000,-2.91,6590.0000,6529.0000,6590.0000,6334.0000,5117575,324403,507271,7971,78,,,5117575.00,
27/04/2017,6529.0000,6529.0000,-1.76,6600.0000,6646.0000,6600.0000,6502.0000,5117575,334126,565000,8659,98,,,5117575.00,
26/04/2017,6646.0000,6646.0000,-2.45,6676.0000,6813.0000,6975.0000,6634.0000,5117575,340114,524347,7808,108,,,5117575.00,
25/04/2017,6813.0000,6813.0000,-3.05,7027.0000,7027.0000,6956.0000,6750.0000,5117575,348660,706133,10343,118,,,5117575.00,
24/04/2017,7027.0000,7027.0000,-1.32,7121.0000,7121.0000,7298.0000,6970.0000,5117575,359612,560661,7880,73,,,5117575.00,
23/04/2017,7121.0000,7121.0000,-1.55,7233.0000,7233.0000,7299.0000,7052.0000,5117575,364423,292518,4114,52,,,5117575.00,
20/04/2017,7233.0000,7233.0000,-0.70,7270.0000,7284.0000,7342.0000,7102.0000,5117575,370154,479478,6656,82,,,5117575.00,
19/04/2017,7284.0000,7284.0000,-2.10,7440.0000,7440.0000,7588.0000,7268.0000,5117575,372764,725448,9882,111,,,5117575.00,
18/04/2017,7440.0000,7440.0000,-2.20,7607.0000,7607.0000,7723.0000,7292.0000,5117575,380748,209493,2795,52,,,5117575.00,
13/04/2017,7607.0000,7607.0000,-1.48,7721.0000,7721.0000,7800.0000,7600.0000,5117575,389294,271212,3541,51,,,5117575.00,
