נתונים היסטוריים - אבוג'ן - 01105055
מתאריך 29/05/2012 עד תאריך 29/05/2017, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד
28/05/2017,1852.0000,1852.0000,0.27,1892.0000,1847.0000,1892.0000,1846.0000,25670571,475419,135850,7279,59,,,25657809.00,
25/05/2017,1847.0000,1847.0000,-1.39,1875.0000,1873.0000,1887.0000,1840.0000,25670571,474135,820352,44167,185,,,25657809.00,
24/05/2017,1873.0000,1873.0000,-0.05,1841.0000,1874.0000,1875.0000,1841.0000,25670571,480810,258195,13807,77,,,25657809.00,
23/05/2017,1874.0000,1874.0000,-0.21,1878.0000,1878.0000,1880.0000,1866.0000,25670571,481067,315027,16810,67,,,25657809.00,
22/05/2017,1878.0000,1878.0000,0.27,1894.0000,1873.0000,1894.0000,1860.0000,25670571,482093,659988,35239,155,,,25657809.00,
21/05/2017,1873.0000,1873.0000,-1.27,1897.0000,1897.0000,1948.0000,1830.0000,25670571,480810,365371,19306,103,,,25657809.00,
18/05/2017,1897.0000,1897.0000,1.39,1855.0000,1871.0000,1910.0000,1838.0000,25670571,486971,510132,27203,176,,,25657809.00,
17/05/2017,1871.0000,1871.0000,-2.20,1913.0000,1913.0000,1927.0000,1856.0000,25670571,480296,461816,24684,101,,,25657809.00,
16/05/2017,1913.0000,1913.0000,-0.26,1918.0000,1918.0000,1947.0000,1898.0000,25670571,491078,195151,10180,65,,,25657809.00,
15/05/2017,1918.0000,1918.0000,-0.47,1927.0000,1927.0000,1934.0000,1908.0000,25670571,492362,139481,7265,46,,,25657809.00,
14/05/2017,1927.0000,1927.0000,1.05,1907.0000,1907.0000,1946.0000,1894.0000,25670571,494672,245734,12794,78,,,25657809.00,
11/05/2017,1907.0000,1907.0000,1.54,1878.0000,1878.0000,1965.0000,1879.0000,25670571,489538,542597,28386,139,,,25657809.00,
10/05/2017,1878.0000,1878.0000,-0.53,1933.0000,1888.0000,1933.0000,1859.0000,25667809,482041,202805,10794,76,,,25657809.00,
09/05/2017,1888.0000,1888.0000,0.80,1873.0000,1873.0000,1897.0000,1869.0000,25667809,484608,195485,10387,49,,,25657809.00,
08/05/2017,1873.0000,1873.0000,-0.21,1877.0000,1877.0000,1885.0000,1855.0000,25667809,480758,157016,8405,61,,,25657809.00,
07/05/2017,1877.0000,1877.0000,1.73,1832.0000,1845.0000,1900.0000,1832.0000,25667809,481785,141925,7588,52,,,25657809.00,
04/05/2017,1845.0000,1845.0000,-0.54,1855.0000,1855.0000,1872.0000,1832.0000,25667809,473571,448201,24231,83,,,25500809.00,
03/05/2017,1855.0000,1855.0000,-0.59,1879.0000,1866.0000,1879.0000,1847.0000,25667809,476138,443188,23858,86,,,25500809.00,
30/04/2017,1866.0000,1866.0000,1.03,1831.0000,1847.0000,1875.0000,1829.0000,25667809,478961,301500,16255,86,,,25500809.00,
27/04/2017,1847.0000,1847.0000,-1.07,1878.0000,1867.0000,1878.0000,1818.0000,25667809,474084,266514,14386,63,,,25500809.00,
26/04/2017,1867.0000,1867.0000,-0.05,1868.0000,1868.0000,1919.0000,1847.0000,25667809,479218,322571,17285,90,,,25500809.00,
25/04/2017,1868.0000,1868.0000,-0.43,1876.0000,1876.0000,1888.0000,1851.0000,25667809,479475,98096,5256,35,,,25500809.00,
24/04/2017,1876.0000,1876.0000,0.86,1870.0000,1860.0000,1909.0000,1846.0000,25667809,481528,283298,15135,90,,,25500809.00,
23/04/2017,1860.0000,1860.0000,-1.01,1879.0000,1879.0000,1899.0000,1818.0000,25657809,477235,158545,8535,53,,,25500809.00,
20/04/2017,1879.0000,1879.0000,-1.62,1910.0000,1910.0000,1924.0000,1830.0000,25657809,482110,905353,48394,178,,,25500809.00,
19/04/2017,1910.0000,1910.0000,0.95,1892.0000,1892.0000,1936.0000,1852.0000,25657809,490064,384658,20401,126,,,25500809.00,
18/04/2017,1892.0000,1892.0000,-1.56,1922.0000,1922.0000,1938.0000,1874.0000,25657809,485446,952436,50293,207,,,25500809.00,
13/04/2017,1922.0000,1922.0000,0.52,1912.0000,1912.0000,1936.0000,1911.0000,25657809,493143,73056,3805,27,,,25500809.00,
12/04/2017,1912.0000,1912.0000,-0.62,1924.0000,1924.0000,1939.0000,1888.0000,25657809,490577,66473,3473,25,,,25500809.00,
09/04/2017,1924.0000,1924.0000,0.42,1910.0000,1916.0000,1935.0000,1900.0000,25647809,493464,238769,12441,31,,,25500809.00,
06/04/2017,1916.0000,1916.0000,0.10,1912.0000,1914.0000,1916.0000,1888.0000,25647809,491412,4286336,225090,103,,,25480809.00,
05/04/2017,1914.0000,1914.0000,0.21,1910.0000,1910.0000,1926.0000,1900.0000,25647809,490899,632612,33130,105,,,25480809.00,
04/04/2017,1910.0000,1910.0000,0.16,1907.0000,1907.0000,1938.0000,1890.0000,25647809,489873,385607,20225,87,,,25480809.00,
03/04/2017,1907.0000,1907.0000,0.37,1900.0000,1900.0000,1946.0000,1892.0000,25637850,488914,458808,24084,90,,,25480809.00,
02/04/2017,1900.0000,1900.0000,-1.40,1927.0000,1927.0000,1927.0000,1885.0000,25619809,486776,316365,16648,61,,,25480809.00,
30/03/2017,1927.0000,1927.0000,0.42,1919.0000,1919.0000,1949.0000,1890.0000,25610809,493520,270894,14066,92,,,25480809.00,
29/03/2017,1919.0000,1919.0000,-0.62,1931.0000,1931.0000,1942.0000,1889.0000,25610809,491471,1171734,61558,85,,,25480809.00,
28/03/2017,1931.0000,1931.0000,2.82,1914.0000,1878.0000,1962.0000,1862.0000,25610809,494545,506141,26571,142,,,25480809.00,
27/03/2017,1878.0000,1878.0000,-0.37,1885.0000,1885.0000,1892.0000,1857.0000,25610809,480971,196846,10509,47,,,25480809.00,
26/03/2017,1885.0000,1885.0000,0.00,1885.0000,1885.0000,1915.0000,1877.0000,25610809,482764,218470,11585,67,,,25480809.00,
23/03/2017,1885.0000,1885.0000,0.21,1881.0000,1881.0000,1904.0000,1877.0000,25592121,482411,147162,7810,42,,,25480809.00,
22/03/2017,1881.0000,1881.0000,-0.53,1903.0000,1891.0000,1903.0000,1810.0000,25503339,479718,722123,38395,186,,,25480809.00,
21/03/2017,1891.0000,1891.0000,-0.26,1896.0000,1896.0000,1916.0000,1870.0000,25503339,482268,553906,29194,142,,,25480809.00,
20/03/2017,1896.0000,1896.0000,-0.26,1901.0000,1901.0000,1919.0000,1881.0000,25503339,483543,175058,9226,57,,,25480809.00,
19/03/2017,1901.0000,1901.0000,-0.05,1902.0000,1902.0000,1947.0000,1891.0000,25500809,484770,270144,14213,84,,,25480809.00,
16/03/2017,1902.0000,1902.0000,-0.42,1910.0000,1910.0000,1959.0000,1863.0000,25500809,485025,783851,40790,155,,,25480809.00,
15/03/2017,1910.0000,1910.0000,1.27,1886.0000,1886.0000,1928.0000,1879.0000,25500809,487065,690346,36533,144,,,25480809.00,
14/03/2017,1886.0000,1886.0000,-0.11,1888.0000,1888.0000,1909.0000,1881.0000,25500809,480945,380590,20132,95,,,25480809.00,
13/03/2017,1888.0000,1888.0000,0.91,1887.0000,1871.0000,1915.0000,1862.0000,25500809,481455,464358,24785,133,,,25480809.00,
09/03/2017,1871.0000,1871.0000,0.43,1863.0000,1863.0000,1889.0000,1855.0000,25500809,477120,248987,13341,59,,,25480809.00,
08/03/2017,1863.0000,1863.0000,0.76,1849.0000,1849.0000,1878.0000,1849.0000,25500809,475080,216547,11624,60,,,25480809.00,
07/03/2017,1849.0000,1849.0000,-1.33,1874.0000,1874.0000,1897.0000,1849.0000,25500809,471510,572167,30700,125,,,25480809.00,
06/03/2017,1874.0000,1874.0000,-1.21,1880.0000,1897.0000,1904.0000,1856.0000,25493140,477741,773242,41354,170,,,25480809.00,
05/03/2017,1897.0000,1897.0000,0.37,1899.0000,1890.0000,1954.0000,1878.0000,25480809,483371,311292,16455,41,,,25480809.00,
02/03/2017,1890.0000,1890.0000,0.00,1896.0000,1890.0000,1900.0000,1876.0000,25480809,481587,1458157,77206,165,,,25480809.00,
01/03/2017,1890.0000,1890.0000,-1.31,1948.0000,1915.0000,1948.0000,1884.0000,25480809,481587,757149,39939,141,,,25480809.00,
28/02/2017,1915.0000,1915.0000,-0.83,1958.0000,1931.0000,1958.0000,1908.0000,25480809,487957,517127,26858,111,,,25480809.00,
