נתונים היסטוריים - אדגר - 01820083
מתאריך 29/05/2012 עד תאריך 29/05/2017, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד
28/05/2017,644.7000,644.7000,0.72,640.1000,640.1000,647.8000,637.4000,114836924,740354,48722,7553,15,,,114836924.00,
25/05/2017,640.1000,640.1000,-0.14,641.0000,641.0000,645.6000,637.2000,114836924,735071,1950129,304655,98,,,114836924.00,
24/05/2017,641.0000,641.0000,-0.47,644.0000,644.0000,649.9000,640.0000,114836924,736105,170249,26448,20,,,114836924.00,
23/05/2017,644.0000,644.0000,0.80,638.9000,638.9000,649.8000,634.3000,114836924,739550,1433827,223725,61,,,114836924.00,
22/05/2017,638.9000,638.9000,-0.17,640.0000,640.0000,639.9000,637.5000,114836924,733693,62366,9762,17,,,114836924.00,
21/05/2017,640.0000,640.0000,0.11,639.3000,639.3000,645.7000,633.0000,114836924,734956,96495,15112,24,,,114836924.00,
18/05/2017,639.3000,639.3000,0.00,639.3000,639.3000,647.0000,633.1000,114836924,734152,1132532,177197,27,,,114836924.00,
17/05/2017,639.3000,639.3000,-0.88,645.0000,645.0000,649.4000,638.0000,114836924,734152,4516714,700793,105,,,114836924.00,
16/05/2017,645.0000,645.0000,1.05,638.3000,638.3000,650.0000,641.5000,114836924,740698,457650,70921,41,,,114836924.00,
15/05/2017,638.3000,638.3000,-0.82,643.6000,643.6000,643.6000,635.1000,114836924,733004,441182,68727,45,,,114836924.00,
14/05/2017,643.6000,643.6000,-0.20,644.9000,644.9000,644.9000,640.2000,114836924,739090,23653,3675,8,,,114836924.00,
11/05/2017,644.9000,644.9000,0.00,645.4000,644.9000,645.5000,636.7000,114836924,740583,41524,6439,12,,,114836924.00,
10/05/2017,644.9000,644.9000,0.42,642.2000,642.2000,648.8000,643.5000,114836924,740583,186263,28874,33,,,114836924.00,
09/05/2017,642.2000,642.2000,1.23,634.4000,634.4000,646.6000,635.0000,114836924,737483,106791,16698,23,,,114836924.00,
08/05/2017,634.4000,634.4000,-3.10,654.7000,654.7000,654.7000,628.8000,114836924,728525,465607,71838,36,,,114836924.00,
07/05/2017,654.7000,654.7000,1.99,641.9000,641.9000,655.0000,642.3000,114836924,751837,385504,59184,46,,,114836924.00,
04/05/2017,641.9000,641.9000,0.77,637.0000,637.0000,669.6000,627.5000,114836924,737138,594153,92394,52,,,114836924.00,
03/05/2017,637.0000,637.0000,0.57,633.4000,633.4000,638.0000,632.2000,114836924,731511,104498,16422,21,,,114836924.00,
30/04/2017,633.4000,633.4000,1.67,623.0000,623.0000,640.0000,631.1000,114836924,727377,186289,29235,27,,,114836924.00,
27/04/2017,623.0000,623.0000,1.96,611.0000,611.0000,625.0000,611.0000,114836924,715434,72025,11635,18,,,114836924.00,
26/04/2017,611.0000,611.0000,0.21,609.7000,609.7000,612.8000,604.3000,114836924,701654,154570,25345,28,,,114836924.00,
25/04/2017,609.7000,609.7000,1.09,603.1000,603.1000,621.0000,602.6000,114836924,700161,28333,4647,9,,,114836924.00,
24/04/2017,603.1000,603.1000,0.13,602.3000,602.3000,611.3000,602.2000,114836924,692581,51020,8460,11,,,114836924.00,
23/04/2017,602.3000,602.3000,-1.25,609.9000,609.9000,611.2000,600.0000,114836924,691663,116185,19260,25,,,114836924.00,
20/04/2017,609.9000,609.9000,-0.46,612.7000,612.7000,613.4000,602.5000,114836924,700390,143179,23500,27,,,114836924.00,
19/04/2017,612.7000,612.7000,-0.07,613.1000,613.1000,621.7000,610.7000,114836924,703606,75414,12320,18,,,114836924.00,
18/04/2017,613.1000,613.1000,-0.44,615.8000,615.8000,614.7000,611.5000,114836924,704065,67473,11005,13,,,114836924.00,
13/04/2017,615.8000,615.8000,-3.02,635.0000,635.0000,625.4000,611.4000,114836924,707166,39017,6336,11,,,114836924.00,
12/04/2017,635.0000,635.0000,0.03,647.2000,634.8000,647.2000,631.0000,114836924,729214,30170,4751,10,,,114836924.00,
09/04/2017,634.8000,634.8000,-1.57,644.9000,644.9000,647.2000,632.2000,114836924,728985,42707,6725,11,,,114836924.00,
06/04/2017,644.9000,644.9000,1.85,633.2000,633.2000,644.9000,634.7000,114836924,740583,503958,78598,43,,,114836924.00,
05/04/2017,633.2000,633.2000,1.74,622.4000,622.4000,646.6000,624.0000,114836924,727147,306379,48776,22,,,114836924.00,
04/04/2017,622.4000,622.4000,-0.78,627.3000,627.3000,624.9000,621.8000,114836924,714745,14235,2287,5,,,114836924.00,
03/04/2017,627.3000,627.3000,-0.44,630.1000,630.1000,628.5000,625.0000,114836924,720372,94891,15127,11,,,114836924.00,
02/04/2017,630.1000,630.1000,0.59,626.4000,626.4000,630.6000,618.0000,114836924,723587,110962,17649,20,,,114836924.00,
30/03/2017,626.4000,626.4000,0.00,626.4000,626.4000,628.2000,625.3000,114836924,719338,178224,28393,19,,,114836924.00,
29/03/2017,626.4000,626.4000,-0.59,630.1000,630.1000,628.0000,625.5000,114836924,719338,25217,4026,10,,,114836924.00,
28/03/2017,630.1000,630.1000,-0.80,635.2000,635.2000,639.6000,627.6000,114836924,723587,91317,14488,13,,,114836924.00,
27/03/2017,635.2000,635.2000,-0.69,639.2000,639.6000,639.9000,626.2000,114836924,729444,102158,16036,34,,,114836924.00,
26/03/2017,639.6000,639.6000,1.72,628.8000,628.8000,641.0000,622.1000,114836924,734497,1176655,183939,99,,,114836924.00,
23/03/2017,628.8000,628.8000,2.98,610.6000,610.6000,630.3000,611.0000,114836924,722095,5264622,846821,123,,,114836924.00,
22/03/2017,610.6000,610.6000,-1.25,618.3000,618.3000,620.0000,603.6000,114836924,701194,83869,13689,23,,,114836924.00,
21/03/2017,618.3000,618.3000,0.26,616.7000,616.7000,622.0000,610.1000,114836924,710037,77602,12550,21,,,114836924.00,
20/03/2017,616.7000,616.7000,3.82,594.0000,594.0000,620.1000,597.9000,114836924,708199,2316370,384670,63,,,114836924.00,
19/03/2017,594.0000,594.0000,-0.85,599.1000,599.1000,597.9000,586.8000,114836924,682131,159445,26809,28,,,114836924.00,
16/03/2017,599.1000,599.1000,2.73,583.2000,583.2000,603.9000,574.2000,114836924,687988,141843,24006,38,,,114836924.00,
15/03/2017,583.2000,583.2000,-0.10,583.8000,583.8000,588.7000,581.0000,114836924,669729,150204,25711,31,,,114836924.00,
14/03/2017,583.8000,583.8000,1.60,574.6000,574.6000,590.6000,572.0000,114836924,670418,166588,28496,37,,,114836924.00,
13/03/2017,574.6000,574.6000,4.34,550.7000,550.7000,575.0000,552.0000,114836924,659853,528857,92766,52,,,114836924.00,
09/03/2017,550.7000,550.7000,0.25,549.3000,549.3000,560.9000,550.2000,114836924,632407,142724,25826,36,,,114836924.00,
08/03/2017,549.3000,549.3000,-0.31,551.0000,551.0000,551.0000,549.0000,114836924,630799,51284,9331,15,,,114836924.00,
07/03/2017,551.0000,551.0000,-0.92,556.1000,556.1000,561.0000,548.8000,114836924,632751,138948,25229,38,,,114836924.00,
06/03/2017,556.1000,556.1000,-1.10,562.3000,562.3000,557.0000,553.1000,114836924,638608,129336,23305,29,,,114836924.00,
05/03/2017,562.3000,562.3000,-0.12,563.0000,563.0000,567.4000,558.9000,114836924,645728,127322,22628,21,,,114836924.00,
02/03/2017,563.0000,563.0000,1.44,555.0000,555.0000,567.0000,554.3000,114836924,646532,852098,151426,62,,,114836924.00,
01/03/2017,555.0000,555.0000,1.33,547.7000,547.7000,558.5000,546.7000,114836924,637345,110511,19923,17,,,114836924.00,
28/02/2017,547.7000,547.7000,-0.65,551.3000,551.3000,556.9000,542.0000,114836924,628962,353590,64585,61,,,114836924.00,
27/02/2017,551.3000,551.3000,0.11,550.7000,550.7000,563.8000,550.1000,114836924,633096,173902,31300,36,,,114836924.00,
26/02/2017,550.7000,550.7000,-0.38,552.8000,552.8000,560.1000,550.0000,114836924,632407,152947,27727,26,,,114836924.00,
23/02/2017,552.8000,552.8000,1.02,547.2000,547.2000,556.7000,545.2000,114836924,634819,132145,24042,33,,,114836924.00,
22/02/2017,547.2000,547.2000,-0.45,549.7000,549.7000,550.0000,545.1000,114836924,628388,96705,17674,26,,,114836924.00,
21/02/2017,549.7000,549.7000,0.18,548.7000,548.7000,551.5000,545.2000,114836924,631259,104050,18959,22,,,114836924.00,
20/02/2017,548.7000,548.7000,-0.35,550.6000,550.6000,552.2000,546.0000,114836924,630110,73675,13427,24,,,114836924.00,
19/02/2017,550.6000,550.6000,-0.49,553.3000,553.3000,551.5000,549.1000,114836924,632292,48691,8844,14,,,114836924.00,
16/02/2017,553.3000,553.3000,-2.91,569.9000,569.9000,566.5000,548.0000,114836924,635393,273526,49239,54,,,114836924.00,
15/02/2017,569.9000,569.9000,-0.70,573.9000,573.9000,571.5000,569.7000,114836924,654456,62608,10982,18,,,114836924.00,
14/02/2017,573.9000,573.9000,0.47,571.2000,571.2000,576.0000,567.2000,114836924,659049,127663,22316,27,,,114836924.00,
13/02/2017,571.2000,571.2000,-0.75,575.5000,575.5000,577.5000,570.0000,114836924,655949,188266,32903,42,,,114836924.00,
12/02/2017,575.5000,575.5000,-2.44,589.9000,589.9000,589.6000,565.7000,114836924,660887,493949,85765,80,,,114836924.00,
09/02/2017,589.9000,589.9000,3.11,572.1000,572.1000,589.9000,571.0000,114836924,677423,4925937,836377,78,,,108610565.00,
08/02/2017,572.1000,572.1000,-0.42,574.5000,574.5000,574.1000,571.2000,114836924,656982,145746,25468,26,,,108610565.00,
07/02/2017,574.5000,574.5000,-0.54,577.6000,577.6000,575.6000,571.1000,114836924,659738,124073,21616,35,,,108610565.00,
06/02/2017,577.6000,577.6000,-0.36,579.7000,579.7000,578.4000,575.1000,114836924,663298,54395,9417,16,,,108610565.00,
05/02/2017,579.7000,579.7000,1.17,573.0000,573.0000,585.0000,572.5000,114836924,665710,158007,27221,26,,,108610565.00,
02/02/2017,573.0000,573.0000,-0.33,574.9000,574.9000,573.1000,572.0000,114836924,658016,130853,22836,19,,,108610565.00,
01/02/2017,574.9000,574.9000,-0.21,576.1000,576.1000,577.0000,574.0000,114836924,660197,101676,17685,29,,,108610565.00,
