נתונים היסטוריים - אוברסיז - 01139617
מתאריך 29/05/2012 עד תאריך 29/05/2017, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד
28/05/2017,780.0000,780.0000,1.71,766.9000,766.9000,780.0000,766.9000,54982850,428866,1157587,150666,35,,,54502850.00,
25/05/2017,766.9000,766.9000,-1.29,776.9000,776.9000,780.0000,765.0000,54982850,421663,579132,74879,56,,,54502850.00,
24/05/2017,776.9000,776.9000,0.01,776.8000,776.8000,780.0000,776.0000,54742850,425297,1094119,140686,41,,,54502850.00,
23/05/2017,776.8000,776.8000,0.09,776.1000,776.1000,777.0000,775.9000,54742850,425242,311765,40129,25,,,54502850.00,
22/05/2017,776.1000,776.1000,-0.28,778.3000,778.3000,780.0000,767.0000,54742850,424859,514430,66041,68,,,54502850.00,
21/05/2017,778.3000,778.3000,0.12,777.4000,777.4000,780.0000,770.0000,54742850,426064,841113,108032,80,,,54502850.00,
18/05/2017,777.4000,777.4000,1.04,770.0000,769.4000,788.1000,760.9000,54742850,425571,165333,21339,37,,,54502850.00,
17/05/2017,769.4000,769.4000,-0.12,773.0000,770.3000,779.9000,762.0000,54742850,421191,250970,32601,62,,,54502850.00,
16/05/2017,770.3000,770.3000,-2.00,790.0000,786.0000,792.0000,767.9000,54742850,421684,1972664,252237,108,,,54502850.00,
15/05/2017,786.0000,786.0000,-0.87,800.0000,792.9000,800.0000,783.6000,54502850,428392,4357697,551655,53,,,54502850.00,
14/05/2017,792.9000,792.9000,1.04,798.0000,784.7000,799.0000,784.4000,54502850,432153,241881,30660,35,,,54502850.00,
11/05/2017,784.7000,784.7000,0.00,784.7000,784.7000,785.7000,774.1000,54502850,427684,2098001,268171,75,,,54502850.00,
