נתונים היסטוריים - אורמת טכנו - 01134402
מתאריך 29/05/2012 עד תאריך 29/05/2017, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד
28/05/2017,21240.0000,21240.0000,2.86,21250.0000,20650.0000,21260.0000,21120.0000,49706450,10557650,5257171,24809,325,,,49706450.00,
25/05/2017,20650.0000,20650.0000,-0.77,20710.0000,20810.0000,20800.0000,20630.0000,49706450,10264382,25844324,124770,524,,,49706450.00,
24/05/2017,20810.0000,20810.0000,0.24,20770.0000,20760.0000,20880.0000,20640.0000,49706450,10343912,5463085,26366,442,,,49706450.00,
23/05/2017,20760.0000,20760.0000,1.57,20550.0000,20440.0000,20770.0000,20550.0000,49706450,10319059,3775075,18271,321,,,49706450.00,
22/05/2017,20440.0000,20440.0000,-1.02,20590.0000,20650.0000,20700.0000,20360.0000,49706450,10159998,9875695,48053,573,ב"ד,0.99855,49706450.00,
21/05/2017,20650.0140,20680.0000,1.57,20530.0000,20360.0000,20680.0000,20320.0000,49706450,10279294,5119659,25028,419,,,49706450.00,
18/05/2017,20330.4780,20360.0000,0.64,20450.0000,20230.0000,20500.0000,20200.0000,49706450,10120233,13796590,67602,866,,,49706450.00,
17/05/2017,20200.6665,20230.0000,-1.56,20400.0000,20550.0000,20430.0000,20150.0000,49706450,10055615,7501733,36949,495,,,49706450.00,
16/05/2017,20520.2025,20550.0000,-0.82,20710.0000,20720.0000,20720.0000,20490.0000,49706450,10214675,8190016,39837,601,,,49706450.00,
15/05/2017,20689.9560,20720.0000,0.53,20690.0000,20610.0000,20740.0000,20330.0000,49706450,10299176,12085935,58881,707,,,49706450.00,
14/05/2017,20580.1155,20610.0000,-0.53,20470.0000,20720.0000,20800.0000,20440.0000,49706450,10244499,10382926,50334,520,,,49706450.00,
11/05/2017,20689.9560,20720.0000,0.63,20650.0000,20590.0000,20900.0000,20600.0000,49706450,10299176,39809737,192026,1096,,,49706450.00,
10/05/2017,20560.1445,20590.0000,-2.97,20700.0000,21220.0000,20750.0000,20520.0000,49706450,10234558,13231865,64192,822,,,49706450.00,
09/05/2017,21189.2310,21220.0000,4.48,20630.0000,20310.0000,21730.0000,20630.0000,49706450,10547709,32259643,152831,1294,,,49706450.00,
08/05/2017,20280.5505,20310.0000,-1.65,20600.0000,20650.0000,20620.0000,20140.0000,49706450,10095380,32895864,161665,1481,,,49706450.00,
07/05/2017,20620.0575,20650.0000,-2.41,20770.0000,21160.0000,20780.0000,20630.0000,49706450,10264382,15818925,76355,875,,,49706450.00,
04/05/2017,21129.3180,21160.0000,-2.08,21470.0000,21610.0000,21550.0000,21160.0000,49706450,10517885,22830618,107134,608,,,49667340.00,
03/05/2017,21578.6655,21610.0000,2.03,21400.0000,21180.0000,21740.0000,21400.0000,49706450,10741564,18834648,87161,836,,,49667340.00,
30/04/2017,21149.2890,21180.0000,-2.26,21450.0000,21670.0000,21650.0000,21100.0000,49706450,10527826,3321132,15532,262,,,49667340.00,
27/04/2017,21638.5785,21670.0000,1.03,21600.0000,21450.0000,21820.0000,21450.0000,49706450,10771388,22876955,105839,962,,,49667340.00,
26/04/2017,21418.8975,21450.0000,-0.37,21340.0000,21530.0000,21520.0000,21340.0000,49706450,10662034,8718754,40678,699,,,49667340.00,
25/04/2017,21498.7815,21530.0000,-0.05,21400.0000,21540.0000,21550.0000,21310.0000,49706450,10701799,4906820,22913,358,,,49667340.00,
24/04/2017,21508.7670,21540.0000,2.18,21140.0000,21080.0000,21570.0000,21140.0000,49706450,10706769,14249750,66570,850,,,49667340.00,
23/04/2017,21049.4340,21080.0000,1.01,21070.0000,20870.0000,21200.0000,20980.0000,49706450,10478120,4983029,23631,353,,,49667340.00,
20/04/2017,20839.7385,20870.0000,-1.23,21120.0000,21130.0000,21120.0000,20870.0000,49706450,10373736,5045712,24027,314,,,49667340.00,
19/04/2017,21099.3615,21130.0000,0.19,21110.0000,21090.0000,21300.0000,21110.0000,49706450,10502973,4053653,19117,319,,,49667340.00,
18/04/2017,21059.4195,21090.0000,0.43,21060.0000,21000.0000,21290.0000,20970.0000,49706450,10483090,7479055,35445,485,,,49667340.00,
13/04/2017,20969.5500,21000.0000,-0.90,21130.0000,21190.0000,21290.0000,21000.0000,49706450,10438355,5052643,23932,287,,,49667340.00,
12/04/2017,21159.2745,21190.0000,0.19,21150.0000,21150.0000,21340.0000,21100.0000,49706450,10532797,4692452,22119,314,,,49667340.00,
09/04/2017,21119.3325,21150.0000,0.57,21000.0000,21030.0000,21280.0000,20810.0000,49706450,10512914,2722286,12908,289,,,49667340.00,
06/04/2017,20999.5065,21030.0000,-1.96,21070.0000,21450.0000,21280.0000,21030.0000,49706450,10453266,28840129,136595,772,,,49667340.00,
05/04/2017,21418.8975,21450.0000,2.24,20980.0000,20980.0000,21450.0000,20980.0000,49706450,10662034,10536545,49617,627,,,49667340.00,
04/04/2017,20949.5790,20980.0000,0.96,20890.0000,20780.0000,21070.0000,20840.0000,49706450,10428413,8167706,38945,536,,,49667340.00,
