Historical Prices - E&M - 00382010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1331.0000,1331.0000,-8.27,1410.0000,1451.0000,1410.0000,1313.0000,44319287,589890,1666469,121954,170,,,44319287.00,
28/05/2017,1451.0000,1451.0000,-2.49,1488.0000,1488.0000,1489.0000,1430.0000,44319287,643073,929726,63811,63,,,44319287.00,
25/05/2017,1488.0000,1488.0000,1.71,1463.0000,1463.0000,1497.0000,1449.0000,44319287,659471,498920,34047,56,,,44319287.00,
24/05/2017,1463.0000,1463.0000,-2.21,1509.0000,1496.0000,1509.0000,1449.0000,44319287,648391,281538,19109,60,,,44319287.00,
23/05/2017,1496.0000,1496.0000,0.40,1490.0000,1490.0000,1500.0000,1479.0000,44319287,663017,296510,19905,41,,,44319287.00,
22/05/2017,1490.0000,1490.0000,0.34,1485.0000,1485.0000,1497.0000,1470.0000,44319287,660357,131809,8865,35,,,44319287.00,
21/05/2017,1485.0000,1485.0000,0.13,1520.0000,1483.0000,1520.0000,1482.0000,44319287,658141,466457,31332,45,,,44319287.00,
18/05/2017,1483.0000,1483.0000,0.07,1470.0000,1482.0000,1492.0000,1440.0000,44319287,657255,249340,16921,55,,,44319287.00,
17/05/2017,1482.0000,1482.0000,-1.66,1507.0000,1507.0000,1505.0000,1480.0000,44319287,656812,410812,27585,64,,,44319287.00,
16/05/2017,1507.0000,1507.0000,-0.07,1508.0000,1508.0000,1510.0000,1505.0000,44319287,667892,122761,8142,37,,,44319287.00,
15/05/2017,1508.0000,1508.0000,-1.18,1526.0000,1526.0000,1514.0000,1489.0000,44319287,668335,334975,22200,42,,,44319287.00,
14/05/2017,1526.0000,1526.0000,0.00,1526.0000,1526.0000,1540.0000,1518.0000,44319287,676312,575279,37625,53,,,44319287.00,
11/05/2017,1526.0000,1526.0000,0.46,1519.0000,1519.0000,1532.0000,1500.0000,44319287,676312,388729,25452,49,,,44319287.00,
10/05/2017,1519.0000,1519.0000,0.20,1516.0000,1516.0000,1529.0000,1510.0000,44319287,673210,242703,15992,44,,,44319287.00,
09/05/2017,1516.0000,1516.0000,1.88,1488.0000,1488.0000,1519.0000,1488.0000,44319287,671880,297942,19827,38,,,44319287.00,
08/05/2017,1488.0000,1488.0000,-0.73,1499.0000,1499.0000,1499.0000,1480.0000,44319287,659471,49463,3324,18,,,44319287.00,
07/05/2017,1499.0000,1499.0000,2.67,1461.0000,1460.0000,1499.0000,1461.0000,44319287,664346,237466,15955,31,,,44319287.00,
04/05/2017,1460.0000,1460.0000,-1.35,1480.0000,1480.0000,1490.0000,1427.0000,44319287,647062,782686,53572,48,,,44319287.00,
03/05/2017,1480.0000,1480.0000,-0.20,1483.0000,1483.0000,1497.0000,1460.0000,44319287,655925,662085,44885,31,,,44319287.00,
30/04/2017,1483.0000,1483.0000,0.61,1474.0000,1474.0000,1490.0000,1461.0000,44319287,657255,236844,16017,22,,,44319287.00,
27/04/2017,1474.0000,1474.0000,2.01,1460.0000,1445.0000,1476.0000,1424.0000,44319287,653266,374976,25526,53,,,44319287.00,
26/04/2017,1445.0000,1445.0000,0.07,1443.0000,1444.0000,1459.0000,1437.0000,44319287,640414,132272,9161,16,,,44319287.00,
25/04/2017,1444.0000,1444.0000,0.00,1444.0000,1444.0000,1454.0000,1437.0000,44319287,639971,52175,3615,17,,,44319287.00,
24/04/2017,1444.0000,1444.0000,1.48,1422.0000,1423.0000,1454.0000,1414.0000,44319287,639971,322783,22348,40,,,44319287.00,
23/04/2017,1423.0000,1423.0000,0.49,1416.0000,1416.0000,1437.0000,1413.0000,44319287,630663,177144,12422,29,,,44319287.00,
20/04/2017,1416.0000,1416.0000,0.57,1408.0000,1408.0000,1438.0000,1405.0000,44319287,627561,149491,10567,25,,,44319287.00,
19/04/2017,1408.0000,1408.0000,-0.49,1414.0000,1415.0000,1432.0000,1382.0000,44319287,624016,557615,39776,64,,,44319287.00,
18/04/2017,1415.0000,1415.0000,0.64,1406.0000,1406.0000,1440.0000,1398.0000,44319287,627118,226879,16032,30,EX D,0.98597,44319287.00,
13/04/2017,1405.9932,1426.0000,-0.83,1438.0000,1438.0000,1438.0000,1410.0000,44319287,631993,93312,6550,21,,,44319287.00,
