Historical Prices - ELECTRA CO  PR - 05010129
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7851.0000,7851.0000,-0.61,7899.0000,7899.0000,7928.0000,7851.0000,21687413,1702679,2112528,26746,294,,,21632257.00,
28/05/2017,7899.0000,7899.0000,-0.38,7953.0000,7929.0000,8000.0000,7801.0000,21687413,1713089,1303913,16486,203,,,21632257.00,
25/05/2017,7929.0000,7929.0000,-0.51,7900.0000,7970.0000,7999.0000,7857.0000,21687413,1719595,2100278,26539,316,,,21632257.00,
24/05/2017,7970.0000,7970.0000,0.50,7930.0000,7930.0000,8098.0000,7704.0000,21687413,1728487,2109508,26639,367,,,21632257.00,
23/05/2017,7930.0000,7930.0000,-0.11,7915.0000,7939.0000,7944.0000,7812.0000,21687413,1719812,2121856,26878,265,,,21632257.00,
22/05/2017,7939.0000,7939.0000,1.98,7725.0000,7785.0000,7950.0000,7725.0000,21687413,1721764,2041457,25845,330,,,21632257.00,
21/05/2017,7785.0000,7785.0000,3.74,7527.0000,7504.0000,7790.0000,7527.0000,21687413,1688365,1229474,15916,205,,,21632257.00,
18/05/2017,7504.0000,7504.0000,-3.05,7717.0000,7740.0000,7718.0000,7466.0000,21687413,1627423,2511631,33298,361,,,21632257.00,
17/05/2017,7740.0000,7740.0000,-3.23,8000.0000,7998.0000,8088.0000,7693.0000,21687413,1678606,2834511,36003,379,,,21632257.00,
16/05/2017,7998.0000,7998.0000,1.59,7873.0000,7873.0000,7998.0000,7820.0000,21687413,1734559,2232319,28167,297,,,21632257.00,
15/05/2017,7873.0000,7873.0000,-1.91,8106.0000,8026.0000,8134.0000,7841.0000,21687413,1707450,3806944,47961,439,,,21632257.00,
14/05/2017,8026.0000,8026.0000,0.70,7994.0000,7970.0000,8374.0000,7980.0000,21687413,1740632,3450417,42778,336,,,21632257.00,
11/05/2017,7970.0000,7970.0000,1.48,7854.0000,7854.0000,7983.0000,7800.0000,21687413,1728487,2279301,28804,291,,,21632257.00,
10/05/2017,7854.0000,7854.0000,-0.72,7900.0000,7911.0000,8000.0000,7802.0000,21687413,1703329,2852244,36106,311,,,21632257.00,
09/05/2017,7911.0000,7911.0000,0.91,7840.0000,7840.0000,7911.0000,7762.0000,21687413,1715691,3112998,39687,325,,,21632257.00,
08/05/2017,7840.0000,7840.0000,1.24,7744.0000,7744.0000,7850.0000,7680.0000,21687413,1700293,3757895,48558,373,,,21632257.00,
07/05/2017,7744.0000,7744.0000,1.52,7651.0000,7628.0000,7760.0000,7623.0000,21687413,1679473,2068549,26790,264,,,21632257.00,
04/05/2017,7628.0000,7628.0000,0.10,7600.0000,7620.0000,7697.0000,7503.0000,21687413,1654316,22097669,290500,316,,,21632257.00,
03/05/2017,7620.0000,7620.0000,0.98,7500.0000,7546.0000,7620.0000,7469.0000,21687413,1652581,6875614,91384,1115,,,21632257.00,
30/04/2017,7546.0000,7546.0000,-0.05,7620.0000,7550.0000,7620.0000,7514.0000,21687413,1636532,2921250,38756,194,,,21632257.00,
27/04/2017,7550.0000,7550.0000,-1.22,7643.0000,7643.0000,7672.0000,7525.0000,21687413,1637400,4828906,63423,471,,,21632257.00,
26/04/2017,7643.0000,7643.0000,2.95,7440.0000,7424.0000,7689.0000,7440.0000,21687413,1657569,5251484,69431,511,,,21632257.00,
25/04/2017,7424.0000,7424.0000,2.20,7264.0000,7264.0000,7429.0000,7241.0000,21687413,1610074,6918960,94277,616,,,21632257.00,
24/04/2017,7264.0000,7264.0000,-1.14,7370.0000,7348.0000,7444.0000,7215.0000,21687413,1575374,3598979,49277,418,,,21632257.00,
23/04/2017,7348.0000,7348.0000,-1.63,7420.0000,7470.0000,7462.0000,7246.0000,21687413,1593591,2382272,32485,274,,,21632257.00,
20/04/2017,7470.0000,7470.0000,-2.43,7656.0000,7656.0000,7656.0000,7429.0000,21687413,1620050,3393001,44886,349,,,21632257.00,
19/04/2017,7656.0000,7656.0000,3.78,7380.0000,7377.0000,7718.0000,7272.0000,21687413,1660388,3884998,52027,409,,,21632257.00,
18/04/2017,7377.0000,7377.0000,0.63,7381.0000,7331.0000,7480.0000,7232.0000,21632257,1595812,2741882,37290,374,,,21632257.00,
13/04/2017,7331.0000,7331.0000,0.31,7308.0000,7308.0000,7381.0000,7294.0000,21632257,1585861,4140800,56411,391,,,21632257.00,
12/04/2017,7308.0000,7308.0000,-5.57,7716.0000,7739.0000,7738.0000,7255.0000,21632257,1580885,5115395,68751,907,,,21632257.00,
