Historical Prices - ELECTRA REAL E. - 01094044
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,684.0000,684.0000,2.27,668.8000,668.8000,705.9000,668.8000,56409988,385844,148459,21793,36,,,56409988.00,
28/05/2017,668.8000,668.8000,1.29,660.3000,660.3000,675.8000,665.5000,56409988,377270,110710,16531,21,,,56409988.00,
25/05/2017,660.3000,660.3000,1.44,650.9000,650.9000,665.0000,649.9000,56409988,372475,223893,34255,36,,,56409988.00,
24/05/2017,650.9000,650.9000,-0.02,651.0000,651.0000,651.0000,649.8000,56409988,367173,569159,87441,51,,,56409988.00,
23/05/2017,651.0000,651.0000,-0.08,644.1000,651.5000,652.0000,644.1000,56409988,367229,138725,21389,41,,,56409988.00,
22/05/2017,651.5000,651.5000,-0.79,656.7000,656.7000,659.0000,647.0000,56409988,367511,127365,19458,19,,,56409988.00,
21/05/2017,656.7000,656.7000,1.08,649.7000,649.7000,673.7000,635.2000,56409988,370444,425533,64751,77,,,56409988.00,
18/05/2017,649.7000,649.7000,-3.26,670.9000,671.6000,670.9000,645.5000,56409988,366496,320701,49057,51,,,56409988.00,
17/05/2017,671.6000,671.6000,-3.34,694.8000,694.8000,696.2000,670.0000,56409988,378849,234069,34670,66,,,56409988.00,
16/05/2017,694.8000,694.8000,-2.14,710.0000,710.0000,720.8000,680.0000,56409988,391937,291829,41310,58,,,56409988.00,
15/05/2017,710.0000,710.0000,-2.47,728.0000,728.0000,724.1000,710.0000,56409988,400511,368333,51513,54,,,56409988.00,
14/05/2017,728.0000,728.0000,-1.22,737.0000,737.0000,740.0000,723.9000,56409988,410665,148419,20264,33,,,56409988.00,
11/05/2017,737.0000,737.0000,-1.19,746.4000,745.9000,748.0000,730.1000,56409988,415742,74204,10037,22,,,56409988.00,
10/05/2017,745.9000,745.9000,1.52,734.7000,734.7000,755.0000,730.0000,56409988,420762,154645,20856,44,,,56409988.00,
09/05/2017,734.7000,734.7000,0.88,728.3000,728.3000,742.0000,725.0000,56409988,414444,364317,49556,45,,,56409988.00,
08/05/2017,728.3000,728.3000,1.25,724.0000,719.3000,734.8000,723.0000,56409988,410834,841315,115649,71,,,56409988.00,
07/05/2017,719.3000,719.3000,1.40,709.4000,709.4000,735.0000,709.9000,56409988,405757,499995,69281,94,,,56409988.00,
04/05/2017,709.4000,709.4000,0.48,706.0000,706.0000,725.0000,705.5000,56409988,400172,547386,76745,54,,,56409988.00,
03/05/2017,706.0000,706.0000,-0.28,708.0000,708.0000,708.0000,698.8000,56409988,398255,172644,24484,23,,,56409988.00,
30/04/2017,708.0000,708.0000,-0.69,712.9000,712.9000,715.0000,701.3000,56409988,399383,136927,19314,30,,,56409988.00,
27/04/2017,712.9000,712.9000,4.10,684.8000,684.8000,719.9000,680.0000,56409988,402147,5426045,774930,74,,,56409988.00,
26/04/2017,684.8000,684.8000,0.51,681.3000,681.3000,691.4000,681.3000,56409988,386296,56112,8196,21,,,56409988.00,
25/04/2017,681.3000,681.3000,0.87,675.4000,675.4000,685.0000,675.0000,56409988,384321,47476,6969,13,,,56409988.00,
24/04/2017,675.4000,675.4000,0.31,672.8000,673.3000,680.0000,672.8000,56409988,380993,72637,10755,20,,,56409988.00,
23/04/2017,673.3000,673.3000,1.48,663.5000,663.5000,698.4000,664.0000,56409988,379808,55879,8304,13,,,56409988.00,
