Historical Prices - ELECTRA - 00739037
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,77110.0000,77110.0000,-1.65,78400.0000,78400.0000,78400.0000,77020.0000,3585588,2764847,1422790,1835,197,,,3584624.00,
28/05/2017,78400.0000,78400.0000,-1.20,79350.0000,79350.0000,79720.0000,77650.0000,3585588,2811101,1903814,2417,187,,,3584624.00,
25/05/2017,79350.0000,79350.0000,0.06,79540.0000,79300.0000,79870.0000,78600.0000,3585588,2845164,1698637,2142,180,,,3584624.00,
24/05/2017,79300.0000,79300.0000,-1.37,80400.0000,80400.0000,80450.0000,78610.0000,3585588,2843371,1826224,2296,261,,,3584624.00,
23/05/2017,80400.0000,80400.0000,0.65,79860.0000,79880.0000,80400.0000,78910.0000,3585588,2882813,3387656,4256,344,,,3584624.00,
22/05/2017,79880.0000,79880.0000,2.82,79230.0000,77690.0000,79970.0000,78420.0000,3585588,2864168,1759662,2218,209,,,3584624.00,
21/05/2017,77690.0000,77690.0000,-0.42,79000.0000,78020.0000,80200.0000,76360.0000,3585588,2785643,3146370,4036,347,,,3584624.00,
18/05/2017,78020.0000,78020.0000,-0.05,78060.0000,78060.0000,78950.0000,76100.0000,3585588,2797476,3365926,4383,349,,,3584624.00,
17/05/2017,78060.0000,78060.0000,-2.64,79940.0000,80180.0000,80930.0000,77920.0000,3585588,2798910,5384847,6833,367,,,3584624.00,
16/05/2017,80180.0000,80180.0000,0.91,79400.0000,79460.0000,80240.0000,79250.0000,3585588,2874924,2197088,2750,246,,,3584624.00,
15/05/2017,79460.0000,79460.0000,1.53,78300.0000,78260.0000,79500.0000,78300.0000,3585588,2849108,1688537,2140,240,,,3584624.00,
14/05/2017,78260.0000,78260.0000,-0.51,78640.0000,78660.0000,79200.0000,78030.0000,3585588,2806081,1735891,2206,184,,,3584624.00,
11/05/2017,78660.0000,78660.0000,1.80,77250.0000,77270.0000,79000.0000,77000.0000,3585588,2820424,1750348,2234,243,,,3584624.00,
10/05/2017,77270.0000,77270.0000,-2.44,79200.0000,79200.0000,79000.0000,77060.0000,3585588,2770584,2819064,3620,285,,,3584624.00,
09/05/2017,79200.0000,79200.0000,0.64,78700.0000,78700.0000,79200.0000,77330.0000,3585588,2839786,6717627,8618,351,,,3584624.00,
08/05/2017,78700.0000,78700.0000,-1.11,80770.0000,79580.0000,80770.0000,78000.0000,3585588,2821858,7421273,9423,343,,,3584624.00,
07/05/2017,79580.0000,79580.0000,0.21,79350.0000,79410.0000,79960.0000,78660.0000,3585588,2853411,2640457,3328,263,,,3584624.00,
04/05/2017,79410.0000,79410.0000,-2.04,81060.0000,81060.0000,81440.0000,79410.0000,3585588,2847315,7691555,9635,369,,,3584624.00,
03/05/2017,81060.0000,81060.0000,1.53,79840.0000,79840.0000,81180.0000,78820.0000,3585588,2906478,5654186,7072,329,,,3584624.00,
30/04/2017,79840.0000,79840.0000,1.01,80000.0000,79040.0000,80000.0000,79050.0000,3585588,2862733,2848739,3581,249,,,3584624.00,
27/04/2017,79040.0000,79040.0000,0.69,79990.0000,78500.0000,79990.0000,77320.0000,3585588,2834049,7715116,9785,576,,,3584624.00,
26/04/2017,78500.0000,78500.0000,2.35,77300.0000,76700.0000,78710.0000,76720.0000,3585588,2814687,2612795,3357,306,,,3584624.00,
25/04/2017,76700.0000,76700.0000,0.66,76300.0000,76200.0000,77380.0000,75870.0000,3585588,2750146,2779324,3637,326,,,3584624.00,
24/04/2017,76200.0000,76200.0000,1.59,75240.0000,75010.0000,76550.0000,75240.0000,3585588,2732218,3753225,4930,439,,,3584624.00,
23/04/2017,75010.0000,75010.0000,-0.78,74500.0000,75600.0000,75990.0000,74220.0000,3584624,2688826,2763073,3676,294,,,3584624.00,
20/04/2017,75600.0000,75600.0000,4.83,73400.0000,72120.0000,76000.0000,72290.0000,3584624,2709976,4862468,6521,595,EX D,0.98592,3584624.00,
19/04/2017,72120.0480,73150.0000,2.98,71030.0000,71030.0000,73210.0000,71030.0000,3584624,2622152,3036734,4183,354,,,3584624.00,
18/04/2017,70029.8976,71030.0000,0.24,70860.0000,70860.0000,72290.0000,70800.0000,3584624,2546158,2195913,3068,259,,,3584624.00,
13/04/2017,69862.2912,70860.0000,-1.06,71620.0000,71620.0000,72110.0000,70630.0000,3584624,2540065,1603521,2258,166,,,3584624.00,
12/04/2017,70611.5904,71620.0000,0.58,72300.0000,71210.0000,72700.0000,71010.0000,3584624,2567308,802568,1119,126,,,3584624.00,
09/04/2017,70207.3632,71210.0000,-0.68,71700.0000,71700.0000,72400.0000,71010.0000,3584624,2552611,996116,1393,106,,,3584624.00,
06/04/2017,70690.4640,71700.0000,0.03,71680.0000,71680.0000,72030.0000,70890.0000,3584624,2570175,4713299,6581,209,,,3584624.00,
05/04/2017,70670.7456,71680.0000,0.67,71200.0000,71200.0000,72010.0000,70840.0000,3584624,2569458,1955588,2731,429,,,3584624.00,
04/04/2017,70197.5040,71200.0000,1.04,70680.0000,70470.0000,72000.0000,70600.0000,3584624,2552252,2919176,4111,196,,,3584624.00,
03/04/2017,69477.7824,70470.0000,-1.65,71650.0000,71650.0000,72230.0000,70320.0000,3584624,2526085,2017246,2824,213,,,3584624.00,
02/04/2017,70641.1680,71650.0000,-0.90,71590.0000,72300.0000,72100.0000,71450.0000,3584624,2568383,846065,1177,104,,,3584624.00,
30/03/2017,71282.0160,72300.0000,-1.04,73250.0000,73060.0000,73250.0000,72000.0000,3584624,2591683,4668669,6402,195,,,3584624.00,
29/03/2017,72031.3152,73060.0000,0.88,72420.0000,72420.0000,73220.0000,72420.0000,3584624,2618926,2180280,2991,220,,,3584624.00,
28/03/2017,71400.3264,72420.0000,1.00,71900.0000,71700.0000,72700.0000,71900.0000,3584624,2595985,2090182,2894,199,,,3584624.00,
27/03/2017,70690.4640,71700.0000,-2.28,73370.0000,73370.0000,73370.0000,71190.0000,3584624,2570175,2863595,3976,269,,,3584624.00,
26/03/2017,72336.9504,73370.0000,0.27,73180.0000,73170.0000,74070.0000,73180.0000,3584624,2630039,1840984,2501,178,,,3584624.00,
23/03/2017,72139.7664,73170.0000,0.76,72000.0000,72620.0000,74480.0000,72000.0000,3584624,2622869,1780978,2425,243,,,3584624.00,
22/03/2017,71597.5104,72620.0000,-0.78,72500.0000,73190.0000,73000.0000,72000.0000,3584624,2603154,2718335,3757,242,,,3584624.00,
21/03/2017,72159.4848,73190.0000,0.00,73730.0000,73190.0000,74370.0000,72690.0000,3584624,2623586,8624142,11664,414,,,3584624.00,
20/03/2017,72159.4848,73190.0000,-1.03,73950.0000,73950.0000,74400.0000,72510.0000,3584624,2623586,3973590,5412,367,,,3584624.00,
19/03/2017,72908.7840,73950.0000,-1.00,75070.0000,74700.0000,75080.0000,73890.0000,3584624,2650829,2211274,2975,225,,,3584624.00,
16/03/2017,73648.2240,74700.0000,2.19,73590.0000,73100.0000,74940.0000,73520.0000,3584624,2677714,12195097,16349,245,,,3584624.00,
15/03/2017,72070.7520,73100.0000,-0.45,73900.0000,73430.0000,73900.0000,72730.0000,3584624,2620360,2228077,3050,256,,,3584624.00,
14/03/2017,72396.1056,73430.0000,0.04,73400.0000,73400.0000,74000.0000,72960.0000,3584624,2632189,4556920,6194,179,,,3584624.00,
