Historical Prices - ELLOMAY - 01082635
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3196.0000,3196.0000,-0.75,3220.0000,3220.0000,3214.0000,3176.0000,10675608,341192,4922,154,3,,,10677595.00,
28/05/2017,3220.0000,3220.0000,-0.40,3233.0000,3233.0000,3220.0000,3220.0000,10675608,343755,10207,317,3,,,10677595.00,
25/05/2017,3233.0000,3233.0000,1.92,3172.0000,3172.0000,3253.0000,3230.0000,10675608,345142,38280,1184,5,,,10677595.00,
24/05/2017,3172.0000,3172.0000,0.09,3169.0000,3169.0000,3230.0000,3170.0000,10675608,338630,21571,680,6,,,10677595.00,
23/05/2017,3169.0000,3169.0000,2.19,3101.0000,3101.0000,3170.0000,3169.0000,10675608,338310,31663,999,8,,,10677595.00,
22/05/2017,3101.0000,3101.0000,1.11,3067.0000,3067.0000,3140.0000,3100.0000,10675608,331051,41967,1351,10,,,10677595.00,
21/05/2017,3067.0000,3067.0000,0.39,3055.0000,3055.0000,3126.0000,2996.0000,10675608,327421,29564,964,10,,,10677595.00,
18/05/2017,3055.0000,3055.0000,-0.10,3058.0000,3058.0000,3100.0000,3000.0000,10675608,326140,149915,4972,12,,,10677595.00,
17/05/2017,3058.0000,3058.0000,-1.74,3112.0000,3112.0000,3112.0000,2908.0000,10675608,326460,190531,6160,13,,,10677595.00,
16/05/2017,3112.0000,3112.0000,0.06,3110.0000,3110.0000,3119.0000,3102.0000,10675608,332225,7531,242,4,,,10677595.00,
15/05/2017,3110.0000,3110.0000,0.78,3086.0000,3086.0000,3130.0000,3080.0000,10675608,332011,107281,3467,15,,,10677595.00,
14/05/2017,3086.0000,3086.0000,0.59,3060.0000,3068.0000,3169.0000,2993.0000,10675608,329449,95891,3126,18,,,10677595.00,
11/05/2017,3068.0000,3068.0000,0.76,3045.0000,3045.0000,3097.0000,3045.0000,10675608,327528,86597,2813,12,,,10677595.00,
10/05/2017,3045.0000,3045.0000,-1.68,3150.0000,3097.0000,3150.0000,3035.0000,10675608,325072,74327,2438,13,,,10677595.00,
09/05/2017,3097.0000,3097.0000,0.10,3094.0000,3094.0000,3124.0000,3030.0000,10675608,330624,236348,7668,30,,,10677595.00,
08/05/2017,3094.0000,3094.0000,0.78,3070.0000,3070.0000,3147.0000,3085.0000,10675608,330303,89798,2905,13,,,10677595.00,
07/05/2017,3070.0000,3070.0000,-0.81,3095.0000,3095.0000,3128.0000,3016.0000,10675608,327741,28549,930,10,,,10677595.00,
04/05/2017,3095.0000,3095.0000,0.26,3087.0000,3087.0000,3112.0000,3027.0000,10675608,330410,189196,6141,30,,,10677595.00,
03/05/2017,3087.0000,3087.0000,2.18,3021.0000,3021.0000,3125.0000,2997.0000,10675608,329556,38204,1237,12,,,10677595.00,
30/04/2017,3021.0000,3021.0000,1.24,2984.0000,2984.0000,3056.0000,2991.0000,10675608,322510,84318,2796,19,,,10677595.00,
27/04/2017,2984.0000,2984.0000,-0.70,3005.0000,3005.0000,2999.0000,2978.0000,10675608,318560,20619,691,4,,,10677595.00,
26/04/2017,3005.0000,3005.0000,0.20,2999.0000,2999.0000,3020.0000,3020.0000,10675608,320802,604,20,1,,,10677595.00,
25/04/2017,2999.0000,2999.0000,0.37,2988.0000,2988.0000,2999.0000,2999.0000,10677595,320221,6238,208,5,,,10677595.00,
24/04/2017,2988.0000,2988.0000,0.00,2988.0000,2988.0000,2988.0000,2988.0000,10677595,319047,60,2,1,,,10677595.00,
23/04/2017,2988.0000,2988.0000,-0.37,2999.0000,2999.0000,2970.0000,2970.0000,10677595,319047,743,25,2,,,10677595.00,
20/04/2017,2999.0000,2999.0000,0.00,2999.0000,2999.0000,2999.0000,2999.0000,10677595,320221,3629,121,2,,,10677595.00,
19/04/2017,2999.0000,2999.0000,2.18,2935.0000,2935.0000,3039.0000,2990.0000,10677595,320221,15533,518,3,,,10677595.00,
18/04/2017,2935.0000,2935.0000,0.00,2935.0000,2935.0000,2935.0000,2934.0000,10677595,313387,32049,1092,4,,,10677595.00,
13/04/2017,2935.0000,2935.0000,0.00,2935.0000,2935.0000,0.0000,0.0000,10677595,313387,0,0,0,,,10677595.00,
12/04/2017,2935.0000,2935.0000,0.00,2935.0000,2935.0000,0.0000,0.0000,10677595,313387,0,0,0,,,10677595.00,
09/04/2017,2935.0000,2935.0000,0.14,2931.0000,2931.0000,2936.0000,2930.0000,10677595,313387,107652,3668,7,,,10677595.00,
06/04/2017,2931.0000,2931.0000,0.07,2929.0000,2929.0000,2931.0000,2859.0000,10677595,312960,412360,14114,20,,,10677595.00,
05/04/2017,2929.0000,2929.0000,0.00,2929.0000,2929.0000,0.0000,0.0000,10677595,312747,0,0,0,,,10677595.00,
04/04/2017,2929.0000,2929.0000,1.00,2900.0000,2900.0000,2929.0000,2929.0000,10677595,312747,8582,293,2,,,10677595.00,
03/04/2017,2900.0000,2900.0000,0.00,2900.0000,2900.0000,0.0000,0.0000,10677595,309650,0,0,0,,,10677595.00,
02/04/2017,2900.0000,2900.0000,0.00,2900.0000,2900.0000,2900.0000,2900.0000,10677595,309650,2001,69,1,,,10677595.00,
30/03/2017,2900.0000,2900.0000,-0.21,2906.0000,2906.0000,2900.0000,2900.0000,10677595,309650,1914,66,3,,,10677595.00,
29/03/2017,2906.0000,2906.0000,-1.92,2963.0000,2963.0000,2906.0000,2906.0000,10677595,310291,2034,70,2,,,10677595.00,
28/03/2017,2963.0000,2963.0000,0.24,2956.0000,2956.0000,3023.0000,2931.0000,10677595,316377,24473,826,9,,,10677595.00,
27/03/2017,2956.0000,2956.0000,-1.47,3000.0000,3000.0000,2956.0000,2956.0000,10677595,315630,3931,133,4,,,10677595.00,
26/03/2017,3000.0000,3000.0000,1.66,2951.0000,2951.0000,3001.0000,2999.0000,10677595,320328,13442,448,6,,,10677595.00,
23/03/2017,2951.0000,2951.0000,1.72,2901.0000,2901.0000,2961.0000,2941.0000,10677595,315096,20717,702,6,,,10677595.00,
22/03/2017,2901.0000,2901.0000,-0.38,2912.0000,2912.0000,2901.0000,2901.0000,10677595,309757,6933,239,7,,,10677595.00,
21/03/2017,2912.0000,2912.0000,-0.41,2924.0000,2924.0000,2957.0000,2900.0000,10677595,310932,242242,8274,31,,,10677595.00,
20/03/2017,2924.0000,2924.0000,-3.18,3020.0000,3020.0000,3025.0000,2900.0000,10677595,312213,75408,2559,17,,,10677595.00,
19/03/2017,3020.0000,3020.0000,0.00,3020.0000,3020.0000,3020.0000,3020.0000,10677595,322463,21200,702,4,,,10677595.00,
16/03/2017,3020.0000,3020.0000,-0.03,3021.0000,3021.0000,3021.0000,3000.0000,10677595,322463,97162,3218,12,,,10677595.00,
