Historical Prices - ELRON - 00749077
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1968.0000,1968.0000,-1.30,1994.0000,1994.0000,2012.0000,1919.0000,29743767,585357,379865,19186,71,,,29743767.00,
28/05/2017,1994.0000,1994.0000,-0.25,1999.0000,1999.0000,2017.0000,1985.0000,29743767,593091,316806,15829,64,,,29743767.00,
25/05/2017,1999.0000,1999.0000,-2.34,2047.0000,2047.0000,2047.0000,1982.0000,29743767,594578,3301645,165764,106,,,29743767.00,
24/05/2017,2047.0000,2047.0000,-0.34,2054.0000,2054.0000,2080.0000,2024.0000,29743767,608855,343375,16783,69,,,29743767.00,
23/05/2017,2054.0000,2054.0000,-3.57,2123.0000,2130.0000,2128.0000,2025.0000,29743767,610937,720617,34728,138,,,29743767.00,
22/05/2017,2130.0000,2130.0000,0.33,2123.0000,2123.0000,2159.0000,2123.0000,29743767,633542,641531,29921,102,,,29743767.00,
21/05/2017,2123.0000,2123.0000,3.66,2048.0000,2048.0000,2138.0000,2090.0000,29743767,631460,503754,23785,88,,,29743767.00,
18/05/2017,2048.0000,2048.0000,-2.85,2101.0000,2108.0000,2141.0000,2010.0000,29743767,609152,1037654,50605,178,,,29743767.00,
17/05/2017,2108.0000,2108.0000,-2.72,2140.0000,2167.0000,2166.0000,2100.0000,29743767,626999,732105,34378,125,,,29743767.00,
16/05/2017,2167.0000,2167.0000,-0.78,2184.0000,2184.0000,2184.0000,2140.0000,29743767,644547,882344,40652,160,,,29743767.00,
15/05/2017,2184.0000,2184.0000,-1.04,2240.0000,2207.0000,2287.0000,2110.0000,29743767,649604,3217145,145518,456,,,29743767.00,
14/05/2017,2207.0000,2207.0000,5.75,2150.0000,2087.0000,2225.0000,2150.0000,29743767,656445,2223897,101255,381,,,29743767.00,
11/05/2017,2087.0000,2087.0000,3.78,2035.0000,2011.0000,2130.0000,2011.0000,29743767,620752,1073877,51698,180,,,29743767.00,
10/05/2017,2011.0000,2011.0000,4.69,1950.0000,1921.0000,2068.0000,1950.0000,29743767,598147,1126172,55607,215,,,29743767.00,
09/05/2017,1921.0000,1921.0000,3.22,1861.0000,1861.0000,1927.0000,1884.0000,29743767,571378,208314,10939,33,,,29743767.00,
08/05/2017,1861.0000,1861.0000,2.53,1815.0000,1815.0000,1900.0000,1846.0000,29743767,553532,61839,3323,18,,,29743767.00,
07/05/2017,1815.0000,1815.0000,-1.84,1849.0000,1849.0000,1827.0000,1805.0000,29743767,539849,157746,8694,30,,,29743767.00,
04/05/2017,1849.0000,1849.0000,-0.70,1862.0000,1862.0000,1862.0000,1832.0000,29743767,549962,610314,32965,59,,,29743767.00,
03/05/2017,1862.0000,1862.0000,-1.12,1883.0000,1883.0000,1886.0000,1859.0000,29743767,553829,189021,10124,34,,,29743767.00,
30/04/2017,1883.0000,1883.0000,-0.53,1893.0000,1893.0000,1900.0000,1864.0000,29743767,560075,105908,5628,26,,,29743767.00,
27/04/2017,1893.0000,1893.0000,1.39,1800.0000,1867.0000,1900.0000,1800.0000,29743767,563050,212370,11279,34,,,29743767.00,
26/04/2017,1867.0000,1867.0000,0.59,1856.0000,1856.0000,1873.0000,1842.0000,29743767,555316,1111090,60158,27,,,29743767.00,
25/04/2017,1856.0000,1856.0000,0.00,1856.0000,1856.0000,1859.0000,1850.0000,29743767,552044,224166,12081,38,,,29743767.00,
24/04/2017,1856.0000,1856.0000,2.15,1817.0000,1817.0000,1862.0000,1828.0000,29743767,552044,219656,11871,33,,,29743767.00,
23/04/2017,1817.0000,1817.0000,-0.49,1791.0000,1826.0000,1861.0000,1791.0000,29743767,540444,161052,8831,37,,,29743767.00,
20/04/2017,1826.0000,1826.0000,4.10,1780.0000,1754.0000,1850.0000,1780.0000,29743767,543121,586582,32255,92,,,29743767.00,
19/04/2017,1754.0000,1754.0000,-0.06,1755.0000,1755.0000,1761.0000,1744.0000,29743767,521706,312001,17845,53,,,29743767.00,
18/04/2017,1755.0000,1755.0000,-0.51,1764.0000,1764.0000,1784.0000,1741.0000,29743767,522003,111263,6309,27,,,29743767.00,
13/04/2017,1764.0000,1764.0000,-1.51,1791.0000,1791.0000,1785.0000,1762.0000,29743767,524680,135955,7695,25,,,29743767.00,
12/04/2017,1791.0000,1791.0000,-0.11,1793.0000,1793.0000,1801.0000,1782.0000,29743767,532711,43223,2413,12,,,29743767.00,
09/04/2017,1793.0000,1793.0000,-0.17,1796.0000,1796.0000,1808.0000,1791.0000,29743767,533306,156667,8715,23,,,29743767.00,
06/04/2017,1796.0000,1796.0000,-1.75,1775.0000,1828.0000,1835.0000,1775.0000,29743767,534198,599660,33285,35,,,29743767.00,
05/04/2017,1828.0000,1828.0000,1.50,1801.0000,1801.0000,1839.0000,1819.0000,29743767,543716,29711,1625,10,,,29743767.00,
04/04/2017,1801.0000,1801.0000,0.50,1792.0000,1792.0000,1802.0000,1800.0000,29743767,535685,46942,2607,13,,,29743767.00,
03/04/2017,1792.0000,1792.0000,-1.54,1820.0000,1820.0000,1805.0000,1777.0000,29743767,533008,43161,2406,14,,,29743767.00,
02/04/2017,1820.0000,1820.0000,0.66,1808.0000,1808.0000,1821.0000,1810.0000,29743767,541337,201411,11067,39,,,29743767.00,
30/03/2017,1808.0000,1808.0000,4.27,1734.0000,1734.0000,1848.0000,1736.0000,29743767,537767,141753,7910,48,,,29743767.00,
29/03/2017,1734.0000,1734.0000,0.41,1727.0000,1727.0000,1735.0000,1727.0000,29743767,515757,31722,1829,10,,,29743767.00,
28/03/2017,1727.0000,1727.0000,-0.23,1758.0000,1731.0000,1771.0000,1710.0000,29743767,513675,224035,12918,46,,,29743767.00,
27/03/2017,1731.0000,1731.0000,-0.80,1745.0000,1745.0000,1740.0000,1730.0000,29743767,514865,257670,14869,33,,,29743767.00,
26/03/2017,1745.0000,1745.0000,0.69,1722.0000,1733.0000,1757.0000,1722.0000,29743767,519029,141682,8125,32,,,29743767.00,
23/03/2017,1733.0000,1733.0000,0.46,1725.0000,1725.0000,1740.0000,1722.0000,29743767,515459,117741,6802,25,,,29743767.00,
22/03/2017,1725.0000,1725.0000,-0.17,1703.0000,1728.0000,1730.0000,1703.0000,29743767,513080,115985,6734,25,,,29743767.00,
21/03/2017,1728.0000,1728.0000,0.88,1713.0000,1713.0000,1733.0000,1721.0000,29743767,513972,84609,4899,23,,,29743767.00,
20/03/2017,1713.0000,1713.0000,-0.41,1720.0000,1720.0000,1722.0000,1701.0000,29743767,509511,124015,7250,21,,,29743767.00,
19/03/2017,1720.0000,1720.0000,-0.29,1725.0000,1725.0000,1730.0000,1703.0000,29743767,511593,39364,2288,19,,,29743767.00,
16/03/2017,1725.0000,1725.0000,-0.23,1729.0000,1729.0000,1734.0000,1721.0000,29743767,513080,104516,6059,32,,,29743767.00,
15/03/2017,1729.0000,1729.0000,-0.29,1734.0000,1734.0000,1745.0000,1723.0000,29743767,514270,138299,7993,31,,,29743767.00,
14/03/2017,1734.0000,1734.0000,-0.57,1744.0000,1744.0000,1749.0000,1722.0000,29743767,515757,103669,5985,27,,,29743767.00,
13/03/2017,1744.0000,1744.0000,-0.80,1711.0000,1758.0000,1753.0000,1711.0000,29743767,518731,179234,10298,32,,,29743767.00,
09/03/2017,1758.0000,1758.0000,-0.68,1723.0000,1770.0000,1773.0000,1723.0000,29743767,522895,70375,4003,17,,,29743767.00,
08/03/2017,1770.0000,1770.0000,-0.95,1787.0000,1787.0000,1787.0000,1768.0000,29743767,526465,82606,4661,20,,,29743767.00,
07/03/2017,1787.0000,1787.0000,-1.00,1805.0000,1805.0000,1822.0000,1777.0000,29743767,531521,179411,10022,38,,,29743767.00,
06/03/2017,1805.0000,1805.0000,-1.58,1834.0000,1834.0000,1823.0000,1777.0000,29743767,536875,218337,12116,39,,,29743767.00,
05/03/2017,1834.0000,1834.0000,-0.86,1850.0000,1850.0000,1837.0000,1812.0000,29743767,545501,582012,31810,62,,,29743767.00,
02/03/2017,1850.0000,1850.0000,4.28,1780.0000,1774.0000,1850.0000,1765.0000,29743767,550260,2279550,123389,58,,,29743767.00,
01/03/2017,1774.0000,1774.0000,1.31,1780.0000,1751.0000,1789.0000,1749.0000,29743767,527654,176017,9958,34,,,29743767.00,
28/02/2017,1751.0000,1751.0000,2.88,1702.0000,1702.0000,1777.0000,1702.0000,29743767,520813,470247,26842,82,,,29743767.00,
27/02/2017,1702.0000,1702.0000,-0.35,1708.0000,1708.0000,1741.0000,1691.0000,29743767,506239,147543,8611,45,,,29743767.00,
26/02/2017,1708.0000,1708.0000,-0.06,1709.0000,1709.0000,1731.0000,1704.0000,29743767,508024,104667,6090,22,,,29743767.00,
23/02/2017,1709.0000,1709.0000,0.12,1707.0000,1707.0000,1725.0000,1707.0000,29743767,508321,206137,12058,39,,,29743767.00,
22/02/2017,1707.0000,1707.0000,-0.76,1720.0000,1720.0000,1740.0000,1700.0000,29743767,507726,151323,8830,32,,,29743767.00,
21/02/2017,1720.0000,1720.0000,-0.69,1732.0000,1732.0000,1729.0000,1710.0000,29743767,511593,1258138,73503,50,,,29743767.00,
20/02/2017,1732.0000,1732.0000,0.52,1723.0000,1723.0000,1740.0000,1711.0000,29743767,515162,187633,10836,42,,,29743767.00,
19/02/2017,1723.0000,1723.0000,1.29,1701.0000,1701.0000,1729.0000,1687.0000,29743767,512485,255886,14918,42,,,29743767.00,
16/02/2017,1701.0000,1701.0000,-0.41,1708.0000,1708.0000,1726.0000,1700.0000,29743767,505941,372851,21816,57,,,29743767.00,
15/02/2017,1708.0000,1708.0000,-1.27,1730.0000,1730.0000,1755.0000,1705.0000,29743767,508024,182010,10509,25,,,29743767.00,
14/02/2017,1730.0000,1730.0000,1.53,1700.0000,1704.0000,1744.0000,1700.0000,29743767,514567,208857,12142,48,,,29743767.00,
13/02/2017,1704.0000,1704.0000,1.19,1684.0000,1684.0000,1716.0000,1673.0000,29743767,506834,521944,30743,91,,,29743767.00,
