Historical Prices - ENERGIX - 01123355
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,274.3000,274.3000,0.99,271.6000,271.6000,275.0000,269.1000,357293550,980056,392924,144038,91,,,357293550.00,
28/05/2017,271.6000,271.6000,0.26,270.9000,270.9000,275.5000,263.4000,357293550,970409,196082,72051,82,,,357293550.00,
25/05/2017,270.9000,270.9000,-0.48,272.0000,272.2000,273.5000,268.6000,357293550,967908,261129,96079,79,,,357293550.00,
24/05/2017,272.2000,272.2000,1.95,267.2000,267.0000,273.7000,267.2000,357293550,972553,424399,156721,100,,,357293550.00,
23/05/2017,267.0000,267.0000,0.95,263.0000,264.5000,269.0000,261.4000,357293550,953974,567882,214513,124,,,357293550.00,
22/05/2017,264.5000,264.5000,-1.45,268.4000,268.4000,269.1000,262.7000,357293550,945041,505130,189387,118,,,357293550.00,
21/05/2017,268.4000,268.4000,0.04,268.5000,268.3000,274.1000,266.0000,357293550,958976,390451,144451,109,,,357293550.00,
18/05/2017,268.3000,268.3000,2.05,256.2000,262.9000,270.0000,256.2000,357293550,958619,1431476,541068,204,,,357293550.00,
17/05/2017,262.9000,262.9000,-4.09,274.3000,274.1000,279.5000,256.8000,357293550,939325,1069554,402039,209,,,357293550.00,
16/05/2017,274.1000,274.1000,-0.98,276.6000,276.8000,276.9000,273.1000,357293550,979342,378736,137898,86,,,357293550.00,
15/05/2017,276.8000,276.8000,-0.40,279.0000,277.9000,283.0000,270.2000,357293550,988989,761692,274535,172,,,357293550.00,
14/05/2017,277.9000,277.9000,2.43,271.0000,271.3000,279.7000,271.0000,357293550,992919,1054377,379189,181,,,357293550.00,
11/05/2017,271.3000,271.3000,2.34,265.1000,265.1000,274.8000,265.1000,357293550,969337,4768187,1771954,245,,,357293550.00,
10/05/2017,265.1000,265.1000,0.91,262.7000,262.7000,267.8000,260.5000,357293550,947185,579217,218790,92,,,357293550.00,
09/05/2017,262.7000,262.7000,0.23,262.1000,262.1000,265.0000,260.7000,357293550,938610,947303,360602,144,,,357293550.00,
08/05/2017,262.1000,262.1000,-0.34,267.8000,263.0000,267.8000,259.3000,357293550,936466,12180442,4676441,208,,,357293550.00,
07/05/2017,263.0000,263.0000,3.91,252.9000,253.1000,266.0000,252.5000,357293550,939682,299267,115232,87,,,357293550.00,
04/05/2017,253.1000,253.1000,1.16,250.2000,250.2000,253.9000,249.9000,357293550,904310,591374,235564,105,,,357293550.00,
03/05/2017,250.2000,250.2000,-0.04,250.3000,250.3000,253.2000,248.1000,357293550,893948,336760,134701,83,,,357293550.00,
30/04/2017,250.3000,250.3000,0.85,246.0000,248.2000,251.8000,246.0000,357293550,894306,369613,147966,81,,,357293550.00,
27/04/2017,248.2000,248.2000,0.40,251.0000,247.2000,251.0000,247.6000,357293550,886803,345272,138731,88,,,357293550.00,
26/04/2017,247.2000,247.2000,-0.08,247.6000,247.4000,251.1000,246.4000,357293550,883230,260387,105370,64,,,357293550.00,
25/04/2017,247.4000,247.4000,0.90,245.2000,245.2000,250.0000,241.1000,357293550,883944,501624,202470,112,,,357293550.00,
24/04/2017,245.2000,245.2000,0.33,244.4000,244.4000,246.5000,243.1000,357293550,876084,638503,260023,111,,,357293550.00,
23/04/2017,244.4000,244.4000,-0.69,246.1000,246.1000,246.6000,242.1000,357293550,873225,1903917,780151,87,,,357293550.00,
20/04/2017,246.1000,246.1000,0.00,250.3000,246.1000,250.3000,246.0000,357293550,879299,182327,74017,57,,,357293550.00,
19/04/2017,246.1000,246.1000,-1.09,248.8000,248.8000,248.8000,244.9000,357293550,879299,306105,124571,74,,,357293550.00,
18/04/2017,248.8000,248.8000,-1.93,253.7000,253.7000,252.0000,246.8000,357293550,888946,930226,374178,125,,,357293550.00,
13/04/2017,253.7000,253.7000,-1.74,259.0000,258.2000,259.0000,252.0000,357293550,906454,1671837,658815,69,,,357293550.00,
12/04/2017,258.2000,258.2000,0.70,256.6000,256.4000,259.0000,256.6000,357293550,922532,137705,53361,48,,,357293550.00,
09/04/2017,256.4000,256.4000,-1.19,259.3000,259.5000,259.5000,254.5000,357293550,916101,349503,136257,69,,,357293550.00,
06/04/2017,259.5000,259.5000,1.33,254.9000,256.1000,259.5000,254.5000,357293550,927177,585635,226299,96,,,357241050.00,
05/04/2017,256.1000,256.1000,2.81,254.0000,249.1000,268.0000,248.4000,357293550,915029,822662,323151,137,,,357241050.00,
04/04/2017,249.1000,249.1000,0.16,248.7000,248.7000,254.2000,248.5000,357293550,890018,350740,139804,92,,,357241050.00,
03/04/2017,248.7000,248.7000,-1.11,251.9000,251.5000,251.9000,246.1000,357293550,888589,386208,155413,117,,,357241050.00,
02/04/2017,251.5000,251.5000,-0.08,251.7000,251.7000,252.6000,249.8000,357293550,898593,88027,35071,33,,,357241050.00,
30/03/2017,251.7000,251.7000,0.04,254.9000,251.6000,254.9000,248.1000,357293550,899308,463446,183775,103,,,357241050.00,
29/03/2017,251.6000,251.6000,1.29,248.6000,248.4000,255.1000,248.2000,357293550,898951,553599,220619,135,,,357241050.00,
28/03/2017,248.4000,248.4000,-0.08,248.6000,248.6000,251.5000,246.1000,357293550,887517,262583,105367,81,,,357241050.00,
27/03/2017,248.6000,248.6000,-3.34,257.2000,257.2000,257.2000,245.6000,357293550,888232,1482211,594180,230,,,357241050.00,
26/03/2017,257.2000,257.2000,-0.54,256.0000,258.6000,260.0000,256.0000,357293550,918959,256774,99647,75,,,357241050.00,
23/03/2017,258.6000,258.6000,-0.04,258.9000,258.7000,263.4000,256.8000,357293550,923961,791251,304752,104,,,357241050.00,
22/03/2017,258.7000,258.7000,-0.58,260.0000,260.2000,263.5000,256.0000,357293550,924318,585716,226317,130,,,357241050.00,
21/03/2017,260.2000,260.2000,1.09,260.0000,257.4000,268.8000,258.0000,357293550,929678,4146900,1572377,434,,,357241050.00,
20/03/2017,257.4000,257.4000,0.63,255.9000,255.8000,259.0000,252.6000,357293550,919674,208380,81651,72,,,357241050.00,
19/03/2017,255.8000,255.8000,-0.81,253.1000,257.9000,257.5000,252.8000,357293550,913957,119515,46825,58,,,357241050.00,
16/03/2017,257.9000,257.9000,0.35,257.0000,257.0000,260.3000,253.1000,357293550,921460,421410,163057,92,,,357241050.00,
15/03/2017,257.0000,257.0000,0.86,254.8000,254.8000,257.1000,250.0000,357293550,918244,324439,126705,77,,,357241050.00,
14/03/2017,254.8000,254.8000,1.72,250.5000,250.5000,256.6000,250.5000,357293550,910384,375837,148110,106,,,357241050.00,
13/03/2017,250.5000,250.5000,0.00,250.5000,250.5000,253.4000,246.1000,357293550,895020,240302,96855,52,,,357241050.00,
09/03/2017,250.5000,250.5000,-0.20,246.6000,251.0000,253.5000,246.6000,357257050,894929,681491,272620,87,,,357241050.00,
08/03/2017,251.0000,251.0000,1.41,247.7000,247.5000,251.5000,247.6000,357257050,896715,2106551,841726,182,,,357241050.00,
07/03/2017,247.5000,247.5000,-1.16,248.0000,250.4000,249.0000,241.0000,357257050,884211,562057,228174,115,,,357241050.00,
06/03/2017,250.4000,250.4000,-3.28,258.7000,258.9000,258.7000,248.1000,357257050,894572,6215611,2481257,404,,,357241050.00,
05/03/2017,258.9000,258.9000,-0.58,260.4000,260.4000,260.4000,258.2000,357257050,924939,217415,83887,61,,,357241050.00,
02/03/2017,260.4000,260.4000,2.68,253.6000,253.6000,262.0000,252.9000,357257050,930297,1194140,461049,206,,,357231050.00,
01/03/2017,253.6000,253.6000,4.45,241.1000,242.8000,254.9000,241.1000,357241050,905963,451714,182511,116,,,357231050.00,
28/02/2017,242.8000,242.8000,-0.25,243.4000,243.4000,246.2000,238.8000,357241050,867381,287209,118499,100,,,357231050.00,
27/02/2017,243.4000,243.4000,-0.41,244.4000,244.4000,245.0000,238.2000,357241050,869525,408481,168965,114,,,357231050.00,
26/02/2017,244.4000,244.4000,0.58,243.0000,243.0000,245.0000,242.0000,357241050,873097,822398,338216,94,,,357231050.00,
23/02/2017,243.0000,243.0000,0.00,243.0000,243.0000,243.0000,238.4000,357241050,868096,450998,187386,86,,,357231050.00,
22/02/2017,243.0000,243.0000,-1.46,246.6000,246.6000,245.7000,240.5000,357241050,868096,498849,205877,113,,,357231050.00,
21/02/2017,246.6000,246.6000,0.16,243.1000,246.2000,247.9000,243.1000,357241050,880956,216313,87916,65,,,357231050.00,
20/02/2017,246.2000,246.2000,-1.05,246.0000,248.8000,249.4000,245.0000,357241050,879527,276100,111898,76,,,357231050.00,
19/02/2017,248.8000,248.8000,0.89,246.6000,246.6000,250.1000,245.6000,357241050,888816,494573,198769,88,,,357231050.00,
16/02/2017,246.6000,246.6000,-0.08,246.8000,246.8000,249.1000,245.6000,357241050,880956,543084,219271,106,,,357231050.00,
15/02/2017,246.8000,246.8000,0.49,245.6000,245.6000,249.9000,243.7000,357241050,881671,1006312,408107,155,,,357231050.00,
14/02/2017,245.6000,245.6000,0.16,245.2000,245.2000,246.9000,243.0000,357241050,877384,284254,115859,55,,,357231050.00,
13/02/2017,245.2000,245.2000,0.20,238.0000,244.7000,249.2000,238.0000,357241050,875955,1129356,458542,151,,,357231050.00,
12/02/2017,244.7000,244.7000,-0.93,249.1000,247.0000,252.6000,243.6000,357241050,874169,593302,239086,107,,,357231050.00,
09/02/2017,247.0000,247.0000,-1.20,250.0000,250.0000,250.1000,242.6000,357241050,882385,3516530,1423631,190,,,307139050.00,
08/02/2017,250.0000,250.0000,0.12,249.7000,249.7000,250.9000,248.6000,357241050,893103,491524,196658,121,,,307139050.00,
07/02/2017,249.7000,249.7000,0.44,248.6000,248.6000,251.0000,248.6000,357241050,892031,460860,184516,148,,,307139050.00,
06/02/2017,248.6000,248.6000,0.77,246.7000,246.7000,249.3000,246.3000,357241050,888101,450155,181382,116,,,307139050.00,
05/02/2017,246.7000,246.7000,0.08,254.0000,246.5000,254.0000,245.8000,357241050,881314,323608,131207,98,,,307139050.00,
02/02/2017,246.5000,246.5000,-0.76,248.4000,248.4000,248.9000,244.7000,357241050,880599,493942,199941,130,,,307139050.00,
01/02/2017,248.4000,248.4000,0.16,248.0000,248.0000,249.4000,247.0000,357231050,887362,339567,136917,104,,,307139050.00,
31/01/2017,248.0000,248.0000,0.81,247.9000,246.0000,249.9000,247.4000,357231050,885933,544373,219146,119,,,307139050.00,
30/01/2017,246.0000,246.0000,0.37,244.2000,245.1000,247.4000,239.9000,357231050,878788,766674,314791,148,,,307139050.00,
29/01/2017,245.1000,245.1000,-1.25,248.0000,248.2000,248.0000,244.0000,357231050,875573,653370,266991,115,,,307139050.00,
26/01/2017,248.2000,248.2000,-1.63,250.0000,252.3000,251.0000,247.4000,357231050,886647,722555,290196,143,,,307139050.00,
25/01/2017,252.3000,252.3000,-0.59,253.8000,253.8000,257.0000,250.4000,357231050,901294,607762,240239,125,,,307139050.00,
24/01/2017,253.8000,253.8000,0.04,253.7000,253.7000,257.6000,251.5000,357231050,906652,466134,183573,126,,,307139050.00,
23/01/2017,253.7000,253.7000,-1.59,253.1000,257.8000,257.0000,252.0000,357231050,906295,513782,202108,143,,,307139050.00,
22/01/2017,257.8000,257.8000,-2.42,261.0000,264.2000,261.6000,244.6000,357231050,920942,523947,203921,115,,,307139050.00,
19/01/2017,264.2000,264.2000,-0.53,265.0000,265.6000,267.5000,261.0000,357231050,943804,1043312,394202,203,,,307139050.00,
18/01/2017,265.6000,265.6000,0.76,263.6000,263.6000,268.1000,260.6000,357231050,948806,1490265,560376,236,,,307139050.00,
17/01/2017,263.6000,263.6000,0.84,261.4000,261.4000,267.4000,260.0000,357231050,941661,3721591,1407955,397,,,307139050.00,
16/01/2017,261.4000,261.4000,4.35,250.5000,250.5000,262.0000,249.0000,357231050,933802,3323200,1292263,433,,,307139050.00,
15/01/2017,250.5000,250.5000,0.89,248.3000,248.3000,251.5000,244.2000,357231050,894864,1987301,796932,277,,,307139050.00,
12/01/2017,248.3000,248.3000,-0.32,250.0000,249.1000,250.0000,247.2000,357231050,887005,1464235,588972,181,,,307139050.00,
