Historical Prices - ENLIGHT ENERGY - 00720011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,134.8000,134.8000,0.22,137.5000,134.5000,137.5000,134.1000,480642290,647906,677091,501057,119,,,475650725.00,
28/05/2017,134.5000,134.5000,-0.22,136.7000,134.8000,136.7000,134.3000,475857629,640029,743801,549991,110,,,475650725.00,
25/05/2017,134.8000,134.8000,0.00,134.1000,134.8000,136.0000,134.0000,475857629,641456,682704,506489,87,,,475650725.00,
24/05/2017,134.8000,134.8000,0.15,136.5000,134.6000,136.5000,133.5000,475795771,641373,434465,322682,84,,,475650725.00,
23/05/2017,134.6000,134.6000,-1.61,137.0000,136.8000,137.0000,134.0000,475756228,640368,852100,630739,140,,,475650725.00,
22/05/2017,136.8000,136.8000,0.00,137.5000,136.8000,137.5000,136.0000,475756228,650835,635118,464116,95,,,475650725.00,
21/05/2017,136.8000,136.8000,1.94,135.0000,134.2000,137.0000,135.0000,475756228,650835,457948,335756,74,,,475650725.00,
18/05/2017,134.2000,134.2000,-1.18,135.7000,135.8000,137.1000,133.4000,475756228,638465,616758,457063,102,,,475650725.00,
17/05/2017,135.8000,135.8000,-0.37,137.4000,136.3000,137.9000,134.0000,475756228,646077,1188727,871854,153,,,475650725.00,
16/05/2017,136.3000,136.3000,-0.07,136.4000,136.4000,138.6000,133.0000,475756228,648456,836146,614472,158,,,475650725.00,
15/05/2017,136.4000,136.4000,-0.15,139.8000,136.6000,141.5000,136.1000,475710065,648869,1996684,1437735,285,,,475650725.00,
14/05/2017,136.6000,136.6000,4.92,132.0000,130.2000,140.0000,132.0000,475650725,649739,3046781,2234165,404,,,475650725.00,
11/05/2017,130.2000,130.2000,-0.15,131.8000,130.4000,133.4000,129.8000,475650725,619297,1620330,1236111,229,,,475650725.00,
10/05/2017,130.4000,130.4000,4.65,126.2000,124.6000,131.9000,121.4000,475650725,620249,2089975,1624404,277,,,475650725.00,
09/05/2017,124.6000,124.6000,0.56,124.0000,123.9000,125.5000,123.8000,475650725,592661,571431,458401,66,,,475650725.00,
08/05/2017,123.9000,123.9000,0.65,123.1000,123.1000,125.0000,123.1000,475650725,589331,357959,288173,89,,,475650725.00,
07/05/2017,123.1000,123.1000,-0.57,123.0000,123.8000,125.0000,122.0000,475650725,585526,284038,231450,53,,,475650725.00,
