Historical Prices - EQUITAL - 00755017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,10040.0000,10040.0000,-0.79,10120.0000,10120.0000,10140.0000,9894.0000,16376065,1644157,942201,9376,144,,,16376065.00,
28/05/2017,10120.0000,10120.0000,-1.17,10270.0000,10240.0000,10300.0000,9721.0000,16376065,1657258,463572,4585,90,,,16376065.00,
25/05/2017,10240.0000,10240.0000,-1.44,10370.0000,10390.0000,10460.0000,10120.0000,16376065,1676909,618896,6003,114,,,16376065.00,
24/05/2017,10390.0000,10390.0000,0.10,10400.0000,10380.0000,10440.0000,10070.0000,16376065,1701473,628974,6095,125,,,16376065.00,
23/05/2017,10380.0000,10380.0000,0.68,10510.0000,10310.0000,10510.0000,9999.0000,16376065,1699836,907097,8805,141,,,16376065.00,
22/05/2017,10310.0000,10310.0000,4.14,9907.0000,9900.0000,10410.0000,9907.0000,16376065,1688372,1029388,10065,166,,,16376065.00,
21/05/2017,9900.0000,9900.0000,1.02,9800.0000,9800.0000,9990.0000,9770.0000,16376065,1621230,792697,8032,100,,,16376065.00,
18/05/2017,9800.0000,9800.0000,-1.80,9980.0000,9980.0000,9984.0000,9652.0000,16376065,1604854,993729,10190,169,,,16376065.00,
17/05/2017,9980.0000,9980.0000,-3.67,10290.0000,10360.0000,10350.0000,9828.0000,16376065,1634331,956137,9458,164,,,16376065.00,
16/05/2017,10360.0000,10360.0000,-0.10,10370.0000,10370.0000,10460.0000,10220.0000,16376065,1696560,1200009,11572,125,,,16376065.00,
15/05/2017,10370.0000,10370.0000,-1.98,10520.0000,10580.0000,10520.0000,10200.0000,16376065,1698198,1032252,9992,139,,,16376065.00,
14/05/2017,10580.0000,10580.0000,0.19,10560.0000,10560.0000,10620.0000,10080.0000,16376065,1732588,574425,5506,102,,,16376065.00,
11/05/2017,10560.0000,10560.0000,-0.19,10580.0000,10580.0000,10630.0000,10410.0000,16376065,1729312,375733,3565,55,,,16376065.00,
10/05/2017,10580.0000,10580.0000,0.47,10190.0000,10530.0000,10580.0000,10190.0000,16376065,1732588,730008,6935,86,,,16376065.00,
09/05/2017,10530.0000,10530.0000,0.48,10450.0000,10480.0000,10530.0000,10180.0000,16376065,1724400,1003108,9644,137,,,16376065.00,
08/05/2017,10480.0000,10480.0000,0.48,10430.0000,10430.0000,10620.0000,10230.0000,16376065,1716212,1253003,11924,121,,,16376065.00,
07/05/2017,10430.0000,10430.0000,1.56,10260.0000,10270.0000,10450.0000,10250.0000,16376065,1708024,708721,6811,89,,,16376065.00,
04/05/2017,10270.0000,10270.0000,0.29,10240.0000,10240.0000,10270.0000,10180.0000,16376065,1681822,856758,8355,128,,,16376065.00,
03/05/2017,10240.0000,10240.0000,2.30,10010.0000,10010.0000,10280.0000,10010.0000,16376065,1676909,1041346,10234,125,,,16376065.00,
30/04/2017,10010.0000,10010.0000,0.42,9998.0000,9968.0000,10020.0000,9953.0000,16376065,1639244,378499,3784,48,,,16376065.00,
27/04/2017,9968.0000,9968.0000,0.67,10140.0000,9902.0000,10140.0000,9833.0000,16376065,1632366,1144268,11443,108,,,16376065.00,
26/04/2017,9902.0000,9902.0000,1.05,9900.0000,9799.0000,9950.0000,9809.0000,16376065,1621558,357674,3622,48,,,16376065.00,
25/04/2017,9799.0000,9799.0000,0.76,9700.0000,9725.0000,9840.0000,9660.0000,16376065,1604691,1257146,12871,155,,,16376065.00,
24/04/2017,9725.0000,9725.0000,2.67,9529.0000,9472.0000,9900.0000,9528.0000,16376065,1592572,1178006,12181,157,,,16376065.00,
23/04/2017,9472.0000,9472.0000,-3.70,9836.0000,9836.0000,9810.0000,9467.0000,16376065,1551141,876546,9195,113,,,16376065.00,
20/04/2017,9836.0000,9836.0000,1.10,9790.0000,9729.0000,9990.0000,9722.0000,16376065,1610750,1183174,12054,204,,,16376065.00,
19/04/2017,9729.0000,9729.0000,1.20,9614.0000,9614.0000,9910.0000,9585.0000,16376065,1593227,906739,9345,87,,,16376065.00,
18/04/2017,9614.0000,9614.0000,1.56,9466.0000,9466.0000,9673.0000,9477.0000,16376065,1574395,285264,2976,64,,,16376065.00,
13/04/2017,9466.0000,9466.0000,0.74,9368.0000,9396.0000,9528.0000,9343.0000,16376065,1550158,391333,4130,91,,,16376065.00,
12/04/2017,9396.0000,9396.0000,1.46,9321.0000,9261.0000,9540.0000,9200.0000,16376065,1538695,700414,7448,124,,,16376065.00,
09/04/2017,9261.0000,9261.0000,1.10,9160.0000,9160.0000,9281.0000,9160.0000,16376065,1516587,339372,3669,54,,,16376065.00,
06/04/2017,9160.0000,9160.0000,0.49,9185.0000,9115.0000,9185.0000,9088.0000,16376065,1500048,1312460,14368,154,,,16376065.00,
05/04/2017,9115.0000,9115.0000,2.88,8860.0000,8860.0000,9150.0000,8745.0000,16376065,1492678,944271,10488,136,,,16376065.00,
04/04/2017,8860.0000,8860.0000,4.25,8880.0000,8499.0000,8880.0000,8577.0000,16376065,1450919,686753,7860,74,,,16376065.00,
03/04/2017,8499.0000,8499.0000,-0.62,8552.0000,8552.0000,8668.0000,8419.0000,16376065,1391802,471497,5524,88,,,16376065.00,
02/04/2017,8552.0000,8552.0000,1.89,8399.0000,8393.0000,8669.0000,8399.0000,16376065,1400481,174845,2048,39,,,16376065.00,
30/03/2017,8393.0000,8393.0000,0.04,8415.0000,8390.0000,8423.0000,8300.0000,16376065,1374443,523485,6256,81,,,16376065.00,
29/03/2017,8390.0000,8390.0000,-2.27,8578.0000,8585.0000,8591.0000,8304.0000,16376065,1373952,622318,7425,117,,,16376065.00,
28/03/2017,8585.0000,8585.0000,4.06,8560.0000,8250.0000,8654.0000,8307.0000,16376065,1405885,2774866,33277,132,,,16376065.00,
27/03/2017,8250.0000,8250.0000,-3.69,8565.0000,8566.0000,8595.0000,8220.0000,16376065,1351025,570494,6796,142,,,16376065.00,
26/03/2017,8566.0000,8566.0000,0.01,8540.0000,8565.0000,8888.0000,8501.0000,16376065,1402774,10762133,126332,91,,,16376065.00,
23/03/2017,8565.0000,8565.0000,-0.52,8610.0000,8610.0000,8616.0000,8508.0000,16376065,1402610,51417177,603757,127,,,16376065.00,
22/03/2017,8610.0000,8610.0000,0.30,8460.0000,8584.0000,8641.0000,8280.0000,16376065,1409979,1384957,16235,127,,,16376065.00,
21/03/2017,8584.0000,8584.0000,0.44,8546.0000,8546.0000,8810.0000,8500.0000,16376065,1405721,1236383,14313,126,,,16376065.00,
