Historical Prices - FIBI BANK - 00593038
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6219.0000,6219.0000,1.12,6196.0000,6150.0000,6240.0000,6164.0000,100330040,6239525,12644478,203470,496,,,100330040.00,
28/05/2017,6150.0000,6150.0000,0.34,6125.0000,6129.0000,6197.0000,6088.0000,100330040,6170297,44676899,727459,484,,,100330040.00,
25/05/2017,6129.0000,6129.0000,2.29,5992.0000,5992.0000,6170.0000,5953.0000,100330040,6149228,34954176,575581,808,,,100330040.00,
24/05/2017,5992.0000,5992.0000,-0.96,6037.0000,6050.0000,6068.0000,5929.0000,100330040,6011776,12907222,216424,816,,,100330040.00,
23/05/2017,6050.0000,6050.0000,1.44,5978.0000,5964.0000,6160.0000,5956.0000,100330040,6069967,17121829,282964,868,,,100330040.00,
22/05/2017,5964.0000,5964.0000,0.93,5980.0000,5909.0000,5980.0000,5900.0000,100330040,5983684,8627725,145497,598,,,100330040.00,
21/05/2017,5909.0000,5909.0000,1.62,5838.0000,5815.0000,5943.0000,5838.0000,100330040,5928502,3357915,56863,353,,,100330040.00,
18/05/2017,5815.0000,5815.0000,-1.09,5900.0000,5879.0000,5911.0000,5815.0000,100330040,5834192,8013905,136748,775,,,100330040.00,
17/05/2017,5879.0000,5879.0000,-0.32,5894.0000,5898.0000,5910.0000,5867.0000,100330040,5898403,4712528,80029,401,,,100330040.00,
16/05/2017,5898.0000,5898.0000,0.79,5852.0000,5852.0000,5929.0000,5852.0000,100330040,5917466,5716342,96989,523,,,100330040.00,
15/05/2017,5852.0000,5852.0000,-1.03,5960.0000,5913.0000,5980.0000,5850.0000,100330040,5871314,6672127,112883,603,,,100330040.00,
14/05/2017,5913.0000,5913.0000,0.10,5925.0000,5907.0000,5965.0000,5909.0000,100330040,5932515,2561128,43184,252,,,100330040.00,
11/05/2017,5907.0000,5907.0000,-1.35,5988.0000,5988.0000,6006.0000,5903.0000,100330040,5926495,6212604,104317,684,,,100330040.00,
10/05/2017,5988.0000,5988.0000,-0.68,5991.0000,6029.0000,6033.0000,5980.0000,100330040,6007763,8058936,134344,549,,,100330040.00,
09/05/2017,6029.0000,6029.0000,0.53,6032.0000,5997.0000,6059.0000,5988.0000,100330040,6048898,7837787,130199,556,,,100330040.00,
08/05/2017,5997.0000,5997.0000,-0.43,6005.0000,6023.0000,6052.0000,5971.0000,100330040,6016793,6587940,109433,494,,,100330040.00,
07/05/2017,6023.0000,6023.0000,1.47,5954.0000,5936.0000,6039.0000,5954.0000,100330040,6042878,4025750,66947,317,,,100330040.00,
04/05/2017,5936.0000,5936.0000,0.34,5950.0000,5916.0000,6005.0000,5936.0000,100330040,5955591,20822664,349967,617,,,100330040.00,
03/05/2017,5916.0000,5916.0000,0.29,5949.0000,5899.0000,5949.0000,5862.0000,100330040,5935525,7053643,119590,599,,,100330040.00,
30/04/2017,5899.0000,5899.0000,-1.19,5970.0000,5970.0000,5997.0000,5894.0000,100330040,5918469,3898005,65772,327,,,100330040.00,
27/04/2017,5970.0000,5970.0000,-0.50,6000.0000,6000.0000,6000.0000,5935.0000,100330040,5989703,15787348,263989,757,,,100330040.00,
26/04/2017,6000.0000,6000.0000,-0.05,6003.0000,6003.0000,6006.0000,5941.0000,100330040,6019802,8792807,146913,627,,,100330040.00,
25/04/2017,6003.0000,6003.0000,0.00,6002.0000,6003.0000,6046.0000,5686.0000,100330040,6022812,6591055,109896,617,,,100330040.00,
24/04/2017,6003.0000,6003.0000,2.37,5950.0000,5864.0000,6029.0000,5903.0000,100330040,6022812,10814644,180895,1054,,,100330040.00,
23/04/2017,5864.0000,5864.0000,-0.17,5874.0000,5874.0000,5917.0000,5835.0000,100330040,5883354,5346995,91045,296,,,100330040.00,
20/04/2017,5874.0000,5874.0000,1.63,5800.0000,5780.0000,5898.0000,5791.0000,100330040,5893387,8016633,136942,684,,,100330040.00,
19/04/2017,5780.0000,5780.0000,0.56,5770.0000,5748.0000,5830.0000,5731.0000,100330040,5799076,4180013,72090,342,,,100330040.00,
18/04/2017,5748.0000,5748.0000,1.04,5706.0000,5689.0000,5769.0000,5675.0000,100330040,5766971,10884083,190304,524,,,100330040.00,
13/04/2017,5689.0000,5689.0000,-1.78,5792.0000,5792.0000,5792.0000,5628.0000,100330040,5707776,6619278,115905,494,,,100330040.00,
12/04/2017,5792.0000,5792.0000,-0.82,5844.0000,5840.0000,5903.0000,5782.0000,100330040,5811116,6395315,109436,589,,,100330040.00,
09/04/2017,5840.0000,5840.0000,-0.60,5875.0000,5875.0000,5900.0000,5734.0000,100330040,5859274,14391778,248501,515,,,100330040.00,
06/04/2017,5875.0000,5875.0000,-1.84,5980.0000,5985.0000,6003.0000,5810.0000,100330040,5894390,32139160,545413,1089,,,100330040.00,
05/04/2017,5985.0000,5985.0000,-0.60,6039.0000,6021.0000,6071.0000,5975.0000,100330040,6004753,8423573,139951,713,,,100330040.00,
04/04/2017,6021.0000,6021.0000,0.65,5985.0000,5982.0000,6056.0000,5985.0000,100330040,6040872,5599481,92905,561,,,100330040.00,
03/04/2017,5982.0000,5982.0000,-0.08,6005.0000,5987.0000,6075.0000,5982.0000,100330040,6001743,9642353,159467,712,,,100330040.00,
02/04/2017,5987.0000,5987.0000,1.56,5913.0000,5895.0000,5998.0000,5913.0000,100330040,6006759,2585470,43276,220,,,100330040.00,
30/03/2017,5895.0000,5895.0000,0.91,5842.0000,5842.0000,5920.0000,5842.0000,100330040,5914456,22902917,391183,505,,,100330040.00,
29/03/2017,5842.0000,5842.0000,-1.32,5920.0000,5920.0000,5980.0000,5842.0000,100330040,5861281,8251506,139099,561,,,100330040.00,
28/03/2017,5920.0000,5920.0000,-0.35,5920.0000,5941.0000,6020.0000,5920.0000,100330040,5939538,17665263,295063,605,,,100330040.00,
27/03/2017,5941.0000,5941.0000,-0.02,5935.0000,5942.0000,5987.0000,5910.0000,100330040,5960608,16288778,273473,621,,,100330040.00,
26/03/2017,5942.0000,5942.0000,-0.08,5947.0000,5947.0000,6034.0000,5910.0000,100330040,5961611,6941698,116064,383,,,100330040.00,
23/03/2017,5947.0000,5947.0000,1.45,5891.0000,5862.0000,5983.0000,5889.0000,100330040,5966627,12514884,210921,809,EX D,0.98820,100330040.00,
22/03/2017,5862.0024,5932.0000,-0.47,5902.0000,5960.0000,5954.0000,5850.0000,100330040,5951578,11000193,186202,863,,,100330040.00,
21/03/2017,5889.6720,5960.0000,-0.85,6020.0000,6011.0000,6086.0000,5960.0000,100330040,5979670,7504587,124438,641,,,100330040.00,
20/03/2017,5940.0702,6011.0000,0.07,6020.0000,6007.0000,6057.0000,5962.0000,100330040,6030839,4606184,76492,346,,,100330040.00,
19/03/2017,5936.1174,6007.0000,-0.73,6065.0000,6051.0000,6065.0000,5971.0000,100330040,6026826,6713965,111641,475,,,100330040.00,
16/03/2017,5979.5982,6051.0000,-1.48,6188.0000,6142.0000,6188.0000,5958.0000,100330040,6070971,19701552,324394,1063,,,100330040.00,
15/03/2017,6069.5244,6142.0000,1.00,6081.0000,6081.0000,6148.0000,6072.0000,100330040,6162271,16794085,274432,548,,,100330040.00,
14/03/2017,6009.2442,6081.0000,-0.51,6112.0000,6112.0000,6148.0000,6060.0000,100330040,6101070,15956807,261546,880,,,100330040.00,
13/03/2017,6039.8784,6112.0000,1.87,6000.0000,6000.0000,6146.0000,6000.0000,100330040,6132172,8050347,132545,533,,,100330040.00,
09/03/2017,5929.2000,6000.0000,0.67,5936.0000,5960.0000,6013.0000,5935.0000,100330040,6019802,7888174,132171,552,,,100330040.00,
08/03/2017,5889.6720,5960.0000,0.98,5895.0000,5902.0000,5990.0000,5883.0000,100330040,5979670,5560960,93356,467,,,100330040.00,
07/03/2017,5832.3564,5902.0000,0.22,5875.0000,5889.0000,5939.0000,5866.0000,100330040,5921479,7399751,125472,485,,,100330040.00,
06/03/2017,5819.5098,5889.0000,0.15,5866.0000,5880.0000,5922.0000,5845.0000,100330040,5908436,5362853,91199,433,,,100330040.00,
05/03/2017,5810.6160,5880.0000,-0.34,5890.0000,5900.0000,5894.0000,5850.0000,100330040,5899406,4367694,74314,312,,,100330040.00,
02/03/2017,5830.3800,5900.0000,1.85,5795.0000,5793.0000,5900.0000,5725.0000,100330040,5919472,29825023,508764,606,,,100330040.00,
01/03/2017,5724.6426,5793.0000,1.54,5705.0000,5705.0000,5793.0000,5699.0000,100330040,5812119,8955687,155889,727,,,100330040.00,
28/02/2017,5637.6810,5705.0000,0.46,5690.0000,5679.0000,5748.0000,5671.0000,100330040,5723829,8051080,141112,611,,,100330040.00,
27/02/2017,5611.9878,5679.0000,0.00,5630.0000,5679.0000,5713.0000,5600.0000,100330040,5697743,5339670,94386,425,,,100330040.00,
