Historical Prices - GAZIT GLOBE - 00126011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3453.0000,3453.0000,0.17,3445.0000,3447.0000,3477.0000,3445.0000,195550414,6752356,7209421,208134,672,,,195550414.00,
28/05/2017,3447.0000,3447.0000,-0.32,3450.0000,3458.0000,3489.0000,3434.0000,195550414,6740623,6441742,186124,557,,,195550414.00,
25/05/2017,3458.0000,3458.0000,-0.52,3476.0000,3476.0000,3490.0000,3447.0000,195550414,6762133,18461669,531862,846,,,195550414.00,
24/05/2017,3476.0000,3476.0000,-0.54,3499.0000,3495.0000,3530.0000,3440.0000,195550414,6797332,11878746,341608,1057,,,195550414.00,
23/05/2017,3495.0000,3495.0000,-2.24,3575.0000,3575.0000,3575.0000,3477.0000,195550414,6834487,19357884,552836,1151,,,195550414.00,
22/05/2017,3575.0000,3575.0000,-0.20,3585.0000,3582.0000,3600.0000,3560.0000,195550414,6990927,7377613,205795,596,,,195550414.00,
21/05/2017,3582.0000,3582.0000,0.79,3554.0000,3554.0000,3617.0000,3552.0000,195550414,7004616,4798091,133640,434,,,195550414.00,
18/05/2017,3554.0000,3554.0000,-1.09,3620.0000,3593.0000,3628.0000,3466.0000,195550414,6949862,26670397,756753,1370,,,195550414.00,
17/05/2017,3593.0000,3593.0000,-2.60,3640.0000,3689.0000,3645.0000,3585.0000,195550414,7026126,14883490,410444,881,,,195550414.00,
16/05/2017,3689.0000,3689.0000,-0.57,3697.0000,3710.0000,3744.0000,3680.0000,195550414,7213855,5549527,149317,565,,,195550414.00,
15/05/2017,3710.0000,3710.0000,-1.85,3761.0000,3780.0000,3783.0000,3693.0000,195550414,7254920,6641248,178154,665,,,195550414.00,
14/05/2017,3780.0000,3780.0000,-0.50,3799.0000,3799.0000,3799.0000,3737.0000,195550414,7391806,4932320,130763,412,,,195550414.00,
11/05/2017,3799.0000,3799.0000,0.37,3770.0000,3785.0000,3811.0000,3753.0000,195550414,7428960,14666716,387602,1040,,,195550414.00,
10/05/2017,3785.0000,3785.0000,1.18,3741.0000,3741.0000,3789.0000,3715.0000,195550414,7401583,7392279,197594,597,,,195550414.00,
09/05/2017,3741.0000,3741.0000,-0.19,3746.0000,3748.0000,3755.0000,3724.0000,195550414,7315541,6681859,178716,541,,,195550414.00,
08/05/2017,3748.0000,3748.0000,0.46,3731.0000,3731.0000,3775.0000,3723.0000,195550414,7329230,6744782,180028,610,,,195550414.00,
07/05/2017,3731.0000,3731.0000,0.84,3748.0000,3700.0000,3748.0000,3707.0000,195550414,7295986,10709111,287306,507,,,195550414.00,
04/05/2017,3700.0000,3700.0000,-1.07,3740.0000,3740.0000,3740.0000,3700.0000,195550414,7235365,13408793,360748,690,,,195516328.00,
03/05/2017,3740.0000,3740.0000,2.05,3668.0000,3665.0000,3740.0000,3668.0000,195550414,7313585,8377931,226590,773,,,195516328.00,
30/04/2017,3665.0000,3665.0000,-0.22,3673.0000,3673.0000,3688.0000,3630.0000,195550414,7166923,5870788,160450,401,,,195516328.00,
