Historical Prices - GILAT - 01082510
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1728.0000,1728.0000,-0.35,1768.0000,1734.0000,1768.0000,1725.0000,54708867,945369,482956,27802,138,,,54708867.00,
28/05/2017,1734.0000,1734.0000,-0.80,1735.0000,1748.0000,1764.0000,1727.0000,54708867,948652,498519,28587,142,,,54708867.00,
25/05/2017,1748.0000,1748.0000,-0.11,1753.0000,1750.0000,1791.0000,1736.0000,54708867,956311,492659,27929,158,,,54708867.00,
24/05/2017,1750.0000,1750.0000,0.81,1736.0000,1736.0000,1765.0000,1735.0000,54708867,957405,287788,16464,102,,,54708867.00,
23/05/2017,1736.0000,1736.0000,-1.64,1765.0000,1765.0000,1773.0000,1725.0000,54708867,949746,895152,51223,215,,,54708867.00,
22/05/2017,1765.0000,1765.0000,-0.11,1800.0000,1767.0000,1800.0000,1748.0000,54708867,965612,732454,41325,165,,,54708867.00,
21/05/2017,1767.0000,1767.0000,0.40,1759.0000,1760.0000,1808.0000,1759.0000,54708867,966706,494096,27864,141,,,54708867.00,
18/05/2017,1760.0000,1760.0000,-3.93,1865.0000,1832.0000,1865.0000,1744.0000,54708867,962876,646650,36410,170,,,54708867.00,
17/05/2017,1832.0000,1832.0000,-3.12,1889.0000,1891.0000,1889.0000,1827.0000,54708867,1002266,1122112,60888,253,,,54708867.00,
16/05/2017,1891.0000,1891.0000,3.39,1869.0000,1829.0000,1955.0000,1868.0000,54708867,1034545,3231961,168459,546,,,54708867.00,
15/05/2017,1829.0000,1829.0000,-1.67,1860.0000,1860.0000,1860.0000,1809.0000,54708867,1000625,425395,23250,111,,,54708867.00,
14/05/2017,1860.0000,1860.0000,0.16,1785.0000,1857.0000,1864.0000,1785.0000,54708867,1017585,508918,27652,130,,,54708867.00,
11/05/2017,1857.0000,1857.0000,4.27,1780.0000,1781.0000,1862.0000,1750.0000,54708867,1015944,452990,25051,121,,,54708867.00,
10/05/2017,1781.0000,1781.0000,3.43,1725.0000,1722.0000,1788.0000,1725.0000,54708867,974365,352068,19999,112,,,54708867.00,
09/05/2017,1722.0000,1722.0000,0.06,1721.0000,1721.0000,1735.0000,1681.0000,54708867,942087,604095,35261,165,,,54708867.00,
08/05/2017,1721.0000,1721.0000,-3.31,1770.0000,1780.0000,1780.0000,1694.0000,54708867,941540,2058898,118123,295,,,54708867.00,
07/05/2017,1780.0000,1780.0000,1.08,1761.0000,1761.0000,1788.0000,1761.0000,54708867,973818,289195,16304,83,,,54708867.00,
04/05/2017,1761.0000,1761.0000,-3.40,1815.0000,1823.0000,1824.0000,1761.0000,54708867,963423,1348745,75783,252,,,54592667.00,
03/05/2017,1823.0000,1823.0000,-1.03,1842.0000,1842.0000,1842.0000,1818.0000,54708867,997343,372349,20365,95,,,54592667.00,
30/04/2017,1842.0000,1842.0000,-0.59,1853.0000,1853.0000,1853.0000,1833.0000,54708867,1007737,253037,13704,56,,,54592667.00,
27/04/2017,1853.0000,1853.0000,-0.70,1890.0000,1866.0000,1890.0000,1830.0000,54708867,1013755,900870,48384,158,,,54592667.00,
26/04/2017,1866.0000,1866.0000,0.43,1883.0000,1858.0000,1883.0000,1847.0000,54708867,1020867,450359,24162,77,,,54592667.00,
25/04/2017,1858.0000,1858.0000,-1.06,1878.0000,1878.0000,1880.0000,1823.0000,54708867,1016491,1414009,76106,211,,,54592667.00,
24/04/2017,1878.0000,1878.0000,-0.48,1887.0000,1887.0000,1898.0000,1874.0000,54708867,1027433,878727,46624,185,,,54592667.00,
23/04/2017,1887.0000,1887.0000,-2.28,1931.0000,1931.0000,1930.0000,1873.0000,54708867,1032356,972253,51108,116,,,54592667.00,
20/04/2017,1931.0000,1931.0000,0.31,1925.0000,1925.0000,1936.0000,1900.0000,54708867,1056428,1433772,74430,142,,,54592667.00,
19/04/2017,1925.0000,1925.0000,3.49,1861.0000,1860.0000,1939.0000,1860.0000,54708867,1053146,583840,30598,120,,,54592667.00,
18/04/2017,1860.0000,1860.0000,-2.87,1915.0000,1915.0000,1913.0000,1854.0000,54708867,1017585,1238920,65981,140,,,54592667.00,
13/04/2017,1915.0000,1915.0000,-1.90,1952.0000,1952.0000,1952.0000,1900.0000,54708867,1047675,174477,9051,60,,,54592667.00,
12/04/2017,1952.0000,1952.0000,-1.11,1980.0000,1974.0000,1980.0000,1939.0000,54708867,1067917,169563,8638,45,,,54592667.00,
09/04/2017,1974.0000,1974.0000,0.10,1975.0000,1972.0000,1980.0000,1939.0000,54708867,1079953,532984,27080,89,,,54592667.00,
06/04/2017,1972.0000,1972.0000,4.50,1826.0000,1887.0000,1972.0000,1826.0000,54708867,1078859,2512763,130065,299,,,54592667.00,
05/04/2017,1887.0000,1887.0000,5.54,1788.0000,1788.0000,1900.0000,1770.0000,54708867,1032356,1101183,60283,225,,,54592667.00,
04/04/2017,1788.0000,1788.0000,-0.89,1803.0000,1804.0000,1803.0000,1781.0000,54592667,976117,495257,27695,102,,,54592667.00,
03/04/2017,1804.0000,1804.0000,-0.93,1838.0000,1821.0000,1839.0000,1781.0000,54592667,984852,1143751,63438,246,,,54592667.00,
02/04/2017,1821.0000,1821.0000,0.33,1810.0000,1815.0000,1825.0000,1810.0000,54592667,994132,352364,19368,76,,,54592667.00,
30/03/2017,1815.0000,1815.0000,-2.52,1851.0000,1862.0000,1863.0000,1815.0000,54592667,990857,1620706,88340,160,,,54592667.00,
29/03/2017,1862.0000,1862.0000,-1.17,1887.0000,1884.0000,1887.0000,1858.0000,54592667,1016515,795758,42475,151,,,54592667.00,
28/03/2017,1884.0000,1884.0000,2.17,1881.0000,1844.0000,1895.0000,1872.0000,54592667,1028526,857358,45543,192,,,54592667.00,
27/03/2017,1844.0000,1844.0000,-1.65,1858.0000,1875.0000,1880.0000,1841.0000,54592667,1006689,402138,21730,151,,,54592667.00,
26/03/2017,1875.0000,1875.0000,-0.16,1863.0000,1878.0000,1887.0000,1863.0000,54592667,1023613,352013,18753,87,,,54592667.00,
23/03/2017,1878.0000,1878.0000,-0.53,1888.0000,1888.0000,1893.0000,1869.0000,54592667,1025250,650691,34643,152,,,54592667.00,
22/03/2017,1888.0000,1888.0000,0.05,1873.0000,1887.0000,1906.0000,1859.0000,54592667,1030710,1091424,58262,247,,,54592667.00,
21/03/2017,1887.0000,1887.0000,-0.58,1909.0000,1898.0000,1909.0000,1883.0000,54592667,1030164,374902,19809,79,,,54592667.00,
