Historical Prices - GINEGAR - 01095892
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2792.0000,2792.0000,-6.93,3000.0000,3000.0000,2864.0000,2760.0000,15179767,423819,376970,13368,70,,,15179767.00,
28/05/2017,3000.0000,3000.0000,0.40,2988.0000,2988.0000,3050.0000,2988.0000,15179767,455393,152865,5090,32,,,15179767.00,
25/05/2017,2988.0000,2988.0000,1.05,2886.0000,2957.0000,3020.0000,2886.0000,15179767,453571,235009,8034,21,,,15179767.00,
24/05/2017,2957.0000,2957.0000,-1.04,2988.0000,2988.0000,2988.0000,2929.0000,15179767,448866,114070,3858,27,,,15179767.00,
23/05/2017,2988.0000,2988.0000,-1.84,3044.0000,3044.0000,3030.0000,2980.0000,15179767,453571,230573,7663,28,,,15179767.00,
22/05/2017,3044.0000,3044.0000,1.87,3000.0000,2988.0000,3045.0000,3000.0000,15179767,462072,110796,3653,19,,,15179767.00,
21/05/2017,2988.0000,2988.0000,3.68,2882.0000,2882.0000,3030.0000,2879.0000,15179767,453571,188913,6341,27,,,15179767.00,
18/05/2017,2882.0000,2882.0000,-3.71,2993.0000,2993.0000,3000.0000,2856.0000,15179767,437481,216420,7422,38,,,15179767.00,
17/05/2017,2993.0000,2993.0000,-0.23,3000.0000,3000.0000,3021.0000,2911.0000,15179767,454330,215226,7186,38,,,15179767.00,
16/05/2017,3000.0000,3000.0000,0.74,2978.0000,2978.0000,3035.0000,2982.0000,15179767,455393,282981,9423,35,,,15179767.00,
15/05/2017,2978.0000,2978.0000,0.20,2972.0000,2972.0000,2991.0000,2959.0000,15179767,452053,95462,3199,17,,,15179767.00,
14/05/2017,2972.0000,2972.0000,0.00,2972.0000,2972.0000,2990.0000,2968.0000,15179767,451143,63431,2134,18,,,15179767.00,
11/05/2017,2972.0000,2972.0000,1.54,2927.0000,2927.0000,2995.0000,2926.0000,15179767,451143,175401,5952,24,,,15179767.00,
10/05/2017,2927.0000,2927.0000,0.00,2927.0000,2927.0000,2939.0000,2871.0000,15179767,444312,91941,3159,20,,,15179767.00,
09/05/2017,2927.0000,2927.0000,2.99,2842.0000,2842.0000,2955.0000,2865.0000,15179767,444312,175079,6025,26,,,15179767.00,
08/05/2017,2842.0000,2842.0000,1.68,2795.0000,2795.0000,2850.0000,2809.0000,15179767,431409,139268,4917,17,,,15179767.00,
07/05/2017,2795.0000,2795.0000,0.32,2786.0000,2786.0000,2804.0000,2786.0000,15179767,424274,77019,2757,12,,,15179767.00,
04/05/2017,2786.0000,2786.0000,1.72,2739.0000,2739.0000,2790.0000,2747.0000,15179767,422908,435008,15622,29,,,15179767.00,
