Historical Prices - GOLAN PLASTIC - 01091933
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1068.0000,1068.0000,-0.93,1078.0000,1078.0000,1078.0000,1057.0000,26331980,281226,68430,6415,16,,,26331980.00,
28/05/2017,1078.0000,1078.0000,-0.09,1079.0000,1079.0000,1080.0000,1057.0000,26331980,283859,82316,7639,9,,,26331980.00,
25/05/2017,1079.0000,1079.0000,2.66,1051.0000,1051.0000,1090.0000,1060.0000,26331980,284122,63934,5916,11,,,26331980.00,
24/05/2017,1051.0000,1051.0000,1.06,1050.0000,1040.0000,1057.0000,1028.0000,26331980,276749,341496,32530,33,,,26331980.00,
23/05/2017,1040.0000,1040.0000,3.79,1002.0000,1002.0000,1048.0000,1014.0000,26331980,273853,137712,13330,17,,,26331980.00,
22/05/2017,1002.0000,1002.0000,-0.50,1007.0000,1007.0000,1010.0000,999.0000,26331980,263846,77560,7751,15,,,26331980.00,
21/05/2017,1007.0000,1007.0000,0.60,1001.0000,1001.0000,1010.0000,999.9000,26331980,265163,104118,10388,14,,,26331980.00,
18/05/2017,1001.0000,1001.0000,-0.50,1006.0000,1006.0000,1005.0000,997.9000,26331980,263583,27842,2782,6,,,26331980.00,
17/05/2017,1006.0000,1006.0000,0.50,1001.0000,1001.0000,1010.0000,1001.0000,26331980,264900,72789,7248,6,,,26331980.00,
16/05/2017,1001.0000,1001.0000,0.31,997.9000,997.9000,1004.0000,995.0000,26331980,263583,70536,7055,14,,,26331980.00,
15/05/2017,997.9000,997.9000,2.23,976.1000,976.1000,1000.0000,989.0000,26331980,262767,52082,5219,14,,,26331980.00,
14/05/2017,976.1000,976.1000,0.11,975.0000,975.0000,984.2000,974.9000,26331980,257026,74668,7651,9,,,26331980.00,
11/05/2017,975.0000,975.0000,0.69,969.7000,968.3000,982.3000,969.5000,26331980,256737,64719,6654,12,,,26331980.00,
10/05/2017,968.3000,968.3000,0.04,967.9000,967.9000,969.7000,967.9000,26331980,254973,290607,30020,31,,,26331980.00,
09/05/2017,967.9000,967.9000,0.34,964.6000,964.6000,969.8000,964.0000,26331980,254867,14605,1509,4,,,26331980.00,
08/05/2017,964.6000,964.6000,0.18,962.9000,962.9000,968.0000,962.9000,26331980,253998,3029,314,2,,,26331980.00,
07/05/2017,962.9000,962.9000,-0.03,963.2000,963.2000,970.0000,958.4000,26331980,253551,90202,9344,13,,,26331980.00,
04/05/2017,963.2000,963.2000,0.60,957.5000,957.5000,965.0000,957.5000,26331980,253630,100175,10402,11,,,26331980.00,
03/05/2017,957.5000,957.5000,0.00,957.5000,957.5000,957.5000,957.5000,26331980,252129,4998,522,1,,,26331980.00,
30/04/2017,957.5000,957.5000,0.91,948.9000,948.9000,967.8000,954.0000,26331980,252129,70528,7367,5,,,26331980.00,
27/04/2017,948.9000,948.9000,4.25,910.2000,910.2000,950.0000,914.9000,26331980,249864,126890,13602,23,,,26331980.00,
26/04/2017,910.2000,910.2000,0.89,915.0000,902.2000,915.0000,901.0000,26331980,239674,43899,4823,8,,,26331980.00,
25/04/2017,902.2000,902.2000,-0.69,908.5000,908.5000,912.0000,895.0000,26331980,237567,102497,11361,11,,,26331980.00,
24/04/2017,908.5000,908.5000,0.74,904.9000,901.8000,916.3000,904.9000,26331980,239226,22166,2440,9,,,26331980.00,
23/04/2017,901.8000,901.8000,-0.89,909.9000,909.9000,905.0000,890.0000,26331980,237462,3436,381,3,,,26331980.00,
20/04/2017,909.9000,909.9000,1.17,899.4000,899.4000,910.0000,909.5000,26331980,239595,12047,1324,6,,,26331980.00,
19/04/2017,899.4000,899.4000,2.01,881.7000,881.7000,899.4000,899.4000,26331980,236830,2015,224,2,,,26331980.00,
18/04/2017,881.7000,881.7000,-0.49,886.0000,886.0000,900.0000,874.8000,26331980,232169,204018,23277,30,,,26331980.00,
13/04/2017,886.0000,886.0000,0.02,885.8000,885.8000,886.0000,886.0000,26331980,233301,4997,564,2,,,26331980.00,
12/04/2017,885.8000,885.8000,2.12,867.4000,867.4000,890.5000,884.7000,26331980,233249,4872,550,3,,,26331980.00,
09/04/2017,867.4000,867.4000,0.06,929.3000,866.9000,929.3000,867.0000,26331980,228404,17842,2057,4,,,26331980.00,
06/04/2017,866.9000,866.9000,-2.60,890.0000,890.0000,873.0000,861.7000,26331980,228272,150408,17360,16,,,26331980.00,
05/04/2017,890.0000,890.0000,0.52,885.4000,885.4000,890.0000,890.0000,26331980,234355,23354,2624,6,,,26331980.00,
04/04/2017,885.4000,885.4000,2.06,867.5000,867.5000,890.0000,862.0000,26331980,233143,11953,1350,5,,,26331980.00,
03/04/2017,867.5000,867.5000,0.00,867.5000,867.5000,0.0000,0.0000,26331980,228430,0,0,0,,,26331980.00,
02/04/2017,867.5000,867.5000,-2.53,890.0000,890.0000,874.9000,865.0000,26331980,228430,2559,295,2,,,26331980.00,
30/03/2017,890.0000,890.0000,2.31,869.9000,869.9000,890.0000,889.9000,26331980,234355,6506,731,3,,,26331980.00,
29/03/2017,869.9000,869.9000,-4.43,911.0000,910.2000,911.0000,865.0000,26331980,229062,196308,22191,51,,,26331980.00,
28/03/2017,910.2000,910.2000,-0.11,950.0000,911.2000,950.0000,910.0000,26331980,239674,2084,229,3,,,26331980.00,
27/03/2017,911.2000,911.2000,0.28,908.0000,908.7000,952.0000,908.0000,26331980,239937,31517,3459,13,,,26331980.00,
26/03/2017,908.7000,908.7000,0.00,908.7000,908.7000,908.7000,908.7000,26331980,239279,827,91,1,,,26331980.00,
23/03/2017,908.7000,908.7000,-0.22,910.7000,910.7000,909.1000,908.1000,26331980,239279,24444,2690,3,,,26331980.00,
22/03/2017,910.7000,910.7000,0.26,908.3000,908.3000,914.2000,910.0000,26331980,239805,4945,543,3,,,26331980.00,
21/03/2017,908.3000,908.3000,0.70,902.0000,902.0000,914.5000,900.0000,26331980,239173,79168,8733,11,,,26331980.00,
20/03/2017,902.0000,902.0000,0.11,901.0000,901.0000,902.3000,902.0000,26331980,237514,37092,4112,8,,,26331980.00,
19/03/2017,901.0000,901.0000,-1.16,911.6000,911.6000,901.0000,901.0000,26331980,237251,20020,2222,4,,,26331980.00,
16/03/2017,911.6000,911.6000,-0.52,915.1000,916.4000,915.1000,900.1000,26331980,240042,76792,8407,21,,,26331980.00,
15/03/2017,916.4000,916.4000,-0.97,925.4000,925.4000,922.2000,914.0000,26331980,241306,21325,2327,11,,,26331980.00,
14/03/2017,925.4000,925.4000,-0.98,934.6000,934.6000,949.9000,914.0000,26331980,243676,99252,10662,20,,,26331980.00,
13/03/2017,934.6000,934.6000,0.29,931.9000,931.9000,947.3000,932.1000,26331980,246099,36678,3925,9,,,26331980.00,
09/03/2017,931.9000,931.9000,0.63,926.1000,926.1000,950.0000,926.2000,26331980,245388,38879,4172,9,,,26331980.00,
08/03/2017,926.1000,926.1000,-0.33,929.2000,929.2000,930.5000,911.3000,26331980,243860,79702,8608,23,,,26331980.00,
07/03/2017,929.2000,929.2000,0.36,925.9000,925.9000,936.0000,909.0000,26331980,244677,72261,7854,21,,,26331980.00,
06/03/2017,925.9000,925.9000,0.16,924.4000,924.4000,930.0000,906.0000,26331980,243808,11990,1295,3,,,26331980.00,
05/03/2017,924.4000,924.4000,-0.21,926.3000,926.3000,942.9000,908.3000,26331980,243413,17064,1846,4,,,26331980.00,
02/03/2017,926.3000,926.3000,0.26,923.9000,923.9000,938.9000,923.9000,26331980,243913,22434,2422,8,,,26331980.00,
01/03/2017,923.9000,923.9000,3.00,897.0000,897.0000,934.9000,900.0000,26331980,243281,38072,4121,9,,,26331980.00,
28/02/2017,897.0000,897.0000,0.03,896.7000,896.7000,900.1000,862.0000,26331980,236198,23663,2638,10,,,26331980.00,
27/02/2017,896.7000,896.7000,0.92,893.0000,888.5000,901.8000,893.0000,26331980,236119,38082,4247,15,,,26331980.00,
26/02/2017,888.5000,888.5000,3.41,859.2000,859.2000,890.0000,859.2000,26331980,233960,274431,31415,34,,,26331980.00,
23/02/2017,859.2000,859.2000,-2.56,881.8000,881.8000,882.0000,851.0000,26331980,226244,93333,10752,19,,,26331980.00,
22/02/2017,881.8000,881.8000,-2.34,902.9000,902.9000,901.1000,880.0000,26331980,232195,201453,22640,21,,,26331980.00,
21/02/2017,902.9000,902.9000,-2.95,930.3000,930.3000,909.0000,890.2000,26331980,237751,97929,10863,20,,,26331980.00,
20/02/2017,930.3000,930.3000,0.19,974.8000,928.5000,974.8000,926.6000,26331980,244966,29964,3221,11,,,26331980.00,
19/02/2017,928.5000,928.5000,2.46,976.0000,906.2000,976.0000,903.0000,26331980,244492,43947,4733,13,,,26331980.00,
16/02/2017,906.2000,906.2000,0.12,939.0000,905.1000,939.0000,888.3000,26331980,238620,131230,14575,28,,,26331980.00,
15/02/2017,905.1000,905.1000,-1.16,915.7000,915.7000,994.0000,900.6000,26331980,238331,169664,18354,47,,,26331980.00,
14/02/2017,915.7000,915.7000,1.64,900.9000,900.9000,918.0000,900.0000,26331980,241122,243846,26764,27,,,26331980.00,
