Historical Prices - GOLDEN HOUSE - 00235010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1705.0000,1705.0000,1.19,1685.0000,1685.0000,1715.0000,1687.0000,14867585,253492,90486,5300,17,,,14867585.00,
28/05/2017,1685.0000,1685.0000,-1.00,1702.0000,1702.0000,1715.0000,1674.0000,14867585,250519,226534,13398,14,,,14867585.00,
25/05/2017,1702.0000,1702.0000,0.00,1702.0000,1702.0000,1715.0000,1697.0000,14867585,253046,89932,5291,27,,,14867585.00,
24/05/2017,1702.0000,1702.0000,-0.53,1711.0000,1711.0000,1714.0000,1700.0000,14867585,253046,27809,1634,7,,,14867585.00,
23/05/2017,1711.0000,1711.0000,-0.47,1719.0000,1719.0000,1730.0000,1703.0000,14867585,254384,42729,2498,11,,,14867585.00,
22/05/2017,1719.0000,1719.0000,0.94,1703.0000,1703.0000,1737.0000,1695.0000,14867585,255574,48918,2846,9,,,14867585.00,
21/05/2017,1703.0000,1703.0000,0.24,1699.0000,1699.0000,1713.0000,1701.0000,14867585,253195,64888,3811,11,,,14867585.00,
18/05/2017,1699.0000,1699.0000,-2.41,1741.0000,1741.0000,1730.0000,1682.0000,14867585,252600,76388,4485,8,,,14867585.00,
17/05/2017,1741.0000,1741.0000,-0.91,1757.0000,1757.0000,1765.0000,1729.0000,14867585,258845,18154,1043,3,,,14867585.00,
16/05/2017,1757.0000,1757.0000,0.98,1740.0000,1740.0000,1765.0000,1740.0000,14867585,261223,132944,7599,15,,,14867585.00,
15/05/2017,1740.0000,1740.0000,0.06,1739.0000,1739.0000,1740.0000,1717.0000,14867585,258696,302487,17448,22,,,14867585.00,
14/05/2017,1739.0000,1739.0000,3.20,1685.0000,1685.0000,1746.0000,1710.0000,14867585,258547,164601,9467,26,,,14867585.00,
11/05/2017,1685.0000,1685.0000,1.32,1663.0000,1663.0000,1690.0000,1645.0000,14867585,250519,1019501,60815,24,,,14867585.00,
10/05/2017,1663.0000,1663.0000,1.09,1645.0000,1645.0000,1670.0000,1631.0000,14867585,247248,37523,2257,12,,,14867585.00,
09/05/2017,1645.0000,1645.0000,3.01,1597.0000,1597.0000,1650.0000,1605.0000,14867585,244572,1113326,68006,44,,,14867585.00,
08/05/2017,1597.0000,1597.0000,3.50,1590.0000,1543.0000,1620.0000,1584.0000,14867585,237435,188021,11790,39,,,14867585.00,
07/05/2017,1543.0000,1543.0000,1.05,1527.0000,1527.0000,1550.0000,1527.0000,14867585,229407,220784,14360,26,,,14867585.00,
04/05/2017,1527.0000,1527.0000,2.00,1497.0000,1497.0000,1535.0000,1520.0000,14867585,227028,168229,11031,22,,,14867585.00,
03/05/2017,1497.0000,1497.0000,0.20,1494.0000,1494.0000,1517.0000,1479.0000,14867585,222568,292236,19593,25,,,14867585.00,
30/04/2017,1494.0000,1494.0000,0.27,1490.0000,1490.0000,1501.0000,1490.0000,14867585,222122,59901,4010,15,,,14867585.00,
27/04/2017,1490.0000,1490.0000,-1.19,1508.0000,1508.0000,1530.0000,1489.0000,14867585,221527,85674,5717,19,,,14867585.00,
26/04/2017,1508.0000,1508.0000,1.48,1486.0000,1486.0000,1510.0000,1484.0000,14867585,224203,115842,7709,12,,,14867585.00,
25/04/2017,1486.0000,1486.0000,-0.87,1499.0000,1499.0000,1495.0000,1480.0000,14867585,220932,218877,14757,18,,,14867585.00,
24/04/2017,1499.0000,1499.0000,0.33,1494.0000,1494.0000,1505.0000,1495.0000,14867585,222865,23487,1567,5,,,14867585.00,
23/04/2017,1494.0000,1494.0000,0.47,1487.0000,1487.0000,1495.0000,1485.0000,14867585,222122,2629,176,2,,,14867585.00,
20/04/2017,1487.0000,1487.0000,0.47,1480.0000,1480.0000,1495.0000,1478.0000,14867585,221081,5340,359,5,,,14867585.00,
19/04/2017,1480.0000,1480.0000,-0.60,1489.0000,1489.0000,1495.0000,1465.0000,14867585,220040,146223,9932,16,,,14867585.00,
18/04/2017,1489.0000,1489.0000,1.92,1461.0000,1461.0000,1489.0000,1488.0000,14867585,221378,6758,454,4,,,14867585.00,
13/04/2017,1461.0000,1461.0000,1.53,1439.0000,1439.0000,1487.0000,1487.0000,14867585,217215,967,65,3,,,14867585.00,
12/04/2017,1439.0000,1439.0000,1.27,1421.0000,1421.0000,1439.0000,1439.0000,14867585,213945,2302,160,2,EX D,0.98612,14867585.00,
09/04/2017,1420.9989,1441.0000,-0.62,1450.0000,1450.0000,1449.0000,1440.0000,14867585,214242,23779,1650,5,,,14867585.00,
06/04/2017,1429.8740,1450.0000,-0.96,1464.0000,1464.0000,1500.0000,1446.0000,14867585,215580,659149,45115,37,,,14867585.00,
05/04/2017,1443.6797,1464.0000,-0.48,1471.0000,1471.0000,1494.0000,1450.0000,14867585,217661,40593,2763,15,,,14867585.00,
04/04/2017,1450.5825,1471.0000,0.68,1461.0000,1461.0000,1471.0000,1471.0000,14867585,218702,6119,416,4,,,14867585.00,
03/04/2017,1440.7213,1461.0000,-0.68,1471.0000,1471.0000,1491.0000,1450.0000,14867585,217215,26913,1842,14,,,14867585.00,
02/04/2017,1450.5825,1471.0000,-0.88,1484.0000,1484.0000,1499.0000,1450.0000,14867585,218702,83845,5702,17,,,14867585.00,
30/03/2017,1463.4021,1484.0000,-1.00,1499.0000,1499.0000,1503.0000,1462.0000,14867585,220635,95436,6444,12,,,14867585.00,
29/03/2017,1478.1939,1499.0000,0.00,1499.0000,1499.0000,1499.0000,1499.0000,14867585,222865,12127,809,5,,,14867585.00,
