Historical Prices - HAGAG - 00823013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1042.0000,1042.0000,-2.80,1099.0000,1072.0000,1099.0000,1030.0000,50215045,523241,329773,31156,44,,,50215045.00,
28/05/2017,1072.0000,1072.0000,0.28,1083.0000,1069.0000,1083.0000,1048.0000,50215045,538305,107738,10075,26,,,50215045.00,
25/05/2017,1069.0000,1069.0000,-1.93,1125.0000,1090.0000,1125.0000,1067.0000,50215045,536799,247874,22529,30,,,50215045.00,
24/05/2017,1090.0000,1090.0000,1.49,1105.0000,1074.0000,1105.0000,1069.0000,50215045,547344,90911,8376,30,,,50215045.00,
23/05/2017,1074.0000,1074.0000,2.48,1048.0000,1048.0000,1079.0000,1044.0000,50215045,539310,99019,9271,29,,,50215045.00,
22/05/2017,1048.0000,1048.0000,0.87,1084.0000,1039.0000,1084.0000,1033.0000,50215045,526254,63876,6102,17,,,50215045.00,
21/05/2017,1039.0000,1039.0000,2.16,1018.0000,1017.0000,1056.0000,1018.0000,50215045,521734,182737,17599,36,,,50215045.00,
18/05/2017,1017.0000,1017.0000,-3.24,1029.0000,1051.0000,1052.0000,1012.0000,50215045,510687,717802,69849,80,,,50215045.00,
17/05/2017,1051.0000,1051.0000,-4.11,1096.0000,1096.0000,1094.0000,1033.0000,50215045,527760,336664,31623,85,,,50215045.00,
16/05/2017,1096.0000,1096.0000,-1.44,1100.0000,1112.0000,1111.0000,1090.0000,50215045,550357,200005,18235,36,,,50215045.00,
15/05/2017,1112.0000,1112.0000,0.18,1110.0000,1110.0000,1121.0000,1108.0000,50215045,558391,41689,3748,16,,,50215045.00,
14/05/2017,1110.0000,1110.0000,1.00,1099.0000,1099.0000,1115.0000,1082.0000,50215045,557387,975674,87975,72,,,50215045.00,
11/05/2017,1099.0000,1099.0000,-0.27,1102.0000,1102.0000,1105.0000,1090.0000,50215045,551863,155415,14161,48,,,50215045.00,
10/05/2017,1102.0000,1102.0000,0.09,1101.0000,1101.0000,1109.0000,1067.0000,50215045,553370,171022,15537,39,,,50215045.00,
09/05/2017,1101.0000,1101.0000,1.19,1088.0000,1088.0000,1105.0000,1096.0000,50215045,552868,82919,7531,14,,,50215045.00,
08/05/2017,1088.0000,1088.0000,0.65,1090.0000,1081.0000,1101.0000,1086.0000,50215045,546340,397825,36520,37,,,50215045.00,
07/05/2017,1081.0000,1081.0000,4.34,1037.0000,1036.0000,1090.0000,1037.0000,50215045,542825,276313,25701,53,,,50215045.00,
04/05/2017,1036.0000,1036.0000,0.29,1032.0000,1033.0000,1085.0000,1021.0000,50215045,520228,722839,69318,75,,,50215045.00,
03/05/2017,1033.0000,1033.0000,-1.15,1097.0000,1045.0000,1097.0000,1020.0000,50215045,518721,302108,29227,51,,,50215045.00,
30/04/2017,1045.0000,1045.0000,-3.24,1080.0000,1080.0000,1080.0000,1038.0000,50215045,524747,394756,37776,63,,,50215045.00,
27/04/2017,1080.0000,1080.0000,-1.82,1100.0000,1100.0000,1110.0000,1070.0000,50215045,542322,157802,14484,34,,,50215045.00,
26/04/2017,1100.0000,1100.0000,0.09,1099.0000,1099.0000,1145.0000,1088.0000,50215045,552366,804073,72930,72,,,50215045.00,
25/04/2017,1099.0000,1099.0000,1.48,1083.0000,1083.0000,1122.0000,1050.0000,50215045,551863,468644,43143,74,,,50215045.00,
24/04/2017,1083.0000,1083.0000,4.74,1034.0000,1034.0000,1098.0000,1034.0000,50215045,543829,298739,27975,64,,,50215045.00,
23/04/2017,1034.0000,1034.0000,0.10,1033.0000,1033.0000,1040.0000,1027.0000,50215045,519224,88134,8536,17,,,50215045.00,
20/04/2017,1033.0000,1033.0000,-2.27,1057.0000,1057.0000,1050.0000,1025.0000,50215045,518721,5671550,549588,113,,,50215045.00,
19/04/2017,1057.0000,1057.0000,-2.76,1087.0000,1087.0000,1090.0000,1053.0000,50215045,530773,843018,78982,82,,,50215045.00,
18/04/2017,1087.0000,1087.0000,-1.18,1075.0000,1100.0000,1121.0000,1075.0000,50215045,545838,334914,30553,43,,,50215045.00,
13/04/2017,1100.0000,1100.0000,-1.52,1117.0000,1117.0000,1117.0000,1093.0000,50215045,552366,57436,5215,17,,,50215045.00,
12/04/2017,1117.0000,1117.0000,-2.45,1145.0000,1145.0000,1145.0000,1102.0000,50215045,560902,336829,30024,37,,,50215045.00,
09/04/2017,1145.0000,1145.0000,-0.35,1149.0000,1149.0000,1150.0000,1133.0000,50215045,574962,576082,50340,34,,,50215045.00,
06/04/2017,1149.0000,1149.0000,0.00,1149.0000,1149.0000,1164.0000,1132.0000,50215045,576971,434944,37911,51,,,50215045.00,
05/04/2017,1149.0000,1149.0000,0.17,1147.0000,1147.0000,1150.0000,1127.0000,50215045,576971,284271,24837,37,,,50215045.00,
04/04/2017,1147.0000,1147.0000,-0.09,1148.0000,1148.0000,1148.0000,1136.0000,50215045,575967,88150,7687,12,,,50215045.00,
03/04/2017,1148.0000,1148.0000,0.26,1145.0000,1145.0000,1148.0000,1136.0000,50215045,576469,347413,30335,31,,,50215045.00,
02/04/2017,1145.0000,1145.0000,-0.35,1149.0000,1149.0000,1152.0000,1140.0000,50215045,574962,117800,10287,13,,,50215045.00,
30/03/2017,1149.0000,1149.0000,2.13,1125.0000,1125.0000,1152.0000,1134.0000,50215045,576971,260335,22762,38,,,50215045.00,
29/03/2017,1125.0000,1125.0000,-0.97,1136.0000,1136.0000,1153.0000,1115.0000,50215045,564919,104934,9343,28,,,50215045.00,
28/03/2017,1136.0000,1136.0000,2.07,1113.0000,1113.0000,1140.0000,1122.0000,50215045,570443,255294,22548,43,,,50215045.00,
27/03/2017,1113.0000,1113.0000,0.54,1106.0000,1107.0000,1117.0000,1082.0000,50215045,558893,389690,35356,62,,,50215045.00,
26/03/2017,1107.0000,1107.0000,-1.51,1124.0000,1124.0000,1127.0000,1084.0000,50215045,555881,759220,68448,83,,,50215045.00,
23/03/2017,1124.0000,1124.0000,-0.44,1129.0000,1129.0000,1153.0000,1112.0000,50215045,564417,436270,38360,58,,,50215045.00,
22/03/2017,1129.0000,1129.0000,-2.25,1154.0000,1155.0000,1154.0000,1121.0000,50215045,566928,339068,29891,83,,,50215045.00,
21/03/2017,1155.0000,1155.0000,0.70,1156.0000,1147.0000,1168.0000,1145.0000,50215045,579984,589400,50887,89,,,50215045.00,
20/03/2017,1147.0000,1147.0000,-0.09,1148.0000,1148.0000,1150.0000,1139.0000,50215045,575967,90140,7872,21,,,50215045.00,
19/03/2017,1148.0000,1148.0000,-0.69,1156.0000,1156.0000,1157.0000,1140.0000,50215045,576469,134908,11749,21,,,50215045.00,
16/03/2017,1156.0000,1156.0000,3.03,1122.0000,1122.0000,1164.0000,1110.0000,50215045,580486,663709,57672,83,,,50215045.00,
15/03/2017,1122.0000,1122.0000,0.45,1117.0000,1117.0000,1135.0000,1111.0000,50215045,563413,209287,18636,32,,,50215045.00,
14/03/2017,1117.0000,1117.0000,-1.33,1132.0000,1132.0000,1129.0000,1110.0000,50215045,560902,1782134,159178,71,,,50215045.00,
13/03/2017,1132.0000,1132.0000,-1.14,1120.0000,1145.0000,1145.0000,1120.0000,50215045,568434,390036,34501,57,,,50215045.00,
09/03/2017,1145.0000,1145.0000,0.88,1145.0000,1135.0000,1159.0000,1135.0000,50215045,574962,841493,73536,72,,,50215045.00,
08/03/2017,1135.0000,1135.0000,1.43,1119.0000,1119.0000,1147.0000,1123.0000,50215045,569941,328116,28871,55,,,50215045.00,
