Historical Prices - HAMASHBIR 365 - 01104959
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,251.9000,251.9000,-4.94,264.8000,265.0000,264.8000,248.0000,149646687,376960,64859,25463,18,,,149646687.00,
28/05/2017,265.0000,265.0000,-1.89,269.9000,270.1000,269.9000,263.0000,149646687,396564,8071,3046,5,,,149646687.00,
25/05/2017,270.1000,270.1000,-1.32,273.7000,273.7000,273.7000,263.5000,149646687,404196,104966,38506,9,,,149646687.00,
24/05/2017,273.7000,273.7000,0.11,273.4000,273.4000,273.8000,273.5000,149646687,409583,14383,5254,7,,,149646687.00,
23/05/2017,273.4000,273.4000,5.56,271.9000,259.0000,275.0000,269.9000,149646687,409134,39267,14364,12,,,149646687.00,
22/05/2017,259.0000,259.0000,0.97,256.5000,256.5000,262.9000,256.5000,149646687,387585,45165,17447,11,,,149646687.00,
21/05/2017,256.5000,256.5000,-1.99,261.7000,261.7000,263.6000,248.9000,149646687,383844,46945,18304,25,,,149646687.00,
18/05/2017,261.7000,261.7000,-0.95,264.2000,264.2000,268.3000,257.6000,149646687,391625,72673,27638,23,,,149646687.00,
17/05/2017,264.2000,264.2000,-3.40,273.5000,273.5000,266.1000,262.1000,149646687,395367,43118,16318,19,,,149646687.00,
16/05/2017,273.5000,273.5000,-0.76,275.6000,275.6000,274.0000,272.2000,149646687,409284,17586,6429,5,,,149646687.00,
15/05/2017,275.6000,275.6000,0.00,275.6000,275.6000,275.6000,275.6000,149646687,412426,805,292,2,,,149646687.00,
14/05/2017,275.6000,275.6000,0.04,275.3000,275.5000,276.0000,275.3000,149646687,412426,5389,1955,6,,,149646687.00,
11/05/2017,275.5000,275.5000,-2.27,281.9000,281.9000,278.9000,273.0000,149646687,412277,35424,12857,12,,,149646687.00,
10/05/2017,281.9000,281.9000,2.70,274.3000,274.5000,283.3000,274.3000,149646687,421854,60953,21621,18,,,149646687.00,
09/05/2017,274.5000,274.5000,3.74,264.6000,264.6000,275.9000,265.3000,149646687,410780,115448,42390,31,,,149646687.00,
08/05/2017,264.6000,264.6000,0.53,263.1000,263.2000,265.5000,263.1000,149646687,395965,17422,6585,11,,,149646687.00,
07/05/2017,263.2000,263.2000,-0.90,265.6000,265.6000,264.0000,260.7000,149646687,393870,2824,1073,3,,,149646687.00,
04/05/2017,265.6000,265.6000,-2.10,271.3000,271.3000,268.6000,263.1000,149646687,397462,342112,128821,21,,,149646687.00,
03/05/2017,271.3000,271.3000,-1.35,275.0000,275.0000,278.0000,268.3000,149646687,405991,37727,13904,11,,,149646687.00,
30/04/2017,275.0000,275.0000,0.70,273.1000,273.1000,279.9000,270.0000,149646687,411528,99482,36003,32,,,149646687.00,
27/04/2017,273.1000,273.1000,0.44,271.9000,271.9000,282.0000,269.0000,149646687,408685,313082,113720,57,,,149646687.00,
26/04/2017,271.9000,271.9000,1.57,267.7000,267.7000,281.0000,263.6000,149646687,406889,88513,32579,22,,,149646687.00,
25/04/2017,267.7000,267.7000,-0.19,268.2000,268.2000,270.0000,262.6000,149646687,400604,126071,47094,26,,,149646687.00,
24/04/2017,268.2000,268.2000,-1.29,271.7000,271.7000,276.2000,261.3000,149646687,401352,168917,62878,37,,,149646687.00,
23/04/2017,271.7000,271.7000,-0.48,273.0000,273.0000,282.0000,270.0000,149646687,406590,212374,77390,24,,,149646687.00,
20/04/2017,273.0000,273.0000,-2.26,279.3000,279.3000,280.6000,267.5000,149646687,408535,450810,164025,62,,,149646687.00,
19/04/2017,279.3000,279.3000,2.91,271.4000,271.4000,281.5000,274.9000,149646687,417963,364608,131170,81,,,149646687.00,
18/04/2017,271.4000,271.4000,-3.28,280.8000,280.6000,280.8000,269.0000,149646687,406141,333815,120885,60,,,149646687.00,
13/04/2017,280.6000,280.6000,-1.34,284.4000,284.4000,285.0000,273.1000,149646687,419909,400155,142762,55,,,149646687.00,
12/04/2017,284.4000,284.4000,-0.97,297.0000,287.2000,297.0000,274.9000,149646687,425595,320550,112489,67,,,149646687.00,
09/04/2017,287.2000,287.2000,4.51,275.0000,274.8000,292.0000,275.0000,149646687,429785,1482796,520118,152,,,149646687.00,
06/04/2017,274.8000,274.8000,6.39,264.7000,258.3000,274.9000,254.8000,149646687,411229,887200,336565,105,,,149646687.00,
05/04/2017,258.3000,258.3000,2.54,251.9000,251.9000,264.2000,255.9000,149646687,386537,532281,206430,46,,,149646687.00,
04/04/2017,251.9000,251.9000,3.88,240.0000,242.5000,257.9000,240.0000,149646687,376960,168250,67956,41,,,149646687.00,
03/04/2017,242.5000,242.5000,4.89,231.2000,231.2000,249.1000,235.0000,149646687,362893,152429,63155,43,,,149646687.00,
02/04/2017,231.2000,231.2000,2.62,225.3000,225.3000,233.5000,224.3000,149646687,345983,50931,22130,27,,,149646687.00,
30/03/2017,225.3000,225.3000,1.76,221.4000,221.4000,234.9000,218.3000,149646687,337154,48696,21680,23,,,149646687.00,
29/03/2017,221.4000,221.4000,1.89,225.6000,217.3000,225.6000,218.0000,149646687,331318,28942,13075,15,,,149646687.00,
28/03/2017,217.3000,217.3000,1.40,214.3000,214.3000,227.8000,214.6000,149646687,325182,60670,27926,20,,,149646687.00,
