Historical Prices - HAMAT - 00384016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1760.0000,1760.0000,0.40,1753.0000,1753.0000,1801.0000,1751.0000,31251328,550023,878602,49807,33,,,31251328.00,
28/05/2017,1753.0000,1753.0000,-2.29,1794.0000,1794.0000,1784.0000,1745.0000,31251328,547836,161768,9193,21,,,31251328.00,
25/05/2017,1794.0000,1794.0000,0.84,1789.0000,1779.0000,1802.0000,1785.0000,31251328,560649,2263614,126085,53,,,31251328.00,
24/05/2017,1779.0000,1779.0000,-0.06,1780.0000,1780.0000,1789.0000,1763.0000,31251328,555961,157217,8862,28,,,31251328.00,
23/05/2017,1780.0000,1780.0000,-0.56,1790.0000,1790.0000,1799.0000,1769.0000,31251328,556274,227053,12773,43,,,31251328.00,
22/05/2017,1790.0000,1790.0000,-0.39,1797.0000,1797.0000,1794.0000,1760.0000,31251328,559399,110077,6168,28,,,31251328.00,
21/05/2017,1797.0000,1797.0000,0.28,1806.0000,1792.0000,1806.0000,1790.0000,31251328,561586,220766,12265,39,,,31251328.00,
18/05/2017,1792.0000,1792.0000,0.73,1790.0000,1779.0000,1809.0000,1736.0000,31251328,560024,378970,21231,78,,,31251328.00,
17/05/2017,1779.0000,1779.0000,-0.11,1781.0000,1781.0000,1800.0000,1768.0000,31251328,555961,394047,22068,55,,,31251328.00,
16/05/2017,1781.0000,1781.0000,-0.34,1787.0000,1787.0000,1790.0000,1773.0000,31251328,556586,196061,11006,32,,,31251328.00,
15/05/2017,1787.0000,1787.0000,-0.45,1800.0000,1795.0000,1814.0000,1787.0000,31251328,558461,1716657,96010,41,,,31251328.00,
14/05/2017,1795.0000,1795.0000,0.00,1795.0000,1795.0000,1803.0000,1776.0000,31251328,560961,331276,18465,41,,,31251328.00,
11/05/2017,1795.0000,1795.0000,0.17,1796.0000,1792.0000,1803.0000,1789.0000,31251328,560961,383806,21405,48,,,31251328.00,
10/05/2017,1792.0000,1792.0000,-0.55,1802.0000,1802.0000,1814.0000,1790.0000,31251328,560024,776503,43234,55,,,31251328.00,
09/05/2017,1802.0000,1802.0000,2.39,1760.0000,1760.0000,1805.0000,1760.0000,31251328,563149,714188,39835,63,,,31251328.00,
08/05/2017,1760.0000,1760.0000,1.62,1732.0000,1732.0000,1764.0000,1727.0000,31251328,550023,1403126,80324,87,,,31251328.00,
07/05/2017,1732.0000,1732.0000,3.46,1674.0000,1674.0000,1746.0000,1674.0000,31251328,541273,965113,56076,84,,,31251328.00,
04/05/2017,1674.0000,1674.0000,0.78,1661.0000,1661.0000,1689.0000,1665.0000,31251328,523147,555521,33161,58,,,31251328.00,
03/05/2017,1661.0000,1661.0000,0.30,1656.0000,1656.0000,1688.0000,1657.0000,31251328,519085,446830,26872,45,,,31251328.00,
30/04/2017,1656.0000,1656.0000,0.42,1649.0000,1649.0000,1671.0000,1651.0000,31251328,517522,122348,7366,27,,,31251328.00,
27/04/2017,1649.0000,1649.0000,0.24,1645.0000,1645.0000,1660.0000,1646.0000,31251328,515334,187781,11390,30,,,31251328.00,
26/04/2017,1645.0000,1645.0000,-0.18,1648.0000,1648.0000,1665.0000,1628.0000,31251328,514084,77495,4724,25,,,31251328.00,
25/04/2017,1648.0000,1648.0000,0.18,1645.0000,1645.0000,1660.0000,1603.0000,31251328,515022,74121,4548,22,,,31251328.00,
