Historical Prices - HAMLET - 01080324
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6122.0000,6122.0000,-1.73,6230.0000,6230.0000,6409.0000,6047.0000,13974241,855503,1093739,17749,182,,,13974241.00,
28/05/2017,6230.0000,6230.0000,-0.76,6397.0000,6278.0000,6450.0000,6103.0000,13974241,870595,2597851,41261,477,,,13974241.00,
25/05/2017,6278.0000,6278.0000,-0.41,6270.0000,6304.0000,6351.0000,6237.0000,13974241,877303,421351,6686,110,,,13974241.00,
24/05/2017,6304.0000,6304.0000,-1.33,6400.0000,6389.0000,6400.0000,6299.0000,13974241,880936,877283,13848,152,,,13974241.00,
23/05/2017,6389.0000,6389.0000,2.73,6215.0000,6219.0000,6400.0000,6215.0000,13974241,892814,1093916,17254,190,,,13974241.00,
22/05/2017,6219.0000,6219.0000,2.62,6078.0000,6060.0000,6239.0000,6078.0000,13974241,869058,588292,9544,111,,,13974241.00,
21/05/2017,6060.0000,6060.0000,3.03,5881.0000,5882.0000,6109.0000,5881.0000,13974241,846839,599734,9964,106,,,13974241.00,
18/05/2017,5882.0000,5882.0000,-2.63,6023.0000,6041.0000,6168.0000,5860.0000,13974241,821965,866174,14555,189,,,13974241.00,
17/05/2017,6041.0000,6041.0000,-4.60,6364.0000,6332.0000,6364.0000,6010.0000,13974241,844184,1263703,20516,258,,,13974241.00,
16/05/2017,6332.0000,6332.0000,2.41,6299.0000,6183.0000,6370.0000,6222.0000,13974241,884849,1063959,16944,196,,,13974241.00,
15/05/2017,6183.0000,6183.0000,-1.40,6268.0000,6271.0000,6336.0000,6115.0000,13974241,864027,1414076,22790,227,,,13974241.00,
14/05/2017,6271.0000,6271.0000,1.74,6200.0000,6164.0000,6320.0000,6176.0000,13974241,876325,972164,15602,128,,,13974241.00,
11/05/2017,6164.0000,6164.0000,2.51,6031.0000,6013.0000,6200.0000,6018.0000,13974241,861372,1032930,16836,185,,,13974241.00,
10/05/2017,6013.0000,6013.0000,-0.96,6071.0000,6071.0000,6100.0000,5900.0000,13974241,840271,1059396,17705,154,,,13974241.00,
09/05/2017,6071.0000,6071.0000,5.75,5849.0000,5741.0000,6071.0000,5780.0000,13974241,848376,1076282,18217,208,,,13974241.00,
08/05/2017,5741.0000,5741.0000,-4.51,6012.0000,6012.0000,6099.0000,5700.0000,13974241,802261,2379014,40902,346,EX D,0.97899,13974241.00,
07/05/2017,6011.9776,6141.0000,1.86,6050.0000,6029.0000,6160.0000,6050.0000,13974241,858158,651495,10656,116,,,13974241.00,
04/05/2017,5902.3307,6029.0000,0.28,6012.0000,6012.0000,6080.0000,5994.0000,13974241,842507,618437,10253,119,,,13969102.00,
03/05/2017,5885.6879,6012.0000,0.37,6008.0000,5990.0000,6086.0000,5927.0000,13974241,840131,861511,14316,156,,,13969102.00,
30/04/2017,5864.1501,5990.0000,1.30,5931.0000,5913.0000,6000.0000,5879.0000,13974241,837057,414017,6958,92,,,13969102.00,
27/04/2017,5788.7679,5913.0000,1.84,5929.0000,5806.0000,5929.0000,5825.0000,13974241,826297,1424534,24208,223,,,13969102.00,
26/04/2017,5684.0159,5806.0000,5.43,5507.0000,5507.0000,5945.0000,5607.0000,13974241,811344,974034,16830,220,,,13969102.00,
25/04/2017,5391.2979,5507.0000,0.77,5493.0000,5465.0000,5550.0000,5471.0000,13974241,769561,501025,9112,131,,,13969102.00,
24/04/2017,5350.1804,5465.0000,1.34,5393.0000,5393.0000,5500.0000,5393.0000,13974241,763692,697961,12762,137,,,13969102.00,
23/04/2017,5279.6931,5393.0000,-1.50,5459.0000,5475.0000,5539.0000,5365.0000,13974241,753631,975414,17943,137,,,13969102.00,
20/04/2017,5359.9703,5475.0000,-1.85,5600.0000,5578.0000,5604.0000,5450.0000,13974241,765090,1200649,21715,167,,,13969102.00,
19/04/2017,5460.8062,5578.0000,0.52,5555.0000,5549.0000,5630.0000,5477.0000,13974241,779483,927189,16725,137,,,13969102.00,
18/04/2017,5432.4155,5549.0000,-2.56,5796.0000,5695.0000,5796.0000,5543.0000,13974241,775431,2529890,45423,223,,,13969102.00,
