Historical Prices - HILAN - 01084698
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6720.0000,6720.0000,1.82,6600.0000,6600.0000,6790.0000,6599.0000,22482677,1510836,3183735,47576,494,,,22482677.00,
28/05/2017,6600.0000,6600.0000,-0.84,6770.0000,6656.0000,6770.0000,6565.0000,22482677,1483857,1572041,23706,213,,,22482677.00,
25/05/2017,6656.0000,6656.0000,0.71,6614.0000,6609.0000,6799.0000,6614.0000,22482677,1496447,2503361,37212,329,,,22482677.00,
24/05/2017,6609.0000,6609.0000,0.59,6666.0000,6570.0000,6666.0000,6582.0000,22482677,1485880,1915606,28984,181,,,22482677.00,
23/05/2017,6570.0000,6570.0000,0.31,6550.0000,6550.0000,6584.0000,6537.0000,22482677,1477112,1045713,15909,175,,,22482677.00,
22/05/2017,6550.0000,6550.0000,2.81,6400.0000,6371.0000,6563.0000,6383.0000,22482677,1472615,1043634,16125,189,,,22482677.00,
21/05/2017,6371.0000,6371.0000,-1.32,6461.0000,6456.0000,6630.0000,6357.0000,22482677,1432371,1120935,17386,204,,,22482677.00,
18/05/2017,6456.0000,6456.0000,-1.63,6579.0000,6563.0000,6680.0000,6353.0000,22482677,1451482,1668014,25942,226,,,22482677.00,
17/05/2017,6563.0000,6563.0000,-1.57,6630.0000,6668.0000,6682.0000,6524.0000,22482677,1475538,5175244,78670,456,,,22482677.00,
16/05/2017,6668.0000,6668.0000,1.85,6547.0000,6547.0000,6705.0000,6528.0000,22482677,1499145,2719145,40939,306,,,22482677.00,
15/05/2017,6547.0000,6547.0000,-0.05,6550.0000,6550.0000,6593.0000,6510.0000,22482677,1471941,1493491,22856,201,,,22482677.00,
14/05/2017,6550.0000,6550.0000,-0.67,6594.0000,6594.0000,6660.0000,6533.0000,22482677,1472615,1564847,23680,152,,,22482677.00,
11/05/2017,6594.0000,6594.0000,0.32,6573.0000,6573.0000,6630.0000,6572.0000,22482677,1482508,1577859,23926,188,,,22482677.00,
10/05/2017,6573.0000,6573.0000,0.83,6519.0000,6519.0000,6600.0000,6536.0000,22482677,1477786,1334285,20283,171,,,22482677.00,
09/05/2017,6519.0000,6519.0000,-0.32,6540.0000,6540.0000,6640.0000,6490.0000,22482677,1465646,2196379,33616,225,,,22482677.00,
08/05/2017,6540.0000,6540.0000,-1.03,6608.0000,6608.0000,6609.0000,6502.0000,22482677,1470367,1153488,17581,149,,,22482677.00,
07/05/2017,6608.0000,6608.0000,2.51,6588.0000,6446.0000,6640.0000,6509.0000,22482677,1485655,931918,14176,135,,,22482677.00,
04/05/2017,6446.0000,6446.0000,-0.56,6482.0000,6482.0000,6482.0000,6433.0000,22482677,1449233,1992746,30882,176,,,22482677.00,
03/05/2017,6482.0000,6482.0000,1.54,6405.0000,6384.0000,6482.0000,6405.0000,22482677,1457327,1044622,16182,127,,,22482677.00,
30/04/2017,6384.0000,6384.0000,0.36,6360.0000,6361.0000,6409.0000,6304.0000,22482677,1435294,616073,9697,126,,,22482677.00,
27/04/2017,6361.0000,6361.0000,0.33,6412.0000,6340.0000,6418.0000,6324.0000,22482677,1430123,1521186,23789,140,,,22482677.00,
