Historical Prices - HLDS     L - 00243014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3320.0000,3320.0000,0.91,3280.0000,3290.0000,3336.0000,3280.0000,31542952,1047226,620414,18776,55,,,31542952.00,
28/05/2017,3290.0000,3290.0000,-0.60,3310.0000,3310.0000,3320.0000,2978.0000,31542952,1037763,210902,6532,36,,,31542952.00,
25/05/2017,3310.0000,3310.0000,0.42,3296.0000,3296.0000,3321.0000,3290.0000,31542952,1044072,265187,8023,25,,,31542952.00,
24/05/2017,3296.0000,3296.0000,0.12,3292.0000,3292.0000,3310.0000,3261.0000,31542952,1039656,553135,16770,41,EX D,0.96767,31542952.00,
23/05/2017,3292.0133,3402.0000,0.86,3373.0000,3373.0000,3415.0000,3381.0000,31542952,1073091,801043,23600,50,,,31542952.00,
22/05/2017,3263.9509,3373.0000,-0.12,3377.0000,3377.0000,3391.0000,3350.0000,31542952,1063944,541497,15998,80,,,31542952.00,
21/05/2017,3267.8216,3377.0000,0.84,3349.0000,3349.0000,3393.0000,3359.0000,31542952,1065205,416228,12327,35,,,31542952.00,
18/05/2017,3240.7268,3349.0000,-1.33,3394.0000,3394.0000,3442.0000,3314.0000,31542952,1056373,669055,19883,54,,,31542952.00,
17/05/2017,3284.2720,3394.0000,-1.02,3439.0000,3429.0000,3439.0000,3390.0000,31542952,1070568,129289,3809,17,,,31542952.00,
16/05/2017,3318.1404,3429.0000,0.03,3498.0000,3428.0000,3498.0000,3394.0000,31542952,1081608,357101,10391,43,,,31542952.00,
15/05/2017,3317.1728,3428.0000,0.71,3414.0000,3404.0000,3444.0000,3375.0000,31542952,1081292,154194,4501,28,,,31542952.00,
14/05/2017,3293.9487,3404.0000,1.49,3354.0000,3354.0000,3420.0000,3364.0000,31542952,1073722,125693,3693,17,,,31542952.00,
11/05/2017,3245.5652,3354.0000,0.57,3335.0000,3335.0000,3369.0000,3318.0000,31542952,1057951,180887,5402,26,,,31542952.00,
10/05/2017,3227.1795,3335.0000,1.21,3295.0000,3295.0000,3350.0000,3267.0000,31542952,1051957,934160,28260,61,,,31542952.00,
09/05/2017,3188.4727,3295.0000,-0.27,3304.0000,3304.0000,3302.0000,3268.0000,31542952,1039340,255878,7780,27,,,31542952.00,
08/05/2017,3197.1817,3304.0000,0.61,3294.0000,3284.0000,3338.0000,3258.0000,31542952,1042179,321395,9739,42,,,31542952.00,
07/05/2017,3177.8283,3284.0000,1.39,3239.0000,3239.0000,3298.0000,3229.0000,31542952,1035871,329853,10059,35,,,31542952.00,
04/05/2017,3134.2831,3239.0000,0.68,3217.0000,3217.0000,3245.0000,3227.0000,31542952,1021676,162771,5024,13,,,31542952.00,
03/05/2017,3112.9944,3217.0000,0.31,3207.0000,3207.0000,3218.0000,3199.0000,31542952,1014737,314429,9796,33,,,31542952.00,
30/04/2017,3103.3177,3207.0000,0.82,3181.0000,3181.0000,3216.0000,3181.0000,31542952,1011582,99836,3114,9,,,31542952.00,
27/04/2017,3078.1583,3181.0000,2.25,3120.0000,3111.0000,3228.0000,3108.0000,31542952,1003381,612560,19303,62,,,31542952.00,
26/04/2017,3010.4214,3111.0000,-0.29,3120.0000,3120.0000,3118.0000,3094.0000,31542952,981301,133581,4297,15,,,31542952.00,
25/04/2017,3019.1304,3120.0000,0.39,3117.0000,3108.0000,3129.0000,3068.0000,31542952,984140,478759,15394,42,,,31542952.00,
24/04/2017,3007.5184,3108.0000,0.52,3092.0000,3092.0000,3132.0000,3089.0000,31542952,980355,548613,17654,51,,,31542952.00,
23/04/2017,2992.0356,3092.0000,0.55,3075.0000,3075.0000,3119.0000,3048.0000,31542952,975308,330347,10710,22,,,31542952.00,
20/04/2017,2975.5853,3075.0000,-0.36,3077.0000,3086.0000,3085.0000,3070.0000,31542952,969946,1066693,34619,47,,,31542952.00,
19/04/2017,2986.2296,3086.0000,-0.55,3103.0000,3103.0000,3115.0000,3070.0000,31542952,973416,1625744,52655,67,,,31542952.00,
18/04/2017,3002.6800,3103.0000,0.58,3085.0000,3085.0000,3112.0000,3079.0000,31542952,978778,184763,5953,15,,,31542952.00,
