Historical Prices - IDI INSUR - 01129501
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,20350.0000,20350.0000,0.84,20150.0000,20180.0000,20400.0000,20150.0000,14674913,2986345,7402891,36478,513,,,14674913.00,
28/05/2017,20180.0000,20180.0000,0.00,20300.0000,20180.0000,20300.0000,20120.0000,14674913,2961397,3072544,15210,338,,,14674913.00,
25/05/2017,20180.0000,20180.0000,-0.49,20280.0000,20280.0000,20360.0000,20100.0000,14674913,2961397,26994368,133110,601,,,14674913.00,
24/05/2017,20280.0000,20280.0000,-4.16,20550.0000,21160.0000,20620.0000,20280.0000,14674913,2976072,31717268,155285,1141,,,14674913.00,
23/05/2017,21160.0000,21160.0000,3.83,20380.0000,20380.0000,21160.0000,20180.0000,14674913,3105212,3977111,19013,419,,,14674913.00,
22/05/2017,20380.0000,20380.0000,0.84,20210.0000,20210.0000,20540.0000,20190.0000,14674913,2990747,2063947,10111,289,,,14674913.00,
21/05/2017,20210.0000,20210.0000,1.81,20400.0000,19850.0000,20400.0000,19890.0000,14674913,2965800,1811742,9035,279,,,14674913.00,
18/05/2017,19850.0000,19850.0000,-1.19,20070.0000,20090.0000,20360.0000,19520.0000,14674913,2912970,6802362,34113,483,,,14674913.00,
17/05/2017,20090.0000,20090.0000,4.15,19290.0000,19290.0000,20300.0000,19030.0000,14674913,2948190,4150690,20790,376,,,14674913.00,
16/05/2017,19290.0000,19290.0000,0.73,19150.0000,19150.0000,19530.0000,19020.0000,14674913,2830791,1681225,8774,190,,,14674913.00,
15/05/2017,19150.0000,19150.0000,-1.14,19370.0000,19370.0000,19380.0000,18870.0000,14674913,2810246,2130514,11153,216,,,14674913.00,
14/05/2017,19370.0000,19370.0000,-0.05,19380.0000,19380.0000,19500.0000,19300.0000,14674913,2842531,1386647,7148,131,,,14674913.00,
11/05/2017,19380.0000,19380.0000,-0.77,19530.0000,19530.0000,19750.0000,19350.0000,14674913,2843998,1067310,5462,162,,,14674913.00,
10/05/2017,19530.0000,19530.0000,-0.26,19630.0000,19580.0000,19980.0000,19430.0000,14674913,2866011,1143808,5810,153,,,14674913.00,
09/05/2017,19580.0000,19580.0000,0.15,19550.0000,19550.0000,19670.0000,19230.0000,14674913,2873348,1566078,8060,207,,,14674913.00,
08/05/2017,19550.0000,19550.0000,0.98,19700.0000,19360.0000,20150.0000,19380.0000,14674913,2868945,4198102,21378,325,,,14674913.00,
07/05/2017,19360.0000,19360.0000,2.38,18900.0000,18910.0000,19500.0000,18540.0000,14674913,2841063,694784,3621,120,,,14674913.00,
04/05/2017,18910.0000,18910.0000,-0.53,19010.0000,19010.0000,19270.0000,18910.0000,14674913,2775026,9231724,48761,281,,,14674913.00,
03/05/2017,19010.0000,19010.0000,-0.42,19400.0000,19090.0000,19450.0000,18900.0000,14674913,2789701,1845927,9652,255,,,14674913.00,
30/04/2017,19090.0000,19090.0000,-1.09,19300.0000,19300.0000,19360.0000,19020.0000,14674913,2801441,2023104,10545,232,,,14674913.00,
27/04/2017,19300.0000,19300.0000,-0.92,19700.0000,19480.0000,19700.0000,18980.0000,14674913,2832258,5087624,26399,487,,,14674913.00,
26/04/2017,19480.0000,19480.0000,-0.26,19500.0000,19530.0000,19610.0000,19380.0000,14674913,2858673,1489299,7648,201,,,14674913.00,
25/04/2017,19530.0000,19530.0000,1.61,19220.0000,19220.0000,19680.0000,19100.0000,14674913,2866011,1234564,6390,215,,,14674913.00,
24/04/2017,19220.0000,19220.0000,0.52,19150.0000,19120.0000,19830.0000,19140.0000,14674913,2820518,2180876,11266,266,,,14674913.00,
23/04/2017,19120.0000,19120.0000,-1.24,18900.0000,19360.0000,19220.0000,18900.0000,14674913,2805843,1079175,5646,170,,,14674913.00,
20/04/2017,19360.0000,19360.0000,1.10,19150.0000,19150.0000,19510.0000,19010.0000,14674913,2841063,2394049,12380,295,,,14674913.00,
19/04/2017,19150.0000,19150.0000,2.13,18750.0000,18750.0000,19310.0000,18750.0000,14674913,2810246,2809494,14743,283,,,14674913.00,
18/04/2017,18750.0000,18750.0000,0.27,18700.0000,18700.0000,19000.0000,18460.0000,14674913,2751546,1015063,5419,207,,,14674913.00,
13/04/2017,18700.0000,18700.0000,-0.69,18850.0000,18830.0000,18920.0000,18500.0000,14674913,2744209,1905239,10164,202,,,14674913.00,
12/04/2017,18830.0000,18830.0000,-1.21,19060.0000,19060.0000,19120.0000,18710.0000,14674913,2763286,932552,4936,140,,,14674913.00,
09/04/2017,19060.0000,19060.0000,-0.83,19280.0000,19220.0000,19290.0000,18790.0000,14674913,2797038,2530264,13334,209,,,14674913.00,
06/04/2017,19220.0000,19220.0000,2.51,18750.0000,18750.0000,19270.0000,18750.0000,14674913,2820518,7564626,39478,320,,,14674913.00,
05/04/2017,18750.0000,18750.0000,1.52,18500.0000,18470.0000,18800.0000,18310.0000,14674913,2751546,1474822,7928,211,,,14674913.00,
04/04/2017,18470.0000,18470.0000,0.93,18300.0000,18300.0000,18540.0000,18100.0000,14674913,2710456,1653369,8999,166,,,14674913.00,
03/04/2017,18300.0000,18300.0000,0.94,18400.0000,18130.0000,18450.0000,18080.0000,14674913,2685509,1382901,7596,176,,,14674913.00,
02/04/2017,18130.0000,18130.0000,0.83,17980.0000,17980.0000,18300.0000,18020.0000,14674913,2660562,761960,4199,86,,,14674913.00,
30/03/2017,17980.0000,17980.0000,1.01,18070.0000,17800.0000,18070.0000,17660.0000,14674913,2638549,1383054,7733,290,,,14674913.00,
29/03/2017,17800.0000,17800.0000,0.91,17640.0000,17640.0000,17800.0000,17500.0000,14674913,2612135,2384984,13503,299,,,14674913.00,
28/03/2017,17640.0000,17640.0000,1.03,17460.0000,17460.0000,17700.0000,17350.0000,14674913,2588655,1488306,8495,215,,,14674913.00,
27/03/2017,17460.0000,17460.0000,-1.58,17720.0000,17740.0000,17720.0000,17360.0000,14674913,2562240,1786095,10235,301,,,14674913.00,
26/03/2017,17740.0000,17740.0000,0.51,17650.0000,17650.0000,17970.0000,17620.0000,14674913,2603330,619159,3482,143,,,14674913.00,
23/03/2017,17650.0000,17650.0000,0.86,17490.0000,17500.0000,17780.0000,17490.0000,14674913,2590122,8358905,47462,438,,,14674913.00,
22/03/2017,17500.0000,17500.0000,-1.52,17600.0000,17770.0000,17770.0000,17300.0000,14674913,2568110,2634103,15013,263,,,14674913.00,
21/03/2017,17770.0000,17770.0000,1.20,17560.0000,17560.0000,17880.0000,17560.0000,14674913,2607732,2017074,11363,138,,,14674913.00,
20/03/2017,17560.0000,17560.0000,0.69,17640.0000,17440.0000,18040.0000,17550.0000,14674913,2576915,2200070,12406,263,,,14674913.00,
19/03/2017,17440.0000,17440.0000,-0.34,17500.0000,17500.0000,17710.0000,17230.0000,14674913,2559305,1764314,10138,156,EX D,0.98094,14674913.00,
16/03/2017,17499.9696,17840.0000,-0.94,18010.0000,18010.0000,18080.0000,17640.0000,14674913,2618004,3132894,17548,278,,,14674913.00,
15/03/2017,17666.7294,18010.0000,-2.38,18450.0000,18450.0000,18600.0000,17940.0000,14674913,2642952,2734878,15025,255,,,14674913.00,
14/03/2017,18098.3430,18450.0000,-0.59,18560.0000,18560.0000,18660.0000,18350.0000,14674913,2707521,4407677,23878,296,,,14674913.00,
13/03/2017,18206.2464,18560.0000,0.27,18510.0000,18510.0000,18650.0000,18360.0000,14674913,2723664,1757671,9497,178,,,14674913.00,
09/03/2017,18157.1994,18510.0000,0.00,18510.0000,18510.0000,18750.0000,18320.0000,14674913,2716326,13649235,73745,159,,,14674913.00,
08/03/2017,18157.1994,18510.0000,-0.22,18550.0000,18550.0000,18690.0000,18420.0000,14674913,2716326,1439778,7765,124,,,14674913.00,
07/03/2017,18196.4370,18550.0000,-0.64,18670.0000,18670.0000,18730.0000,18520.0000,14674913,2722196,1197028,6421,104,,,14674913.00,
06/03/2017,18314.1498,18670.0000,-0.48,18950.0000,18760.0000,18950.0000,18540.0000,14674913,2739806,2242639,12011,171,,,14674913.00,
05/03/2017,18402.4344,18760.0000,-0.64,18880.0000,18880.0000,18880.0000,18550.0000,14674913,2753014,1121309,5985,138,,,14674913.00,
02/03/2017,18520.1472,18880.0000,1.02,18690.0000,18690.0000,18880.0000,18560.0000,14674913,2770624,27448653,147298,224,,,14674913.00,
01/03/2017,18333.7686,18690.0000,0.21,18650.0000,18650.0000,18860.0000,18520.0000,14674913,2742741,5657267,30307,214,,,14674913.00,
28/02/2017,18294.5310,18650.0000,-1.58,18950.0000,18950.0000,18910.0000,18570.0000,14674913,2736871,1819916,9727,211,,,14674913.00,
27/02/2017,18588.8130,18950.0000,-0.84,19110.0000,19110.0000,19130.0000,18490.0000,14674913,2780896,3550716,18896,318,,,14674913.00,
26/02/2017,18745.7634,19110.0000,2.14,18710.0000,18710.0000,19190.0000,18660.0000,14674913,2804376,910939,4836,148,,,14674913.00,
23/02/2017,18353.3874,18710.0000,-1.06,18820.0000,18910.0000,18910.0000,18710.0000,14674913,2745676,2109993,11229,151,,,14674913.00,
22/02/2017,18549.5754,18910.0000,-0.21,18950.0000,18950.0000,19000.0000,18670.0000,14674913,2775026,4196280,22359,233,,,14674913.00,
21/02/2017,18588.8130,18950.0000,0.11,19000.0000,18930.0000,19080.0000,18920.0000,14674913,2780896,1756563,9260,157,,,14674913.00,
20/02/2017,18569.1942,18930.0000,-0.16,18850.0000,18960.0000,18970.0000,18770.0000,14674913,2777961,1352431,7165,118,,,14674913.00,
19/02/2017,18598.6224,18960.0000,0.42,18880.0000,18880.0000,19000.0000,18730.0000,14674913,2782364,1113849,5903,120,,,14674913.00,
16/02/2017,18520.1472,18880.0000,0.75,18740.0000,18740.0000,19050.0000,18680.0000,14674913,2770624,1735557,9190,195,,,14674913.00,
15/02/2017,18382.8156,18740.0000,-0.90,18910.0000,18910.0000,19050.0000,18650.0000,14674913,2750079,1870823,9954,245,,,14674913.00,
14/02/2017,18549.5754,18910.0000,1.12,18700.0000,18700.0000,18980.0000,18640.0000,14674913,2775026,1525338,8112,202,,,14674913.00,
