Historical Prices - IES - 00431015
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,16050.0000,16050.0000,0.88,15910.0000,15910.0000,16140.0000,15910.0000,4935847,792203,627273,3914,53,,,4937797.00,
28/05/2017,15910.0000,15910.0000,-0.50,15990.0000,15990.0000,16140.0000,15800.0000,4935847,785293,575150,3595,55,,,4937797.00,
25/05/2017,15990.0000,15990.0000,2.50,15990.0000,15600.0000,16410.0000,15950.0000,4935847,789242,1661713,10293,122,,,4937797.00,
24/05/2017,15600.0000,15600.0000,4.84,14880.0000,14880.0000,16360.0000,15070.0000,4935847,769992,988124,6406,136,,,4937797.00,
23/05/2017,14880.0000,14880.0000,1.22,14700.0000,14700.0000,14990.0000,14660.0000,4935847,734454,117525,791,29,,,4937797.00,
22/05/2017,14700.0000,14700.0000,-2.00,15000.0000,15000.0000,14990.0000,14500.0000,4935847,725570,259183,1751,55,,,4937797.00,
21/05/2017,15000.0000,15000.0000,1.21,14820.0000,14820.0000,15010.0000,14830.0000,4935847,740377,446027,2980,46,,,4937797.00,
18/05/2017,14820.0000,14820.0000,-0.74,14930.0000,14930.0000,14940.0000,14500.0000,4935847,731493,179926,1213,42,,,4937797.00,
17/05/2017,14930.0000,14930.0000,-0.40,14990.0000,14990.0000,15000.0000,14680.0000,4935847,736922,199285,1340,37,,,4937797.00,
16/05/2017,14990.0000,14990.0000,-0.13,15010.0000,15010.0000,15050.0000,14800.0000,4935847,739883,155550,1041,32,,,4937797.00,
15/05/2017,15010.0000,15010.0000,-1.25,15200.0000,15200.0000,15300.0000,14970.0000,4935847,740871,163344,1082,34,,,4937797.00,
14/05/2017,15200.0000,15200.0000,0.00,15200.0000,15200.0000,15290.0000,15100.0000,4935847,750249,273123,1794,41,,,4937797.00,
11/05/2017,15200.0000,15200.0000,2.15,14880.0000,14880.0000,15230.0000,14860.0000,4935847,750249,441009,2924,60,,,4937797.00,
10/05/2017,14880.0000,14880.0000,2.69,14500.0000,14490.0000,14900.0000,14500.0000,4935847,734454,174551,1178,26,,,4937797.00,
09/05/2017,14490.0000,14490.0000,1.61,14260.0000,14260.0000,14590.0000,14140.0000,4935847,715204,609706,4254,58,,,4937797.00,
08/05/2017,14260.0000,14260.0000,4.47,13650.0000,13650.0000,14370.0000,13980.0000,4935847,703852,323078,2271,27,,,4937797.00,
07/05/2017,13650.0000,13650.0000,2.40,13330.0000,13330.0000,13790.0000,13340.0000,4935847,673743,176953,1311,28,,,4937797.00,
