Historical Prices - INROM CONST - 01132356
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1714.0000,1714.0000,1.36,1691.0000,1691.0000,1776.0000,1584.0000,108814860,1865087,6698259,390677,633,EX D,0.98486,108814860.00,
28/05/2017,1691.0046,1717.0000,0.82,1703.0000,1703.0000,1722.0000,1675.0000,108814860,1868351,2419772,142476,347,,,108814860.00,
25/05/2017,1677.2166,1703.0000,-1.45,1733.0000,1728.0000,1734.0000,1681.0000,108814860,1853117,4830362,284500,550,,,108814860.00,
24/05/2017,1701.8381,1728.0000,0.47,1729.0000,1720.0000,1731.0000,1706.0000,108814860,1880321,5746958,334246,491,,,108814860.00,
23/05/2017,1693.9592,1720.0000,3.37,1659.0000,1664.0000,1720.0000,1649.0000,108814860,1871616,11381137,681891,757,,,108814860.00,
22/05/2017,1638.8070,1664.0000,2.21,1628.0000,1628.0000,1675.0000,1627.0000,108814860,1810679,15520005,938901,543,,,108814860.00,
21/05/2017,1603.3521,1628.0000,5.10,1560.0000,1549.0000,1639.0000,1560.0000,108814860,1771506,3056689,189991,329,,,108814860.00,
18/05/2017,1525.5481,1549.0000,1.18,1525.0000,1531.0000,1564.0000,1514.0000,108814860,1685542,4856082,315406,626,,,108814860.00,
17/05/2017,1507.8207,1531.0000,3.17,1500.0000,1484.0000,1563.0000,1500.0000,108814860,1665956,18181360,1177388,1014,,,108814860.00,
16/05/2017,1461.5322,1484.0000,0.82,1472.0000,1472.0000,1484.0000,1458.0000,108814860,1614813,2182464,148537,336,,,108814860.00,
15/05/2017,1449.7139,1472.0000,0.07,1471.0000,1471.0000,1480.0000,1463.0000,108814860,1601755,1747363,118762,220,,,108814860.00,
14/05/2017,1448.7291,1471.0000,-0.14,1473.0000,1473.0000,1477.0000,1459.0000,108814860,1600667,1357876,92543,173,,,108814860.00,
11/05/2017,1450.6988,1473.0000,-1.14,1490.0000,1490.0000,1496.0000,1451.0000,108814860,1602843,2717088,184643,330,,,108814860.00,
10/05/2017,1467.4414,1490.0000,0.68,1467.0000,1480.0000,1494.0000,1467.0000,108814860,1621341,2708367,182222,239,,,108814860.00,
