Historical Prices - INTEC PHARMA - 01117795
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2050.0000,2050.0000,0.00,2050.0000,2050.0000,2050.0000,2002.0000,13738206,281633,947192,46455,110,,,13737829.00,
28/05/2017,2050.0000,2050.0000,4.17,1967.0000,1968.0000,2050.0000,1952.0000,13738206,281633,1030701,51068,108,,,13737829.00,
25/05/2017,1968.0000,1968.0000,0.61,1979.0000,1956.0000,1979.0000,1911.0000,13738206,270368,618581,31491,112,,,13737829.00,
24/05/2017,1956.0000,1956.0000,0.00,1956.0000,1956.0000,2025.0000,1940.0000,13738206,268719,1162772,58723,189,,,13737829.00,
23/05/2017,1956.0000,1956.0000,-0.41,1930.0000,1964.0000,1961.0000,1924.0000,13738206,268719,368645,18970,66,,,13737829.00,
22/05/2017,1964.0000,1964.0000,3.26,1902.0000,1902.0000,2019.0000,1929.0000,13738206,269818,1544029,77516,245,,,13737829.00,
21/05/2017,1902.0000,1902.0000,1.93,1866.0000,1866.0000,1916.0000,1890.0000,13738206,261301,209355,11006,36,,,13737829.00,
18/05/2017,1866.0000,1866.0000,-1.89,1902.0000,1902.0000,1912.0000,1860.0000,13738206,256355,264896,14069,48,,,13737829.00,
17/05/2017,1902.0000,1902.0000,-1.71,1935.0000,1935.0000,1935.0000,1896.0000,13738206,261301,360295,18887,63,,,13737829.00,
16/05/2017,1935.0000,1935.0000,1.20,1912.0000,1912.0000,1945.0000,1912.0000,13738206,265834,159003,8245,42,,,13737829.00,
15/05/2017,1912.0000,1912.0000,0.31,1906.0000,1906.0000,1940.0000,1880.0000,13737829,262667,496710,26159,154,,,13737829.00,
14/05/2017,1906.0000,1906.0000,1.17,1880.0000,1884.0000,1925.0000,1880.0000,13737829,261843,354265,18671,50,,,13737829.00,
11/05/2017,1884.0000,1884.0000,-0.89,1901.0000,1901.0000,1904.0000,1881.0000,13737829,258821,1302915,68915,105,,,13737829.00,
10/05/2017,1901.0000,1901.0000,-0.83,1917.0000,1917.0000,1917.0000,1893.0000,13737829,261156,331172,17384,69,,,13737829.00,
09/05/2017,1917.0000,1917.0000,1.97,1868.0000,1880.0000,1936.0000,1868.0000,13737829,263354,388061,20220,68,,,13737829.00,
08/05/2017,1880.0000,1880.0000,-1.16,1902.0000,1902.0000,1910.0000,1870.0000,13737829,258271,808293,42798,92,,,13737829.00,
07/05/2017,1902.0000,1902.0000,1.66,1871.0000,1871.0000,1920.0000,1859.0000,13737829,261294,195870,10409,30,,,13737829.00,
04/05/2017,1871.0000,1871.0000,-2.81,1925.0000,1925.0000,1958.0000,1871.0000,13737829,257035,959783,50805,85,,,11448191.00,
03/05/2017,1925.0000,1925.0000,-3.41,1993.0000,1993.0000,1993.0000,1832.0000,13737829,264453,1652945,85815,219,,,11448191.00,
30/04/2017,1993.0000,1993.0000,0.05,1992.0000,1992.0000,2003.0000,1980.0000,13737829,273795,703911,35410,103,,,11448191.00,
27/04/2017,1992.0000,1992.0000,0.20,1988.0000,1988.0000,1998.0000,1985.0000,13737829,273658,182845,9194,41,,,11448191.00,
26/04/2017,1988.0000,1988.0000,-0.55,1999.0000,1999.0000,2000.0000,1972.0000,13737829,273108,228309,11468,54,,,11448191.00,
25/04/2017,1999.0000,1999.0000,2.57,1935.0000,1949.0000,2013.0000,1935.0000,13737829,274619,300435,15063,71,,,11448191.00,
24/04/2017,1949.0000,1949.0000,-0.05,1950.0000,1950.0000,1955.0000,1930.0000,13737829,267750,152095,7833,34,,,11448191.00,
23/04/2017,1950.0000,1950.0000,-0.51,1921.0000,1960.0000,1968.0000,1921.0000,13737829,267888,236898,12169,59,,,11448191.00,
20/04/2017,1960.0000,1960.0000,-1.90,1998.0000,1998.0000,1997.0000,1941.0000,13737829,269261,441565,22540,45,,,11448191.00,
19/04/2017,1998.0000,1998.0000,-0.15,2001.0000,2001.0000,2001.0000,1963.0000,13737829,274482,628555,31747,79,,,11448191.00,
18/04/2017,2001.0000,2001.0000,-1.33,2028.0000,2028.0000,2045.0000,1995.0000,13737829,274894,328722,16358,66,,,11448191.00,
