Historical Prices - INTERNET GOLD - 01083443
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3890.0000,3890.0000,0.23,3881.0000,3881.0000,3962.0000,3872.0000,19203186,747004,664917,16995,149,,,19203186.00,
28/05/2017,3881.0000,3881.0000,-1.17,3969.0000,3927.0000,3995.0000,3862.0000,19203186,745276,573050,14619,128,,,19203186.00,
25/05/2017,3927.0000,3927.0000,1.79,3858.0000,3858.0000,3935.0000,3858.0000,19203186,754109,458693,11722,122,,,19203186.00,
24/05/2017,3858.0000,3858.0000,0.21,3919.0000,3850.0000,3919.0000,3850.0000,19203186,740859,922952,23804,168,,,19203186.00,
23/05/2017,3850.0000,3850.0000,-2.14,3960.0000,3934.0000,3978.0000,3801.0000,19203186,739323,1280125,32886,227,,,19203186.00,
22/05/2017,3934.0000,3934.0000,-1.67,4039.0000,4001.0000,4039.0000,3926.0000,19203186,755453,1196501,30247,196,,,19203186.00,
21/05/2017,4001.0000,4001.0000,1.34,3999.0000,3948.0000,4079.0000,3970.0000,19203186,768319,2241784,55557,193,,,19203186.00,
18/05/2017,3948.0000,3948.0000,-3.75,4061.0000,4102.0000,4139.0000,3921.0000,19203186,758142,2476908,62158,318,,,19203186.00,
17/05/2017,4102.0000,4102.0000,0.64,4070.0000,4076.0000,4193.0000,4004.0000,19203186,787715,1242479,30106,217,,,19203186.00,
16/05/2017,4076.0000,4076.0000,0.25,4063.0000,4066.0000,4122.0000,4063.0000,19203186,782722,932483,22714,128,,,19203186.00,
15/05/2017,4066.0000,4066.0000,-0.05,4068.0000,4068.0000,4092.0000,4044.0000,19203186,780802,593487,14576,110,,,19203186.00,
14/05/2017,4068.0000,4068.0000,0.30,4040.0000,4056.0000,4109.0000,4036.0000,19203186,781186,709321,17385,124,,,19203186.00,
11/05/2017,4056.0000,4056.0000,0.10,4052.0000,4052.0000,4098.0000,4052.0000,19203186,778881,650500,15976,116,,,19203186.00,
10/05/2017,4052.0000,4052.0000,0.47,4017.0000,4033.0000,4130.0000,4016.0000,19203186,778113,761115,18655,120,,,19203186.00,
09/05/2017,4033.0000,4033.0000,-1.35,4088.0000,4088.0000,4160.0000,3954.0000,19203186,774464,1551774,38054,256,,,19203186.00,
08/05/2017,4088.0000,4088.0000,0.91,4051.0000,4051.0000,4165.0000,4052.0000,19203186,785026,804308,19611,140,,,19203186.00,
07/05/2017,4051.0000,4051.0000,1.02,4010.0000,4010.0000,4100.0000,4010.0000,19203186,777921,559548,13745,126,,,19203186.00,
04/05/2017,4010.0000,4010.0000,-0.20,4020.0000,4018.0000,4078.0000,4010.0000,19203186,770048,964134,23850,189,,,19203186.00,
03/05/2017,4018.0000,4018.0000,0.17,4070.0000,4011.0000,4090.0000,4010.0000,19203186,771584,1162376,28666,185,,,19203186.00,
30/04/2017,4011.0000,4011.0000,-0.57,4034.0000,4034.0000,4126.0000,4001.0000,19203186,770240,1171226,28806,164,,,19203186.00,
27/04/2017,4034.0000,4034.0000,1.89,4030.0000,3959.0000,4090.0000,3909.0000,19203186,774657,1685377,41900,227,,,19203186.00,
26/04/2017,3959.0000,3959.0000,-0.25,3969.0000,3969.0000,4069.0000,3912.0000,19203186,760254,785838,19752,144,,,19203186.00,
25/04/2017,3969.0000,3969.0000,-1.49,4050.0000,4029.0000,4050.0000,3950.0000,19203186,762174,1394996,35112,181,,,19203186.00,
24/04/2017,4029.0000,4029.0000,-1.01,4100.0000,4070.0000,4165.0000,4017.0000,19203186,773696,2911168,71023,372,,,19203186.00,
23/04/2017,4070.0000,4070.0000,2.75,4020.0000,3961.0000,4086.0000,3999.0000,19203186,781570,2104224,51929,275,,,19203186.00,
20/04/2017,3961.0000,3961.0000,0.38,3946.0000,3946.0000,4040.0000,3856.0000,19203186,760638,2125846,53495,240,,,19203186.00,
19/04/2017,3946.0000,3946.0000,3.65,3807.0000,3807.0000,4026.0000,3807.0000,19203186,757758,2244526,56685,239,,,19203186.00,
18/04/2017,3807.0000,3807.0000,1.41,3754.0000,3754.0000,3837.0000,3751.0000,19203186,731065,813312,21400,102,,,19203186.00,
13/04/2017,3754.0000,3754.0000,1.46,3700.0000,3700.0000,3770.0000,3716.0000,19203186,720888,1158941,30949,140,,,19203186.00,
12/04/2017,3700.0000,3700.0000,-1.28,3712.0000,3748.0000,3845.0000,3700.0000,19203186,710518,1104076,29535,119,,,19203186.00,
09/04/2017,3748.0000,3748.0000,-0.58,3770.0000,3770.0000,3796.0000,3736.0000,19203186,719735,1116558,29748,129,,,19203186.00,
06/04/2017,3770.0000,3770.0000,-0.34,3783.0000,3783.0000,3842.0000,3770.0000,19203186,723960,764440,20186,107,,,19203186.00,
05/04/2017,3783.0000,3783.0000,0.40,3800.0000,3768.0000,3809.0000,3719.0000,19203186,726457,702792,18656,136,,,19203186.00,
04/04/2017,3768.0000,3768.0000,-0.74,3796.0000,3796.0000,3838.0000,3755.0000,19203186,723576,569597,15062,73,,,19203186.00,
03/04/2017,3796.0000,3796.0000,-1.25,3844.0000,3844.0000,3883.0000,3719.0000,19203186,728953,2768221,72759,202,,,19203186.00,
02/04/2017,3844.0000,3844.0000,1.96,3770.0000,3770.0000,3859.0000,3769.0000,19203186,738170,487892,12731,84,,,19203186.00,
30/03/2017,3770.0000,3770.0000,0.56,3798.0000,3749.0000,3798.0000,3715.0000,19203186,723960,428833,11397,72,,,19203186.00,
29/03/2017,3749.0000,3749.0000,-0.74,3710.0000,3777.0000,3800.0000,3710.0000,19203186,719927,424162,11280,100,,,19203186.00,
28/03/2017,3777.0000,3777.0000,0.69,3751.0000,3751.0000,3836.0000,3756.0000,19203186,725304,307343,8123,70,,,19203186.00,
27/03/2017,3751.0000,3751.0000,-0.61,3731.0000,3774.0000,3842.0000,3731.0000,19203186,720312,611779,16259,126,,,19203186.00,
26/03/2017,3774.0000,3774.0000,-0.05,3780.0000,3776.0000,3863.0000,3742.0000,19203186,724728,471664,12450,101,,,19203186.00,
23/03/2017,3776.0000,3776.0000,-1.31,3826.0000,3826.0000,3812.0000,3750.0000,19203186,725112,275275,7288,81,,,19203186.00,
22/03/2017,3826.0000,3826.0000,0.84,3731.0000,3794.0000,3898.0000,3731.0000,19203186,734714,444801,11710,116,,,19203186.00,
21/03/2017,3794.0000,3794.0000,-1.84,3865.0000,3865.0000,3866.0000,3780.0000,19203186,728569,588546,15363,90,,,19203186.00,
20/03/2017,3865.0000,3865.0000,2.57,3768.0000,3768.0000,3880.0000,3735.0000,19203186,742203,368426,9655,89,,,19203186.00,
19/03/2017,3768.0000,3768.0000,-1.54,3820.0000,3827.0000,3850.0000,3750.0000,19203186,723576,947041,25003,143,,,19203186.00,
16/03/2017,3827.0000,3827.0000,-3.38,3961.0000,3961.0000,3997.0000,3800.0000,19203186,734906,1463577,37559,181,,,19203186.00,
15/03/2017,3961.0000,3961.0000,-0.18,3968.0000,3968.0000,4030.0000,3933.0000,19203186,760638,495745,12455,98,,,19203186.00,
14/03/2017,3968.0000,3968.0000,-0.90,4004.0000,4004.0000,4052.0000,3965.0000,19203186,761982,911440,22808,114,,,19203186.00,
13/03/2017,4004.0000,4004.0000,-1.81,4078.0000,4078.0000,4078.0000,3963.0000,19203186,768896,1200723,29882,168,,,19203186.00,
09/03/2017,4078.0000,4078.0000,-0.39,4094.0000,4094.0000,4127.0000,4053.0000,19203186,783106,522569,12764,83,,,19203186.00,
08/03/2017,4094.0000,4094.0000,0.81,4011.0000,4061.0000,4100.0000,4011.0000,19203186,786178,286310,7055,63,,,19203186.00,
07/03/2017,4061.0000,4061.0000,-0.98,4068.0000,4101.0000,4114.0000,4032.0000,19203186,779841,471560,11602,90,,,19203186.00,
06/03/2017,4101.0000,4101.0000,-3.10,4232.0000,4232.0000,4232.0000,4085.0000,19203186,787523,921176,22276,153,,,19203186.00,
05/03/2017,4232.0000,4232.0000,1.49,4170.0000,4170.0000,4240.0000,4170.0000,19203186,812679,757686,17987,91,,,19203186.00,
02/03/2017,4170.0000,4170.0000,2.94,4051.0000,4051.0000,4170.0000,4033.0000,19203186,800773,868626,20947,116,,,19203186.00,
01/03/2017,4051.0000,4051.0000,3.21,3925.0000,3925.0000,4081.0000,3922.0000,19203186,777921,813549,20234,168,,,19203186.00,
28/02/2017,3925.0000,3925.0000,-0.51,3945.0000,3945.0000,3997.0000,3902.0000,19203186,753725,434145,11053,83,,,19203186.00,
27/02/2017,3945.0000,3945.0000,-1.69,4013.0000,4013.0000,4057.0000,3930.0000,19203186,757566,914202,23041,130,,,19203186.00,
26/02/2017,4013.0000,4013.0000,-1.30,4064.0000,4066.0000,4064.0000,4007.0000,19203186,770624,378038,9406,54,,,19203186.00,
23/02/2017,4066.0000,4066.0000,-0.93,4104.0000,4104.0000,4125.0000,4051.0000,19203186,780802,514386,12584,76,,,19203186.00,
22/02/2017,4104.0000,4104.0000,-3.07,4234.0000,4234.0000,4245.0000,4084.0000,19203186,788099,942250,22709,166,,,19203186.00,
21/02/2017,4234.0000,4234.0000,-0.02,4219.0000,4235.0000,4255.0000,4200.0000,19203186,813063,469713,11113,89,,,19203186.00,
20/02/2017,4235.0000,4235.0000,0.31,4200.0000,4222.0000,4275.0000,4200.0000,19203186,813255,789330,18613,99,,,19203186.00,
19/02/2017,4222.0000,4222.0000,1.98,4140.0000,4140.0000,4244.0000,4121.0000,19203186,810759,1850639,44366,160,,,19203186.00,
16/02/2017,4140.0000,4140.0000,0.58,4150.0000,4116.0000,4150.0000,4070.0000,19203186,795012,552526,13419,110,,,19203186.00,
15/02/2017,4116.0000,4116.0000,0.27,4105.0000,4105.0000,4141.0000,4077.0000,19203186,790403,754755,18345,161,,,19203186.00,
14/02/2017,4105.0000,4105.0000,0.49,4085.0000,4085.0000,4153.0000,4053.0000,19203186,788291,1530619,37100,186,,,19203186.00,
13/02/2017,4085.0000,4085.0000,2.51,3903.0000,3985.0000,4092.0000,3903.0000,19203186,784450,1151451,28484,212,,,19203186.00,
12/02/2017,3985.0000,3985.0000,2.31,3930.0000,3895.0000,3995.0000,3930.0000,19203186,765247,1296002,32639,140,,,19203186.00,
09/02/2017,3895.0000,3895.0000,0.78,3865.0000,3865.0000,3930.0000,3795.0000,19203186,747964,2990399,76881,172,,,19382316.00,
08/02/2017,3865.0000,3865.0000,0.60,3842.0000,3842.0000,3897.0000,3845.0000,19203186,742203,1029797,26646,145,,,19382316.00,
07/02/2017,3842.0000,3842.0000,0.03,3790.0000,3841.0000,3880.0000,3790.0000,19203186,737786,1025701,26698,185,,,19382316.00,
06/02/2017,3841.0000,3841.0000,0.34,3828.0000,3828.0000,3902.0000,3801.0000,19203186,737594,691365,17959,154,,,19382316.00,
05/02/2017,3828.0000,3828.0000,-0.03,3850.0000,3829.0000,3850.0000,3786.0000,19203186,735098,1185746,31107,176,,,19382316.00,
02/02/2017,3829.0000,3829.0000,-1.21,3876.0000,3876.0000,3896.0000,3820.0000,19203186,735290,1678830,43600,232,,,19382316.00,
01/02/2017,3876.0000,3876.0000,-0.13,3990.0000,3881.0000,3990.0000,3852.0000,19203186,744315,909430,23289,178,,,19382316.00,
31/01/2017,3881.0000,3881.0000,0.41,3850.0000,3865.0000,3944.0000,3840.0000,19203186,745276,987473,25337,160,,,19382316.00,
30/01/2017,3865.0000,3865.0000,-0.87,3999.0000,3899.0000,3999.0000,3861.0000,19203186,742203,869627,22417,149,,,19382316.00,
29/01/2017,3899.0000,3899.0000,-0.54,3926.0000,3920.0000,3926.0000,3890.0000,19203186,748732,675141,17302,108,,,19382316.00,
26/01/2017,3920.0000,3920.0000,-0.66,3980.0000,3946.0000,3999.0000,3880.0000,19203186,752765,883203,22341,167,,,19382316.00,
25/01/2017,3946.0000,3946.0000,2.52,3850.0000,3849.0000,3995.0000,3850.0000,19203186,757758,1165492,29731,221,,,19382316.00,
24/01/2017,3849.0000,3849.0000,-0.77,3879.0000,3879.0000,3887.0000,3840.0000,19203186,739131,2518456,65260,266,,,19382316.00,
23/01/2017,3879.0000,3879.0000,-1.62,3943.0000,3943.0000,3946.0000,3871.0000,19203186,744892,1979178,50881,285,,,19382316.00,
22/01/2017,3943.0000,3943.0000,-0.53,3964.0000,3964.0000,4005.0000,3940.0000,19203186,757182,1199871,30306,144,,,19382316.00,
19/01/2017,3964.0000,3964.0000,-3.15,4055.0000,4093.0000,4093.0000,3960.0000,19203186,761214,1335829,33185,205,,,19382316.00,
18/01/2017,4093.0000,4093.0000,1.74,4023.0000,4023.0000,4120.0000,4023.0000,19203186,785986,979310,24052,134,,,19382316.00,
17/01/2017,4023.0000,4023.0000,-1.90,4041.0000,4101.0000,4083.0000,4005.0000,19203186,772544,2000456,49607,242,,,19382316.00,
16/01/2017,4101.0000,4101.0000,-2.05,4184.0000,4187.0000,4189.0000,4088.0000,19203186,787523,1129168,27228,195,,,19382316.00,
15/01/2017,4187.0000,4187.0000,-0.17,4194.0000,4194.0000,4217.0000,4160.0000,19203186,804037,1293245,30929,185,,,19382316.00,
12/01/2017,4194.0000,4194.0000,-1.60,4240.0000,4262.0000,4266.0000,4182.0000,19203186,805382,1668579,39611,238,,,19382316.00,
11/01/2017,4262.0000,4262.0000,-0.86,4297.0000,4299.0000,4298.0000,4240.0000,19203186,818440,1601543,37559,218,,,19382316.00,
10/01/2017,4299.0000,4299.0000,-1.15,4349.0000,4349.0000,4426.0000,4295.0000,19203186,825545,1278004,29413,208,,,19382316.00,
09/01/2017,4349.0000,4349.0000,-1.72,4430.0000,4425.0000,4447.0000,4336.0000,19203186,835147,1124235,25648,187,,,19382316.00,
08/01/2017,4425.0000,4425.0000,1.19,4352.0000,4373.0000,4446.0000,4352.0000,19203186,849741,755607,17176,125,,,19382316.00,
05/01/2017,4373.0000,4373.0000,-0.88,4412.0000,4412.0000,4470.0000,4368.0000,19203186,839755,747658,17003,162,,,19382316.00,
04/01/2017,4412.0000,4412.0000,-0.41,4430.0000,4430.0000,4574.0000,4386.0000,19203186,847245,1600355,35995,258,,,19382316.00,
03/01/2017,4430.0000,4430.0000,-3.02,4600.0000,4568.0000,4600.0000,4430.0000,19203186,850701,2783625,62176,326,,,19382316.00,
02/01/2017,4568.0000,4568.0000,-3.01,4710.0000,4710.0000,4881.0000,4502.0000,19203186,877202,3087452,65981,443,,,19382316.00,
01/01/2017,4710.0000,4710.0000,1.71,4583.0000,4631.0000,4737.0000,4583.0000,19203186,904470,615429,13078,120,,,19382316.00,
29/12/2016,4631.0000,4631.0000,-1.30,4692.0000,4692.0000,4749.0000,4620.0000,19203186,889300,2768219,59189,366,,,19382316.00,
28/12/2016,4692.0000,4692.0000,4.17,4477.0000,4504.0000,4780.0000,4477.0000,19203186,901013,6645880,142139,653,,,19382316.00,
27/12/2016,4504.0000,4504.0000,2.15,4406.0000,4409.0000,4560.0000,4406.0000,19203186,864912,3779971,83701,398,,,19382316.00,
26/12/2016,4409.0000,4409.0000,-1.17,4464.0000,4461.0000,4467.0000,4350.0000,19203186,846668,2442110,55525,268,,,19382316.00,
25/12/2016,4461.0000,4461.0000,5.94,4444.0000,4211.0000,4498.0000,4400.0000,19203186,856654,5344421,119989,502,,,19382316.00,
22/12/2016,4211.0000,4211.0000,-1.66,4295.0000,4282.0000,4333.0000,4201.0000,19203186,808646,1192109,28072,173,,,19382316.00,
21/12/2016,4282.0000,4282.0000,-0.53,4305.0000,4305.0000,4395.0000,4241.0000,19203186,822280,1646062,38007,218,,,19382316.00,
20/12/2016,4305.0000,4305.0000,1.63,4236.0000,4236.0000,4314.0000,4268.0000,19203186,826697,3204628,74826,249,,,19382316.00,
19/12/2016,4236.0000,4236.0000,-2.22,4332.0000,4332.0000,4332.0000,4230.0000,19203186,813447,1869842,43948,272,,,19382316.00,
18/12/2016,4332.0000,4332.0000,1.07,4251.0000,4286.0000,4359.0000,4251.0000,19203186,831882,1092034,25262,147,,,19382316.00,
15/12/2016,4286.0000,4286.0000,-0.65,4271.0000,4314.0000,4330.0000,4216.0000,19203186,823049,1554691,36458,211,,,19382316.00,
14/12/2016,4314.0000,4314.0000,-2.27,4414.0000,4414.0000,4425.0000,4280.0000,19203186,828425,1733133,40078,226,,,19382316.00,
13/12/2016,4414.0000,4414.0000,0.07,4479.0000,4411.0000,4479.0000,4397.0000,19203186,847629,793510,17993,138,,,19382316.00,
12/12/2016,4411.0000,4411.0000,-1.19,4423.0000,4464.0000,4460.0000,4361.0000,19203186,847053,830413,18865,132,,,19382316.00,
11/12/2016,4464.0000,4464.0000,1.09,4416.0000,4416.0000,4550.0000,4416.0000,19203186,857230,908564,20211,135,,,19382316.00,
08/12/2016,4416.0000,4416.0000,2.15,4270.0000,4323.0000,4431.0000,4270.0000,19203186,848013,1264939,28894,168,,,19382316.00,
07/12/2016,4323.0000,4323.0000,1.34,4315.0000,4266.0000,4333.0000,4267.0000,19203186,830154,1524882,35371,167,,,19382316.00,
06/12/2016,4266.0000,4266.0000,-0.88,4388.0000,4304.0000,4388.0000,4229.0000,19203186,819208,1868986,43750,226,,,19382316.00,
05/12/2016,4304.0000,4304.0000,-1.22,4400.0000,4357.0000,4400.0000,4289.0000,19203186,826505,2079812,48255,191,,,19382316.00,
04/12/2016,4357.0000,4357.0000,-1.40,4400.0000,4419.0000,4441.0000,4350.0000,19203186,836683,1527220,34878,180,,,19382316.00,
01/12/2016,4419.0000,4419.0000,-3.70,4630.0000,4589.0000,4630.0000,4410.0000,19203186,848589,1306668,29077,174,,,19382316.00,
30/11/2016,4589.0000,4589.0000,3.24,4497.0000,4445.0000,4690.0000,4484.0000,19203186,881234,1723275,37392,217,,,19382316.00,
29/11/2016,4445.0000,4445.0000,-0.78,4433.0000,4480.0000,4500.0000,4433.0000,19203186,853582,383998,8595,70,,,19382316.00,
28/11/2016,4480.0000,4480.0000,-0.78,4500.0000,4515.0000,4500.0000,4456.0000,19203186,860303,569559,12726,120,,,19382316.00,
27/11/2016,4515.0000,4515.0000,-0.55,4550.0000,4540.0000,4575.0000,4507.0000,19203186,867024,1110510,24427,136,,,19382316.00,
24/11/2016,4540.0000,4540.0000,-0.83,4570.0000,4578.0000,4576.0000,4511.0000,19203186,871825,654487,14384,98,,,19382316.00,
23/11/2016,4578.0000,4578.0000,3.60,4419.0000,4419.0000,4613.0000,4316.0000,19203186,879122,1369060,30358,239,,,19382316.00,
22/11/2016,4419.0000,4419.0000,6.56,4140.0000,4147.0000,4438.0000,4140.0000,19203186,848589,1543528,35402,283,,,19382316.00,
21/11/2016,4147.0000,4147.0000,-2.65,4260.0000,4260.0000,4231.0000,4130.0000,19203186,796356,724159,17430,117,,,19382316.00,
20/11/2016,4260.0000,4260.0000,1.16,4211.0000,4211.0000,4269.0000,4153.0000,19203186,818056,384661,9092,93,,,19382316.00,
17/11/2016,4211.0000,4211.0000,-1.89,4250.0000,4292.0000,4344.0000,4177.0000,19203186,808646,487866,11482,86,,,19382316.00,
16/11/2016,4292.0000,4292.0000,-1.08,4354.0000,4339.0000,4360.0000,4258.0000,19203186,824201,493992,11450,91,,,19382316.00,
15/11/2016,4339.0000,4339.0000,0.77,4278.0000,4306.0000,4390.0000,4258.0000,19203186,833226,1610166,37083,249,,,19382316.00,
14/11/2016,4306.0000,4306.0000,-2.95,4437.0000,4437.0000,4443.0000,4290.0000,19203186,826889,1104260,25482,145,,,19382316.00,
13/11/2016,4437.0000,4437.0000,-0.67,4467.0000,4467.0000,4533.0000,4400.0000,19203186,852045,518574,11674,112,,,19382316.00,
10/11/2016,4467.0000,4467.0000,-2.36,4575.0000,4575.0000,4634.0000,4435.0000,19203186,857806,538106,11829,97,,,19382316.00,
09/11/2016,4575.0000,4575.0000,-0.04,4501.0000,4577.0000,4600.0000,4484.0000,19203186,878546,304504,6712,87,,,19382316.00,
08/11/2016,4577.0000,4577.0000,-1.36,4640.0000,4640.0000,4649.0000,4550.0000,19203186,878930,780824,17015,93,,,19382316.00,
07/11/2016,4640.0000,4640.0000,2.07,4546.0000,4546.0000,4656.0000,4546.0000,19203186,891028,369488,7966,85,,,19382316.00,
06/11/2016,4546.0000,4546.0000,1.65,4472.0000,4472.0000,4570.0000,4494.0000,19203186,872977,283981,6246,56,,,19382316.00,
03/11/2016,4472.0000,4472.0000,1.31,4414.0000,4414.0000,4492.0000,4389.0000,19203186,858766,436261,9776,79,,,19382316.00,
02/11/2016,4414.0000,4414.0000,-3.88,4533.0000,4592.0000,4573.0000,4400.0000,19203186,847629,888507,19842,147,,,19382316.00,
01/11/2016,4592.0000,4592.0000,-1.18,4590.0000,4647.0000,4737.0000,4590.0000,19203186,881810,1129382,24404,139,,,19382316.00,
31/10/2016,4647.0000,4647.0000,-0.87,4698.0000,4688.0000,4698.0000,4623.0000,19203186,892372,397776,8536,80,,,19382316.00,
30/10/2016,4688.0000,4688.0000,-1.80,4710.0000,4774.0000,4732.0000,4651.0000,19203186,900245,488954,10397,81,,,19382316.00,
27/10/2016,4774.0000,4774.0000,1.38,4700.0000,4709.0000,4785.0000,4689.0000,19203186,916760,420769,8852,71,,,19382316.00,
26/10/2016,4709.0000,4709.0000,-1.34,4773.0000,4773.0000,4773.0000,4690.0000,19203186,904278,787341,16693,127,,,19382316.00,
25/10/2016,4773.0000,4773.0000,-0.83,4800.0000,4813.0000,4800.0000,4721.0000,19203186,916568,725475,15231,150,,,19382316.00,
20/10/2016,4813.0000,4813.0000,-1.03,4866.0000,4863.0000,4867.0000,4804.0000,19203186,924249,454908,9436,74,,,19382316.00,
19/10/2016,4863.0000,4863.0000,-1.78,4951.0000,4951.0000,4951.0000,4851.0000,19203186,933851,836154,17174,116,,,19382316.00,
18/10/2016,4951.0000,4951.0000,0.98,4903.0000,4903.0000,4980.0000,4853.0000,19203186,950750,506956,10321,114,,,19382316.00,
13/10/2016,4903.0000,4903.0000,-2.64,4985.0000,5036.0000,5032.0000,4823.0000,19203186,941532,741489,15007,128,,,19382316.00,
10/10/2016,5036.0000,5036.0000,0.96,5020.0000,4988.0000,5044.0000,4970.0000,19203186,967072,779150,15519,138,,,19382316.00,
09/10/2016,4988.0000,4988.0000,1.86,4900.0000,4897.0000,4995.0000,4900.0000,19203186,957855,400883,8068,76,,,19382316.00,
06/10/2016,4897.0000,4897.0000,-0.24,4990.0000,4909.0000,4990.0000,4880.0000,19203186,940380,1172212,23848,151,,,19382316.00,
05/10/2016,4909.0000,4909.0000,-1.07,4941.0000,4962.0000,4995.0000,4905.0000,19203186,942684,613571,12450,98,,,19382316.00,
29/09/2016,4962.0000,4962.0000,0.43,4941.0000,4941.0000,4962.0000,4900.0000,19203186,952862,1013880,20546,135,,,19382316.00,
28/09/2016,4941.0000,4941.0000,-1.53,5018.0000,5018.0000,5055.0000,4933.0000,19203186,948829,824564,16487,118,,,19382316.00,
27/09/2016,5018.0000,5018.0000,0.30,5000.0000,5003.0000,5119.0000,5000.0000,19203186,963616,512787,10160,93,,,19382316.00,
26/09/2016,5003.0000,5003.0000,-1.34,5042.0000,5071.0000,5057.0000,4986.0000,19203186,960735,500111,9971,97,,,19382316.00,
25/09/2016,5071.0000,5071.0000,0.36,5070.0000,5053.0000,5100.0000,5055.0000,19203186,973794,399420,7863,69,,,19382316.00,
22/09/2016,5053.0000,5053.0000,0.96,5005.0000,5005.0000,5086.0000,5005.0000,19203186,970337,834162,16486,138,,,19382316.00,
21/09/2016,5005.0000,5005.0000,0.36,4975.0000,4987.0000,5047.0000,4975.0000,19203186,961119,357341,7124,96,,,19382316.00,
20/09/2016,4987.0000,4987.0000,1.05,4901.0000,4935.0000,5039.0000,4901.0000,19203186,957663,904910,18188,139,,,19382316.00,
19/09/2016,4935.0000,4935.0000,-0.98,5000.0000,4984.0000,5050.0000,4930.0000,19203186,947677,930706,18655,112,,,19382316.00,
18/09/2016,4984.0000,4984.0000,4.36,4829.0000,4776.0000,5025.0000,4828.0000,19203186,957087,1557520,31288,247,,,19382316.00,
15/09/2016,4776.0000,4776.0000,0.23,4800.0000,4765.0000,4855.0000,4776.0000,19203186,917144,1693175,35202,215,,,19382316.00,
14/09/2016,4765.0000,4765.0000,-2.52,4888.0000,4888.0000,4889.0000,4760.0000,19203186,915032,3112716,64834,292,,,19382316.00,
13/09/2016,4888.0000,4888.0000,-1.13,4944.0000,4944.0000,4983.0000,4880.0000,19203186,938652,2131822,43344,224,,,19382316.00,
12/09/2016,4944.0000,4944.0000,-0.60,4974.0000,4974.0000,4986.0000,4935.0000,19203186,949406,1692544,34136,197,,,19382316.00,
11/09/2016,4974.0000,4974.0000,-1.52,5010.0000,5051.0000,5010.0000,4940.0000,19203186,955166,1871700,37655,204,,,19382316.00,
08/09/2016,5051.0000,5051.0000,-1.92,5159.0000,5150.0000,5160.0000,5020.0000,19203186,969953,1460211,28686,168,,,19382316.00,
07/09/2016,5150.0000,5150.0000,1.26,5051.0000,5086.0000,5160.0000,5051.0000,19203186,988964,398672,7767,93,,,19382316.00,
06/09/2016,5086.0000,5086.0000,-1.80,5150.0000,5179.0000,5183.0000,5050.0000,19203186,976674,1092536,21454,164,,,19382316.00,
05/09/2016,5179.0000,5179.0000,-1.13,5201.0000,5238.0000,5234.0000,5170.0000,19203186,994533,1636491,31490,184,,,19382316.00,
04/09/2016,5238.0000,5238.0000,-1.74,5251.0000,5331.0000,5332.0000,5197.0000,19203186,1005863,1780976,33889,186,,,19382316.00,
01/09/2016,5331.0000,5331.0000,0.49,5300.0000,5305.0000,5398.0000,5279.0000,19203186,1023722,2819773,52563,291,,,19382316.00,
31/08/2016,5305.0000,5305.0000,1.53,5280.0000,5225.0000,5318.0000,5265.0000,19203186,1018729,3259311,61732,161,,,19382316.00,
30/08/2016,5225.0000,5225.0000,1.28,5188.0000,5159.0000,5250.0000,5150.0000,19203186,1003366,5884141,113223,212,,,19382316.00,
29/08/2016,5159.0000,5159.0000,0.43,5129.0000,5137.0000,5173.0000,5110.0000,19203186,990692,8527322,166646,146,,,19382316.00,
28/08/2016,5137.0000,5137.0000,0.16,5129.0000,5129.0000,5160.0000,5121.0000,19203186,986468,799939,15571,94,,,19382316.00,
25/08/2016,5129.0000,5129.0000,-0.60,5179.0000,5160.0000,5229.0000,5116.0000,19203186,984931,851604,16467,133,,,19382316.00,
24/08/2016,5160.0000,5160.0000,0.35,5142.0000,5142.0000,5183.0000,5092.0000,19203186,990884,1164950,22618,133,,,19382316.00,
23/08/2016,5142.0000,5142.0000,0.33,5125.0000,5125.0000,5179.0000,5050.0000,19203186,987428,706442,13823,152,,,19382316.00,
22/08/2016,5125.0000,5125.0000,-1.06,5180.0000,5180.0000,5186.0000,5121.0000,19203186,984163,1272614,24685,81,,,19382316.00,
21/08/2016,5180.0000,5180.0000,-0.10,5190.0000,5185.0000,5190.0000,5110.0000,19203186,994725,488041,9449,78,,,19382316.00,
18/08/2016,5185.0000,5185.0000,0.88,5168.0000,5140.0000,5238.0000,5104.0000,19203186,995685,781334,15083,114,,,19382316.00,
17/08/2016,5140.0000,5140.0000,1.26,5077.0000,5076.0000,5180.0000,5077.0000,19203186,987044,426711,8291,108,,,19382316.00,
16/08/2016,5076.0000,5076.0000,-1.17,5136.0000,5136.0000,5147.0000,5056.0000,19203186,974754,601545,11841,111,,,19382316.00,
