Historical Prices - ISRAS - 00613034
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,43120.0000,43120.0000,-0.16,43190.0000,43190.0000,43260.0000,42860.0000,5224576,2252837,3378881,7873,117,,,5019686.00,
28/05/2017,43190.0000,43190.0000,-0.39,43490.0000,43360.0000,43490.0000,42510.0000,5224576,2256494,791132,1828,160,,,5019686.00,
25/05/2017,43360.0000,43360.0000,0.25,43230.0000,43250.0000,44150.0000,43060.0000,5224576,2265376,3201962,7358,271,,,5019686.00,
24/05/2017,43250.0000,43250.0000,-0.30,43380.0000,43380.0000,43380.0000,43160.0000,5224576,2259629,1051608,2428,127,,,5019686.00,
23/05/2017,43380.0000,43380.0000,0.74,43180.0000,43060.0000,43380.0000,42890.0000,5224576,2266421,2621859,6068,198,,,5019686.00,
22/05/2017,43060.0000,43060.0000,0.12,43100.0000,43010.0000,43100.0000,42970.0000,5224576,2249702,825697,1917,102,,,5019686.00,
21/05/2017,43010.0000,43010.0000,1.46,42390.0000,42390.0000,43100.0000,42720.0000,5224576,2247090,1715823,4007,117,,,5019686.00,
18/05/2017,42390.0000,42390.0000,-0.87,42510.0000,42760.0000,42690.0000,41800.0000,5224576,2214698,599664,1416,111,,,5019686.00,
17/05/2017,42760.0000,42760.0000,-0.40,43000.0000,42930.0000,43000.0000,42500.0000,5224576,2234029,2977867,6947,170,,,5019686.00,
16/05/2017,42930.0000,42930.0000,0.07,42900.0000,42900.0000,43190.0000,42480.0000,5224576,2242910,609518,1420,91,,,5019686.00,
15/05/2017,42900.0000,42900.0000,0.00,43090.0000,42900.0000,43090.0000,42530.0000,5224576,2241343,850692,1983,120,,,5019686.00,
14/05/2017,42900.0000,42900.0000,0.42,42720.0000,42720.0000,43170.0000,42760.0000,5224576,2241343,769413,1795,96,,,5019686.00,
11/05/2017,42720.0000,42720.0000,-0.05,42740.0000,42740.0000,42830.0000,42570.0000,5224576,2231939,852071,1992,110,,,5019686.00,
10/05/2017,42740.0000,42740.0000,-0.14,42800.0000,42800.0000,42780.0000,42490.0000,5224576,2232984,534393,1251,75,,,5019686.00,
09/05/2017,42800.0000,42800.0000,-0.07,42830.0000,42830.0000,42850.0000,42530.0000,5224576,2236119,1210998,2830,128,,,5019686.00,
08/05/2017,42830.0000,42830.0000,-0.37,42990.0000,42990.0000,42990.0000,42670.0000,5224576,2237686,2264904,5288,124,,,5019686.00,
07/05/2017,42990.0000,42990.0000,0.66,42710.0000,42710.0000,43000.0000,42710.0000,5224576,2246045,1184727,2762,119,,,5019686.00,
04/05/2017,42710.0000,42710.0000,1.57,42050.0000,42050.0000,43050.0000,42000.0000,5224576,2231416,10658149,25093,440,,,5019686.00,
03/05/2017,42050.0000,42050.0000,0.57,41810.0000,41810.0000,42490.0000,41610.0000,5019686,2110778,9724196,23121,584,,,5019686.00,
30/04/2017,41810.0000,41810.0000,-0.69,42100.0000,42100.0000,42370.0000,41700.0000,5019686,2098731,1404908,3352,109,,,5019686.00,
27/04/2017,42100.0000,42100.0000,-1.36,41510.0000,42680.0000,42400.0000,41100.0000,5019686,2113288,24905061,59471,832,,,5019686.00,
26/04/2017,42680.0000,42680.0000,-0.54,42910.0000,42910.0000,43110.0000,42520.0000,5019686,2142402,175639,411,46,,,5019686.00,
25/04/2017,42910.0000,42910.0000,1.66,41310.0000,42210.0000,43220.0000,41310.0000,5019686,2153947,364656,855,77,,,5019686.00,
24/04/2017,42210.0000,42210.0000,2.60,41140.0000,41140.0000,42210.0000,41250.0000,5019686,2118809,657932,1567,108,,,5019686.00,
23/04/2017,41140.0000,41140.0000,-0.53,41360.0000,41360.0000,41300.0000,40350.0000,5019686,2065099,255427,621,52,,,5019686.00,
20/04/2017,41360.0000,41360.0000,1.52,40740.0000,40740.0000,41710.0000,40370.0000,5019686,2076142,370415,902,79,,,5019686.00,
19/04/2017,40740.0000,40740.0000,-0.27,40850.0000,40850.0000,40850.0000,40140.0000,5019686,2045020,446560,1100,88,,,5019686.00,
18/04/2017,40850.0000,40850.0000,-0.29,40970.0000,40970.0000,41470.0000,40610.0000,5019686,2050542,255052,623,63,,,5019686.00,
13/04/2017,40970.0000,40970.0000,-1.32,40320.0000,41520.0000,41800.0000,40320.0000,5019686,2056565,265486,645,71,,,5019686.00,
12/04/2017,41520.0000,41520.0000,1.67,41200.0000,40840.0000,41810.0000,41120.0000,5019686,2084174,534944,1289,106,,,5019686.00,
09/04/2017,40840.0000,40840.0000,1.24,40340.0000,40340.0000,41200.0000,40340.0000,5019686,2050040,586737,1439,102,,,5019686.00,
06/04/2017,40340.0000,40340.0000,-1.51,41770.0000,40960.0000,41770.0000,40220.0000,5019686,2024941,812651,2011,141,,,5019686.00,
05/04/2017,40960.0000,40960.0000,1.24,40460.0000,40460.0000,41200.0000,40430.0000,5019686,2056063,395433,967,82,,,5019686.00,
04/04/2017,40460.0000,40460.0000,-1.34,41400.0000,41010.0000,41790.0000,40460.0000,5019686,2030965,526977,1285,115,,,5019686.00,
03/04/2017,41010.0000,41010.0000,1.01,41400.0000,40600.0000,41400.0000,40260.0000,5019686,2058573,600507,1475,144,,,5019686.00,
02/04/2017,40600.0000,40600.0000,-1.12,40250.0000,41060.0000,41320.0000,40250.0000,5019686,2037993,435231,1068,165,,,5019686.00,
30/03/2017,41060.0000,41060.0000,0.51,40850.0000,40850.0000,41440.0000,40180.0000,5019686,2061083,450470,1102,94,,,5019686.00,
29/03/2017,40850.0000,40850.0000,-0.51,41060.0000,41060.0000,41610.0000,40220.0000,5019686,2050542,421586,1034,114,EX D,0.99275,5019686.00,
28/03/2017,41060.1400,41360.0000,0.71,41340.0000,41070.0000,41900.0000,40000.0000,5019686,2076142,733792,1779,126,,,5019686.00,
27/03/2017,40772.2425,41070.0000,-1.77,41000.0000,41810.0000,41500.0000,40060.0000,5019686,2061585,2253262,5477,175,,,5019686.00,
26/03/2017,41506.8775,41810.0000,-0.31,41940.0000,41940.0000,42270.0000,41110.0000,5019686,2098731,289933,694,59,,,5019686.00,
23/03/2017,41635.9350,41940.0000,0.19,41860.0000,41860.0000,42400.0000,41750.0000,5019686,2105256,509700,1215,91,,,5019686.00,
22/03/2017,41556.5150,41860.0000,-3.64,42700.0000,43440.0000,42890.0000,41650.0000,5019686,2101241,35544250,85072,242,,,5019686.00,
21/03/2017,43125.0600,43440.0000,2.65,41610.0000,42320.0000,43480.0000,41610.0000,5019686,2180552,889964,2057,108,,,5019686.00,
20/03/2017,42013.1800,42320.0000,2.52,41280.0000,41280.0000,42550.0000,41310.0000,5019686,2124331,432757,1029,93,,,5019686.00,
19/03/2017,40980.7200,41280.0000,1.50,40670.0000,40670.0000,41580.0000,40640.0000,5019686,2072126,267807,653,71,,,5019686.00,
16/03/2017,40375.1425,40670.0000,-1.95,41480.0000,41480.0000,42250.0000,40370.0000,5019686,2041506,803663,1955,112,,,5019686.00,
15/03/2017,41179.2700,41480.0000,-1.59,42570.0000,42150.0000,42570.0000,40990.0000,5019686,2082166,338923,817,74,,,5019686.00,
14/03/2017,41844.4125,42150.0000,1.42,41400.0000,41560.0000,42570.0000,41400.0000,5019686,2115798,363527,865,94,,,5019686.00,
13/03/2017,41258.6900,41560.0000,2.31,40620.0000,40620.0000,42000.0000,40620.0000,5019686,2086182,395044,953,80,,,5019686.00,
09/03/2017,40325.5050,40620.0000,2.19,39750.0000,39750.0000,40620.0000,39710.0000,5019686,2038996,1624774,4028,135,,,5019686.00,
08/03/2017,39461.8125,39750.0000,3.38,38900.0000,38450.0000,39780.0000,38760.0000,5019686,1995325,605410,1539,157,,,5019686.00,
07/03/2017,38171.2375,38450.0000,0.47,38270.0000,38270.0000,38890.0000,38020.0000,5019686,1930069,2163926,5633,72,,,5019686.00,
06/03/2017,37992.5425,38270.0000,-1.95,39030.0000,39030.0000,38800.0000,38220.0000,5019686,1921034,407875,1059,87,,,5019686.00,
05/03/2017,38747.0325,39030.0000,0.08,39350.0000,39000.0000,39350.0000,38480.0000,5019686,1959183,349896,896,47,,,5019686.00,
02/03/2017,38717.2500,39000.0000,2.01,38230.0000,38230.0000,39000.0000,38100.0000,5019686,1957678,1073586,2765,111,,,5019686.00,
01/03/2017,37952.8325,38230.0000,2.33,38480.0000,37360.0000,38500.0000,37650.0000,5019686,1919026,666492,1754,114,,,5019686.00,
28/02/2017,37089.1400,37360.0000,-0.11,37400.0000,37400.0000,37450.0000,37250.0000,5019686,1875355,272976,731,64,,,5019686.00,
27/02/2017,37128.8500,37400.0000,-0.40,37550.0000,37550.0000,37500.0000,37260.0000,5019686,1877363,1119745,2992,157,,,5019686.00,
26/02/2017,37277.7625,37550.0000,-0.24,37640.0000,37640.0000,37750.0000,37360.0000,5019686,1884892,334158,891,52,,,5019686.00,
