Historical Prices - ISSTA - 01081074
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,8842.0000,8842.0000,-2.67,9043.0000,9085.0000,9196.0000,8640.0000,11800000,1043356,3092040,34986,463,,,11800000.00,
28/05/2017,9085.0000,9085.0000,-9.96,9888.0000,10090.0000,9888.0000,9000.0000,11800000,1072030,4609918,48742,587,,,11800000.00,
25/05/2017,10090.0000,10090.0000,1.93,9899.0000,9899.0000,10100.0000,9899.0000,11800000,1190620,2538690,25348,134,,,11800000.00,
24/05/2017,9899.0000,9899.0000,1.62,9691.0000,9741.0000,9905.0000,9691.0000,11800000,1168082,940678,9532,110,,,11800000.00,
23/05/2017,9741.0000,9741.0000,1.02,9654.0000,9643.0000,9841.0000,9610.0000,11800000,1149438,1499994,15424,181,,,11800000.00,
22/05/2017,9643.0000,9643.0000,2.61,9398.0000,9398.0000,9661.0000,9407.0000,11800000,1137874,427302,4439,86,,,11800000.00,
21/05/2017,9398.0000,9398.0000,2.31,9198.0000,9186.0000,9412.0000,9198.0000,11800000,1108964,500070,5332,97,,,11800000.00,
18/05/2017,9186.0000,9186.0000,-3.11,9472.0000,9481.0000,9475.0000,9181.0000,11800000,1083948,1522612,16449,170,,,11800000.00,
17/05/2017,9481.0000,9481.0000,-3.63,9800.0000,9838.0000,9838.0000,9472.0000,11800000,1118758,1382948,14376,231,,,11800000.00,
16/05/2017,9838.0000,9838.0000,3.10,9700.0000,9542.0000,9850.0000,9651.0000,11800000,1160884,1408388,14438,150,,,11800000.00,
15/05/2017,9542.0000,9542.0000,1.81,9372.0000,9372.0000,9552.0000,9372.0000,11800000,1125956,1398793,14702,159,,,11800000.00,
14/05/2017,9372.0000,9372.0000,1.23,9258.0000,9258.0000,9613.0000,9278.0000,11800000,1105896,588380,6266,104,,,11800000.00,
11/05/2017,9258.0000,9258.0000,0.77,9187.0000,9187.0000,9265.0000,9206.0000,11800000,1092444,440493,4763,69,,,11800000.00,
10/05/2017,9187.0000,9187.0000,1.11,9086.0000,9086.0000,9210.0000,9020.0000,11800000,1084066,719325,7856,98,,,11800000.00,
09/05/2017,9086.0000,9086.0000,0.11,9076.0000,9076.0000,9192.0000,9040.0000,11800000,1072148,567844,6254,90,,,11800000.00,
08/05/2017,9076.0000,9076.0000,-1.33,9198.0000,9198.0000,9250.0000,9005.0000,11800000,1070968,860496,9390,132,,,11800000.00,
07/05/2017,9198.0000,9198.0000,1.97,9200.0000,9020.0000,9250.0000,9153.0000,11800000,1085364,649081,7056,109,,,11800000.00,
04/05/2017,9020.0000,9020.0000,-0.85,9097.0000,9097.0000,9225.0000,9019.0000,11800000,1064360,867237,9528,121,,,11800000.00,
03/05/2017,9097.0000,9097.0000,0.24,9075.0000,9075.0000,9250.0000,8991.0000,11800000,1073446,877587,9585,131,,,11800000.00,
30/04/2017,9075.0000,9075.0000,1.99,8815.0000,8898.0000,9100.0000,8815.0000,11800000,1070850,406785,4500,75,,,11800000.00,
27/04/2017,8898.0000,8898.0000,-2.22,9199.0000,9100.0000,9200.0000,8814.0000,11800000,1049964,1461254,16152,188,,,11800000.00,
26/04/2017,9100.0000,9100.0000,0.34,9069.0000,9069.0000,9269.0000,9068.0000,11800000,1073800,839218,9223,87,,,11800000.00,
25/04/2017,9069.0000,9069.0000,1.05,8920.0000,8975.0000,9148.0000,8920.0000,11800000,1070142,1145237,12654,128,,,11800000.00,
24/04/2017,8975.0000,8975.0000,0.65,8920.0000,8917.0000,8982.0000,8855.0000,11800000,1059050,973314,10891,127,,,11800000.00,
23/04/2017,8917.0000,8917.0000,0.87,8840.0000,8840.0000,8979.0000,8832.0000,11800000,1052206,2057279,23057,192,,,11800000.00,
20/04/2017,8840.0000,8840.0000,2.92,8589.0000,8589.0000,8900.0000,8572.0000,11800000,1043120,1691020,19151,172,,,11800000.00,
19/04/2017,8589.0000,8589.0000,3.39,8302.0000,8307.0000,8600.0000,8302.0000,11800000,1013502,1959623,22843,132,,,11800000.00,
18/04/2017,8307.0000,8307.0000,0.53,8263.0000,8263.0000,8403.0000,8269.0000,11800000,980226,190086,2288,52,,,11800000.00,
13/04/2017,8263.0000,8263.0000,-2.46,8300.0000,8471.0000,8435.0000,8175.0000,11800000,975034,355824,4295,72,,,11800000.00,
12/04/2017,8471.0000,8471.0000,0.83,8401.0000,8401.0000,8503.0000,8443.0000,11800000,999578,217731,2568,35,,,11800000.00,
09/04/2017,8401.0000,8401.0000,0.45,8480.0000,8363.0000,8480.0000,8384.0000,11800000,991318,763928,9087,84,,,11800000.00,
06/04/2017,8363.0000,8363.0000,1.57,8234.0000,8234.0000,8437.0000,8234.0000,11800000,986834,1026350,12353,120,,,11800000.00,
05/04/2017,8234.0000,8234.0000,2.96,7991.0000,7997.0000,8300.0000,7991.0000,11800000,971612,2557579,31498,215,,,11800000.00,
04/04/2017,7997.0000,7997.0000,3.95,7515.0000,7693.0000,8077.0000,7515.0000,11800000,943646,978961,12490,194,,,11800000.00,
03/04/2017,7693.0000,7693.0000,0.10,7685.0000,7685.0000,7761.0000,7685.0000,11800000,907774,554320,7176,101,,,11800000.00,
02/04/2017,7685.0000,7685.0000,0.67,7634.0000,7634.0000,7713.0000,7550.0000,11800000,906830,493047,6444,65,,,11800000.00,
30/03/2017,7634.0000,7634.0000,-1.64,7761.0000,7761.0000,7761.0000,7490.0000,11800000,900812,1001419,13192,154,,,11800000.00,
29/03/2017,7761.0000,7761.0000,-3.82,8069.0000,8069.0000,8069.0000,7669.0000,11800000,915798,1820057,23245,173,,,11800000.00,
28/03/2017,8069.0000,8069.0000,0.35,8041.0000,8041.0000,8530.0000,8035.0000,11800000,952142,1736021,21285,187,,,11800000.00,
27/03/2017,8041.0000,8041.0000,-1.81,8096.0000,8189.0000,8099.0000,8002.0000,11800000,948838,427368,5296,104,,,11800000.00,
26/03/2017,8189.0000,8189.0000,-0.57,8236.0000,8236.0000,8237.0000,8115.0000,11800000,966302,338750,4145,66,,,11800000.00,
23/03/2017,8236.0000,8236.0000,0.27,8182.0000,8214.0000,8287.0000,8128.0000,11800000,971848,293258,3576,84,,,11800000.00,
22/03/2017,8214.0000,8214.0000,-2.26,8271.0000,8404.0000,8289.0000,8180.0000,11800000,969252,724821,8811,120,,,11800000.00,
21/03/2017,8404.0000,8404.0000,-1.44,8527.0000,8527.0000,8560.0000,8287.0000,11800000,991672,860534,10209,108,,,11800000.00,
20/03/2017,8527.0000,8527.0000,-0.09,8535.0000,8535.0000,8624.0000,8500.0000,11800000,1006186,5651295,66419,94,,,11800000.00,
19/03/2017,8535.0000,8535.0000,-0.18,8550.0000,8550.0000,8635.0000,8489.0000,11800000,1007130,960790,11216,115,,,11800000.00,
16/03/2017,8550.0000,8550.0000,0.88,8550.0000,8475.0000,8628.0000,8524.0000,11800000,1008900,528884,6175,93,,,11800000.00,
15/03/2017,8475.0000,8475.0000,-0.05,8479.0000,8479.0000,8616.0000,8430.0000,11800000,1000050,1098768,12877,131,,,11800000.00,
14/03/2017,8479.0000,8479.0000,0.09,8471.0000,8471.0000,8590.0000,8451.0000,11800000,1000522,1305109,15273,160,,,11800000.00,
13/03/2017,8471.0000,8471.0000,2.22,8312.0000,8287.0000,8488.0000,8310.0000,11800000,999578,1250577,14839,113,,,11800000.00,
09/03/2017,8287.0000,8287.0000,1.62,8155.0000,8155.0000,8400.0000,8155.0000,11800000,977866,935301,11219,108,,,11800000.00,
08/03/2017,8155.0000,8155.0000,0.74,8095.0000,8095.0000,8220.0000,8095.0000,11800000,962290,893355,10960,90,,,11800000.00,
07/03/2017,8095.0000,8095.0000,1.75,7956.0000,7956.0000,8314.0000,8000.0000,11800000,955210,1888270,23013,165,,,11800000.00,
06/03/2017,7956.0000,7956.0000,0.45,7920.0000,7920.0000,7988.0000,7910.0000,11800000,938808,618037,7775,101,,,11800000.00,
05/03/2017,7920.0000,7920.0000,2.06,7760.0000,7760.0000,7934.0000,7760.0000,11800000,934560,464967,5900,79,,,11800000.00,
02/03/2017,7760.0000,7760.0000,0.49,7870.0000,7722.0000,7898.0000,7710.0000,11800000,915680,2058706,26407,160,,,11800000.00,
01/03/2017,7722.0000,7722.0000,1.86,7550.0000,7581.0000,7777.0000,7520.0000,11800000,911196,545937,7100,88,,,11800000.00,
28/02/2017,7581.0000,7581.0000,0.19,7567.0000,7567.0000,7800.0000,7536.0000,11800000,894558,1747028,22960,135,,,11800000.00,
27/02/2017,7567.0000,7567.0000,-0.09,7710.0000,7574.0000,8000.0000,7489.0000,11800000,892906,4003966,53109,135,,,11800000.00,
26/02/2017,7574.0000,7574.0000,3.71,7303.0000,7303.0000,7600.0000,7350.0000,11800000,893732,617332,8198,59,,,11800000.00,
23/02/2017,7303.0000,7303.0000,-2.20,7467.0000,7467.0000,7467.0000,7262.0000,11800000,861754,1211521,16508,96,,,11800000.00,
22/02/2017,7467.0000,7467.0000,0.38,7439.0000,7439.0000,7480.0000,7397.0000,11800000,881106,274631,3677,68,,,11800000.00,
21/02/2017,7439.0000,7439.0000,3.56,7280.0000,7183.0000,7469.0000,7272.0000,11800000,877802,903950,12204,114,,,11800000.00,
20/02/2017,7183.0000,7183.0000,3.32,6952.0000,6952.0000,7280.0000,6952.0000,11800000,847594,1247775,17366,116,,,11800000.00,
19/02/2017,6952.0000,6952.0000,0.64,6908.0000,6908.0000,7149.0000,6880.0000,11800000,820336,701452,10000,57,,,11800000.00,
16/02/2017,6908.0000,6908.0000,0.13,6941.0000,6899.0000,6959.0000,6844.0000,11800000,815144,475817,6901,67,,,11800000.00,
15/02/2017,6899.0000,6899.0000,-1.29,6989.0000,6989.0000,6994.0000,6800.0000,11800000,814082,537485,7793,91,,,11800000.00,
14/02/2017,6989.0000,6989.0000,0.46,6957.0000,6957.0000,7076.0000,6931.0000,11800000,824702,94628,1353,33,,,11800000.00,
13/02/2017,6957.0000,6957.0000,1.15,6873.0000,6878.0000,7040.0000,6794.0000,11800000,820926,175864,2537,40,,,11800000.00,
12/02/2017,6878.0000,6878.0000,1.15,6816.0000,6800.0000,6899.0000,6816.0000,11800000,811604,363275,5306,58,,,11800000.00,
09/02/2017,6800.0000,6800.0000,0.07,6795.0000,6795.0000,7000.0000,6751.0000,11800000,802400,14277698,209897,168,,,11700000.00,
08/02/2017,6795.0000,6795.0000,-2.20,6948.0000,6948.0000,7029.0000,6751.0000,11800000,801810,2673464,38972,288,,,11700000.00,
07/02/2017,6948.0000,6948.0000,-1.01,7019.0000,7019.0000,7028.0000,6948.0000,11800000,819864,789018,11317,135,,,11700000.00,
06/02/2017,7019.0000,7019.0000,0.31,6997.0000,6997.0000,7100.0000,6955.0000,11800000,828242,307187,4374,58,,,11700000.00,
05/02/2017,6997.0000,6997.0000,0.62,7040.0000,6954.0000,7040.0000,6911.0000,11800000,825646,334623,4786,89,,,11700000.00,
02/02/2017,6954.0000,6954.0000,-0.09,7040.0000,6960.0000,7040.0000,6925.0000,11800000,820572,514053,7360,97,,,11700000.00,
01/02/2017,6960.0000,6960.0000,0.43,6930.0000,6930.0000,7031.0000,6925.0000,11800000,821280,295212,4238,58,,,11700000.00,
31/01/2017,6930.0000,6930.0000,-0.50,6965.0000,6965.0000,7020.0000,6840.0000,11800000,817740,954767,13733,84,,,11700000.00,
30/01/2017,6965.0000,6965.0000,0.69,6917.0000,6917.0000,6990.0000,6901.0000,11800000,821870,487982,7015,81,,,11700000.00,
29/01/2017,6917.0000,6917.0000,1.89,6996.0000,6789.0000,6996.0000,6900.0000,11800000,816206,507778,7307,45,,,11700000.00,
26/01/2017,6789.0000,6789.0000,1.63,6680.0000,6680.0000,6850.0000,6522.0000,11800000,801102,406740,6023,59,,,11700000.00,
25/01/2017,6680.0000,6680.0000,3.26,6360.0000,6469.0000,6778.0000,6360.0000,11800000,788240,191042,2923,42,,,11700000.00,
24/01/2017,6469.0000,6469.0000,1.95,6330.0000,6345.0000,6577.0000,6303.0000,11800000,763342,427997,6654,67,,,11700000.00,
23/01/2017,6345.0000,6345.0000,-1.61,6417.0000,6449.0000,6559.0000,6318.0000,11800000,748710,677385,10558,102,,,11700000.00,
22/01/2017,6449.0000,6449.0000,-1.62,6555.0000,6555.0000,6690.0000,6410.0000,11800000,760982,939439,14506,93,,,11700000.00,
19/01/2017,6555.0000,6555.0000,-1.50,6655.0000,6655.0000,6677.0000,6430.0000,11800000,773490,738615,11288,111,,,11700000.00,
18/01/2017,6655.0000,6655.0000,-2.02,6899.0000,6792.0000,6899.0000,6580.0000,11800000,785290,281874,4236,58,,,11700000.00,
17/01/2017,6792.0000,6792.0000,-0.92,7056.0000,6855.0000,7056.0000,6744.0000,11800000,801456,512655,7551,95,,,11700000.00,
16/01/2017,6855.0000,6855.0000,-2.50,7085.0000,7031.0000,7085.0000,6721.0000,11800000,808890,477728,6956,70,,,11700000.00,
15/01/2017,7031.0000,7031.0000,-0.85,7150.0000,7091.0000,7150.0000,7004.0000,11800000,829658,577242,8171,56,,,11700000.00,
12/01/2017,7091.0000,7091.0000,-0.42,7051.0000,7121.0000,7242.0000,6972.0000,11800000,836738,268064,3788,44,,,11700000.00,
11/01/2017,7121.0000,7121.0000,-0.29,7369.0000,7142.0000,7369.0000,7003.0000,11800000,840278,201957,2835,27,,,11700000.00,
10/01/2017,7142.0000,7142.0000,0.34,7371.0000,7118.0000,7371.0000,7018.0000,11800000,842756,288013,4023,51,,,11700000.00,
09/01/2017,7118.0000,7118.0000,0.06,7150.0000,7114.0000,7329.0000,6923.0000,11800000,839924,220627,3086,39,,,11700000.00,
08/01/2017,7114.0000,7114.0000,-0.84,7174.0000,7174.0000,7230.0000,6909.0000,11800000,839452,303259,4260,46,,,11700000.00,
05/01/2017,7174.0000,7174.0000,-0.13,7249.0000,7183.0000,7249.0000,7123.0000,11800000,846532,426578,5914,39,,,11700000.00,
04/01/2017,7183.0000,7183.0000,1.00,7112.0000,7112.0000,7200.0000,7100.0000,11800000,847594,1379311,19385,71,,,11700000.00,
03/01/2017,7112.0000,7112.0000,-0.25,7130.0000,7130.0000,7279.0000,7025.0000,11800000,839216,587625,8196,70,,,11700000.00,
02/01/2017,7130.0000,7130.0000,0.54,7092.0000,7092.0000,7250.0000,7091.0000,11800000,841340,879426,12317,87,,,11700000.00,
01/01/2017,7092.0000,7092.0000,0.68,7044.0000,7044.0000,7138.0000,7044.0000,11800000,836856,275733,3903,41,,,11700000.00,
29/12/2016,7044.0000,7044.0000,-1.57,7156.0000,7156.0000,7157.0000,7002.0000,11800000,831192,524843,7385,47,,,11700000.00,
28/12/2016,7156.0000,7156.0000,-0.03,7158.0000,7158.0000,7249.0000,7107.0000,11800000,844408,575821,8044,35,,,11700000.00,
27/12/2016,7158.0000,7158.0000,0.93,7092.0000,7092.0000,7249.0000,7041.0000,11800000,844644,411363,5767,42,,,11700000.00,
