Historical Prices - ITAMAR - 01102458
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,116.0000,116.0000,-2.93,119.5000,119.5000,119.4000,115.0000,264495375,306815,108089,92639,37,,,263631194.00,
28/05/2017,119.5000,119.5000,-1.81,121.7000,121.7000,121.2000,119.2000,264495375,316072,73962,61872,20,,,263631194.00,
25/05/2017,121.7000,121.7000,0.41,121.2000,121.2000,122.1000,121.2000,264495375,321891,172505,142008,27,,,263631194.00,
24/05/2017,121.2000,121.2000,0.83,120.2000,120.2000,121.3000,121.2000,264495375,320568,18212,15024,9,,,263631194.00,
23/05/2017,120.2000,120.2000,0.33,119.8000,119.8000,121.0000,119.8000,264495375,317923,113484,94352,30,,,263631194.00,
22/05/2017,119.8000,119.8000,2.39,116.1000,117.0000,120.1000,116.1000,264495375,316865,221874,186703,56,,,263631194.00,
21/05/2017,117.0000,117.0000,4.84,111.6000,111.6000,117.2000,114.3000,264495375,309460,226641,194635,61,,,263631194.00,
18/05/2017,111.6000,111.6000,-0.18,111.8000,111.8000,113.5000,111.5000,264495375,295177,64632,57841,20,,,263631194.00,
17/05/2017,111.8000,111.8000,-1.93,114.0000,114.0000,113.2000,111.6000,264495375,295706,217152,194079,48,,,263631194.00,
16/05/2017,114.0000,114.0000,0.09,113.9000,113.9000,115.1000,113.5000,264495375,301525,90405,79235,30,,,263631194.00,
15/05/2017,113.9000,113.9000,-1.98,116.2000,116.2000,116.5000,113.6000,264495375,301260,174891,153006,46,,,263631194.00,
14/05/2017,116.2000,116.2000,0.17,116.0000,116.0000,118.8000,115.1000,264495375,307344,117943,101452,35,,,263631194.00,
11/05/2017,116.0000,116.0000,-1.44,117.7000,117.7000,117.7000,115.0000,264495375,306815,182916,157398,55,,,263631194.00,
10/05/2017,117.7000,117.7000,-1.75,119.8000,119.8000,120.0000,117.1000,264495375,311311,143051,120813,43,,,263631194.00,
09/05/2017,119.8000,119.8000,1.01,118.6000,118.6000,120.7000,118.7000,264495375,316865,58346,48686,13,,,263631194.00,
08/05/2017,118.6000,118.6000,-0.17,118.7000,118.8000,119.0000,117.8000,264495375,313692,55571,46898,18,,,263631194.00,
07/05/2017,118.8000,118.8000,-1.90,121.1000,121.1000,120.2000,117.0000,264495375,314221,220970,186036,54,,,263631194.00,
04/05/2017,121.1000,121.1000,0.08,121.0000,121.0000,121.9000,121.0000,264495375,320304,387675,320046,36,,,263631194.00,
03/05/2017,121.0000,121.0000,-1.94,123.4000,123.4000,122.8000,119.6000,264495375,320039,312608,258271,69,,,263631194.00,
30/04/2017,123.4000,123.4000,-1.67,125.5000,125.5000,124.5000,123.0000,264495375,326387,28804,23344,13,,,263631194.00,
27/04/2017,125.5000,125.5000,1.29,123.9000,123.9000,127.0000,123.6000,264294109,331689,95223,75651,28,,,263631194.00,
26/04/2017,123.9000,123.9000,-0.80,124.9000,124.9000,126.0000,121.4000,264294109,327460,139384,112355,38,,,263631194.00,
25/04/2017,124.9000,124.9000,0.56,124.2000,124.2000,126.0000,123.0000,264294109,330103,56437,45337,14,,,263631194.00,
24/04/2017,124.2000,124.2000,2.05,120.6000,121.7000,126.1000,120.6000,264294109,328253,183865,148348,41,,,263631194.00,
23/04/2017,121.7000,121.7000,-2.41,124.7000,124.7000,122.6000,121.2000,263631194,320839,120635,98826,30,,,263631194.00,
20/04/2017,124.7000,124.7000,-1.50,126.6000,126.6000,126.0000,123.9000,263631194,328748,53888,43233,23,,,263631194.00,
19/04/2017,126.6000,126.6000,-1.25,128.1000,128.2000,128.1000,126.3000,263631194,333757,65470,51647,25,,,263631194.00,
18/04/2017,128.2000,128.2000,-3.90,133.4000,133.4000,132.1000,127.3000,263631194,337975,130727,101464,36,,,263631194.00,
13/04/2017,133.4000,133.4000,-0.97,134.7000,134.7000,134.0000,132.0000,263631194,351684,55161,41342,18,,,263631194.00,
12/04/2017,134.7000,134.7000,0.90,136.9000,133.5000,136.9000,134.1000,263631194,355111,142695,104724,21,,,263631194.00,
09/04/2017,133.5000,133.5000,-1.11,135.0000,135.0000,136.8000,133.2000,263631194,351948,193087,142965,30,,,263631194.00,
06/04/2017,135.0000,135.0000,3.85,130.0000,130.0000,135.0000,131.5000,263631194,355902,185007,137227,21,,,262917624.00,
05/04/2017,130.0000,130.0000,2.36,127.0000,127.0000,132.0000,127.0000,263631194,342721,59232,45646,11,,,262917624.00,
04/04/2017,127.0000,127.0000,-0.16,126.8000,127.2000,127.2000,126.8000,263631194,334812,19938,15706,10,,,262917624.00,
03/04/2017,127.2000,127.2000,-0.47,127.8000,127.8000,127.4000,127.1000,263631194,335339,60055,47203,20,,,262917624.00,
02/04/2017,127.8000,127.8000,0.00,127.8000,127.8000,127.8000,127.8000,263631194,336921,8977,7024,5,,,262917624.00,
30/03/2017,127.8000,127.8000,-2.59,131.2000,131.2000,129.2000,127.4000,263631194,336921,108325,84744,35,,,262917624.00,
29/03/2017,131.2000,131.2000,2.26,128.3000,128.3000,132.4000,127.8000,263631194,345884,116613,89486,44,,,262917624.00,
28/03/2017,128.3000,128.3000,-1.91,130.8000,130.8000,130.9000,127.0000,263631194,338239,225359,174458,47,,,262917624.00,
27/03/2017,130.8000,130.8000,-1.21,132.3000,132.4000,132.3000,130.3000,263631194,344830,84439,64576,20,,,262917624.00,
26/03/2017,132.4000,132.4000,0.30,131.0000,132.0000,133.9000,130.5000,263631194,349048,141463,107500,24,,,262917624.00,
