Historical Prices - JERUSALEM ECON - 00198010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,904.9000,904.9000,-2.27,910.0000,925.9000,926.5000,902.0000,252399978,2283967,2210908,242774,261,,,252327152.00,
28/05/2017,925.9000,925.9000,-1.30,938.1000,938.1000,951.6000,925.0000,252399978,2336971,1015267,108491,218,,,252327152.00,
25/05/2017,938.1000,938.1000,-0.15,940.2000,939.5000,947.8000,935.1000,252399978,2367764,3434912,364818,364,,,252327152.00,
24/05/2017,939.5000,939.5000,0.50,934.8000,934.8000,947.9000,929.0000,252399978,2371298,1714696,183436,313,,,252327152.00,
23/05/2017,934.8000,934.8000,0.74,928.5000,927.9000,940.1000,928.5000,252399978,2359435,1515810,162030,228,,,252327152.00,
22/05/2017,927.9000,927.9000,1.33,915.0000,915.7000,929.5000,907.0000,252399978,2342019,1669386,180833,246,,,252327152.00,
21/05/2017,915.7000,915.7000,-0.36,949.2000,919.0000,949.2000,910.4000,252399978,2311227,1425079,153477,215,,,252327152.00,
18/05/2017,919.0000,919.0000,-2.33,947.9000,940.9000,947.9000,906.1000,252399978,2319556,3271177,355736,374,,,252327152.00,
17/05/2017,940.9000,940.9000,-0.84,951.0000,948.9000,970.0000,901.0000,252399978,2374831,4741885,504613,417,,,252327152.00,
16/05/2017,948.9000,948.9000,-0.11,948.0000,949.9000,954.6000,939.0000,252395415,2394980,1880683,197929,295,,,252327152.00,
15/05/2017,949.9000,949.9000,0.16,950.9000,948.4000,952.0000,933.5000,252395415,2397504,2208308,233430,285,,,252327152.00,
14/05/2017,948.4000,948.4000,-0.13,949.1000,949.6000,953.0000,933.0000,252389852,2393665,2359278,248943,231,,,252327152.00,
11/05/2017,949.6000,949.6000,0.42,945.6000,945.6000,959.9000,940.1000,252389852,2396694,3196790,336088,356,,,252327152.00,
10/05/2017,945.6000,945.6000,0.81,943.7000,938.0000,950.0000,931.1000,252389852,2386598,8643264,914161,418,,,252327152.00,
09/05/2017,938.0000,938.0000,3.97,900.1000,902.2000,944.9000,900.0000,252389852,2367417,15651375,1691373,921,,,252327152.00,
08/05/2017,902.2000,902.2000,-0.09,903.0000,903.0000,908.1000,896.0000,252389852,2277061,13916007,1539321,421,,,252327152.00,
07/05/2017,903.0000,903.0000,1.46,889.4000,890.0000,903.0000,884.8000,252389852,2279080,4971117,551824,186,,,252327152.00,
04/05/2017,890.0000,890.0000,-0.60,896.0000,895.4000,900.0000,886.0000,252389852,2246270,2411337,270207,239,,,252327152.00,
03/05/2017,895.4000,895.4000,0.69,889.9000,889.3000,900.0000,884.8000,252389852,2259899,1365100,152900,198,,,252327152.00,
30/04/2017,889.3000,889.3000,0.15,900.0000,888.0000,900.0000,882.2000,252389852,2244503,1930508,217207,147,,,252327152.00,
27/04/2017,888.0000,888.0000,-0.05,898.9000,888.4000,898.9000,874.0000,252389852,2241222,3059351,343912,296,,,252327152.00,
26/04/2017,888.4000,888.4000,0.12,899.0000,887.3000,899.9000,883.1000,252389852,2242231,2528567,283864,268,,,252327152.00,
25/04/2017,887.3000,887.3000,-0.31,890.1000,890.1000,896.1000,885.7000,252327152,2238899,5384074,604749,383,,,252327152.00,
24/04/2017,890.1000,890.1000,-0.04,904.0000,890.5000,904.0000,879.9000,252327152,2245964,4889926,551065,415,,,252327152.00,
23/04/2017,890.5000,890.5000,-1.35,890.1000,902.7000,901.7000,876.0000,252327152,2246973,2367638,268057,344,,,252327152.00,
20/04/2017,902.7000,902.7000,0.04,905.0000,902.3000,905.0000,888.0000,252327152,2277757,2338553,260615,381,,,252327152.00,
19/04/2017,902.3000,902.3000,2.53,880.0000,880.0000,905.0000,880.6000,252327152,2276748,1437308,160237,183,,,252327152.00,
18/04/2017,880.0000,880.0000,-1.83,896.4000,896.4000,913.4000,878.6000,252327152,2220479,1961831,220551,221,,,252327152.00,
13/04/2017,896.4000,896.4000,-1.84,918.6000,913.2000,918.6000,893.0000,252327152,2261861,1425868,156918,195,,,252327152.00,
12/04/2017,913.2000,913.2000,2.26,907.2000,893.0000,917.0000,890.1000,252327152,2304252,2189511,242776,240,,,252327152.00,
09/04/2017,893.0000,893.0000,-0.45,897.0000,897.0000,900.3000,887.1000,252327152,2253281,607736,67909,102,,,252327152.00,
06/04/2017,897.0000,897.0000,0.39,893.5000,893.5000,897.0000,885.0000,252327152,2263375,1522683,170262,157,,,252327152.00,
05/04/2017,893.5000,893.5000,-0.17,898.9000,895.0000,905.0000,886.0000,252327152,2254543,4909220,546968,214,,,252327152.00,
04/04/2017,895.0000,895.0000,2.59,872.4000,872.4000,898.0000,872.3000,252327152,2258328,7879063,886088,461,,,252327152.00,
03/04/2017,872.4000,872.4000,1.99,854.0000,855.4000,875.0000,853.3000,252327152,2201302,5164416,596119,371,,,252327152.00,
02/04/2017,855.4000,855.4000,0.75,841.0000,849.0000,859.3000,841.0000,252327152,2158406,1163924,136312,112,,,252327152.00,
30/03/2017,849.0000,849.0000,-0.07,856.0000,849.6000,856.0000,836.2000,252327152,2142258,1370429,161858,203,,,252327152.00,
29/03/2017,849.6000,849.6000,0.09,838.0000,848.8000,858.0000,838.0000,252327152,2143771,5876005,687341,355,,,252327152.00,
28/03/2017,848.8000,848.8000,-0.38,852.0000,852.0000,852.6000,836.5000,252327152,2141753,2125743,251705,288,,,252327152.00,
27/03/2017,852.0000,852.0000,-2.77,876.3000,876.3000,900.0000,852.0000,252327152,2149827,3387408,395083,321,,,252327152.00,
26/03/2017,876.3000,876.3000,-1.32,902.0000,888.0000,902.0000,876.0000,252327152,2211143,1152063,130084,129,,,252327152.00,
23/03/2017,888.0000,888.0000,-1.40,900.6000,900.6000,906.1000,882.2000,252327152,2240665,1046325,117228,156,,,252327152.00,
22/03/2017,900.6000,900.6000,-0.46,891.2000,904.8000,904.8000,876.0000,252327152,2272458,1027980,115016,177,,,252327152.00,
21/03/2017,904.8000,904.8000,0.44,901.4000,900.8000,911.0000,895.4000,252327152,2283056,1826834,202145,172,,,252327152.00,
20/03/2017,900.8000,900.8000,-0.67,900.0000,906.9000,910.9000,883.5000,252327152,2272963,2076123,231279,283,,,252327152.00,
19/03/2017,906.9000,906.9000,0.35,911.0000,903.7000,911.0000,902.3000,252327152,2288355,1132885,124946,133,,,252327152.00,
16/03/2017,903.7000,903.7000,-0.26,906.1000,906.1000,911.0000,892.9000,252327152,2280280,968494,106810,114,,,252327152.00,
15/03/2017,906.1000,906.1000,1.10,896.2000,896.2000,909.0000,893.5000,252327152,2286336,3266492,360688,420,,,252327152.00,
14/03/2017,896.2000,896.2000,0.03,880.0000,895.9000,910.0000,880.0000,252327152,2261356,2068098,229420,251,,,252327152.00,
13/03/2017,895.9000,895.9000,0.23,894.4000,893.8000,899.0000,889.1000,252327152,2260599,1148464,128088,151,,,252327152.00,
09/03/2017,893.8000,893.8000,0.90,889.4000,885.8000,899.0000,877.1000,252327152,2255300,1961473,219670,187,,,252327152.00,
08/03/2017,885.8000,885.8000,0.09,890.0000,885.0000,899.0000,882.3000,252327152,2235114,3011819,337316,273,,,252327152.00,
07/03/2017,885.0000,885.0000,-0.56,889.4000,890.0000,889.4000,870.0000,252327152,2233095,4777245,541799,305,,,252327152.00,
06/03/2017,890.0000,890.0000,0.44,886.1000,886.1000,895.0000,878.3000,252327152,2245712,1586434,179175,215,,,252327152.00,
05/03/2017,886.1000,886.1000,-0.44,890.0000,890.0000,892.1000,881.5000,252327152,2235871,832033,93697,117,,,252327152.00,
02/03/2017,890.0000,890.0000,1.71,875.0000,875.0000,890.0000,870.6000,252327152,2245712,3931729,443901,223,,,252327152.00,
