Historical Prices - JOEL - 00583013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,21200.0000,21200.0000,-2.35,21710.0000,21710.0000,21900.0000,21200.0000,17272360,3661740,2624661,12257,291,,,17272360.00,
28/05/2017,21710.0000,21710.0000,-0.73,21870.0000,21870.0000,22150.0000,21470.0000,17272360,3749829,1948866,8981,392,,,17272360.00,
25/05/2017,21870.0000,21870.0000,-0.23,21920.0000,21920.0000,22650.0000,21770.0000,17272360,3777465,1593660,7231,255,,,17272360.00,
24/05/2017,21920.0000,21920.0000,-1.75,22310.0000,22310.0000,22450.0000,21830.0000,17272360,3786101,1899901,8604,251,,,17272360.00,
23/05/2017,22310.0000,22310.0000,-0.22,22380.0000,22360.0000,22470.0000,21890.0000,17272360,3853464,1737335,7824,299,,,17272360.00,
22/05/2017,22360.0000,22360.0000,2.38,21860.0000,21840.0000,22600.0000,21860.0000,17272360,3862100,1372840,6190,238,,,17272360.00,
21/05/2017,21840.0000,21840.0000,-1.67,22230.0000,22210.0000,22500.0000,21800.0000,17272360,3772283,1799736,8161,221,,,17272360.00,
18/05/2017,22210.0000,22210.0000,-0.27,21630.0000,22270.0000,22670.0000,21610.0000,17272360,3836191,1797961,8156,376,,,17272360.00,
17/05/2017,22270.0000,22270.0000,-5.03,23650.0000,23450.0000,23800.0000,22270.0000,17272360,3846555,5582855,23918,410,,,17272360.00,
16/05/2017,23450.0000,23450.0000,3.72,22850.0000,22610.0000,23500.0000,22840.0000,17272360,4050368,5876992,25281,311,,,17272360.00,
15/05/2017,22610.0000,22610.0000,0.85,22310.0000,22420.0000,22840.0000,21510.0000,17272360,3905281,2671754,11928,368,,,17272360.00,
14/05/2017,22420.0000,22420.0000,2.84,21800.0000,21800.0000,22480.0000,21540.0000,17272360,3872463,1288538,5820,151,,,17272360.00,
11/05/2017,21800.0000,21800.0000,0.60,21670.0000,21670.0000,21900.0000,21580.0000,17272360,3765374,1004208,4629,147,,,17272360.00,
10/05/2017,21670.0000,21670.0000,-0.64,21830.0000,21810.0000,21840.0000,21570.0000,17272360,3742920,1165453,5380,147,,,17272360.00,
09/05/2017,21810.0000,21810.0000,-0.68,21960.0000,21960.0000,22100.0000,21420.0000,17272360,3767102,2369701,10894,290,,,17272360.00,
08/05/2017,21960.0000,21960.0000,-0.77,22130.0000,22130.0000,22270.0000,21470.0000,17272360,3793010,4150671,18867,646,,,17272360.00,
07/05/2017,22130.0000,22130.0000,1.33,21600.0000,21840.0000,22350.0000,21600.0000,17272360,3822373,1935942,8757,177,,,17272360.00,
04/05/2017,21840.0000,21840.0000,1.96,21420.0000,21420.0000,21840.0000,21300.0000,17272360,3772283,6549095,30068,309,,,17272360.00,
03/05/2017,21420.0000,21420.0000,1.66,21070.0000,21070.0000,21620.0000,20940.0000,17272360,3699740,1810848,8495,261,,,17272360.00,
30/04/2017,21070.0000,21070.0000,0.14,20880.0000,21040.0000,21770.0000,20590.0000,17272360,3639286,3009841,14384,203,,,17272360.00,
27/04/2017,21040.0000,21040.0000,-2.14,21880.0000,21500.0000,21880.0000,20990.0000,17272360,3634105,4507663,20963,380,,,17272360.00,
26/04/2017,21500.0000,21500.0000,1.99,21280.0000,21080.0000,21500.0000,20570.0000,17272360,3713557,1944126,9216,278,,,17272360.00,
25/04/2017,21080.0000,21080.0000,-0.85,21260.0000,21260.0000,21400.0000,20830.0000,17272360,3641013,3147971,14898,339,,,17272360.00,
24/04/2017,21260.0000,21260.0000,1.33,21440.0000,20980.0000,21500.0000,21090.0000,17272360,3672104,1865730,8744,306,,,17272360.00,
23/04/2017,20980.0000,20980.0000,-1.69,21340.0000,21340.0000,21330.0000,20610.0000,17272360,3623741,1409494,6704,187,,,17272360.00,
20/04/2017,21340.0000,21340.0000,1.96,21350.0000,20930.0000,21350.0000,20560.0000,17272360,3685922,3833980,18357,368,,,17272360.00,
19/04/2017,20930.0000,20930.0000,4.96,20010.0000,19940.0000,21180.0000,20000.0000,17272360,3615105,14329296,70312,567,,,17272360.00,
18/04/2017,19940.0000,19940.0000,1.01,19740.0000,19740.0000,20040.0000,19700.0000,17272360,3444109,25373483,127778,280,,,17272360.00,
13/04/2017,19740.0000,19740.0000,-2.03,20340.0000,20150.0000,20340.0000,19610.0000,17272360,3409564,801030,4033,145,,,17272360.00,
12/04/2017,20150.0000,20150.0000,4.95,19800.0000,19200.0000,20150.0000,19570.0000,17272360,3480381,3998919,20169,407,,,17272360.00,
09/04/2017,19200.0000,19200.0000,-2.04,19800.0000,19600.0000,19990.0000,19080.0000,17272360,3316293,4215291,21508,266,,,17272360.00,
06/04/2017,19600.0000,19600.0000,-0.56,19710.0000,19710.0000,19780.0000,19270.0000,17272360,3385383,10664095,54422,345,,,17272360.00,
