Historical Prices - KAFRIT - 00522011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1654.0000,1654.0000,-16.97,1865.0000,1992.0000,1865.0000,1603.0000,23691264,391854,5452470,318343,511,,,23691264.00,
28/05/2017,1992.0000,1992.0000,-0.10,1994.0000,1994.0000,1995.0000,1973.0000,23691264,471930,123664,6208,9,,,23691264.00,
25/05/2017,1994.0000,1994.0000,1.63,1962.0000,1962.0000,2000.0000,1962.0000,23691264,472404,392962,19808,37,,,23691264.00,
24/05/2017,1962.0000,1962.0000,-1.01,1982.0000,1982.0000,1979.0000,1950.0000,23691264,464823,59265,3019,8,,,23691264.00,
23/05/2017,1982.0000,1982.0000,0.71,1968.0000,1968.0000,1987.0000,1969.0000,23691264,469561,32903,1660,11,,,23691264.00,
22/05/2017,1968.0000,1968.0000,-0.56,1979.0000,1979.0000,1997.0000,1965.0000,23691264,466244,297059,15024,37,,,23691264.00,
21/05/2017,1979.0000,1979.0000,-0.05,1983.0000,1980.0000,1983.0000,1976.0000,23691264,468850,40428,2043,14,,,23691264.00,
18/05/2017,1980.0000,1980.0000,-0.35,1987.0000,1987.0000,1992.0000,1969.0000,23691264,469087,562963,28437,54,,,23691264.00,
17/05/2017,1987.0000,1987.0000,-0.55,1998.0000,1998.0000,1997.0000,1981.0000,23691264,470745,209285,10530,36,,,23691264.00,
16/05/2017,1998.0000,1998.0000,0.10,1996.0000,1996.0000,2000.0000,1993.0000,23691264,473351,164170,8214,43,,,23691264.00,
15/05/2017,1996.0000,1996.0000,-0.60,2008.0000,2008.0000,2009.0000,1996.0000,23691264,472878,606798,30241,33,,,23691264.00,
14/05/2017,2008.0000,2008.0000,0.40,2000.0000,2000.0000,2012.0000,2000.0000,23691264,475721,99988,4983,19,,,23691264.00,
11/05/2017,2000.0000,2000.0000,-0.60,2012.0000,2012.0000,2000.0000,1991.0000,23691264,473825,304674,15238,31,,,23691264.00,
10/05/2017,2012.0000,2012.0000,0.00,2013.0000,2012.0000,2025.0000,1999.0000,23691264,476668,141686,7031,26,,,23691264.00,
09/05/2017,2012.0000,2012.0000,1.56,1981.0000,1981.0000,2023.0000,1979.0000,23691264,476668,473549,23687,35,,,23691264.00,
08/05/2017,1981.0000,1981.0000,-0.50,1991.0000,1991.0000,1990.0000,1975.0000,23691264,469324,677896,34115,26,,,23691264.00,
07/05/2017,1991.0000,1991.0000,3.00,1933.0000,1933.0000,1995.0000,1934.0000,23691264,471693,64543,3242,22,,,23691264.00,
04/05/2017,1933.0000,1933.0000,0.62,1921.0000,1921.0000,1943.0000,1903.0000,23691264,457952,472948,24482,36,,,23691264.00,
03/05/2017,1921.0000,1921.0000,-2.39,1968.0000,1968.0000,1936.0000,1920.0000,23691264,455109,72755,3781,18,,,23691264.00,
30/04/2017,1968.0000,1968.0000,-0.05,1969.0000,1969.0000,1982.0000,1954.0000,23691264,466244,83901,4264,33,,,23691264.00,
27/04/2017,1969.0000,1969.0000,-0.56,1980.0000,1980.0000,1970.0000,1948.0000,23691264,466481,141325,7195,18,,,23691264.00,
26/04/2017,1980.0000,1980.0000,1.02,1960.0000,1960.0000,1995.0000,1964.0000,23691264,469087,78908,3988,23,,,23691264.00,
25/04/2017,1960.0000,1960.0000,2.40,1914.0000,1914.0000,1977.0000,1915.0000,23691264,464349,80922,4145,23,,,23691264.00,
24/04/2017,1914.0000,1914.0000,3.07,1857.0000,1857.0000,1945.0000,1855.0000,23691264,453451,119838,6305,25,,,23691264.00,
23/04/2017,1857.0000,1857.0000,-0.11,1859.0000,1859.0000,1859.0000,1831.0000,23691264,439947,55379,2983,7,,,23691264.00,
20/04/2017,1859.0000,1859.0000,-1.80,1893.0000,1893.0000,1896.0000,1805.0000,23691264,440421,230419,12340,37,,,23691264.00,
19/04/2017,1893.0000,1893.0000,0.16,1900.0000,1890.0000,1914.0000,1880.0000,23691264,448476,123462,6518,26,,,23691264.00,
18/04/2017,1890.0000,1890.0000,-0.16,1903.0000,1893.0000,1918.0000,1880.0000,23691264,447765,135763,7183,24,,,23691264.00,
13/04/2017,1893.0000,1893.0000,-1.87,1929.0000,1929.0000,1929.0000,1882.0000,23691264,448476,40103,2119,13,,,23691264.00,
12/04/2017,1929.0000,1929.0000,-1.23,1953.0000,1953.0000,1953.0000,1915.0000,23691264,457004,75217,3885,20,,,23691264.00,
09/04/2017,1953.0000,1953.0000,-0.20,1957.0000,1957.0000,1957.0000,1940.0000,23691264,462690,169583,8680,29,,,23691264.00,
06/04/2017,1957.0000,1957.0000,0.00,1957.0000,1957.0000,1978.0000,1951.0000,23691264,463638,566638,28847,55,,,23691264.00,
05/04/2017,1957.0000,1957.0000,3.60,1889.0000,1889.0000,1997.0000,1917.0000,23691264,463638,199441,10222,41,,,23691264.00,
04/04/2017,1889.0000,1889.0000,2.11,1850.0000,1850.0000,1907.0000,1870.0000,23691264,447528,36001,1906,16,,,23691264.00,
03/04/2017,1850.0000,1850.0000,0.60,1839.0000,1839.0000,1850.0000,1850.0000,23691264,438288,4292,232,3,,,23691264.00,
02/04/2017,1839.0000,1839.0000,1.38,1814.0000,1814.0000,1841.0000,1830.0000,23691264,435682,72153,3929,18,,,23691264.00,
30/03/2017,1814.0000,1814.0000,0.61,1803.0000,1803.0000,1823.0000,1804.0000,23691264,429760,62797,3466,13,EX D,0.99394,23691264.00,
29/03/2017,1803.0072,1814.0000,-0.38,1821.0000,1821.0000,1820.0000,1809.0000,23691264,429760,31320,1727,10,,,23691264.00,
28/03/2017,1809.9647,1821.0000,0.77,1807.0000,1807.0000,1824.0000,1805.0000,23691264,431418,46434,2551,7,,,23691264.00,
27/03/2017,1796.0496,1807.0000,0.11,1834.0000,1805.0000,1834.0000,1795.0000,23691264,428101,199017,11019,35,,,23691264.00,
26/03/2017,1794.0617,1805.0000,-3.22,1865.0000,1865.0000,1846.0000,1751.0000,23691264,427627,898937,50265,144,,,23691264.00,
23/03/2017,1853.6981,1865.0000,-3.82,1939.0000,1939.0000,1939.0000,1860.0000,23691264,441842,958373,50468,141,,,23691264.00,
22/03/2017,1927.2497,1939.0000,-0.97,1958.0000,1958.0000,1958.0000,1932.0000,23691264,459374,71199,3671,22,,,23691264.00,
21/03/2017,1946.1345,1958.0000,-0.81,1974.0000,1974.0000,1990.0000,1931.0000,23691264,463875,81831,4157,33,,,23691264.00,
20/03/2017,1962.0376,1974.0000,1.44,1946.0000,1946.0000,1989.0000,1964.0000,23691264,467666,34809,1763,13,,,23691264.00,
19/03/2017,1934.2072,1946.0000,-0.87,1963.0000,1963.0000,1950.0000,1945.0000,23691264,461032,49275,2532,13,,,23691264.00,
16/03/2017,1951.1042,1963.0000,-1.01,1983.0000,1983.0000,2001.0000,1935.0000,23691264,465060,209793,10685,42,,,23691264.00,
15/03/2017,1970.9830,1983.0000,-0.15,1986.0000,1986.0000,1986.0000,1978.0000,23691264,469798,174168,8794,40,,,23691264.00,
14/03/2017,1973.9648,1986.0000,0.86,1969.0000,1969.0000,1995.0000,1976.0000,23691264,470509,82354,4146,25,,,23691264.00,
13/03/2017,1957.0679,1969.0000,1.08,1948.0000,1948.0000,1975.0000,1955.0000,23691264,466481,121758,6194,21,,,23691264.00,
09/03/2017,1936.1951,1948.0000,0.10,1946.0000,1946.0000,1955.0000,1946.0000,23691264,461506,41618,2137,14,,,23691264.00,
08/03/2017,1934.2072,1946.0000,-0.36,1960.0000,1953.0000,1960.0000,1940.0000,23691264,461032,272647,14010,33,,,23691264.00,
07/03/2017,1941.1648,1953.0000,0.93,1935.0000,1935.0000,1964.0000,1941.0000,23691264,462690,152347,7807,32,,,23691264.00,
06/03/2017,1923.2739,1935.0000,0.21,1931.0000,1931.0000,1952.0000,1926.0000,23691264,458426,376435,19483,33,,,23691264.00,
05/03/2017,1919.2981,1931.0000,0.26,1926.0000,1926.0000,1950.0000,1930.0000,23691264,457478,90152,4660,11,,,23691264.00,
02/03/2017,1914.3284,1926.0000,0.10,1924.0000,1924.0000,1936.0000,1925.0000,23691264,456294,485947,25225,38,,,23691264.00,
01/03/2017,1912.3406,1924.0000,-0.05,1925.0000,1925.0000,1939.0000,1909.0000,23691264,455820,84366,4384,14,,,23691264.00,
28/02/2017,1913.3345,1925.0000,-0.10,1927.0000,1927.0000,1934.0000,1910.0000,23691264,456057,297793,15515,47,,,23691264.00,
27/02/2017,1915.3224,1927.0000,0.00,1927.0000,1927.0000,1928.0000,1927.0000,23691264,456531,160172,8312,26,,,23691264.00,
26/02/2017,1915.3224,1927.0000,-0.21,1931.0000,1931.0000,1944.0000,1927.0000,23691264,456531,103305,5354,29,,,23691264.00,
23/02/2017,1919.2981,1931.0000,-0.26,1936.0000,1936.0000,1953.0000,1912.0000,23691264,457478,162535,8444,33,,,23691264.00,
22/02/2017,1924.2678,1936.0000,1.15,1914.0000,1914.0000,1944.0000,1906.0000,23691264,458663,178880,9246,48,,,23691264.00,
21/02/2017,1902.4012,1914.0000,0.10,1912.0000,1912.0000,1926.0000,1908.0000,23691264,453451,276620,14464,56,,,23691264.00,
20/02/2017,1900.4133,1912.0000,-0.52,1922.0000,1922.0000,1942.0000,1908.0000,23691264,452977,342984,17916,42,,,23691264.00,
19/02/2017,1910.3527,1922.0000,0.31,1916.0000,1916.0000,1939.0000,1908.0000,23691264,455346,71463,3720,19,,,23691264.00,
16/02/2017,1904.3890,1916.0000,-1.08,1937.0000,1937.0000,1937.0000,1916.0000,23691264,453925,432138,22442,66,,,23691264.00,
15/02/2017,1925.2618,1937.0000,-0.41,1945.0000,1945.0000,1957.0000,1920.0000,23691264,458900,255757,13247,37,,,23691264.00,
14/02/2017,1933.2133,1945.0000,0.00,1945.0000,1945.0000,1951.0000,1934.0000,23691264,460795,84917,4366,18,,,23691264.00,
13/02/2017,1933.2133,1945.0000,-0.51,1955.0000,1955.0000,1950.0000,1935.0000,23691264,460795,188944,9727,40,,,23691264.00,
12/02/2017,1943.1527,1955.0000,-2.25,2000.0000,2000.0000,2000.0000,1885.0000,23691264,463164,963008,49609,127,,,23691264.00,
09/02/2017,1987.8800,2000.0000,-0.70,2014.0000,2014.0000,2008.0000,1982.0000,23691264,473825,15157945,757925,97,,,,
08/02/2017,2001.7952,2014.0000,-0.69,2028.0000,2028.0000,2020.0000,1977.0000,23691264,477142,786337,39370,103,,,,
07/02/2017,2015.7103,2028.0000,-0.44,2037.0000,2037.0000,2057.0000,2025.0000,23691264,480459,72545,3570,13,,,,
06/02/2017,2024.6558,2037.0000,-1.12,2055.0000,2060.0000,2074.0000,2011.0000,23691264,482591,1237471,60918,47,,,,
05/02/2017,2047.5164,2060.0000,2.79,2004.0000,2004.0000,2072.0000,1999.0000,23691264,488040,697273,33986,73,,,,
02/02/2017,1991.8558,2004.0000,0.10,2002.0000,2002.0000,2015.0000,1998.0000,23691264,474773,152712,7615,27,,,,
01/02/2017,1989.8679,2002.0000,-0.15,2005.0000,2005.0000,2015.0000,1980.0000,23691264,474299,109516,5465,19,,,,
31/01/2017,1992.8497,2005.0000,1.88,1968.0000,1968.0000,2019.0000,1950.0000,23691264,475010,227920,11427,28,,,,
30/01/2017,1956.0739,1968.0000,-1.25,1993.0000,1993.0000,1993.0000,1960.0000,23691264,466244,243019,12352,21,,,,
29/01/2017,1980.9224,1993.0000,0.00,1993.0000,1993.0000,1993.0000,1993.0000,23691264,472167,3966,199,3,,,,
26/01/2017,1980.9224,1993.0000,-0.50,2032.0000,2003.0000,2038.0000,1990.0000,23691264,472167,107218,5355,15,,,,
25/01/2017,1990.8618,2003.0000,2.19,1960.0000,1960.0000,2007.0000,1996.0000,23691264,474536,90968,4542,11,,,,
24/01/2017,1948.1224,1960.0000,1.40,1933.0000,1933.0000,1961.0000,1933.0000,23691264,464349,289020,14791,29,,,,
23/01/2017,1921.2860,1933.0000,-1.18,1956.0000,1956.0000,1960.0000,1910.0000,23691264,457952,250339,12873,26,,,,
22/01/2017,1944.1466,1956.0000,-0.31,2019.0000,1962.0000,2019.0000,1934.0000,23691264,463401,234796,11889,46,,,,
19/01/2017,1950.1103,1962.0000,-0.41,1970.0000,1970.0000,1988.0000,1940.0000,23691264,464823,299365,15248,52,,,,
18/01/2017,1958.0618,1970.0000,2.23,1915.0000,1927.0000,1973.0000,1915.0000,23691264,466718,707448,36037,69,,,,
17/01/2017,1915.3224,1927.0000,-0.67,1940.0000,1940.0000,1937.0000,1915.0000,23691264,456531,114600,5940,17,,,,
16/01/2017,1928.2436,1940.0000,-0.05,1978.0000,1941.0000,1978.0000,1915.0000,23691264,459611,463814,23668,36,,,,
15/01/2017,1929.2375,1941.0000,1.20,1954.0000,1918.0000,1954.0000,1930.0000,23691264,459847,81257,4188,25,,,,
12/01/2017,1906.3769,1918.0000,-2.49,2003.0000,1967.0000,2003.0000,1910.0000,23691264,454398,201237,10407,35,,,,
11/01/2017,1955.0800,1967.0000,-0.35,2000.0000,1974.0000,2000.0000,1955.0000,23691264,466007,253491,12858,38,,,,
10/01/2017,1962.0376,1974.0000,-0.35,1998.0000,1981.0000,1998.0000,1951.0000,23691264,467666,346840,17636,26,,,,
09/01/2017,1968.9951,1981.0000,-0.55,2010.0000,1992.0000,2010.0000,1942.0000,23691264,469324,170328,8562,30,,,,
08/01/2017,1979.9285,1992.0000,-0.40,2038.0000,2000.0000,2050.0000,1980.0000,23691264,471930,901567,45147,44,,,,
05/01/2017,1987.8800,2000.0000,0.91,2015.0000,1982.0000,2070.0000,1966.0000,23691264,473825,359020,17784,56,,,,
04/01/2017,1969.9891,1982.0000,0.41,1989.0000,1974.0000,2009.0000,1959.0000,23691264,469561,197026,9896,40,,,,
03/01/2017,1962.0376,1974.0000,-0.05,1975.0000,1975.0000,1977.0000,1950.0000,23691264,467666,166698,8463,26,,,,
02/01/2017,1963.0315,1975.0000,-2.03,2016.0000,2016.0000,2020.0000,1966.0000,22891264,452102,767042,38592,59,,,,
01/01/2017,2003.7830,2016.0000,0.95,2029.0000,1997.0000,2029.0000,1992.0000,22891264,461488,86766,4300,10,,,,
29/12/2016,1984.8982,1997.0000,-0.10,2030.0000,1999.0000,2030.0000,1977.0000,22891264,457139,294675,14744,29,,,,
28/12/2016,1986.8861,1999.0000,-0.20,2041.0000,2003.0000,2051.0000,1977.0000,22891264,457596,1322265,65949,83,,,,
27/12/2016,1990.8618,2003.0000,-0.30,2009.0000,2009.0000,2057.0000,2000.0000,22891264,458512,746443,37030,51,,,,
26/12/2016,1996.8255,2009.0000,0.30,2003.0000,2003.0000,2025.0000,2003.0000,22854380,459144,371444,18418,40,,,,
25/12/2016,1990.8618,2003.0000,-0.55,2014.0000,2014.0000,2020.0000,1985.0000,22854380,457773,51539,2573,6,,,,
22/12/2016,2001.7952,2014.0000,0.30,2008.0000,2008.0000,2033.0000,2010.0000,22854380,460287,75831,3753,10,,,,
21/12/2016,1995.8315,2008.0000,-0.40,2016.0000,2016.0000,2020.0000,2001.0000,22854380,458916,201765,10020,23,,,,
20/12/2016,2003.7830,2016.0000,2.13,1974.0000,1974.0000,2071.0000,1999.0000,22854380,460744,1125593,55317,80,,,,
19/12/2016,1962.0376,1974.0000,-0.05,1975.0000,1975.0000,1988.0000,1970.0000,22854380,451145,157062,7932,17,,,,
18/12/2016,1963.0315,1975.0000,0.56,1964.0000,1964.0000,1975.0000,1975.0000,22854380,451374,7821,396,5,,,,
15/12/2016,1952.0982,1964.0000,-1.85,2001.0000,2001.0000,2015.0000,1932.0000,22854380,448860,192367,9769,27,,,,
14/12/2016,1988.8739,2001.0000,-4.07,2086.0000,2086.0000,2086.0000,1999.0000,22854380,457316,850732,42066,67,,,,
13/12/2016,2073.3588,2086.0000,-0.57,2098.0000,2098.0000,2089.0000,2059.0000,22854380,476742,34380,1648,7,,,,
12/12/2016,2085.2861,2098.0000,-0.52,2109.0000,2109.0000,2118.0000,2067.0000,22854380,479485,75360,3593,19,,,,
11/12/2016,2096.2195,2109.0000,0.00,2109.0000,2109.0000,2110.0000,2095.0000,22647363,477633,154034,7311,23,,,,
08/12/2016,2096.2195,2109.0000,0.05,2108.0000,2108.0000,2120.0000,2090.0000,22647363,477633,398261,18853,27,,,,
07/12/2016,2095.2255,2108.0000,0.72,2093.0000,2093.0000,2124.0000,2083.0000,22647363,477406,141061,6736,18,,,,
06/12/2016,2080.3164,2093.0000,1.45,2063.0000,2063.0000,2104.0000,2065.0000,22647363,474009,194421,9310,26,,,,
05/12/2016,2050.4982,2063.0000,0.63,2050.0000,2050.0000,2099.0000,2047.0000,22647363,467215,119109,5756,21,,,,
04/12/2016,2037.5770,2050.0000,-0.19,2050.0000,2054.0000,2050.0000,2042.0000,22647363,464271,236937,11558,6,EX D,0.99371,,
01/12/2016,2041.5514,2067.0000,1.03,2046.0000,2046.0000,2085.0000,2046.0000,22647363,468121,177234,8564,30,,,,
30/11/2016,2020.8099,2046.0000,0.00,2046.0000,2046.0000,2090.0000,2046.0000,22647363,463365,149371,7255,20,,,,
