Historical Prices - LEVINSTEIN PROP - 01119080
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,5891.0000,5891.0000,0.60,5856.0000,5856.0000,5948.0000,5850.0000,13501750,795388,52169,886,35,,,13501750.00,
28/05/2017,5856.0000,5856.0000,1.61,5763.0000,5763.0000,5929.0000,5763.0000,13501750,790662,216115,3687,62,,,13501750.00,
25/05/2017,5763.0000,5763.0000,-0.50,5813.0000,5792.0000,5815.0000,5761.0000,13501750,778106,158645,2748,48,,,13501750.00,
24/05/2017,5792.0000,5792.0000,-2.15,5919.0000,5919.0000,5949.0000,5761.0000,13501750,782021,207299,3579,37,,,13501750.00,
23/05/2017,5919.0000,5919.0000,0.83,5870.0000,5870.0000,5949.0000,5870.0000,13501750,799169,218706,3704,48,,,13501750.00,
22/05/2017,5870.0000,5870.0000,0.62,5834.0000,5834.0000,5892.0000,5836.0000,13501750,792553,83296,1419,34,,,13501750.00,
21/05/2017,5834.0000,5834.0000,0.60,5760.0000,5799.0000,5846.0000,5760.0000,13501750,787692,83769,1436,50,,,13501750.00,
18/05/2017,5799.0000,5799.0000,-3.72,6088.0000,6023.0000,6088.0000,5760.0000,13501750,782966,163641,2793,54,,,13501750.00,
17/05/2017,6023.0000,6023.0000,-3.45,6238.0000,6238.0000,6269.0000,5890.0000,13501750,813210,234599,3850,78,,,13501750.00,
16/05/2017,6238.0000,6238.0000,1.10,6170.0000,6170.0000,6270.0000,6132.0000,13501750,842239,139146,2231,43,,,13501750.00,
15/05/2017,6170.0000,6170.0000,-0.45,6198.0000,6198.0000,6247.0000,6101.0000,13501750,833058,126035,2032,51,,,13501750.00,
14/05/2017,6198.0000,6198.0000,-1.07,6265.0000,6265.0000,6201.0000,6176.0000,13501750,836838,64017,1033,29,,,13501750.00,
11/05/2017,6265.0000,6265.0000,0.55,6231.0000,6231.0000,6300.0000,6223.0000,13501750,845885,29257,467,18,,,13501750.00,
10/05/2017,6231.0000,6231.0000,0.31,6212.0000,6212.0000,6279.0000,6170.0000,13501750,841294,258770,4167,50,,,13501750.00,
