Historical Prices - MAABAROT - 00528018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6908.0000,6908.0000,-1.79,7034.0000,7034.0000,7034.0000,6900.0000,9799183,676928,261667,3752,39,,,9799183.00,
28/05/2017,7034.0000,7034.0000,-1.08,7100.0000,7111.0000,7100.0000,7007.0000,9799183,689275,33623,478,15,,,9799183.00,
25/05/2017,7111.0000,7111.0000,0.14,7101.0000,7101.0000,7134.0000,7019.0000,9799183,696820,541394,7619,24,,,9799183.00,
24/05/2017,7101.0000,7101.0000,0.23,7085.0000,7085.0000,7130.0000,7046.0000,9799183,695840,607642,8563,45,,,9799183.00,
23/05/2017,7085.0000,7085.0000,-0.14,7095.0000,7095.0000,7121.0000,7067.0000,9799183,694272,223006,3141,39,,,9799183.00,
22/05/2017,7095.0000,7095.0000,1.81,6969.0000,6969.0000,7100.0000,6960.0000,9799183,695252,158652,2244,27,,,9799183.00,
21/05/2017,6969.0000,6969.0000,-0.54,7007.0000,7007.0000,7014.0000,6962.0000,9799183,682905,28853,414,10,,,9799183.00,
18/05/2017,7007.0000,7007.0000,-0.44,7038.0000,7038.0000,7033.0000,6935.0000,9799183,686629,180263,2576,36,,,9799183.00,
17/05/2017,7038.0000,7038.0000,-0.72,7089.0000,7089.0000,7098.0000,7001.0000,9799183,689667,346483,4914,51,,,9799183.00,
16/05/2017,7089.0000,7089.0000,0.07,7084.0000,7084.0000,7090.0000,7070.0000,9799183,694664,615108,8680,45,,,9799183.00,
15/05/2017,7084.0000,7084.0000,0.71,7034.0000,7034.0000,7122.0000,7034.0000,9799183,694174,309014,4362,38,EX D,0.98820,9799183.00,
14/05/2017,7034.0076,7118.0000,0.01,7117.0000,7117.0000,7237.0000,7087.0000,9799183,697506,257362,3589,30,,,9799183.00,
11/05/2017,7033.0194,7117.0000,0.64,7072.0000,7072.0000,7241.0000,7097.0000,9799183,697408,1477103,20702,92,,,9799183.00,
10/05/2017,6988.5504,7072.0000,-0.42,7180.0000,7102.0000,7180.0000,7040.0000,9799183,692998,305927,4290,34,,,9799183.00,
09/05/2017,7018.1964,7102.0000,0.03,7100.0000,7100.0000,7141.0000,6955.0000,9799183,695938,869799,12236,75,,,9799183.00,
08/05/2017,7016.2200,7100.0000,0.21,7085.0000,7085.0000,7102.0000,7075.0000,9799183,695742,303948,4281,27,,,9799183.00,
07/05/2017,7001.3970,7085.0000,-0.17,7097.0000,7097.0000,7102.0000,7064.0000,9799183,694272,323623,4559,72,,,9799183.00,
04/05/2017,7013.2554,7097.0000,-1.22,7190.0000,7185.0000,7198.0000,7093.0000,9799183,695448,735319,10343,46,,,9799183.00,
03/05/2017,7100.2170,7185.0000,1.64,7069.0000,7069.0000,7452.0000,7050.0000,9799183,704071,2453992,34650,103,,,9799183.00,
30/04/2017,6985.5858,7069.0000,1.12,6991.0000,6991.0000,7097.0000,6995.0000,9799183,692704,840541,11897,88,,,9799183.00,
27/04/2017,6908.5062,6991.0000,0.14,6981.0000,6981.0000,7120.0000,6958.0000,9799183,685061,468075,6673,73,,,9799183.00,
26/04/2017,6898.6242,6981.0000,1.09,6906.0000,6906.0000,6999.0000,6969.0000,9799183,684081,111108,1592,19,,,9799183.00,
25/04/2017,6824.5092,6906.0000,2.11,6763.0000,6763.0000,6924.0000,6758.0000,9799183,676732,388210,5660,70,,,9799183.00,
24/04/2017,6683.1966,6763.0000,0.04,6867.0000,6760.0000,6867.0000,6714.0000,9799183,662719,223893,3299,41,,,9799183.00,
23/04/2017,6680.2320,6760.0000,1.32,6672.0000,6672.0000,6830.0000,6728.0000,9799183,662425,34612,512,11,,,9799183.00,
20/04/2017,6593.2704,6672.0000,0.97,6615.0000,6608.0000,6701.0000,6615.0000,9799183,653801,215646,3240,34,,,9799183.00,
19/04/2017,6530.0256,6608.0000,0.27,6590.0000,6590.0000,6667.0000,6552.0000,9799183,647530,237384,3607,41,,,9799183.00,
18/04/2017,6512.2380,6590.0000,-0.06,6594.0000,6594.0000,6727.0000,6540.0000,9799183,645766,9947928,150836,143,,,9799183.00,
13/04/2017,6516.1908,6594.0000,-0.65,6637.0000,6637.0000,6650.0000,6577.0000,9799183,646158,294520,4455,30,,,9799183.00,
12/04/2017,6558.6834,6637.0000,0.17,6626.0000,6626.0000,6648.0000,6615.0000,9799183,650372,1201393,18156,28,,,9799183.00,
09/04/2017,6547.8132,6626.0000,-1.69,6721.0000,6740.0000,6800.0000,6571.0000,9799183,649294,1241396,18616,81,,,9799183.00,
06/04/2017,6660.4680,6740.0000,-3.20,6963.0000,6963.0000,6939.0000,6740.0000,9799183,660465,3757672,55619,96,,,9799183.00,
05/04/2017,6880.8366,6963.0000,-0.17,6975.0000,6975.0000,7055.0000,6911.0000,9799183,682317,356129,5097,46,,,9799183.00,
04/04/2017,6892.6950,6975.0000,-1.23,7062.0000,7062.0000,7090.0000,6880.0000,9799183,683493,276690,3944,40,,,9799183.00,
03/04/2017,6978.6684,7062.0000,0.03,7060.0000,7060.0000,7270.0000,6991.0000,9799183,692018,1968923,27722,88,,,9799183.00,
02/04/2017,6976.6920,7060.0000,1.93,6926.0000,6926.0000,7084.0000,6891.0000,9799183,691822,152796,2183,18,,,9799183.00,
30/03/2017,6844.2732,6926.0000,1.01,6857.0000,6857.0000,6964.0000,6850.0000,9799183,678691,38092,550,10,,,9799183.00,
29/03/2017,6776.0874,6857.0000,0.44,6827.0000,6827.0000,6899.0000,6783.0000,9799183,671930,133027,1944,26,,,9799183.00,
28/03/2017,6746.4414,6827.0000,-0.22,6842.0000,6842.0000,6848.0000,6649.0000,9799183,668990,283168,4176,53,,,9799183.00,
27/03/2017,6761.2644,6842.0000,-1.58,6952.0000,6952.0000,6949.0000,6805.0000,9799183,670460,176794,2576,28,,,9799183.00,
26/03/2017,6869.9664,6952.0000,-0.19,7000.0000,6965.0000,7034.0000,6930.0000,9799183,681239,558215,7986,46,,,9799183.00,
23/03/2017,6882.8130,6965.0000,-0.07,6970.0000,6970.0000,7026.0000,6945.0000,9799183,682513,120748,1733,28,,,9799183.00,
22/03/2017,6887.7540,6970.0000,-0.30,6991.0000,6991.0000,7000.0000,6793.0000,9799183,683003,150022,2158,33,,,9799183.00,
21/03/2017,6908.5062,6991.0000,0.42,6962.0000,6962.0000,7027.0000,6972.0000,9799183,685061,154229,2204,35,,,9799183.00,
20/03/2017,6879.8484,6962.0000,0.10,6955.0000,6955.0000,6999.0000,6899.0000,9799183,682219,107564,1546,20,,,9799183.00,
19/03/2017,6872.9310,6955.0000,-1.14,7035.0000,7035.0000,7010.0000,6922.0000,9799183,681533,153180,2201,19,,,9799183.00,
16/03/2017,6951.9870,7035.0000,-0.27,7054.0000,7054.0000,7070.0000,6930.0000,9799183,689373,402823,5731,47,,,9799183.00,
15/03/2017,6970.7628,7054.0000,-0.54,7099.0000,7092.0000,7121.0000,7006.0000,9799183,691234,243160,3437,31,,,9799183.00,
14/03/2017,7008.3144,7092.0000,0.44,7061.0000,7061.0000,7106.0000,7024.0000,9799183,694958,316542,4475,64,,,9799183.00,
13/03/2017,6977.6802,7061.0000,-0.28,7081.0000,7081.0000,7105.0000,7042.0000,9799183,691920,271469,3837,42,,,9799183.00,
09/03/2017,6997.4442,7081.0000,2.13,6933.0000,6933.0000,7144.0000,6940.0000,9799183,693880,11614304,165800,125,,,9799183.00,
08/03/2017,6851.1906,6933.0000,1.08,6859.0000,6859.0000,6978.0000,6792.0000,9799183,679377,176200,2557,29,,,9799183.00,
07/03/2017,6778.0638,6859.0000,-0.59,6900.0000,6900.0000,6870.0000,6823.0000,9799183,672126,338375,4945,47,,,9799183.00,
06/03/2017,6818.5800,6900.0000,-0.82,6957.0000,6957.0000,6956.0000,6852.0000,9799183,676144,157132,2273,28,,,9799183.00,
05/03/2017,6874.9074,6957.0000,-0.76,7010.0000,7010.0000,7020.0000,6925.0000,9799183,681729,157603,2255,16,,,9799183.00,
02/03/2017,6927.2820,7010.0000,-0.21,7025.0000,7025.0000,7027.0000,6954.0000,9799183,686923,1061223,15148,24,,,9799183.00,
01/03/2017,6942.1050,7025.0000,-0.06,7029.0000,7029.0000,7044.0000,6930.0000,9799183,688393,99720,1421,16,,,9799183.00,
28/02/2017,6946.0578,7029.0000,0.07,7024.0000,7024.0000,7100.0000,6831.0000,9799183,688785,3314270,46875,60,,,9799183.00,
27/02/2017,6941.1168,7024.0000,1.59,6970.0000,6914.0000,7067.0000,6970.0000,9799183,688295,237091,3376,49,,,9799183.00,
26/02/2017,6832.4148,6914.0000,-0.46,6946.0000,6946.0000,6978.0000,6880.0000,9799183,677516,179382,2594,24,,,9799183.00,
23/02/2017,6864.0372,6946.0000,0.61,6950.0000,6904.0000,7117.0000,6821.0000,9799183,680651,553941,7950,101,,,9799183.00,
