Historical Prices - MATOMY - 01131697
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,487.2000,487.2000,-1.75,495.9000,495.9000,500.7000,486.8000,93565476,455851,158910,32265,24,,,93565476.00,
28/05/2017,495.9000,495.9000,0.18,495.0000,495.0000,499.5000,494.9000,93565476,463991,78679,15877,17,,,93565476.00,
25/05/2017,495.0000,495.0000,-0.72,498.6000,498.6000,499.3000,495.0000,93565476,463149,210331,42288,17,,,93565476.00,
24/05/2017,498.6000,498.6000,-0.91,503.2000,503.2000,502.9000,495.0000,93565476,466517,45522,9130,14,,,93565476.00,
23/05/2017,503.2000,503.2000,-1.20,509.3000,509.3000,508.9000,498.7000,93565476,470821,52582,10450,20,,,93565476.00,
22/05/2017,509.3000,509.3000,-0.74,513.1000,513.1000,525.1000,503.7000,93565476,476529,50085,9821,16,,,93565476.00,
21/05/2017,513.1000,513.1000,2.19,502.1000,502.1000,519.0000,507.7000,93565476,480084,50580,9857,16,,,93565476.00,
18/05/2017,502.1000,502.1000,-0.30,503.6000,503.6000,506.6000,495.0000,93565476,469792,88870,17717,21,,,93565476.00,
17/05/2017,503.6000,503.6000,-2.38,515.9000,515.9000,515.5000,502.7000,93565476,471196,96130,19093,20,,,93565476.00,
16/05/2017,515.9000,515.9000,1.40,508.8000,508.8000,523.2000,511.6000,93565476,482704,142119,27667,12,,,93565476.00,
15/05/2017,508.8000,508.8000,-2.10,560.0000,519.7000,560.0000,502.0000,93565476,476061,53803,10532,17,,,93565476.00,
14/05/2017,519.7000,519.7000,-0.02,519.8000,519.8000,520.8000,514.8000,93565476,486260,110423,21240,16,,,93565476.00,
11/05/2017,519.8000,519.8000,0.93,560.0000,515.0000,560.0000,514.7000,93565476,486353,51646,9947,20,,,93565476.00,
10/05/2017,515.0000,515.0000,-0.60,518.5000,518.1000,550.0000,513.7000,93565476,481862,369146,70787,36,,,93565476.00,
09/05/2017,518.1000,518.1000,1.59,510.0000,510.0000,611.9000,508.8000,93565476,484763,462893,88663,46,,,93565476.00,
08/05/2017,510.0000,510.0000,2.39,498.1000,498.1000,516.0000,494.4000,93565476,477184,375514,74312,75,,,93565476.00,
07/05/2017,498.1000,498.1000,-0.24,499.3000,499.3000,499.6000,494.4000,93565476,466050,1089,219,2,,,93565476.00,
04/05/2017,499.3000,499.3000,-2.14,510.2000,510.2000,510.0000,486.6000,93565476,467172,540630,108131,44,,,93565476.00,
03/05/2017,510.2000,510.2000,1.86,500.9000,500.9000,517.0000,488.0000,93565476,477371,137914,27612,22,,,93565476.00,
30/04/2017,500.9000,500.9000,-0.79,504.9000,504.9000,500.9000,500.8000,93565476,468669,17611,3516,4,,,93565476.00,
27/04/2017,504.9000,504.9000,0.64,501.7000,501.7000,507.0000,504.0000,93565476,472412,24948,4941,5,,,93565476.00,
26/04/2017,501.7000,501.7000,0.72,498.1000,498.1000,510.6000,488.6000,93565476,469418,43734,8736,11,,,93565476.00,
25/04/2017,498.1000,498.1000,2.64,485.3000,485.3000,505.0000,484.5000,93565476,466050,31757,6375,11,,,93565476.00,
24/04/2017,485.3000,485.3000,-2.82,499.4000,499.4000,499.8000,478.4000,93565476,454073,69049,14227,12,,,93565476.00,
23/04/2017,499.4000,499.4000,-0.36,476.0000,501.2000,501.6000,476.0000,93565476,467266,15641,3132,9,,,93565476.00,
20/04/2017,501.2000,501.2000,1.35,494.5000,494.5000,501.9000,500.4000,93565476,468950,139249,27776,21,,,93565476.00,
19/04/2017,494.5000,494.5000,-1.22,500.2000,500.6000,514.7000,477.9000,93565476,462681,159780,32462,28,,,93565476.00,
18/04/2017,500.6000,500.6000,-2.63,514.1000,514.1000,504.6000,499.9000,93565476,468389,82433,16467,14,,,93565476.00,
13/04/2017,514.1000,514.1000,-0.52,516.8000,516.8000,518.1000,509.7000,93565476,481020,27877,5423,9,,,93565476.00,
12/04/2017,516.8000,516.8000,-2.55,530.3000,530.3000,520.1000,508.0000,93565476,483546,88918,17206,16,,,93565476.00,
09/04/2017,530.3000,530.3000,1.01,525.0000,525.0000,555.1000,500.8000,93565476,496178,274935,51003,39,,,93565476.00,
06/04/2017,525.0000,525.0000,5.25,498.3000,498.8000,525.0000,498.3000,93565476,491219,392784,75506,43,,,93565476.00,
05/04/2017,498.8000,498.8000,1.61,490.9000,490.9000,499.3000,490.4000,93565476,466705,67782,13678,10,,,93565476.00,
04/04/2017,490.9000,490.9000,4.23,471.0000,471.0000,510.0000,481.3000,93565476,459313,15301,3117,8,,,93565476.00,
03/04/2017,471.0000,471.0000,0.19,470.1000,470.1000,471.0000,471.0000,93565476,440693,11219,2382,5,,,93565476.00,
02/04/2017,470.1000,470.1000,0.00,470.1000,470.1000,470.1000,470.1000,93565476,439851,2285,486,3,,,93565476.00,
30/03/2017,470.1000,470.1000,0.56,467.5000,467.5000,475.2000,469.9000,93565476,439851,66443,14134,10,,,93565476.00,
29/03/2017,467.5000,467.5000,3.89,450.0000,450.0000,475.4000,451.4000,93565476,437419,205663,44473,40,,,93565476.00,
28/03/2017,450.0000,450.0000,-0.73,453.3000,453.3000,462.1000,446.4000,93565476,421045,45600,10122,7,,,93565476.00,
27/03/2017,453.3000,453.3000,0.78,449.8000,449.8000,454.1000,440.1000,93565476,424132,158667,35165,22,,,93565476.00,
26/03/2017,449.8000,449.8000,1.67,442.4000,442.4000,455.5000,442.3000,93565476,420858,100450,22380,20,,,93565476.00,
23/03/2017,442.4000,442.4000,-4.84,464.9000,464.9000,464.6000,438.0000,93565476,413934,51596,11637,22,,,93565476.00,
22/03/2017,464.9000,464.9000,-3.15,480.0000,480.0000,479.7000,454.9000,93565476,434986,42666,9176,19,,,93565476.00,
21/03/2017,480.0000,480.0000,0.38,478.2000,478.2000,484.9000,464.0000,93565476,449114,130413,27649,24,,,93565476.00,
20/03/2017,478.2000,478.2000,11.24,429.9000,429.9000,492.6000,434.5000,93565476,447430,85741,18265,17,,,93565476.00,
19/03/2017,429.9000,429.9000,-0.07,430.2000,430.2000,431.3000,426.4000,93565476,402238,32633,7591,9,,,93565476.00,
16/03/2017,430.2000,430.2000,-0.44,435.0000,432.1000,435.0000,430.0000,93565476,402519,133852,31061,26,,,93565476.00,
15/03/2017,432.1000,432.1000,-0.32,433.5000,433.5000,434.8000,428.4000,93565476,404296,142801,33092,31,,,93565476.00,
14/03/2017,433.5000,433.5000,-1.07,438.2000,438.2000,434.2000,429.0000,93565476,405606,84572,19544,21,,,93565476.00,
13/03/2017,438.2000,438.2000,0.23,437.2000,437.2000,445.0000,436.1000,93565476,410004,85713,19551,14,,,93565476.00,
09/03/2017,437.2000,437.2000,-1.71,444.8000,444.8000,446.0000,434.8000,93565476,409068,39201,8966,19,,,93565476.00,
08/03/2017,444.8000,444.8000,1.07,440.1000,440.1000,445.0000,440.6000,93565476,416179,120517,27209,18,,,93565476.00,
07/03/2017,440.1000,440.1000,-3.25,454.9000,454.9000,459.3000,425.6000,93565476,411782,180695,40369,44,,,93565476.00,
06/03/2017,454.9000,454.9000,-7.91,494.0000,494.0000,497.9000,448.6000,93565476,425629,368371,79150,55,,,93565476.00,
05/03/2017,494.0000,494.0000,-4.26,516.0000,516.0000,520.0000,483.0000,93565476,462213,34819,7048,16,,,93565476.00,
02/03/2017,516.0000,516.0000,5.80,487.7000,487.7000,516.0000,482.9000,93565476,482798,932052,181873,44,,,93565476.00,
01/03/2017,487.7000,487.7000,-0.39,489.6000,489.6000,494.0000,478.2000,93565476,456319,54278,11101,18,,,93565476.00,
28/02/2017,489.6000,489.6000,1.96,480.2000,480.2000,496.0000,465.1000,93565476,458097,112939,23324,27,,,93565476.00,
27/02/2017,480.2000,480.2000,2.28,469.5000,469.5000,490.8000,474.0000,93565476,449301,151442,31605,31,,,93565476.00,
26/02/2017,469.5000,469.5000,0.26,468.3000,468.3000,470.1000,468.0000,93565476,439290,104472,22270,17,,,93565476.00,
23/02/2017,468.3000,468.3000,-2.54,480.5000,480.5000,482.1000,461.0000,93565476,438167,247867,52609,49,,,93565476.00,
22/02/2017,480.5000,480.5000,-0.10,481.0000,481.0000,494.0000,476.1000,93565476,449582,98517,20470,21,,,93565476.00,
21/02/2017,481.0000,481.0000,0.17,480.2000,480.2000,482.5000,480.2000,93565476,450050,104199,21667,12,,,93565476.00,
20/02/2017,480.2000,480.2000,-1.74,488.7000,488.7000,484.0000,475.1000,93565476,449301,60517,12608,23,,,93565476.00,
19/02/2017,488.7000,488.7000,0.53,486.1000,486.1000,497.6000,486.1000,93565476,457254,52979,10840,19,,,93565476.00,
16/02/2017,486.1000,486.1000,-1.26,492.3000,492.3000,513.1000,483.2000,93565476,454822,295928,60565,45,,,93565476.00,
15/02/2017,492.3000,492.3000,-2.86,506.8000,506.8000,509.9000,491.0000,93565476,460623,64881,13178,15,,,93565476.00,
14/02/2017,506.8000,506.8000,1.71,498.3000,498.3000,529.6000,492.0000,93565476,474190,225701,44589,38,,,93565476.00,
13/02/2017,498.3000,498.3000,0.87,494.0000,494.0000,510.0000,494.0000,93565476,466237,508340,101470,76,,,93565476.00,
12/02/2017,494.0000,494.0000,0.59,492.0000,491.1000,508.8000,485.7000,93565476,462213,997916,200925,107,,,93565476.00,
09/02/2017,491.1000,491.1000,-4.47,514.1000,514.1000,519.2000,484.0000,93565476,459500,2772512,562038,98,,,93565476.00,
08/02/2017,514.1000,514.1000,1.88,504.6000,504.6000,520.0000,487.8000,93565476,481020,274164,53282,44,,,93565476.00,
